'll	ʊ BA
tearing	t AC ɪ AM ə AM ɹ AB ɪ AM ŋ AG
tech	tʰ AD ɛ AM k AC
tej	t AC ɛ AM d AC ʒ AJ
telangana	t̪ AC ɛ AM l AE ə AM ŋ AG ɡ AC ɑː AN n AG ə AM
ten	tʰ AD ɛ AM n AG
tenth	tʰ AD ɛ AM n̪ AG θ AJ
thagomizer	θ AJ æ AM ɡ AC ə AM m AF a AM ɪ AM z AJ ə AM
thank	θ AJ a AM ŋ AG k AC
theosophy	θ AJ ɪ AM ɒ BA s AJ ə AM f BE ɪ AM
theriac	θ AJ ɛ AM ɹ AB i AM ə AM k AC
thickie	θ AJ ɪ AM k AC i AM
thousand	θ AJ a AM ʊ BA z AJ n̩ BM d AC
thread	θ AJ ɾ̪̊ BI ɛ AM d AC
three	θ AJ ɾ̪̊ BI ɪ AM i AM
thrice	θ AJ ɾ̪̊ BI ɑ AM ɪ AM s AJ
thrill	θ AJ ɾ̪̊ BI ɪ AM ɫ AE
throne	θ AJ ɹ AB ə AM ʊ BA n AG
through	θ AJ ɾ̪̊ BI ɵ BA ʉ BA
throughout	θ AJ ɹ AB uːʷ a AM ʊ BA t AC
throw	θ AJ ɾ̪̊ BI ə AM ʊ BA
timber	t AC ɪˑ m AF b AH əː AN
time	tʰ AD a AM ɪ AM m AF
tin	tʰ AD ɪ AM n AG
tiptoe	tʰ AD ɪ AM p AH tʰ AD ə AM ʊ̯ AK
titty	tʰ AD ɪ AM ɾ BI i AM
to	tʰ AD u̟ː BB
tomato	tʰ AD ə̥ AM m AF ɑː AN tʰ AD ə AM ʊ BA
too	tʰ AD u̟ː BB
top	tʰ AD ɒˀ p AH
toronto	tʰ AD ə AM ɹ AB ɒ BA ɾ̃ CC ə AM
towards	tʰ AD ə̥ AM w AK ɔː BB d AC z AJ
town	tʰ AD a AM ʊ̯ AK n AG
trace	t AC ʃ AJ ɹ AB e AM ɪ AM s AJ
tracer	t AC ʃ AJ ɹ AB e AM ɪ AM s AJ ə AM ɹ AB
traditionally	t AC ɹ AB ɪ AM d AC ɪ AM ʃ AJ n̩ BM l AE i AM
train	t̠ AC ɹ̠̝ʷ e AM ɪ AM n AG
trainee	t AC ʃ AJ ɹ AB e AM ɪ AM n AG i AM
trainees	t AC ʃ AJ ɹ AB e AM ɪ AM n AG i AM z AJ
transcaucasia	t AC ɹ AB æ AM n AG s AJ k AC ɔː BB k AC e AM ɪ AM ʒ AJ ə AM
trap	t̠ AC ɹ̝̊ ä p AH
tree	t̠ AC ɹ̠̊ʷ ɪ AM i̯ AB
trick	t̠ʰ AD ɹ̠̊ ɪ AM k AC
trig	t̠ʰ AD ɹ̠̊ ɪ AM ɡ AC
trill	t̠ʰ AD ɹ̠̊ ɪ AM l AE
trim	t̠ʰ AD ɹ̠̊ ɪ AM m AF
trinal	t AC ɹ AB ʌ AM ɪ AM n̩ BM l AE
trip	t̠ʰ AD ɹ̠̊ ɪ AM p AH
trope	t AC ɹ̥ AB ə AM ʊ BA p AH
trust	t AC ɹ AB ʌ AM s AJ t AC
tsk	ǀ
tucker	tʰ AD ʌ AM k AC ə AM
turning	t AC ɚ AM n AG ɪ AM ŋ AG
tut	ǀ
twain	tʰ AD w̥ AK e AM ɪ AM n AG
twat	tʰ AD w̥ AK æ AM t AC
twelfth	tʰ AD w̥ AK ɛ AM l̪ AE θ AJ
twelve	t AC w̥ AK ɛ AM ɫ AE v BE
twentieth	t AC w̥ AK ɛ AM ɾ̃ CC i AM ə AM θ AJ
twenty	t AC w̥ AK ɛ̃ BJ n AG t AC i AM
twerk	t AC w̥ AK ɜː AN k AC
twice	t AC w̥ AK a AM ɪ AM s AJ
twin	t AC w̥ AK ɪ AM n AG
twink	tʰ AD w̥ AK ɪ AM ŋ AG k AC
twist	t AC w̥ AK ɪ AM s AJ t AC
twit	tʰ AD w̥ AK ɪ AM t AC
twitch	tʰ AD w̥ AK ɪ AM t AC ʃ AJ
two	tʰ AD u̟ː BB
twos	tʰ AD u̟ː BB z AJ
typewriter	t AC a AM ɪ AM p AH ɹ AB a AM ɪ AM t AC ə AM ɹ AB
ugh	ʌ AM
unacceptable	ɐ BA n AG ə AM k AC s AJ ɛ AM p AH tʰ AD ə AM b AH ɫ̩
uncle	ɐ BA ŋ AG k AC ɫ̩
under	ɐ BA n AG d AC ə AM ɹ AB
unfair	ɐ BA n AG f BE ɛː AN ɹ AB
unilateral	j AB ʉː BB n AG ɪ AM l AE æ AM t AC ʃ AJ ɹ AB ɫ̩
unisex	j AB uː BB n AG ɪ AM s AJ ɛ AM k AC s AJ
unnerstand	ɜ AM ɽ̃ CC ɻ AJ s AJ t AC æ AM n AG d̚
untac	j AB u BA ɛ AM n AG t AC ɪ AM ɛ AM j AB s AJ iː AN
untaet	j AB u BA ɛ AM n AG t AC i AM ɛ AM j AB ɪ AM t AC iː AN
up	ɐ BA ʔ AL p AH
usher	ʌ AM ʃ AJ ə AM ɹ AB
utter	ɐ BA t AC ə AM
vajazzle	v BE ə AM d AC ʒ AJ æ AM z AJ l̩ CA
vale	v BE e AM ɪ AM ɫ AE
verbal	v BE ɜː AN b AH ɫ̩
versatile	v BE ɜː AN s AJ ə AM t AC a AM ɪ AM ɫ AE
veteran	v BE ɛ AM ɾ BI ə AM ɹ AB ə AM n AG
veto	v BE iː AN ɾ BI o BA ʊ BA
vicissitude	v BE ɨ AM s AJ ɪ AM s AJ ɨ AM t AC j AB uː BB d AC
vicissity	v BE ɪ AM s AJ ɪ AM s AJ ɨ AM t AC i AM
vindical	v BE ɪ AM n AG d AC ɪ AM k AC l̩ CA
virtually	v BE ɚ AM t AC ʃ AJ u BA ə AM ɫ AE i AM
vlach	v BE l AE ɑː AN k AC
vocab	v BE ə AM ʊ BA k AC æ AM b AH
wail	w AK e AM ɪ AM ɫ AE
waistband	w AK e AM ɪ AM s AJ t AC b AH æ AM n AG d AC
waiting	w AK e AM ɪ̯ AB ɾ BI ɪ AM ŋ AG
wale	w AK e AM ɪ AM ɫ AE
wales	w AK e AM ɪ AM ɫ AE z AJ
wanted	w AK ɒ BA n AG tʰ AD ɪ AM d AC
wasn't	w AK ɒ BA z AJ n̩ BM ʔ AL
wealth	w AK ɛ AM l̪ AE θ AJ
wean	w AK eː AN n AG
weeaboos	w AK iː AN a AM b AH yː BB z AJ
welp	w AK ɛ AM l AE p̚
westside	w AK ɛ AM s AJ t AC s AJ a AM ɪ AM d AC
whew	ʍ BK ĭ̥ ŭ̥
whole	h AA ə AM ʊ BA ɫ AE
wholemeal	h AA ɔ BA ʊ BA ɫ AE m AF i AM ə AM ɫ AE
wholly	h AA ə AM ʊ BA l AE ɪ AM
width	w AK ɪ AM d̪ AC θ AJ
wieldy	w AK ɪ AM ə AM l AE d AC ɪ AM
wilde	w AK a AM ɪ AM ə̯ AB ɫ AE d AC
will	w AK ɪ AM ɫ AE
winter	w AK ɪ AM ɾ̃ CC ɚ AM
wisconsin	w AK ə AM s AJ kʰ AD ɑ AM n AG s AJ n̩ BM
wouldn't	w AK ʊ BA ɾ BI ə AM n AG t AC
wrake	ɹ AB e AM ɪ̯ AB kʰ AD
writer	ɹ̠ a AM ɪ AM tʰ AD ə AM
www	d AC ʌ AM ɥ AK ʊ̆ CD d AC ʌ AM ɥ AK ʊ̆ CD d AC ʌ AM bˡ j AB u BA
xxx	ʔ AL ɛ AM k AC s AJ ʔ AL ɛ AM k AC s AJ ʔ AL ɛ AM k AC s AJ
yatt	j AB æ AM t AC
yep	j AB ɛ AM p̚
yive	j AB ɪ AM v BE
yolngu	j AB oː BB l AE ŋ AG ʊ BA
yum	j AB ʌ AM m AF
zarina	z AJ ʌ AM ɹʲ i AM n AG ə AM
zemfira	z AJ ɪ AM ɱ AF f BE i AM ɹ AB ə AM
ziti	z AJ i AM ɾ BI i AM
zooplasty	z AJ ə AM ʊ BA ə AM p AH l AE æ AM s AJ t AC i AM
zun	z AJ ʌ AM n AG
übermensch	ʔ AL yː BB b AH ɐ BA m AF ɛ AM n AG ʃ AJ
