a	a AK
kirol	k AC i AK ɾ BC o AL l AE
kirolari	k AC i AK ɾ BC o AL l AE a AK ɾ BC i AK
kiroldegi	k AC i AK ɾ BC o AL l AE d AC e AK ɡ AC i AK
koaderno	k AC w AJ a AK d AC e AK r AM n AG o AL
kobre	k AC o AL b AH r AM e AK
koronabirus	k AC o AL ɾ BC o AL n AG a AK b AH i AK ɾ BC u AL s̺ AI
korsikera	k AC o AL r AM s̺ AI i AK k AC e AK ɾ BC a AK
koru	k AC o AL ɾ BC u AL
kroazia	k AC r AM o AL a AK s̻ AI j AB a AK
kroaziar	k AC r AM o AL a AK s̻ AI j AB a AK r AM
kroaziera	k AC r AM o AL a AK s̻ AI j AB e AK ɾ BC a AK
ku	k AC u AL
kukutxeztul	k AC u AL k AC u AL t AC ʃ AI e AK s̺ AI t AC u AL l AE
l	e AK l AE e AK
labar	l AE a AK b AH a AK r AM
labe	l AE a AK b AH e AK
labezomorro	l AE a AK b AH e AK s̻ AI o AL m AF o AL r AM o AL
labezomorroa	l AE a AK b AH e AK s̪ AI o AL m AF o AL r AM o AL a AK
labezomorroak	l AE a AK b AH e AK s̪ AI o AL m AF o AL r AM o AL a AK k AC
labezomorroarenganantz	l AE a AK b AH e AK s̪ AI o AL m AF o AL r AM o AL a AK ɾ BC e AK n AG ɡ AC a AK n AG a AK n AG t AC s̪ AI
labezomorroek	l AE a AK b AH e AK s̺ AI o AL m AF o AL r AM o AL e AK k AC
labezomorroenganantz	l AE a AK b AH e AK s̪ AI o AL m AF o AL r AM o AL e AK n AG ɡ AC a AK n AG a AK n AG t AC s̪ AI
labezomorrok	l AE a AK b AH e AK s̪ AI o AL m AF o AL r AM o AL k AC
labezomorrorenganako	l AE a AK b AH e AK s̪ AI o AL m AF o AL r AM o AL ɾ BC e AK n AG ɡ AC a AK n AG a AK k AC o AL
labezomorrorenganantz	l AE a AK b AH e AK s̪ AI o AL m AF o AL r AM o AL ɾ BC e AK n AG ɡ AC a AK n AG a AK n AG t AC s̪ AI
labezomorrorengandik	l AE a AK b AH e AK s̪ AI o AL m AF o AL r AM o AL ɾ BC e AK n AG ɡ AC a AK n AG d AC i AK k AC
labezomorrorik	l AE a AK b AH e AK s̪ AI o AL m AF o AL r AM o AL ɾ BC i AK k AC
labezomorrotzat	l AE a AK b AH e AK s̪ AI o AL m AF o AL r AM o AL t AC s̪ AI a AK t AC
labur	l AE a AK b AH u AL r AM
laga	l AE a AK ɡ AC a AK
lagun	l AE a AK ɡ AC u AL n AG
lagundu	l AE a AK ɡ AC u AL n AG d AC u AL
laino	l AE a AK ɲ AG o AL
lari	l AE a AK ɾ BC i AK
larunbat	l AE a AK ɾ BC u AL n AG b AH a AK t AC
lastail	l AE a AK s AI t AC a AK ʎ AE
laster	l AE a AK s̺ AI t AC e AK r AM
lau	l AE a AK u AL
lauburu	l AE a AK u AL b AH u AL ɾ BC u AL
laugarren	l AE a AK u AL ɡ AC a AK r AM e AK n AG
laukoitz	l AE a AK u AL k AC o AL i AK t AC s̻ AI
laurden	l AE a AK u AL r AM d AC e AK n AG
lebilke	l AE e AK b AH i AK l AE k AC e AK
lebilzke	l AE e AK b AH i AK l AE s̪ AI k AC e AK
legoke	l AE e AK ɡ AC o AL k AC e AK
lehen	l AE e AK h AA e AK n AG
lehendakari	l AE e AK ɦ AA e AK n AG d AC a AK k AC a AK ɾ BC i AK
lera	l AE e AK ɾ BC a AK
lerak	l AE e AK ɾ BC a AK k AC
leraren	l AE e AK ɾ BC a AK ɾ BC e AK n AG
lerari	l AE e AK ɾ BC a AK ɾ BC i AK
lerei	l AE e AK ɾ BC e AK i AK
lerek	l AE e AK ɾ BC e AK k AC
letonia	l AE e AK t AC o AL n AG j AB a AK
letoniera	l AE e AK t AC o AL n AG j AB e AK ɾ BC a AK
letorke	l AE e AK t AC o AL r AM k AC e AK
letozke	l AE e AK t AC o AL s̪ AI k AC e AK
letxekiake	l AE e AK t AC ʃ AI e AK k AC i AK a AK k AC e AK
letxekidake	l AE e AK t AC ʃ AI e AK k AC i AK d AC a AK k AC e AK
letxekieke	l AE e AK t AC ʃ AI e AK k AC i AK e AK k AC e AK
letxekiguke	l AE e AK t AC ʃ AI e AK k AC i AK ɡ AC u AL k AC e AK
letxekinake	l AE e AK t AC ʃ AI e AK k AC i AK n AG a AK k AC e AK
letxekioke	l AE e AK t AC ʃ AI e AK k AC i AK o AL k AC e AK
letxekizueke	l AE e AK t AC ʃ AI e AK k AC i AK s̪ AI u AL e AK k AC e AK
letxekizuke	l AE e AK t AC ʃ AI e AK k AC i AK s̪ AI u AL k AC e AK
letxezkiake	l AE e AK t AC ʃ AI e AK s̪ AI k AC i AK a AK k AC e AK
letxezkidake	l AE e AK t AC ʃ AI e AK s̪ AI k AC i AK d AC a AK k AC e AK
letxezkieke	l AE e AK t AC ʃ AI e AK s̪ AI k AC i AK e AK k AC e AK
letxezkiguke	l AE e AK t AC ʃ AI e AK s̪ AI k AC i AK ɡ AC u AL k AC e AK
letxezkinake	l AE e AK t AC ʃ AI e AK s̪ AI k AC i AK n AG a AK k AC e AK
letxezkioke	l AE e AK t AC ʃ AI e AK s̪ AI k AC i AK o AL k AC e AK
letxezkizueke	l AE e AK t AC ʃ AI e AK s̪ AI k AC i AK s̪ AI u AL e AK k AC e AK
letxezkizuke	l AE e AK t AC ʃ AI e AK s̪ AI k AC i AK s̪ AI u AL k AC e AK
letzake	l AE e AK t AC s̪ AI a AK k AC e AK
leudeke	l AE e AK w AJ d AC e AK k AC e AK
leutzake	l AE e AK w AJ t AC s̪ AI a AK k AC e AK
lipschitzar	l AE i AK p AH ʃ AI i AK t AC s̻ AI j AB a AK r AM
liteke	l AE i AK t AC e AK k AC e AK
litezke	l AE i AK t AC e AK s̪ AI k AC e AK
litio	l AE i AK t AC j AB o AL
lituania	l AE i AK t AC w AJ a AK n AG j AB a AK
lituaniera	l AE i AK t AC w AJ a AK n AG j AB e AK ɾ BC a AK
lizar	l AE i AK s AI a AK r AM
lizarki	l AE i AK s AI a AK r AM k AC i AK
lorail	l AE o AL ɾ BC a AK ʎ AE
lotazil	l AE o AL t AC a AK s̻ AI i AK l AE
lotu	l AE o AL t AC u AL
lur	l AE u AL r AM
lurra	l AE u AL r AM a AK
luze	l AE u AL s̻ AI e AK
m	e AK m AF e AK
madril	m AF a AK d AC r AM i AK ʎ AE
maiatz	m AF a AK i AK a AK t AC s̻ AI
maitatu	m AF a AK i AK t AC a AK t AC u AL
makaronesia	m AF a AK k AC a AK ɾ BC o AL n AG e AK s̺ AI j AB a AK
maltera	m AF a AK l AE t AC e AK ɾ BC a AK
mapa	m AF a AK p AH a AK
marasma	m AF a AK ɾ BC a AK s AI m AF a AK
maroko	m AF a AK ɾ BC o AL k AC o AL
marroi	m AF a AK r AM o AL i AK
marti	m AF a AK r AM t AC i AK
martitzen	m AF a AK r AM t AC i AK t AC s̻ AI e AK n AG
martxo	m AF a AK r AM t AC ʃ AI o AL
mazedoniera	m AF a AK s̻ AI e AK d AC o AL n AG j AB e AK ɾ BC a AK
mendebal	m AF e AK n AG d AC e AK b AH a AK l AE
mendi	m AF e AK n AG d AC i AK
merkatu	m AF e AK r AM k AC a AK t AC u AL
merkatü	m AF e AK r AM k AC a AK t AC y AL
merkhatü	m AF e AK r AM kʰ AD a AK t AC y AL
mesede	m AF e AK s̺ AI e AK d AC e AK
mesedez	m AF e AK s̺ AI e AK d AC e AK s̻ AI
milesker	m AF i AK ʎ AE e AK s̺ AI k AC e AK r AM
mintzatu	m AF i AK n AG t AC s̻ AI a AK t AC u AL
misantropo	m AF i AK s AI a AK n AG t AC r AM o AL p AH o AL
moldavia	m AF o AL l AE d AC a AK b AH j AB a AK
moldavian	m AF o AL l AE d AC a AK b AH j AB a AK n AG
mongoliera	m AF o AL n AG ɡ AC o AL l AE j AB e AK ɾ BC a AK
motz	m AF o AL t AC s̻ AI
mutil	m AF u AL t AC i AK ʎ AE
n	e AK n AG e AK
nabil	n AG a AK b AH i AK l AE
nabilen	n AG a AK b AH i AK ʎ AE e AK n AG
nabilke	n AG a AK b AH i AK l AE k AC e AK
nadin	n AG a AK d AC i AK n AG
nago	n AG a AK ɡ AC o AL
nagoen	n AG a AK ɡ AC o AL e AK n AG
nagoke	n AG a AK ɡ AC o AL k AC e AK
naiteke	n AG a AK j AB t AC e AK k AC e AK
naiz	n AG a AK i AK s̻ AI
naizateke	n AG a AK i AK s̻ AI a AK t AC e AK k AC e AK
nakar	n AG a AK k AC a AK ɾ BC
nakie	n AG a AK k AC i AK e AK
naski	n AG a AK s̺ AI k AC i AK
nator	n AG a AK t AC o AL ɾ BC
natorke	n AG a AK t AC o AL r AM k AC e AK
natorkio	n AG a AK t AC o AL r AM k AC i AK o AL
natorkioke	n AG a AK t AC o AL r AM k AC i AK o AL k AC e AK
natorkion	n AG a AK t AC o AL r AM k AC i AK o AL n AG
natorren	n AG a AK t AC o AL r AM e AK n AG
natxekie	n AG a AK t AC ʃ AI e AK k AC i AK e AK
natxekik	n AG a AK t AC ʃ AI e AK k AC i AK k AC
natxekin	n AG a AK t AC ʃ AI e AK k AC i AK n AG
natxekio	n AG a AK t AC ʃ AI e AK k AC i AK o AL
natxekizu	n AG a AK t AC ʃ AI e AK k AC i AK s̪ AI u AL
natxekizue	n AG a AK t AC ʃ AI e AK k AC i AK s̪ AI u AL e AK
natza	n AG a AK t AC s̪ AI a AK
nauka	n AG a AK w AJ k AC a AK
nederlandera	n AG e AK d AC e AK r AM l AE a AK n AG d AC e AK ɾ BC a AK
neguil	n AG e AK ɡ AC u AL i AK ʎ AE
nekatu	n AG e AK k AC a AK t AC u AL
nenbilen	n AG e AK n AG b AH i AK ʎ AE e AK n AG
nenbilke	n AG e AK n AG b AH i AK l AE k AC e AK
nenbilkeen	n AG e AK n AG b AH i AK l AE k AC e AK e AK n AG
nendin	n AG e AK n AG d AC i AK n AG
nengoen	n AG e AK n AG ɡ AC o AL e AK n AG
nengoke	n AG e AK n AG ɡ AC o AL k AC e AK
nengokeen	n AG e AK n AG ɡ AC o AL k AC e AK e AK n AG
nenkien	n AG e AK n AG k AC i AK e AK n AG
nenkion	n AG e AK n AG k AC i AK o AL n AG
nentorke	n AG e AK n AG t AC o AL r AM k AC e AK
nentorkeen	n AG e AK n AG t AC o AL r AM k AC e AK e AK n AG
nentorkioke	n AG e AK n AG t AC o AL r AM k AC i AK o AL k AC e AK
nentorkiokeen	n AG e AK n AG t AC o AL r AM k AC i AK o AL k AC e AK e AK n AG
nentorkion	n AG e AK n AG t AC o AL r AM k AC i AK o AL n AG
nentorren	n AG e AK n AG t AC o AL r AM e AK n AG
nentxekiake	n AG e AK n AG t AC ʃ AI e AK k AC i AK a AK k AC e AK
nentxekian	n AG e AK n AG t AC ʃ AI e AK k AC i AK a AK n AG
nentxekieke	n AG e AK n AG t AC ʃ AI e AK k AC i AK e AK k AC e AK
nentxekien	n AG e AK n AG t AC ʃ AI e AK k AC i AK e AK n AG
nentxekinake	n AG e AK n AG t AC ʃ AI e AK k AC i AK n AG a AK k AC e AK
nentxekinan	n AG e AK n AG t AC ʃ AI e AK k AC i AK n AG a AK n AG
nentxekioke	n AG e AK n AG t AC ʃ AI e AK k AC i AK o AL k AC e AK
nentxekion	n AG a AK t AC ʃ AI e AK k AC i AK o AL n AG
nentxekizueke	n AG e AK n AG t AC ʃ AI e AK k AC i AK s̪ AI u AL e AK k AC e AK
nentxekizuen	n AG e AK n AG t AC ʃ AI e AK k AC i AK s̪ AI u AL e AK n AG
nentxekizuke	n AG e AK n AG t AC ʃ AI e AK k AC i AK s̪ AI u AL k AC e AK
nentxekizun	n AG e AK n AG t AC ʃ AI e AK k AC i AK s̪ AI u AL n AG
nentzake	n AG e AK n AG t AC s̪ AI a AK k AC e AK
nentzan	n AG e AK n AG t AC s̪ AI a AK n AG
neon	n AG e AK o AL n AG
neska	n AG e AK s̺ AI k AC a AK
neskenegun	n AG e AK s AI k AC e AK n AG e AK ɡ AC u AL n AG
neu	n AG e AK u̯ AJ
neuk	n AG e AK w AJ k AC
neurri	n AG e AK u AL r AM i AK
ni	n AG i AK
nigan	n AG i AK ɡ AC a AK n AG
nik	n AG i AK k AC
ninteke	n AG i AK n AG t AC e AK k AC e AK
nintekeen	n AG i AK n AG t AC e AK k AC e AK e AK n AG
nintzateke	n AG i AK n AG t AC s̻ AI a AK t AC e AK k AC e AK
nintzatekeen	n AG i AK n AG t AC s̻ AI a AK t AC e AK k AC e AK e AK n AG
nintzen	n AG i AK n AG t AC s̻ AI e AK n AG
nire	n AG i AK ɾ BC e AK
niregan	n AG i AK ɾ BC e AK ɡ AC a AK n AG
nitan	n AG i AK t AC a AK n AG
nitrogeno	n AG i AK t AC r AM o AL x AI e AK n AG o AL
noa	n AG o AL a AK
nola	n AG o AL l AE a AK
non	n AG o AL n AG
nor	n AG o AL r AM
nora	n AG o AL ɾ BC a AK
nori	n AG o AL ɾ BC i AK
nork	n AG o AL r AM k AC
nortzuk	n AG o AL r AM t AC s̪ AI u AL k AC
norvegia	n AG o AL r AM b AH e AK ɡ AC j AB a AK
norvegiera	n AG o AL r AM b AH e AK ɡ AC j AB e AK ɾ BC a AK
o	o AL
oheratu	o AL ɦ AA e AK ɾ BC a AK t AC u AL
oilaur	o AL ʎ AE a AK u AL r AM
oin	o AL ɲ AG
oinarri	o AL ɲ AG a AK r AM i AK
oka	o AL k AC a AK
okin	o AL k AC i AK ɲ AG
okzitaniera	o AL k AC s̻ AI i AK t AC a AK n AG j AB e AK ɾ BC a AK
olerkari	o AL l AE e AK r AM k AC a AK ɾ BC i AK
olerkaritza	o AL l AE e AK r AM k AC a AK ɾ BC i AK t AC s̪ AI a AK
olerki	o AL l AE e AK r AM k AC i AK
on	o AL n AG
ondo	o AL n AG d AC o AL
onil	o AL n AG i AK ʎ AE
ontzi	o AL n AG t AC s̻ AI i AK
ordenatu	o AL r AM d AC e AK n AG a AK t AC u AL
ordots	o AL r AM d AC o AL t AC s̺ AI
orein	o AL ɾ BC e AK ɲ AG
oreka	o AL ɾ BC e AK k AC a AK
orri	o AL r AM i AK
orril	o AL r AM i AK ʎ AE
ortzegun	o AL r AM t AC s̻ AI e AK ɡ AC u AL n AG
ortzi	o AL r AM t AC s̻ AI i AK
ortzirale	o AL r AM t AC s̻ AI i AK ɾ BC a AK l AE e AK
osaba	o AL s̺ AI a AK b AH a AK
ostegun	o AL s̺ AI t AC e AK ɡ AC u AL n AG
ostiral	o AL s̺ AI t AC i AK ɾ BC a AK l AE
otsail	o AL t AC s̺ AI a AK ʎ AE
otso	o AL t AC s̺ AI o AL
oxigeno	o AL k AC s̺ AI i AK x AI e AK n AG o AL
ozpin	o AL s̻ AI p AH i AK ɲ AG
oztin	o AL s̻ AI t AC i AK ɲ AG
oñati	o AL ɲ AG a AK t AC i AK
p	p AH e AK
pago	p AH a AK ɡ AC o AL
pandemia	p AH a AK n AG d AC e AK m AF j AB a AK
patata	p AH a AK t AC a AK t AC a AK
patxaran	p AH a AK t AC ʃ AI a AK ɾ BC a AK n AG
pauso	p AH a AK u AL s̺ AI o AL
pe	p AH e AK
penintsula	p AH e AK n AG i AK n AG t AC s̺ AI u AL l AE a AK
pintxo	p AH i AK n AG t AC ʃ AI o AL
piraña	p AH i AK ɾ BC a AK ɲ AG a AK
piztu	p AH i AK s̻ AI t AC u AL
poeta	p AH o AL e AK t AC a AK
polen	p AH o AL l AE e AK n AG
polit	p AH o AL l AE i AK t AC
politikari	p AH o AL l AE i AK t AC i AK k AC a AK ɾ BC i AK
polje	p AH o AL ʎ AE e AK
polonia	p AH o AL l AE o AL n AG j AB a AK
polonian	p AH o AL l AE o AL n AG j AB a AK n AG
poloniera	p AH o AL l AE o AL n AG j AB e AK ɾ BC a AK
portugalera	p AH o AL r AM t AC u AL ɡ AC a AK l AE e AK ɾ BC a AK
portuges	p AH o AL r AM t AC u AL ɡ AC e AK s̺ AI
potasio	p AH o AL t AC a AK s̺ AI j AB o AL
pozoi	p AH o AL s̻ AI o AL i AK
pozoidun	p AH o AL s̻ AI o AL i AK d AC u AL n AG
pozoidura	p AH o AL s̻ AI o AL i AK d AC u AL ɾ BC a AK
pozoitasun	p AH o AL s̻ AI o AL i AK t AC a AK s̺ AI u AL n AG
pozoitsu	p AH o AL s̻ AI o AL i AK t AC s̺ AI u AL
pozoitu	p AH o AL s̻ AI o AL i AK t AC u AL
q	k AC u AL
r	e AK r AM e AK
rabbi	r AM a AK b AH i AK
s	e AK s̺ AI e AK
sagar	s̺ AI a AK ɡ AC a AK r AM
sagardo	s̺ AI a AK ɡ AC a AK r AM d AC o AL
sagarrondo	s̺ AI a AK ɡ AC a AK r AM o AL n AG d AC o AL
saguzar	s̺ AI a AK ɡ AC u AL s̻ AI a AK r AM
saldu	s̺ AI a AK l AE d AC u AL
sartalde	s̺ AI a AK r AM t AC a AK l AE d AC e AK
sartu	s̺ AI a AK r AM t AC u AL
satan	s̺ AI a AK t AC a AK n AG
sator	s̺ AI a AK t AC o AL r AM
sei	s̺ AI e AK i AK
seigarren	s̺ AI e AK i AK ɡ AC a AK r AM e AK n AG
seikoitz	s̺ AI e AK i AK k AC o AL i AK t AC s̻ AI
sein	s̺ AI e AK i̯ AB ɲ AG
seiren	s̺ AI e AK i AK ɾ BC e AK n AG
sekretu	s̺ AI e AK k AC r AM e AK t AC u AL
seme	s̺ AI e AK m AF e AK
serbia	s̺ AI e AK r AM b AH j AB a AK
serbiera	s̺ AI e AK r AM b AH j AB e AK ɾ BC a AK
serbokroaziera	s̺ AI e AK r AM b AH o AL k AC r AM o AL a AK s̻ AI j AB e AK ɾ BC a AK
setemere	s AI e AK t AC e AK m AF e AK ɾ BC e AK
siziliera	s̺ AI i AK s̻ AI i AK l AE j AB e AK ɾ BC a AK
soin	s̺ AI o AL ɲ AG
somaliera	s̺ AI o AL m AF a AK l AE j AB e AK ɾ BC a AK
sorgin	s̺ AI o AL r AM ɡ AC i AK ɲ AG
sortalde	s̺ AI o AL r AM t AC a AK l AE d AC e AK
suedia	s̺ AI w AJ e AK d AC j AB a AK
suediera	s̺ AI w AJ e AK d AC j AB e AK ɾ BC a AK
sufre	s̺ AI u AL f AN ɾ BC e AK
suitza	s̺ AI w AJ i AK t AC s̻ AI a AK
t	t AC e AK
taberna	t AC a AK b AH e AK r AM n AG a AK
tailandiera	t AC a AK i AK l AE a AK n AG d AC j AB e AK ɾ BC a AK
tarte	t AC a AK r AM t AC e AK
tarteka	t AC a AK r AM t AC e AK k AC a AK
tatami	t AC a AK t AC a AK m AF i AK
tauromakia	t AC a AK u AL ɾ BC o AL m AF a AK k AC j AB a AK
te	t AC e AK
telezabor	t AC e AK l AE e AK s̻ AI a AK b AH o AL r AM
tigre	t AC i AK ɡ AC r AM e AK
tigrea	t AC i AK ɡ AC r AM e AK a AK
tigreari	t AC i AK ɡ AC r AM e AK a AK ɾ BC i AK
tigrez	t AC i AK ɡ AC r AM e AK s̻ AI
tipula	t AC i AK p AH u AL l AE a AK
tobera	t AC o AL b AH e AK ɾ BC a AK
toki	t AC o AL k AC i AK
tunisia	t AC u AL n AG i AK s̺ AI j AB a AK
tunisian	t AC u AL n AG i AK s̺ AI j AB a AK n AG
turkia	t AC u AL r AM k AC i AK a AK
turkiera	t AC u AL r AM k AC i AK e AK ɾ BC a AK
txakaviera	t AC ʃ AI a AK k AC a AK b AH j AB e AK ɾ BC a AK
txakur	t AC ʃ AI a AK k AC u AL r AM
txakurkume	t AC ʃ AI a AK k AC u AL r AM k AC u AL m AF e AK
txapel	t AC ʃ AI a AK p AH e AK l AE
txekiera	t AC ʃ AI e AK k AC j AB e AK ɾ BC a AK
txerri	t AC ʃ AI e AK r AM i AK
txetnik	t AC ʃ AI e AK t AC n AG i AK k AC
tximino	t AC ʃ AI i AK m AF i AK ɲ AG o AL
txina	t AC ʃ AI i AK n AG a AK
txinera	t AC ʃ AI i AK n AG e AK ɾ BC a AK
txingurri	t AC ʃ AI i AK n AG ɡ AC u AL r AM i AK
txirrin	t AC ʃ AI i AK r AM i AK ɲ AG
txirrindu	t AC ʃ AI i AK r AM i AK n AG d AC u AL
txirrindulari	t AC ʃ AI i AK r AM i AK n AG d AC u AL l AE a AK ɾ BC i AK
txirrindularitza	t AC ʃ AI i AK r AM i AK n AG d AC u AL l AE a AK ɾ BC i AK t AC s̻ AI a AK
txori	t AC ʃ AI o AL ɾ BC i AK
u	u AL
uda	u AL d AC a AK
udaberri	u AL d AC a AK b AH e AK r AM i AK
udal	u AL d AC a AK l AE
udaletxe	u AL d AC a AK l AE e AK t AC ʃ AI e AK
udazken	u AL d AC a AK s̻ AI k AC e AK n AG
ugaztun	u AL ɡ AC a AK s̻ AI t AC u AL n AG
uharte	u AL ɦ AA a AK r AM t AC e AK
uhartedi	u AL h AA a AK r AM t AC e AK d AC i AK
uhartegi	u AL h AA a AK r AM t AC e AK ɡ AC i AK
ukondo	u AL k AC o AL n AG d AC o AL
ukraina	u AL k AC r AM a AK i AK n AG a AK
ukrainan	u AL k AC r AM a AK i AK n AG a AK n AG
ukrainera	u AL k AC r AM a AK i AK n AG e AK ɾ BC a AK
ulertu	u AL l AE e AK r AM t AC u AL
unai	u AL n AG a AK i AK
untxi	u AL n AG t AC ʃ AI i AK
ur	u AL r AM
urde	u AL r AM d AC e AK
urdin	u AL r AM d AC i AK ɲ AG
urre	u AL r AM e AK
urri	u AL r AM i AK
urrieta	u AL r AM i AK e AK t AC a AK
urril	u AL r AM i AK ʎ AE
urtaro	u AL r AM t AC a AK ɾ BC o AL
urtarril	u AL r AM t AC a AK r AM i AK ʎ AE
urte	u AL r AM t AC e AK
urthe	u AL r AM tʰ AD e AK
urtxintxa	u AL r AM t AC ʃ AI i AK n AG t AC ʃ AI a AK
usategi	u AL s̺ AI a AK t AC e AK ɡ AC i AK
uso	u AL s̺ AI o AL
usteldu	u AL s̺ AI t AC e AK l AE d AC u AL
utz	u AL t AC s̪ AI
utzi	u AL t AC s̻ AI i AK
uve	u AL b AH e AK
uzbekera	u AL s̻ AI b AH e AK k AC e AK ɾ BC a AK
uzta	u AL s̻ AI t AC a AK
uztail	u AL s̻ AI t AC a AK ʎ AE
uñhu	u AL ɲ AG ɦ AA ũ
v	u AL b AH e AK
vietnamera	b AH j AB e AK t AC n AG a AK m AF e AK ɾ BC a AK
x	i AK ʃ AI a AK
xabier	ʃ AI a AK β AN j AB e AK r AM
xaboi	ʃ AI a AK b AH o AL i AK
xake	ʃ AI a AK k AC e AK
xakelari	ʃ AI a AK k AC e AK l AE a AK ɾ BC i AK
xanpu	ʃ AI a AK m AF p AH u AL
xurgagailu	ʃ AI u AL r AM ɡ AC a AK ɡ AC a AK ʎ AE u AL
yarda	ʎ AE a AK r AM d AC a AK
z	s̻ AI e AK t AC a AK
zabiltza	s̪ AI a AK b AH i AK l AE t AC s̪ AI a AK
zabiltzate	s̪ AI a AK b AH i AK l AE t AC s̪ AI a AK t AC e AK
zabilzke	s̪ AI a AK b AH i AK l AE s̪ AI k AC e AK
zabilzkete	s̪ AI a AK b AH i AK l AE s̪ AI k AC e AK t AC e AK
zahar	s̻ AI a AK ɦ AA a AK r AM
zahi	s̻ AI a AK ɦ AA i AK
zaitez	s̪ AI a AK j AB t AC e AK s̪ AI
zaitezke	s̪ AI a AK j AB t AC e AK s̪ AI k AC e AK
zaitezkete	s̪ AI a AK j AB t AC e AK s̪ AI k AC e AK t AC e AK
zaitezte	s̪ AI a AK j AB t AC e AK s̪ AI t AC e AK
zaldi	s̻ AI a AK l AE d AC i AK
zamari	s̻ AI a AK m AF a AK ɾ BC i AK
zapaburu	s̻ AI a AK p AH a AK b AH u AL ɾ BC u AL
zapatu	s̻ AI a AK p AH a AK t AC u AL
zara	s̪ AI a AK ɾ BC a AK
zarautz	s̻ AI a AK ɾ BC a AK u AL t AC s̻ AI
zarete	s̪ AI a AK ɾ BC e AK t AC e AK
zatoz	s̪ AI a AK t AC o AL s̪ AI
zatozke	s̪ AI a AK t AC o AL s̪ AI k AC e AK
zatozkete	s̪ AI a AK t AC o AL s̪ AI k AC e AK t AC e AK
zatozte	s̪ AI a AK t AC o AL s̪ AI t AC e AK
zatxezkidate	s̪ AI a AK t AC ʃ AI e AK s̪ AI k AC i AK d AC a AK t AC e AK
zatxezkie	s̪ AI a AK t AC ʃ AI e AK s̪ AI k AC i AK e AK
zatxezkiete	s̪ AI a AK t AC ʃ AI e AK s̪ AI k AC i AK e AK t AC e AK
zatxezkigu	s̪ AI a AK t AC ʃ AI e AK s̪ AI k AC i AK ɡ AC u AL
zatxezkigute	s̪ AI a AK t AC ʃ AI e AK s̪ AI k AC i AK ɡ AC u AL t AC e AK
zatxezkio	s̪ AI a AK t AC ʃ AI e AK s̪ AI k AC i AK o AL
zatxezkiote	s̪ AI a AK t AC ʃ AI e AK s̪ AI k AC i AK o AL t AC e AK
zatxezkit	s̪ AI a AK t AC ʃ AI e AK s̪ AI k AC i AK t AC
zaude	s̪ AI a AK w AJ d AC e AK
zaudeke	s̪ AI a AK w AJ d AC e AK k AC e AK
zaudekete	s̪ AI a AK w AJ d AC e AK k AC e AK t AC e AK
zaudete	s̪ AI a AK w AJ d AC e AK t AC e AK
zauri	s̻ AI a AK u AL ɾ BC i AK
zautza	s̪ AI a AK w AJ t AC s̪ AI a AK
zautzate	s̪ AI a AK w AJ t AC s̪ AI a AK t AC e AK
zazpi	s̻ AI a AK s̻ AI p AH i AK
zazpigarren	s̻ AI a AK s̻ AI p AH i AK ɡ AC a AK r AM e AK n AG
zazpikoitz	s̻ AI a AK s̻ AI p AH i AK k AC o AL i AK t AC s̻ AI
zazpiren	s̻ AI a AK s̻ AI p AH i AK ɾ BC e AK n AG
ze	s̻ AI e AK
zebilen	s̪ AI e AK b AH i AK ʎ AE e AK n AG
zebilkeen	s̪ AI e AK b AH i AK l AE k AC e AK e AK n AG
zebiltzan	s̪ AI e AK b AH i AK l AE t AC s̪ AI a AK n AG
zebilzkeen	s̪ AI e AK b AH i AK l AE s̪ AI k AC e AK e AK n AG
zedin	s̪ AI e AK d AC i AK ɲ AG
zegoen	s̪ AI e AK ɡ AC o AL e AK n AG
zegokeen	s̪ AI e AK ɡ AC o AL k AC e AK e AK n AG
zein	s̪ AI e AK ɲ AG
zekien	s̪ AI e AK k AC i AK e AK n AG
zekion	s̪ AI e AK k AC i AK o AL n AG
zekizkien	s̪ AI e AK k AC i AK s̪ AI k AC i AK e AK n AG
zekizkion	s̪ AI e AK k AC i AK s̪ AI k AC i AK o AL n AG
zemendi	s̻ AI e AK m AF e AK n AG d AC i AK
zen	s̪ AI e AK n AG
zenbaki	s̻ AI e AK n AG b AH a AK k AC i AK
zenbiltzan	s̪ AI e AK n AG b AH i AK l AE t AC s̪ AI a AK n AG
zenbiltzaten	s̪ AI e AK n AG b AH i AK l AE t AC s̪ AI a AK t AC e AK n AG
zenbilzke	s̪ AI e AK n AG b AH i AK l AE s̪ AI k AC e AK
zenbilzkeen	s̪ AI e AK n AG b AH i AK l AE s̪ AI k AC e AK e AK n AG
zenbilzkete	s̪ AI e AK n AG b AH i AK l AE s̪ AI k AC e AK t AC e AK
zenbilzketen	s̪ AI e AK n AG b AH i AK l AE s̪ AI k AC e AK t AC e AK n AG
zenkizkien	s̪ AI e AK n AG k AC i AK s̪ AI k AC i AK e AK n AG
zenkizkieten	s̪ AI e AK n AG k AC i AK s̪ AI k AC i AK e AK t AC e AK n AG
zenkizkion	s̪ AI e AK n AG k AC i AK s̪ AI k AC i AK o AL n AG
zenkizkioten	s̪ AI e AK n AG k AC i AK s̪ AI k AC i AK o AL t AC e AK n AG
zentozen	s̪ AI e AK n AG t AC o AL s̪ AI e AK n AG
