'n	ə AL n AG
knochen	k AC n AG ɔ AN χ AJ n AG
knochenarbeit	k AC n AG ɔ AN x AJ n̩ BH ʔ AK a AL ʁ AJ b AH a AL ɪ̯ AB t AC
knochenbildung	k AC n AG ɔ AN x AJ n̩ BH b AH ɪ AL l AE d AC ʊ AN ŋ AG
knochendürr	k AC n AG ɔ AN χ AJ n̩ BH d AC ʏ AN ʁ AJ
knochengerüst	k AC n AG ɔ AN x AJ n̩ BH ɡ AC ə AL ʁ AJ ʏ AN s AJ t AC
knochenhand	k AC n AG ɔ AN χ AJ n AG h AA a AL n AG t AC
knochenkrebs	k AC n AG ɔ AN x AJ n̩ BH k AC ʁ AJ eː AM p AH s AJ
knochenmark	k AC n AG ɔ AN x AJ n̩ BH m AF a AL ʁ AJ k AC
knochentrocken	k AC n AG ɔ AN χ AJ ŋ AG t AC ʀ BB ɔ AN k AC ŋ AG
knochig	k AC n AG ɔ AN x AJ ɪ AL ç
knofi	k AC n AG oː BA v BC i AL
knolle	k AC n AG ɔ AN l AE ə AL
knollig	k AC n AG ɔ AN l AE ɪ AL ç
knopf	k AC n AG ɔ AN p AH f BC
knopfdruck	k AC n AG ɔ AN p AH f BC d AC ʁ AJ ʊ AN k AC
knopfloch	k AC n AG ɔ AN p AH f BC l AE ɔ AN x AJ
knopp	k AC n AG ɔ AN p AH
knorpel	k AC n AG ɔ AN ʁ AJ p AH l̩ BI
knospe	k AC n AG ɔ AN s AJ p AH ə AL
knospen	k AC n AG ɔ AN s AJ p AH n̩ BH
knospend	k AC n AG ɔ AN s AJ p AH ə AL n AG t AC
knoten	k AC n AG oː BA t AC ə AL n AG
knotenschrift	k AC n AG oː BA t AC n̩ BH ʃ AJ ʁ AJ ɪ AL f BC t AC
knubbel	k AC n AG ʊ AN b AH ə AL l AE
knuddelig	k AC n AG ʊ AN d AC ə AL l AE ɪ AL ç
knuddeln	k AC n AG ʊ AN d AC ə AL l AE n AG
knuffen	k AC n AG ʊ AN f BC ə AL n AG
knuffig	k AC n AG ʊ AN f BC ɪ AL ç
knurren	k AC n AG ʊ AN ʁ AJ ə AL n AG
knurrhahn	k AC n AG ʊ AN ʁ AJ h AA aː AM n AG
knuspern	k AC n AG ʊ AN s AJ p AH ɐ AN n AG
knusprig	k AC n AG ʊ AN s AJ p AH ʁ AJ ɪ AL ç
knust	k AC n AG uː BA s AJ t AC
knute	k AC n AG uː BA t AC ə AL
knutschen	k AC n AG uː BA t AC ʃ AJ ə AL n AG
knutschfleck	k AC n AG uː BA t AC ʃ AJ f BC l AE ɛ AL k AC
knutschflecke	k AC n AG uː BA t AC ʃ AJ f BC l AE ɛ AL k AC ə AL
knutschfleckes	k AC n AG uː BA t AC ʃ AJ f BC l AE ɛ AL k AC ə AL s AJ
knutschflecks	k AC n AG uː BA t AC ʃ AJ f BC l AE ɛ AL k AC s AJ
knäblich	k AC n AG ɛː AM p AH l AE ɪ AL ç
knäckebrot	k AC n AG ɛ AL k AC ə AL b AH ʁ AJ oː BA t AC
knäste	k AC n AG ɛ AL s AJ t AC ə AL
knäuel	k AC n AG ɔ AN ʏ̯ ə AL l AE
knöchel	k AC n AG œ AN ç l̩ BI
knöchelfrei	k AC n AG œ AN ç l̩ BI f BC ʀ BB a AL ɪ̯ AB
knöcheltief	k AC n AG œ AN ç l̩ BI t AC iː AM f BC
knöchern	k AC n AG œ AN ç ɐ AN n AG
knödel	k AC n AG øː BA d AC ə AL l AE
knöllchen	k AC n AG œ AN l AE ç ə AL n AG
knüddeln	k AC n AG ʏ AN d AC ə AL l AE n AG
knülle	k AC n AG ʏ AN l AE ə AL
knüpfen	k AC n AG ʏ AN p AH f BC ə AL n AG
knüppel	k AC n AG ʏ AN p AH ə AL l AE
knüppeldamm	k AC n AG ʏ AN p AH l̩ BI d AC a AL m AF
knüppeln	k AC n AG ʏ AN p AH ə AL l AE n AG
knüttel	k AC n AG ʏ AN t AC l̩ BI
kobalt	k AC oː BA b AH a AL l AE t AC
kobel	k AC oː BA b AH l̩ BI
koben	k AC oː BA b AH ə AL n AG
koblenz	k AC oː BA b AH l AE ɛ AL n AG t AC s AJ
koblenzisch	k AC oː BA b AH l AE ɛ AL n AG t AC s AJ ɪ AL ʃ AJ
kobold	k AC oː BA b AH ɔ AN l AE t AC
koch	k AC ɔ AN χ AJ
kochen	k AC ɔ AN χ AJ ə AL n AG
kocherei	k AC ɔ AN x AJ ə AL ʁ AJ a AL ɪ̯ AB
kochmesser	k AC ɔ AN χ AJ m AF ɛ AL s AJ ɐ AN
kochnische	k AC ɔ AN χ AJ n AG iː AM ʃ AJ ə AL
kochrezept	k AC ɔ AN χ AJ ʀ BB e AL t AC s AJ ɛ AL p AH t AC
kochsalz	k AC ɔ AN χ AJ z AJ a AL l AE t AC s AJ
kochsalzhaltig	k AC ɔ AN χ AJ z AJ a AL l AE t AC s AJ h AA a AL l AE t AC ɪ AL ç
kocht	k AC ɔ AN χ AJ t AC
kochte	k AC ɔ AN χ AJ t AC ə AL
kochten	k AC ɔ AN x AJ t AC ə AL n AG
kodex	k AC oː BA d AC ɛ AL k AC s AJ
kodizes	k AC oː BA d AC i AL t AC s AJ eː AM s AJ
koedukativ	k AC oː BA ʔ AK e AL d AC u AN k AC a AL t AC i AL f BC
koffein	k AC ɔ AN f BC e AL iː AM n AG
koffeinhaltig	k AC ɔ AN f BC e AL iː AM n AG h AA a AL l AE t AC ɪ AL ç
koffer	k AC ɔ AN f BC ɐ AN
kofferwort	k AC ɔ AN f BC ɐ AN v BC ɔ AN ʁ AJ t AC
kogel	k AC oː BA ɡ AC ə AL l AE
kognak	k AC ɔ AN n AG j AB a AL k AC
kognitiv	k AC ɔ AN ɡ AC n AG i AL t AC iː AM f BC
kohl	k AC oː BA l AE
kohldampf	k AC oː BA l AE d AC a AL m AF p AH f BC
kohle	k AC oː BA l AE ə AL
kohleabbau	k AC oː BA l AE ə AL a AL p AH b AH a AL ʊ̯ BF
kohlebergwerk	k AC oː BA l AE ə AL b AH ɛ AL ɐ̯ k AC v BC ɛ AL ɐ̯ k AC
kohlehaltig	k AC oː BA l AE ə AL h AA a AL l AE t AC ɪ AL ç
kohlen	k AC oː BA l AE ə AL n AG
kohlendioxid	k AC oː BA l AE ə AL n AG d AC iː AM ɔ AN k AC s AJ iː AM t AC
kohlenhydrat	k AC oː BA l AE ə AL n AG h AA y AN d AC ʁ AJ aː AM t AC
kohlenhydratreich	k AC oː BA l AE ə AL n AG h AA y AN d AC ʁ AJ aː AM t AC ʁ AJ a AL ɪ̯ AB ç
kohlenstoff	k AC oː BA l AE ə AL n AG ʃ AJ t AC ɔ AN f BC
kohlenstoffdioxid	k AC oː BA l AE ə AL n AG ʃ AJ t AC ɔ AN f BC d AC iː AM ɔ AN k AC s AJ iː AM t AC
kohlenstoffhaltig	k AC oː BA l AE ə AL n AG ʃ AJ t AC ɔ AN f BC h AA a AL l AE t AC ɪ AL ç
kohlensäure	k AC oː BA l AE ə AL n AG z AJ ɔ AN ʏ̯ ʁ AJ ə AL
kohlensäurehaltig	k AC oː BA l AE ə AL n AG z AJ ɔ AN ɪ̯ AB ʀ BB ə AL h AA a AL l AE t AC ɪ AL ç
kohlenwasserstoff	k AC oː BA l AE ə AL n AG v BC a AL s AJ ɐ AN ʃ AJ t AC ɔ AN f BC
kohlmeise	k AC oː BA l AE m AF a AL ɪ AL z AJ ə AL
kohlpechrabenschwarz	k AC oː BA l AE p AH ɛ AL ç ʀ BB aː AM b AH n̩ BH ʃ AJ v BC a AL ʁ AJ t AC s AJ
kohlrabenschwarz	k AC oː BA l AE ʀ BB aː AM b AH n̩ BH ʃ AJ v BC a AL ʁ AJ t AC s AJ
kohlrabi	k AC oː BA l AE ʁ AJ aː AM b AH i AL
kohlrabis	k AC oː BA l AE ʀ BB aː AM b AH iː AM s AJ
kohlschwarz	k AC oː BA l AE ʃ AJ v BC a AL ʁ AJ t AC s AJ
kohlsuppe	k AC oː BA l AE z AJ ʊ AN p AH ə AL
kohyponym	k AC oː BA h AA y AN p AH o AN n AG yː BA m AF
kohärent	k AC o AN h AA ɛ AL ʁ AJ ɛ AL n AG t AC
koje	k AC oː BA j AB ə AL
kojote	k AC o AN j AB oː BA t AC ə AL
kokainsüchtig	k AC o AN k AC a AL iː AM n AG z AJ ʏ AN ç t AC ɪ AL ç
kokett	k AC o AN k AC ɛ AL t AC
kokolores	k AC o AN k AC o AN l AE oː BA ʁ AJ ə AL s AJ
kokon	k AC o AN k AC oː BA n AG
kokos	ɔ AN
kokospalme	k AC oː BA k AC ɔ AN s AJ p AH a AL l AE m AF ə AL
koks	k AC oː BA k AC s AJ
koksnase	k AC oː BA k AC s AJ n AG aː AM z AJ ə AL
kolatsche	k AC o AN l AE aː AM t AC ʃ AJ ə AL
kolben	k AC ɔ AN l AE b AH ə AL n AG
kolchos	k AC ɔ AN l AE ç ɔ AN s AJ
kolibri	k AC oː BA l AE i AL b AH ʁ AJ i AL
kolk	k AC ɔ AN l AE k AC
kolkrabe	k AC ɔ AN l AE k AC ʀ BB aː AM b AH ə AL
kollaborateur	k AC ɔ AN l AE a AL b AH o AN ʁ AJ a AL t AC øː BA ɐ̯
kollaboration	k AC ɔ AN l AE a AL b AH o AN ʁ AJ a AL t AC s AJ j AB oː BA n AG
kollateral	k AC ɔ AN l AE a AL t AC ə AL ʀ BB aː AM l AE
kollektiv	k AC ɔ AN l AE ɛ AL k AC t AC iː AM f BC
kollektivbildung	k AC ɔ AN l AE ɛ AL k AC t AC iː AM f BC b AH ɪ AL l AE d AC ʊ AN ŋ AG
kollektive	k AC ɔ AN l AE ɛ AL k AC t AC iː AM v BC ə AL
kollektiven	k AC ɔ AN l AE ɛ AL k AC t AC iː AM v BC ə AL n AG
kollektiver	k AC ɔ AN l AE ɛ AL k AC t AC iː AM v BC ɐ AN
kollektivschuld	k AC ɔ AN l AE ɛ AL k AC t AC iː AM f BC ʃ AJ ʊ AN l AE t AC
kollektivum	k AC ɔ AN l AE ɛ AL k AC t AC iː AM v BC ʊ AN m AF
koller	k AC ɔ AN l AE ɐ AN
kolonie	k AC o AN l AE o AN n AG iː AM
kolonne	k AC o AN l AE ɔ AN n AG ə AL
kolossal	k AC o AN l AE ɔ AN s AJ aː AM l AE
kolportieren	k AC ɔ AN l AE p AH ɔ AN ʁ AJ t AC iː AM ʁ AJ ə AL n AG
kolumbien	k AC o AN l AE ʊ AN m AF b AH i AL ə AL n AG
kolumne	k AC o AN l AE ʊ AN m AF n AG ə AL
kolumnist	k AC o AN l AE ʊ AN m AF n AG ɪ AL s AJ t AC
kolumnistin	k AC o AN l AE ʊ AN m AF n AG ɪ AL s AJ t AC ɪ AL n AG
komasaufen	k AC oː BA m AF a AL z AJ a AL ʊ̯ BF f BC n̩ BH
komatös	k AC o AN m AF a AL t AC øː BA s AJ
kombinierbar	k AC ɔ AN m AF b AH i AL n AG iː AM ɐ̯ b AH aː AM ɐ̯
kombüse	k AC ɔ AN m AF b AH yː BA z AJ ə AL
kometenhaft	k AC o AN m AF eː AM t AC n̩ BH h AA a AL f BC t AC
komfort	k AC ɔ AN m AF f BC oː BA r BB
komfortabel	k AC ɔ AN m AF f BC ɔ AN ʁ AJ t AC aː AM b AH ə AL l AE
komiker	k AC oː BA m AF i AL k AC ɐ AN
komikerin	k AC oː BA m AF ɪ AL k AC ə AL ʁ AJ ɪ AL n AG
komikerinnen	k AC oː BA m AF ɪ AL k AC ə AL ʁ AJ ɪ AL n AG ə AL n AG
komisch	k AC oː BA m AF ɪ AL ʃ AJ
komischerweise	k AC oː BA m AF ɪ AL ʃ AJ ɐ AN v BC a AL ɪ̯ AB z AJ ə AL
komitee	k AC o AN m AF i AL t AC eː AM
komm	k AC ɔ AN m AF
komma	k AC ɔ AN m AF a AL
kommandieren	k AC ɔ AN m AF a AL n AG d AC iː AM r BB ə AL n AG
kommen	k AC ɔ AN m AF ə AL n AG
kommentar	k AC ɔ AN m AF ɛ AL n AG t AC aː AM ɐ̯
kommentarlos	k AC ɔ AN m AF ɛ AL n AG t AC aː AM ɐ̯ l AE oː BA s AJ
kommissar	k AC ɔ AN m AF ɪ AL s AJ aː AM ɐ̯
kommissarisch	k AC ɔ AN m AF ɪ AL s AJ aː AM ʀ BB ɪ AL ʃ AJ
kommissbrot	k AC ɔ AN m AF ɪ AL s AJ b AH ʁ AJ oː BA t AC
kommissiv	k AC ɔ AN m AF ɪ AL s AJ iː AM f BC
kommod	k AC ɔ AN m AF oː BA t AC
kommode	k AC ɔ AN m AF oː BA d AC ə AL
kommt	k AC ɔ AN m AF t AC
kommunalrecht	k AC ɔ AN m AF u AN n AG aː AM l AE ʁ AJ ɛ AL ç t AC
kommunion	k AC ɔ AN m AF ʊ AN n AG j AB oː BA n AG
kommunismus	k AC ɔ AN m AF u AN n AG ɪ AL s AJ m AF ʊ AN s AJ
kommunist	k AC ɔ AN m AF u AN n AG ɪ AL s AJ t AC
kommunistenfresser	k AC ɔ AN m AF u AN n AG ɪ AL s AJ t AC ə AL n AG f BC ʁ AJ ɛ AL s AJ ɐ AN
kommunistenfressern	k AC ɔ AN m AF u AN n AG ɪ AL s AJ t AC n̩ BH f BC ʁ AJ ɛ AL s AJ ɐ AN n AG
kommunistenfressers	k AC ɔ AN m AF u AN n AG ɪ AL s AJ t AC n̩ BH f BC ʁ AJ ɛ AL s AJ ɐ AN s AJ
kommunistin	k AC ɔ AN m AF u AN n AG ɪ AL s AJ t AC ɪ AL n AG
kommunistisch	k AC ɔ AN m AF u AN n AG ɪ AL s AJ t AC ɪ AL ʃ AJ
komorbid	k AC o AN m AF ɔ AN ʁ AJ b AH iː AM t AC
komorisch	k AC o AN m AF oː BA ʁ AJ ɪ AL ʃ AJ
komparativ	k AC ɔ AN m AF p AH a AL ʁ AJ a AL t AC iː AM f BC
kompass	k AC ɔ AN m AF p AH a AL s AJ
kompatibilistisch	k AC ɔ AN m AF p AH a AL t AC i AL b AH i AL l AE ɪ AL s AJ t AC ɪ AL ʃ AJ
kompatibilität	k AC ɔ AN m AF p AH a AL t AC i AL b AH i AL l AE i AL t AC ɛː AM t AC
kompensieren	k AC ɔ AN m AF p AH ɛ AL n AG z AJ iː AM ʀ BB ə AL n AG
kompetenz	k AC ɔ AN m AF p AH ə AL t AC ɛ AL n AG t AC s AJ
kompetitiv	k AC ɔ AN m AF p AH e AL t AC i AL t AC iː AM f BC
kompilieren	k AC ɔ AN m AF p AH i AL l AE iː AM ʁ AJ ə AL n AG
komplektisch	k AC ɔ AN m AF p AH l AE ɛ AL k AC t AC ɪ AL ʃ AJ
komplementär	k AC ɔ AN m AF p AH l AE e AL m AF ɛ AL n AG t AC ɛː AM ɐ̯
komplett	k AC ɔ AN m AF p AH l AE ɛ AL t AC
komplex	k AC ɔ AN m AF p AH l AE ɛ AL k AC s AJ
komplexität	k AC ɔ AN m AF p AH l AE ɛ AL k AC s AJ i AL t AC ɛː AM t AC
komplizenschaft	k AC ɔ AN m AF p AH l AE iː AM t AC s AJ n̩ BH ʃ AJ a AL f BC t AC
komplizieren	k AC ɔ AN m AF p AH l AE i AL t AC s AJ iː AM ʁ AJ ə AL n AG
komplott	k AC ɔ AN m AF p AH l AE ɔ AN t AC
komponist	k AC ɔ AN m AF p AH o AN n AG ɪ AL s AJ t AC
komponistin	k AC ɔ AN m AF p AH o AN n AG ɪ AL s AJ t AC ɪ AL n AG
kompositorisch	k AC ɔ AN m AF p AH o AN z AJ i AL t AC oː BA ʀ BB ɪ AL ʃ AJ
kompost	k AC ɔ AN m AF p AH ɔ AN s AJ t AC
kompott	k AC ɔ AN m AF p AH ɔ AN t AC
kompromissbereit	k AC ɔ AN m AF p AH ʀ BB o AN m AF ɪ AL s AJ b AH ə AL ʀ BB a AL ɪ̯ AB t AC
kompulsiv	k AC ɔ AN m AF p AH ʊ AN l AE z AJ iː AM f BC
konativ	k AC o AN n AG a AL t AC iː AM f BC
kondensieren	k AC ɔ AN n AG d AC ɛ AL n AG z AJ iː AM ʁ AJ ə AL n AG
kondensmilch	k AC ɔ AN n AG d AC ɛ AL n AG s AJ m AF ɪ AL l AE ç
kondensstreifen	k AC ɔ AN n AG d AC ɛ AL n AG s AJ ʃ AJ t AC ʁ AJ a AL ɪ̯ AB f BC n̩ BH
kondolenz	k AC ɔ AN n AG d AC o AN l AE ɛ AL n AG t AC s AJ
kondolieren	k AC ɔ AN n AG d AC o AN l AE iː AM ʁ AJ ə AL n AG
kone	k AC oː BA n AG ə AL
konferenz	k AC ɔ AN n AG f BC e AL ʁ AJ ɛ AL n AG t AC s AJ
konferenzzimmer	k AC ɔ AN n AG f BC e AL ʁ AJ ɛ AL n AG t AC s AJ t AC s AJ ɪ AL m AF ɐ AN
konfetti	k AC ɔ AN n AG f BC ɛ AL t AC i AL
konfigurieren	k AC ɔ AN n AG f BC i AL ɡ AC u AN ʁ AJ iː AM ʁ AJ ə AL n AG
konfirmatorisch	k AC ɔ AN n AG f BC ɪ AL ʁ AJ m AF a AL t AC oː BA ʀ BB ɪ AL ʃ AJ
konflikt	k AC ɔ AN n AG f BC l AE ɪ AL k AC t AC
konfliktträchtig	k AC ɔ AN n AG f BC l AE ɪ AL k AC t AC t AC ʁ AJ ɛ AL ç t AC ɪ AL ç
konfliktär	k AC ɔ AN n AG f BC l AE ɪ AL k AC t AC ɛː AM ɐ̯
konfluent	k AC ɔ AN n AG f BC l AE u AN ɛ AL n AG t AC
konformität	k AC ɔ AN n AG f BC ɔ AN ʁ AJ m AF i AL t AC ɛː AM t AC
konfrontativ	k AC ɔ AN n AG f BC ʀ BB ɔ AN n AG t AC a AL t AC iː AM f BC
kongenital	k AC ɔ AN n AG ɡ AC e AL n AG i AL t AC aː AM l AE
kongo	k AC ɔ AN ŋ AG ɡ AC o AN
kongolese	k AC ɔ AN ŋ AG ɡ AC o AN l AE eː AM z AJ ə AL
kongruent	k AC ɔ AN ŋ AG ɡ AC ʀ BB u AN ɛ AL n AG t AC
kongruenz	k AC ɔ AN ŋ AG ɡ AC ʁ AJ u AN ɛ AL n AG t AC s AJ
konifere	k AC ɔ AN n AG i AL f BC eː AM ʁ AJ ə AL
konisch	k AC oː BA n AG ɪ AL ʃ AJ
konjugal	k AC ɔ AN n AG j AB u AN ɡ AC aː AM l AE
konjunktivitis	k AC ɔ AN n AG j AB ʊ AN ŋ AG k AC t AC i AL v BC iː AM t AC ɪ AL s AJ
konklave	k AC ɔ AN ŋ AG k AC l AE aː AM v BC ə AL
konklaven	k AC ɔ AN ŋ AG k AC l AE aː AM v BC n̩ BH
konkludent	k AC ɔ AN n AG k AC l AE u AN d AC ɛ AL n AG t AC
konkomitant	k AC ɔ AN n AG k AC o AN m AF i AL t AC a AL n AG t AC
konkordant	k AC ɔ AN n AG k AC ɔ AN ʁ AJ d AC a AL n AG t AC
konkretistisch	k AC ɔ AN ŋ AG k AC ʀ BB e AL t AC ɪ AL s AJ t AC ɪ AL ʃ AJ
konkurrenz	k AC ɔ AN n AG k AC ʊ AN ʁ AJ ɛ AL n AG t AC s AJ
konkurrenzfähig	k AC ɔ AN ŋ AG k AC ʊ AN ʀ BB ɛ AL n AG t AC s AJ f BC ɛː AM ɪ AL ç
konkurrenzlos	k AC ɔ AN ŋ AG k AC ʊ AN ʁ AJ ɛ AL n AG t AC s AJ l AE oː BA s AJ
konkurrieren	k AC ɔ AN ŋ AG k AC ʊ AN ʁ AJ iː AM ʁ AJ ə AL n AG
konkursreif	k AC ɔ AN n AG k AC ʊ AN ʁ AJ s AJ ʀ BB a AL ɪ̯ AB f BC
konnatal	k AC ɔ AN n AG a AL t AC aː AM l AE
konnotieren	k AC ɔ AN n AG o AN t AC iː AM ʁ AJ ə AL n AG
konnte	k AC ɔ AN n AG t AC ə AL
konnten	k AC ɔ AN n AG t AC ə AL n AG
konntest	k AC ɔ AN n AG t AC ə AL s AJ t AC
konntet	k AC ɔ AN n AG t AC ə AL t AC
konphas	k AC ɔ AN n AG f BC aː AM s AJ
konsanguin	k AC ɔ AN n AG z AJ a AL ŋ AG ɡ AC u̯ BF iː AM n AG
konsekutiv	k AC ɔ AN n AG z AJ e AL k AC u AN t AC iː AM f BC
konsens	k AC ɔ AN n AG z AJ ɛ AL n AG s AJ
konsensual	k AC ɔ AN n AG z AJ ɛ AL n AG z AJ u̯ BF aː AM l AE
konsensuell	k AC ɔ AN n AG z AJ ɛ AL n AG z AJ u̯ BF ɛ AL l AE
konsequenz	k AC ɔ AN n AG z AJ e AL k AC v BC ɛ AL n AG t AC s AJ
konservator	k AC ɔ AN n AG z AJ ɛ AL ʁ AJ v BC aː AM t AC oː BA ɐ̯
konservendose	k AC ɔ AN n AG z AJ ɛ AL ʁ AJ v BC n̩ BH d AC oː BA z AJ ə AL
konsole	k AC ɔ AN n AG z AJ oː BA l AE ə AL
konsonantenstamm	k AC ɔ AN n AG z AJ o AN n AG a AL n AG t AC ə AL n AG ʃ AJ t AC a AL m AF
konsonantisch	k AC ɔ AN n AG z AJ o AN n AG a AL n AG t AC ɪ AL ʃ AJ
konspirationstheorie	k AC ɔ AN n AG s AJ p AH i AL ʁ AJ a AL t AC s AJ j AB oː BA n AG s AJ t AC e AL o AN ʁ AJ iː AM
konspirationstheorien	k AC ɔ AN n AG s AJ p AH i AL ʁ AJ a AL t AC s AJ i AL oː BA n AG s AJ t AC e AL o AN ʁ AJ iː AM ə AL n AG
konstant	k AC ɔ AN n AG s AJ t AC a AL n AG t AC
konstante	k AC ɔ AN n AG s AJ t AC a AL n AG t AC ə AL
konstantinopel	k AC ɔ AN n AG s AJ t AC a AL n AG t AC i AL n AG oː BA p AH l̩ BI
konstanz	k AC ɔ AN n AG ʃ AJ t AC a AL n AG t AC s AJ
konsterniert	k AC ɔ AN n AG s AJ t AC ɛ AL ʁ AJ n AG iː AM ɐ̯ t AC
konstitutiv	k AC ɔ AN n AG s AJ t AC i AL t AC u AN t AC iː AM f BC
konstruktiv	k AC ɔ AN n AG s AJ t AC ʁ AJ ʊ AN k AC t AC iː AM f BC
konsultieren	k AC ɔ AN n AG z AJ ʊ AN l AE t AC iː AM ʀ BB ə AL n AG
konsum	k AC ɔ AN n AG z AJ uː BA m AF
konsument	k AC ɔ AN n AG z AJ u AN m AF ɛ AL n AG t AC
konsumenten	k AC ɔ AN n AG z AJ u AN m AF ɛ AL n AG t AC n AG
konsumentin	k AC ɔ AN n AG z AJ u AN m AF ɛ AL n AG t AC ɪ AL n AG
konsumierbar	k AC ɔ AN n AG z AJ u AN m AF iː AM ɐ̯ b AH aː AM ɐ̯
konsumieren	k AC ɔ AN n AG z AJ u AN m AF iː AM ʁ AJ ə AL n AG
konsumterror	k AC ɔ AN n AG z AJ uː BA m AF t AC ɛ AL ʁ AJ oː BA ɐ̯
kontainer	k AC ɔ AN n AG t AC ɛː AM n AG ɐ AN
kontakt	k AC ɔ AN n AG t AC a AL k AC t AC
kontaktfreudig	k AC ɔ AN n AG t AC a AL k AC t AC f BC ʀ BB ɔ AN ɪ̯ AB d AC ɪ AL ç
kontaktieren	k AC ɔ AN n AG t AC a AL k AC t AC iː AM ʁ AJ ə AL n AG
kontaktierung	k AC ɔ AN n AG t AC a AL k AC t AC iː AM ʁ AJ ʊ AN ŋ AG
kontaktscheu	k AC ɔ AN n AG t AC a AL k AC t AC ʃ AJ ɔ AN ɪ̯ AB
kontemplativ	k AC ɔ AN n AG t AC ɛ AL m AF p AH l AE a AL t AC iː AM f BC
kontemporär	k AC ɔ AN n AG t AC ɛ AL m AF p AH o AN ʀ BB ɛː AM ɐ̯
konten	k AC ɔ AN n AG t AC ə AL n AG
konter	k AC ɔ AN n AG t AC ɐ AN
konterfei	k AC ɔ AN n AG t AC ɐ AN f BC a AL ɪ̯ AB
konterfeien	k AC ɔ AN n AG t AC ɐ AN f BC a AL ɪ̯ AB ə AL n AG
konterkarieren	k AC ɔ AN n AG t AC ə AL ʁ AJ k AC a AL ʁ AJ iː AM ʁ AJ ə AL n AG
konterrevolution	k AC ɔ AN n AG t AC ɐ AN ʁ AJ ɛ AL v BC o AN l AE u AN t AC s AJ j AB oː BA n AG
konterrevolutionär	k AC ɔ AN n AG t AC ɐ AN ʀ BB e AL v BC o AN l AE u AN t AC s AJ ɪ̯ AB o AN n AG ɛː AM ɐ̯
kontextfrei	k AC ɔ AN n AG t AC ɛ AL k AC s AJ t AC f BC ʀ BB a AL ɪ̯ AB
kontextsensitiv	k AC ɔ AN n AG t AC ɛ AL k AC s AJ t AC z AJ ɛ AL n AG z AJ i AL t AC iː AM f BC
kontinent	k AC ɔ AN n AG t AC i AL n AG ɛ AL n AG t AC
kontinente	k AC ɔ AN n AG t AC i AL n AG ɛ AL n AG t AC ə AL
kontingenz	k AC ɔ AN n AG t AC ɪ AL ŋ AG ɡ AC ɛ AL n AG t AC s AJ
kontinuität	k AC ɔ AN n AG t AC i AL n AG u AN i AL t AC ɛː AM t AC
konto	k AC ɔ AN n AG t AC o AN
kontra	k AC ɔ AN n AG t AC ʀ BB a AL
kontrabass	k AC ɔ AN n AG t AC ʁ AJ a AL b AH a AL s AJ
kontradiktorisch	k AC ɔ AN n AG t AC ʀ BB a AL d AC ɪ AL k AC t AC oː BA ʀ BB ɪ AL ʃ AJ
kontrafaktisch	k AC ɔ AN n AG t AC ʀ BB a AL f BC a AL k AC t AC ɪ AL ʃ AJ
kontrahent	k AC ɔ AN n AG t AC ʀ BB a AL h AA ɛ AL n AG t AC
kontrahieren	k AC ɔ AN n AG t AC ʁ AJ a AL h AA iː AM ʁ AJ ə AL n AG
kontraindiziert	k AC ɔ AN n AG t AC ʀ BB a AL ʔ AK ɪ AL n AG d AC i AL t AC s AJ iː AM ɐ̯ t AC
kontrakt	k AC ɔ AN n AG t AC r BB a AL k AC t AC
kontraktion	k AC ɔ AN n AG t AC ʁ AJ a AL k AC t AC s AJ j AB oː BA n AG
kontraktur	k AC ɔ AN n AG t AC ʀ BB a AL k AC t AC uː BA ɐ̯
kontraproduktiv	k AC ɔ AN n AG t AC ʁ AJ a AL p AH ʁ AJ o AN d AC ʊ AN k AC t AC iː AM f BC
kontrapunkt	k AC ɔ AN n AG t AC ʁ AJ a AL p AH ʊ AN ŋ AG k AC t AC
kontrast	k AC ɔ AN n AG t AC r BB a AL s AJ t AC
kontrastarm	k AC ɔ AN n AG t AC ʀ BB a AL s AJ t AC ʔ AK a AL ʁ AJ m AF
kontrolle	k AC ɔ AN n AG t AC ʁ AJ ɔ AN l AE ə AL
kontrolllos	k AC ɔ AN n AG t AC ʀ BB ɔ AN l AE l AE oː BA s AJ
kontrolluhr	k AC ɔ AN n AG t AC ʁ AJ ɔ AN l AE ʔ AK uː BA ɐ̯
kontrollverlust	k AC ɔ AN n AG t AC r BB ɔ AN l AE f BC ɛ AL ɐ̯ l AE ʊ AN s AJ t AC
kontrollwahn	k AC ɔ AN n AG t AC r BB ɔ AN l AE v BC aː AM n AG
kontrollzwang	k AC ɔ AN n AG t AC r BB ɔ AN l AE t AC s AJ v BC a AL ŋ AG
kontroverse	k AC ɔ AN n AG t AC ʁ AJ o AN v BC ɛ AL ʁ AJ z AJ ə AL
konträr	k AC ɔ AN n AG t AC ʁ AJ ɛː AM ɐ̯
konvergieren	k AC ɔ AN n AG v BC ɛ AL ʁ AJ ɡ AC iː AM ʁ AJ ə AL n AG
konvers	k AC ɔ AN n AG v BC ɛ AL ʁ AJ s AJ
konvertit	k AC ɔ AN n AG v BC ɛ AL ʁ AJ t AC iː AM t AC
konvikt	k AC ɔ AN n AG v BC ɪ AL k AC t AC
konvulsiv	k AC ɔ AN n AG v BC ʊ AN l AE z AJ iː AM f BC
konvulsivisch	k AC ɔ AN n AG v BC ʊ AN l AE z AJ iː AM v BC ɪ AL ʃ AJ
