က	k a̰ AG
ဗိုလ်မှူး	b o AE m̥ u AE
ဗိုလ်မှူးကြီး	b o AE m̥ u AE d ʑ i AD
ဗိုလ်မှူးချုပ်	b o AE m̥ u AE d ʑ o AE ʊ AE ʔ
ဗိုလ်လောင်း	b o AE l a AD ʊ AE ɴ
ဗို့	b o̰ AH
ဗို့အား	b o̰ AH ʔ a AD
ဗိဿနိုး	b e AD ɪ AD ʔ θ ə AD n o AE
ဗီဇ	b i AD z a̰ AG
ဗီဇာ	b i AD z a AD
ဗီတာမင်	b i AD t a AD m ɪ AD ɴ
ဗီဒီယို	b i AD d i AD j AB o AE
ဗီယက်နမ်	b i AD j AB ɛ AD ʔ n a AD ɴ
ဗီယင်ကျန်း	b i AD j AB ɪ AD ɴ t ɕ a AD ɴ
ဗီရို	b i AD j AB o AE
ဗုဒ္ဓ	b o AE ʊ AE ʔ d a̰ AG
ဗုဒ္ဓဘာသာ	b o AE ʊ AE ʔ d a̰ AG b a AD θ a AD
ဗုဒ္ဓသာသနာ	θ a AD ð ə AD n a AD
ဗုဒ္ဓဟူး	b o AE ʊ AE ʔ d a̰ AG h AA u AE
ဗုန်း	b o AE ʊ AE ɴ
ဗုံး	b o AE ʊ AE ɴ
ဗေဒ	b e AD d a̰ AG
ဗောဓိညောင်	b ɔ AE d ḭ ɲ a AD ʊ AE ɴ
ဗောဓိသတ်	b ɔ AE d ḭ θ a AD ʔ
ဗော့ဒ်ကာ	b ɔ̰ AH d k a AD
ဗေ့စဘော	b ḛ s ə AD b ɔ AE
ဗျစ်	b j AB ɪ AD ʔ
ဗျည်း	b j AB i AD
ဗျာဓိ	b j AB a AD d ḭ
ဗျိုင်း	b j AB a AD ɪ AD ɴ
ဗျုပ္ပတ်	b j AB o AE ʊ AE ʔ p a AD ʔ
ဗျူရို	b j AB u AE ɹ AI o AE
ဗြဟ္မစိုရ်တရား	b j AB ə AD m ə AD z o AE j AB t ə AD j AB a AD
ဗြဟ္မာ	b j AB ə AD m a AD
ဗြာဟ္မဏ	b j AB a AD h AA m a̰ AG n a̰ AG
ဗြိစ္ဆာ	b j AB e AD ɪ AD ʔ sʰ a AD
ဗြိတိန်	b j AB ḭ t e AD ɪ AD ɴ
ဗြိတိသျှ	b ə AD ɹ AI ḭ t ḭ ʃ a̰ AG
ဗြဲတိုက်	b j AB ɛ AD d a AD ɪ AD ʔ
ဗွေ	b w AC e AD
ဘ	b a̰ AG
ဘကကျောင်း	b a̰ AG k a̰ AG t ɕ a AD ʊ AE ɴ
ဘကုန်း	b a̰ AG k o AE ʊ AE ɴ
ဘက္ကဒီးအစ်	b ɛ AD ʔ k ə AD d i AD ʔ ɪ AD ʔ
ဘက်	b ɛ AD ʔ
ဘက်ထရီ	b ɛ AD ʔ tʰ a̰ AG ɹ AI i AD
ဘကြီး	b a̰ AG d ʑ i AD
ဘင်	b ɪ AD ɴ
ဘင်နာ	b ɪ AD ɴ n a AD
ဘင်း	b ɪ AD ɴ
ဘင်္ဂလားဒေ့ရှ်	b ɪ AD ɴ l a AD d ḛ ʃ
ဘင်္ဂါလီ	b ɪ AD ɴ ɡ a AD l i AD
ဘဏ္ဍာ	b a AD n d a AD
ဘဏ္ဍာရေး	b a AD n d a AD j AB e AD
ဘဏ်	b a AD ɴ
ဘဏ်တိုက်	b a AD ɴ d a AD ɪ AD ʔ
ဘတ်	pʰ a AD ʔ
ဘတ်ဂျက်	b a AD ʔ d ʑ ɛ AD ʔ
ဘတ်စ်ကား	b a AD ʔ s ə AD k a AD
ဘထွေး	b a̰ AG tʰ w AC e AD
ဘဒ္ဒန္တ	b a AD ʔ d a AD ɴ t a̰ AG
ဘန်ကောက်	b a AD ɴ k a AD ʊ AE ʔ
ဘယာ	b ə AD j AB a AD
ဘယ်	b ɛ AD
ဘယ်တုန်းက	b ɛ AD d o AE ʊ AE ɴ ɡ a̰ AG
ဘယ်တော့	b ɛ AD d ɔ̰ AH
ဘယ်နှ	b ɛ AD n̥ a̰ AG
ဘယ်နှစ်	b ɛ AD n̥ ə AD
ဘယ်မှ	b ɛ AD m̥ a̰ AG
ဘယ်ရီလီယမ်	b ɛ AD ɹ AI i AD l i AD j AB a AD ɴ
ဘယ်လို	b ɛ AD l o AE
ဘယ်လောက်	b ɛ AD l a AD ʊ AE ʔ
ဘယ်လ်ဂျီယမ်	b ɛ AD l d ʑ i AD j AB a AD ɴ
ဘယ်သူ	b ə AD θ u AE
ဘယ်သူ့	b ə AD θ ṵ
ဘရင်ဂျီ	b ə AD j AB ɪ AD ɴ d ʑ i AD
ဘရဏီ	b a̰ AG j AB ə AD n i AD
ဘရာစီယာ	b ə AD ɹ AI a AD s i AD j AB a AD
ဘရာဇီး	b ə AD ɹ AI a AD z i AD
ဘရိတ်	b ə AD ɹ AI e AD ɪ AD ʔ
ဘရူနိုင်း	b ə AD ɹ AI u AE n a AD ɪ AD ɴ
ဘလိဇ်	b ə AD l i AD z
ဘလောက်	b a̰ AG l a AD ʊ AE ʔ
ဘလော့ဂ်	b ə AD l o AE ʊ AE ʔ
ဘလေး	b a̰ AG l e AD
ဘဝ	b a̰ AG w AC a̰ AG
ဘဝဲ	b ə AD w AC ɛ AD
ဘဟားမား	b a̰ AG h AA a AD m a AD
ဘာ	b a AD
ဘာကီးနားဖားဆို	b a AD k i AD n a AD pʰ a AD sʰ o AE
ဘာရိန်း	b a AD ɹ AI e AD ɪ AD ɴ
ဘာလင်	b a AD l ɪ AD ɴ
ဘာလိ	b a AD l ḭ
ဘာသာ	b a AD ð a AD
ဘာသာစကား	b a AD θ a AD z ə AD ɡ a AD
ဘာသာပြန်	b a AD ð a AD p j AB a AD ɴ
ဘာသာဗေဒ	b a AD θ a AD b e AD d a̰ AG
ဘား	pʰ a AD
ဘိက္ခု	b e AD ɪ AD ʔ kʰ ṵ
ဘိက္ခုနီ	b i AD k kʰ ṵ n i AD
ဘိန်း	b e AD ɪ AD ɴ
ဘိန်းမုန့်	b e AD ɪ AD ɴ m o̰ AH ʊ AE ɴ
ဘိဘိသန	b ḭ b ḭ θ ə AD n a̰ AG
ဘိလပ်	b ḭ l a AD ʔ
ဘိသိက်	b e AD ɪ AD ʔ θ e AD ɪ AD ʔ
ဘိုကလေး	b o AE ɡ ə AD l e AD
ဘိုက်	b a AD ɪ AD ʔ
ဘိုင်	b a AD ɪ AD ɴ
ဘိုင်စကယ်	b a AD ɪ AD ɴ s ə AD k ɛ AD
ဘိုင်စကုတ်	b a AD ɪ AD ɴ s ə AD k o AE ʊ AE ʔ
ဘိုရွန်	b o AE ɹ AI ʊ AE ɴ
ဘိုလီးဗီးယား	b o AE l i AD b i AD j AB a AD
ဘိုးဘိုး	pʰ o AE pʰ o AE
ဘီ	b i AD
ဘီစကွတ်	b i AD s ə AD k ʊ AE ʔ
ဘီနင်	b i AD n ɪ AD ɴ
ဘီယာ	b i AD j AB a AD
ဘီလာရုဇ်	b i AD l a AD ɹ AI u AE z
ဘီလူး	b ə AD l u AE
ဘီး	b i AD
ဘီးကြယ်	b i AD t ɕ ɛ AD
ဘု	b ṵ
ဘုဉ်းပေး	b o AE ʊ AE ɴ p e AD
ဘုတ်	b o AE ʊ AE ʔ
ဘုန်း	pʰ o AE ʊ AE ɴ
ဘုန်းကြီး	pʰ o AE ʊ AE ɴ d ʑ i AD
ဘုန်းကြီးကျောင်း	pʰ o AE ʊ AE ɴ d ʑ i AD t ɕ a AD ʊ AE ɴ
ဘုန်းကြီးပျံ	pʰ o AE ʊ AE ɴ d ʑ i AD b j AB a AD ɴ
ဘုန်းတော်ကြီးဘုရား	pʰ o AE ʊ AE ɴ d ɔ AE d ʑ i AD pʰ ə AD j AB a AD
ဘုန်းဘုန်း	pʰ o AE ʊ AE ɴ pʰ o AE ʊ AE ɴ
ဘုမ္မစိုး	b o AE ʊ AE ɴ m ə AD z o AE
ဘုရင်	b ə AD j AB ɪ AD ɴ
ဘုရင်ခံ	b ə AD j AB ɪ AD ɴ ɡ a AD ɴ
ဘုရင်မ	b a̰ AG j AB ɪ AD ɴ m a̰ AG
ဘုရား	pʰ ə AD j AB a AD
ဘုရားကိုးဆူ	pʰ ə AD j AB a AD k o AE sʰ u AE
ဘုရားကျောင်း	pʰ ə AD j AB a AD d ʑ a AD ʊ AE ɴ
ဘုရားရှိခိုးကျောင်း	pʰ ə AD j AB a AD ʃ ḭ kʰ o AE d ʑ a AD ʊ AE ɴ
ဘုရားလောင်း	pʰ ə AD j AB a AD l a AD ʊ AE ɴ
ဘုရားအလောင်း	pʰ ə AD j AB a AD ʔ ə AD l a AD ʊ AE ɴ
ဘုံကျောင်း	b o AE ʊ AE ɴ d ʑ a AD ʊ AE ɴ
ဘုံပိုင်	b o AE ʊ AE ɴ b a AD ɪ AD ɴ
ဘူ	b u AE
ဘူဂေးရီးယား	b u AE ɡ e AD ɹ AI i AD j AB a AD
ဘူတန်	b u AE t a AD ɴ
ဘူတာရုံ	b u AE d a AD j AB o AE ʊ AE ɴ
ဘူမိဗေဒ	b u AE m ḭ b e AD d a̰ AG
ဘူမိရူပဗေဒ	b u AE m ḭ j AB u AE p a̰ AG b e AD d a̰ AG
ဘူရွန်ဒီ	b u AE ɹ AI ʊ AE ɴ d i AD
ဘူး	b u AE
ဘူးသီး	b u AE θ i AD
ဘူးသီးတောင်	b u AE ð i AD d a AD ʊ AE ɴ
ဘော	b ɔ AE
ဘောက်ဆူး	b a AD ʊ AE ʔ sʰ u AE
ဘောဂဗေဒ	b ɔ AE ɡ a̰ AG t a̰ AG b e AD d a̰ AG
ဘောင်းဘီ	b a AD ʊ AE ɴ b i AD
ဘောပင်	b ɔ AE p ɪ AD ɴ
ဘောပွဲ	b ɔ AE p w AC ɛ AD
ဘောလုံး	b ɔ AE l o AE ʊ AE ɴ
ဘော့ဆွာနာ	b ɔ̰ AH sʰ w AC a AD n a AD
ဘော်ဒါ	b ɔ AE d a AD
ဘော်ဒါကြေး	b ɔ AE d a AD t ɕ e AD
ဘော်လီဘော	b ɔ AE l i AD b ɔ AE
ဘေ့စ်ဘော	b ḛ s b ɔ AE
ဘေး	b e AD
ဘေးဆိုး	b e AD z o AE
ဘေးဆီးရန်ကာ	b e AD z i AD j AB a AD ɴ ɡ a AD
ဘဲ	b ɛ AD
ဘဲလေး	b ɛ AD l e AD
ဘွား	b w AC a AD
ဘွားဘွား	pʰ w AC a AD pʰ w AC a AD
ဘွဲ့	b w AC ɛ̰ AG
ဘွဲ့ချဉ်	b w AC ɛ̰ AG d ʑ ɪ AD ɴ
မ	m ə AD
မကန်း	m ə AD ɡ a AD ɴ
မကိုဋ်	m ə AD ɡ a AD ɪ AD ʔ
မကုဋ	m ə AD k ṵ t a̰ AG
မက္ကဆီကို	m ɛ AD ʔ k ə AD sʰ i AD k o AE
မက်	m ɛ AD ʔ
မက်စီဒိုးနီးယား	m ɛ AD ʔ s i AD d o AE n i AD j AB a AD
မက်မွန်	m ɛ AD ʔ m ʊ AE ɴ
မကြာမတင်	m ə AD t ɕ a AD m ə AD t ɪ AD ɴ
မကွေး	m ə AD ɡ w AC e AD
မဂ္ဂင်ရှစ်ပါး	m ɛ AD ʔ ɡ ɪ AD ɴ ʃ ɪ AD ʔ b a AD
မဂ္ဂဇင်း	m ɛ AD ʔ ɡ a̰ AG z ɪ AD ɴ
မင့်စ်	m ɪ̰ AG ɴ s
မင်	m̥ ɪ AD ɴ
မင်း	m ɪ AD ɴ
မင်းကြီး	m ɪ AD ɴ d ʑ i AD
မင်းကွတ်	m ɪ AD ɴ ɡ ʊ AE ʔ
မင်းတရား	m ɪ AD ɴ t ə AD j AB a AD
မင်းဘူး	m ɪ AD ɴ b u AE
မင်းမြောက်တန်ဆာ	m ɪ AD ɴ m j AB a AD ʊ AE ʔ d ə AD z a AD
မင်းသမီး	m ɪ AD ɴ ð ə AD m i AD
မင်းသား	m ɪ AD ɴ ð a AD
မင်္ဂလ	m ɪ AD ɴ ɡ ə AD l a̰ AG
မင်္ဂလဘုရား	m ɪ AD ɴ ɡ ə AD l a̰ AG pʰ ə AD j AB a AD
မင်္ဂလသုတ်	m ɪ AD ɴ ɡ ə AD l a̰ AG θ o AE ʊ AE ʔ
မင်္ဂလာ	m ɪ AD ɴ ɡ ə AD l a AD
မင်္ဂလာဆောင်	m ɪ AD ɴ ɡ ə AD l a AD sʰ a AD ʊ AE ɴ
မင်္ဂလာပါ	m ɪ AD ɴ ɡ ə AD l a AD b a AD
မစင်	m a̰ AG s ɪ AD ɴ
မဆလာ	m a̰ AG sʰ ə AD l a AD
မဇ္ဈဒေသ	m ɪ AD ʔ z a̰ AG d e AD θ a̰ AG
မဉ္ဇူ	m j AB ɪ AD ɴ z u AE
မည်	m j AB i AD
မည်စည်	m ɛ AD z ɛ AD
မည်သည်	m i AD ð i AD
မည်သူ	m i AD ð u AE
မည်း	m ɛ AD
မဏိ	m ə AD n ḭ
မဏိတော်	m ə AD n ḭ d ɔ AE
မဏိပူရ	m ə AD n ḭ p u AE j AB a̰ AG
မဏိမေခလာ	m ə AD n ḭ m e AD kʰ ə AD l a AD
မဏိဩဂ	m ə AD n ḭ ʔ ɔ AE ɡ a̰ AG
မဏ္ဍပ်	m a AD ɴ d a AD ʔ
မဏ္ဍိုင်	m a AD ɴ d a AD ɪ AD ɴ
မတော်တဆ	m ə AD t ɔ AE t ə AD sʰ a̰ AG
မတော်တဆမှု	m ə AD t ɔ AE t ə AD sʰ a̰ AG m̥ ṵ
မတ်	m a AD ʔ
မတ်ခွက်	m a AD ʔ kʰ w AC ɛ AD ʔ
မတ်စေ့	m a AD ʔ s ḭ
မတ်ပဲ	m a AD ʔ p ɛ AD
မတ်မတ်	m a AD ʔ m a AD ʔ
မဒါဂတ်စကား	m a̰ AG d a AD ɡ a AD ʔ s ə AD k a AD
မနက်	m ə AD n ɛ AD ʔ
မနက်ဖြန်	m ə AD n ɛ AD ʔ pʰ j AB a AD ɴ
မနုပ်တာနီ	m ə AD n o AE ʊ AE ʔ t a AD n i AD
မနုဿ	m a̰ AG n o AE ʊ AE ʔ θ a AD
မနုဿဗေဒ	m ə AD n o AE ʊ AE ʔ θ a̰ AG b e AD d a̰ AG
မနုဿီဟ	m ə AD n o AE ʊ AE ʔ θ i AD h AA a̰ AG
မနော	m ə AD n ɔ AE
မနောကံ	m ə AD n ɔ AE ɡ a AD ɴ
မနေ့က	m ə AD n ḛ ɡ a̰ AG
မန္တန်	m a AD ɴ d a AD ɴ
မန္တလေး	m a AD ɴ d ə AD l e AD
မန်ကျည်း	m ə AD d ʑ i AD
မန်နေဂျာ	m a AD ɴ n e AD d ʑ a AD
မန်း	m a AD ɴ
မနှစ်	m ə AD n̥ ɪ AD ʔ
မယား	m ə AD j AB a AD
မယ်	m ɛ AD
မယ်ဇယ်	m ɛ AD z ɛ AD
မယ်ဇလီ	m ɛ AD z ə AD l i AD
မယ်တော်	m ɛ AD d ɔ AE
မယ်သီတာ	m ɛ AD θ i AD d a AD
မယ်သီလ	m ɛ AD ð i AD l a̰ AG
မရဏ	m ə AD ɹ AI ə AD n a̰ AG
မရန်း	m ə AD j AB a AD ɴ
မရမာ	m ə AD ɹ AI ə AD m a AD
မရမာကြီး	m ə AD ɹ AI ə AD m a AD d ʑ i AD
မရီး	m ə AD j AB i AD
မလိုင်	m a̰ AG l a AD ɪ AD ɴ
မလုပ်တာနီ	m ə AD l o AE ʊ AE ʔ t a AD n i AD
မလေး	m ə AD l e AD
မလေးရှား	m ə AD l e AD ʃ a AD
မလ္လိကာ	m a AD ɴ l ḭ k a AD
မသာ	m ə AD θ a AD
မသိပါဘူး	m a̰ AG θ ḭ b a AD b u AE
မသိဘူး	m a̰ AG θ ḭ b u AE
မဟာ	m a̰ AG h AA a AD
မဟာကဿပ	m ə AD h AA a AD k a AD ʔ θ ə AD p a̰ AG
မဟာဂီတ	m ə AD h AA a AD ɡ i AD t a̰ AG
မဟာပညာဗလ	m ə AD h AA a AD p j AB ɪ AD ɴ ɲ a AD b ə AD l a̰ AG
မဟာပိန္နဲ	m ə AD h AA a AD p e AD ɪ AD ɴ n ɛ AD
မဟာဘာရတ	m ə AD h AA a AD b a AD ɹ AI ə AD t a̰ AG
မဟာဘွဲ့	m ə AD h AA a AD b w AC ɛ̰ AG
မဟာမိတ်	m ə AD h AA a AD m e AD ɪ AD ʔ
မဟာမောဂ္ဂလာန်	m ə AD h AA a AD m a AD ʊ AE ʔ ɡ ə AD l a AD ɴ
မဟာယာန	m ə AD h AA a AD j AB a AD n a̰ AG
မဟာရဋ္ဌ	m ə AD h AA a AD j AB ə AD tʰ a̰ AG
မဟာလတာ	m ə AD h AA a AD l ə AD t a AD
မဟာဝင်	m ə AD h AA a AD w AC ɪ AD ɴ
မဟာဝိဇ္ဇာဘွဲ့	m ə AD h AA a AD w AC e AD ɪ AD ʔ z a AD b w AC ɛ̰ AG
မဟာသာဝက	m ə AD h AA a AD θ a AD w AC ə AD k a̰ AG
မဟာသိပ္ပံဘွဲ့	m ə AD h AA a AD θ e AD ɪ AD ʔ p a AD ɴ b w AC ɛ̰ AG
မဟေ	m ə AD h AA e AD
မဟေသီ	m ə AD h AA e AD θ i AD
မအေလိုး	m ə AD ʔ e AD l o AE
မာ	m a AD
မာကျောက်	m a AD t ɕ a AD ʊ AE ʔ
မာစကတ်	m a AD s ə AD k a AD ʔ
မာတိကာ	m a AD t ḭ k a AD
မာန်	m a AD ɴ
မာန်အောင်	m a AD n ʔ a AD ʊ AE ɴ
မာရ်	m a AD
မာရ်နတ်	m a AD n a AD ʔ
မာလကာ	m a AD l ə AD k a AD
မာလကာသီး	m a AD l ə AD k a AD θ i AD
မာလဝီ	m a AD l a̰ AG w AC i AD
မာလာ	m a AD l a AD
မာလာရှမ်းကော	m a AD l a AD ʃ a AD ɴ k ɔ AE
မာလာဟင်း	m a AD l a AD h AA ɪ AD ɴ
မာလီ	m a AD l i AD
မိ	m ḭ
မိကျောင်း	m ḭ d ʑ a AD ʊ AE ɴ
မိခင်	m ḭ ɡ ɪ AD ɴ
မိငယ်	m ḭ ŋ ɛ AD
မိတ္တူ	m e AD ɪ AD ʔ t u AE
မိတ္ထီလာ	m e AD ɪ AD ʔ tʰ i AD l a AD
မိတ်	m e AD ɪ AD ʔ
မိတ်ကပ်	m e AD ɪ AD ʔ k a AD ʔ
မိတ်ဆွေ	m e AD ɪ AD ʔ sʰ w AC e AD
မိထွေး	m ḭ d w AC e AD
မိနစ်	m ḭ n ɪ AD ʔ
မိန်းကလေး	m e AD ɪ AD ɴ ɡ ə AD l e AD
မိန်းမ	m e AD ɪ AD ɴ m a̰ AG
မိန်းမလျာ	m e AD ɪ AD ɴ m ə AD ʃ a AD
မိဖုရား	m ḭ b ə AD j AB a AD
မိဘ	m ḭ b a̰ AG
မိဘမဲ့	m ḭ b a̰ AG m ɛ̰ AG
မိသားစု	m ḭ ð a AD z ṵ
မိုက်	m a AD ɪ AD ʔ
မိုက်ကယ်	m a AD ɪ AD ʔ k ɛ AD
မိုင်	m a AD ɪ AD ɴ
မိုင်လို	m a AD ɪ AD ɴ l o AE
မိုင်း	m a AD ɪ AD ɴ
မိုဇမ်ဘစ်	m o AE z a AD ɴ b ɪ AD ʔ
မိုတယ်	m o AE t ɛ AD
မိုနာကို	m o AE n a AD k o AE
မိုဘိုင်းလ်ဖုန်း	m o AE b a AD ɪ AD ɴ pʰ o AE ʊ AE ɴ
မိုး	m o AE
မိုးကာအင်္ကျီ	m o AE ɡ a AD ʔ ɪ AD ɴ d ʑ i AD
မိုးကုတ်	m o AE ɡ o AE ʊ AE ʔ
မိုးကုပ်စက်ဝိုင်း	m o AE ɡ o AE ʊ AE ʔ s ɛ AD ʔ w AC a AD ɪ AD ɴ
မိုးကြိုး	m o AE d ʑ o AE
မိုးခေါ်	m o AE kʰ ɔ AE
မိုးရာသီ	m o AE j AB a AD ð i AD
မိုးလေဝသ	m o AE l e AD w AC ə AD θ a̰ AG
မီတာ	m i AD t a AD
မီနူး	m i AD n u AE
မီး	m i AD
မီးခတ်	m i AD ɡ a AD ʔ
မီးခိုး	m i AD ɡ o AE
မီးခိုးရောင်	m i AD ɡ o AE j AB a AD ʊ AE ɴ
မီးခေါင်း	m i AD ɡ a AD ʊ AE ɴ
မီးခံသေတ္တာ	m i AD ɡ a AD ɴ θ ɪ AD ʔ t a AD
မီးခြစ်	m i AD d ʑ ɪ AD ʔ
မီးခွက်	m i AD ɡ w AC ɛ AD ʔ
မီးတောင်	m i AD d a AD ʊ AE ɴ
မီးပန်း	m i AD b a AD ɴ
မီးပူ	m i AD b u AE
မီးပြတိုက်	m i AD b j AB a̰ AG d a AD ɪ AD ʔ
မီးပွား	m i AD b w AC a AD
မီးပွိုင့်	m i AD p w AC a̰ AG ɪ AD ɴ
မီးဖို	m i AD pʰ o AE
မီးဖိုချောင်	m i AD b o AE d ʑ a AD ʊ AE ɴ
မီးယပ်	m i AD j AB a AD ʔ
မီးယပ်ပညာ	m i AD j AB a AD ʔ p j AB ɪ AD ɴ ɲ a AD
မီးယပ်ရောဂါ	m i AD j AB a AD ʔ j AB ɔ AE ɡ a AD
မီးရထား	m i AD j AB ə AD tʰ a AD
မီးရထားတွဲ	m i AD j AB ə AD tʰ a AD d w AC ɛ AD
မီးရှူးမီးပန်း	m i AD ʃ u AE m i AD b a AD ɴ
မီးလင်းဖို	m i AD l ɪ AD ɴ b o AE
မီးသင်္ဘော	m i AD θ ɪ AD ɴ b ɔ AE
မီးသီး	m i AD θ i AD
မီးသုံးပါး	m i AD θ o AE ʊ AE ɴ b a AD
မီးသွေး	m i AD ð w AC e AD
မီးအိမ်	m i AD ʔ e AD ɪ AD ɴ
မုခ်	m o AE ʊ AE ʔ
မုစလိန္ဒ	m ṵ s ə AD l e AD ɪ AD ɴ d a̰ AG
မုဆိုး	m o AE ʊ AE ʔ sʰ o AE
မုဆိုးဖို	m ṵ sʰ o AE b o AE
မုဆိုးမ	m ṵ sʰ o AE m a̰ AG
မုတ္ထမ	m o AE ʊ AE ʔ t ə AD m a̰ AG
မုတ်ခွံ	m o AE ʊ AE ʔ kʰ ʊ AE ɴ
မုတ်ဆိတ်	m o AE ʊ AE ʔ sʰ e AD ɪ AD ʔ
မုဒိမ်း	m ṵ d e AD ɪ AD ɴ
မုဒ္ဓဇ	m u AE d d ə AD z a̰ AG
မုဒြာ	m ṵ d ɹ AI a AD
မုနိ	m ṵ n ḭ
မုန့်	m o̰ AH ʊ AE ɴ
မုန့်ကျွဲသည်း	m o̰ AH ʊ AE ɴ t ɕ w AC ɛ AD ð ɛ AD
မုန့်ကွမ်းယာ	m o̰ AH ʊ AE ɴ k ʊ AE ɴ j AB a AD
မုန့်ညက်	m o̰ AH ʊ AE ɴ ɲ ɛ AD ʔ
မုန့်တီ	m o̰ AH ʊ AE ɴ t i AD
မုန့်လက်ကောက်	m o̰ AH ʊ AE ɴ l ɛ AD ʔ k a AD ʊ AE ʔ
မုန့်လက်ဆောင်း	m o̰ AH ʊ AE ɴ l ɛ AD ʔ sʰ a AD ʊ AE ɴ
မုန့်လင်မယား	m o̰ AH ʊ AE ɴ l ɪ AD ɴ m ə AD j AB a AD
မုန့်လုံးရေပေါ်	m o̰ AH ʊ AE ɴ l o AE ʊ AE ɴ j AB e AD b ɔ AE
မုန့်ဟင်းခါး	m o̰ AH ʊ AE ɴ h AA ɪ AD ɴ ɡ a AD
မုန့်အုပ်ကလေး	m o̰ AH ʊ AE ɴ ʔ o AE ʊ AE ʔ ɡ ə AD l e AD
မုန့်ဦးနှောက်	m o̰ AH ʊ AE ɴ ʔ o AE ʊ AE ɴ ð i AD
မုန်ညင်း	m o AE ʊ AE ɴ ɲ ɪ AD ɴ
မုန်ညင်းဆီ	m o AE ʊ AE ɴ ɲ ɪ AD ɴ sʰ i AD
မုန်ညင်းဖြူ	m o AE ʊ AE ɴ ɲ ɪ AD ɴ pʰ j AB u AE
မုန်ညှင်းဖြူ	m o AE ʊ AE ɴ ɲ̊ ɪ AD ɴ b j AB u AE
မုန်တိုင်း	m o AE ʊ AE ɴ d a AD ɪ AD ɴ
မုန်လာ	m o AE ʊ AE ɴ l a AD
မုန်လာထုပ်	m o AE ʊ AE ɴ l a AD d o AE ʊ AE ʔ
မုန်လာဥ	m o AE ʊ AE ɴ l a AD ʔ ṵ
မုန်လာဥနီ	m o AE ʊ AE ɴ l a AD ʔ ṵ n i AD
မုန်လာဥဝါ	m o AE ʊ AE ɴ l a AD ʔ ṵ w AC a AD
မုန်း	m o AE ʊ AE ɴ
မုရား	m ə AD j AB a AD
မုသား	m ṵ ð a AD
မုံ	m o AE ʊ AE ɴ
မုံရွာ	m o AE ʊ AE ɴ j AB w AC a AD
မူကြို	m u AE d ʑ o AE
မူကြိုကျောင်း	m u AE d ʑ o AE d ʑ a AD ʊ AE ɴ
မူလ	m u AE l a̰ AG
မူလတန်း	m u AE l a̰ AG t a AD ɴ
မူလတန်းကြိုကျောင်း	m u AE l a̰ AG d a AD ɴ d ʑ o AE d ʑ a AD ʊ AE ɴ
မူလီ	m u AE l i AD
မူး	m u AE
မေ	m e AD
မေဃာလယ	m e AD ɡ a AD l ə AD j AB a̰ AG
မေတ္တာ	m j AB ɪ AD ʔ t a AD
မေတ္တေယျ	m j AB ɪ AD ʔ t e AD j AB a̰ AG
မေဓင်္ကရာ	m e AD d ɪ AD ɴ k ə AD ɹ AI a AD
မေဓင်္ကရာဘုရား	m e AD d ɪ AD ɴ k ə AD ɹ AI a AD pʰ ə AD j AB a AD
မေမေ	m e AD m e AD
မော	m ɔ AE
မောက်ချ	m a AD ʊ AE ʔ t ɕʰ a̰ AG
မောင်	m a AD ʊ AE ɴ
မောင်တော	m a AD ʊ AE ɴ t ɔ AE
မောင်နှမ	m a AD ʊ AE ɴ n̥ ə AD m a̰ AG
မောင်း	m a AD ʊ AE ɴ
မောင်းမမိဿံ	m a AD ʊ AE ɴ m a̰ AG m e AD ɪ AD ʔ θ a AD ɴ
မောရစ်ရှ	m ɔ AE ɹ AI ɪ AD ʔ ʃ a̰ AG
မော်စကို	m ɔ AE s ə AD k o AE
မော်ဇာ	m ɔ AE z a AD
မော်တော်ဆိုင်ကယ်	m ɔ AE t ɔ AE sʰ a AD ɪ AD ɴ k ɛ AD
မော်ရိုကို	m ɔ AE ɹ AI o AE k o AE
မော်ရီတေးနီးယား	m ɔ AE ɹ AI i AD t e AD n i AD j AB a AD
မော်လတာ	m ɔ AE l ə AD t a AD
မော်လဒိုက်	m ɔ AE l ə AD d a AD ɪ AD ʔ
မော်လမြိုင်	m ɔ AE l ə AD m j AB a AD ɪ AD ɴ
မော်လီကျူး	m ɔ AE l i AD t ɕ u AE
မော်လ်ဒိုဗာ	m ɔ AE l d o AE b a AD
မေ့	m ḛ
မေး	m e AD
မေးခိုင်ရောဂါ	m e AD kʰ a AD ɪ AD ɴ j AB ɔ AE ɡ a AD
မေးခွန်း	m e AD ɡ ʊ AE ɴ
မေးစေ့	m e AD z ḭ
မဲ	m ɛ AD
မဲခေါင်မြစ်	m ɛ AD kʰ a AD ʊ AE ɴ m j AB ɪ AD ʔ
မဲဆန္ဒ	m ɛ AD sʰ a AD ɴ d a̰ AG
မဲဆန္ဒနယ်	m ɛ AD sʰ a AD ɴ d a̰ AG n ɛ AD
မဲဆန္ဒရှင်	m ɛ AD sʰ a AD ɴ d a̰ AG ʃ ɪ AD ɴ
မဲဆောက်	m ɛ AD sʰ a AD ʊ AE ʔ
မဲဇလီ	m ɛ AD z ə AD l i AD
မဲပေး	m ɛ AD p e AD
မံ	m a AD ɴ
မံသ	m a AD ɴ θ a̰ AG
မျက်ခုံး	m j AB ɛ AD ʔ kʰ o AE ʊ AE ɴ
