't	t AC
henetika	h AA e AK n AF e AK t AC i AK k AC ɐ AM
heng	h AA e AK ŋ AF
herradura	ʔ AJ ɛ AK ɾ BD a AK d AC u AM ɾ BD a AK
hesusmaryosep	h AA ɛ AK s AH u AM s AH m AE a AK ɾ BD i AK ɔː AN s AH e AK p AG
hibi	h AA i AK b AG i AK
higanti	h AA i AK ɡ AC a AK n AF t AC i AK ʔ AJ
higlikas	h AA i AK ɡ AC l AD i AK k AC a AK s AH
higliknayan	h AA i AK ɡ AC l AD i AK k AC n AF a AK j AB a AK n AF
higop	h AA i AK ɡ AC o AM p AG
higsipnayan	h AA i AK ɡ AC s AH i AK p AG n AF a AK j AB a AK n AF
higtao	h AA i AK ɡ AC t AC a AK ʔ AJ ɔ AM
hikaw	h AA i AK k AC a AK w AI
hilab	h AA i AK l AD a AK b AG
hilaga	h AA i AK l AD a AK ɡ AC a AK ʔ AJ
hilaw	h AA i AK l AD a AK u AM
hilera	h AA i AK l AD ɛ AK ɾ BD a AK
himagas	h AA i AK m AE a AK ɡ AC a AK s AH
himala	h AA i AK m AE a AK l AD a AK ʔ AJ
himanting	h AA i AK m AE a AK n AF t AC i AK ŋ AF
himasok	h AA i AK m AE a AK s AH o AM k AC
himatayin	h AA i AK m AE a AK t AC a AK j AB i AK n AF
himbabahay	h AA i AK m AE b AG a AK b AG a AK h AA a AK j AB
hina	h AA i AK n AF a AK ʔ AJ
hinagpis	h AA i AK n AF a AK ɡ AC p AG i AK s AH
hinala	h AA i AK n AF a AK l AD a AK ʔ AJ
hindi	h AA ɛ AK n AF d AC ɛ AK
hinga	h AA i AK ŋ AF a AK
hinlalaki	h AA i AK n AF l AD a AK l AD a AK k AC i AK
hinog	h AA i AK n AF o AM ɡ AC
hintuturo	h AA i AK n AF t AC u AM t AC u AM ɾ BD o AM ʔ AJ
hipolito	h AA i AK p AG o AM l AD i AK t AC o AM
hipon	h AA i AK p AG o AM n AF
hira	h AA i AK ɾ BD a AK ʔ AJ
hirap	h AA i AK ɾ BD a AK p AG
hita	h AA i AK t AC a AK ʔ AJ
hithit	h AA i AK t AC h AA i AK t AC
hito	h AA i AK t AC o AM ʔ AJ
hitso	h AA i AK t AC s AH o AM
hitsura	h AA i AK t AC ʃ AH u AM ɾ BD a AK
hiwalay	h AA i AK w AI a AK l AD a AK i AK
hiya	h AA i AK j AB a AK ʔ AJ
hiyaw	h AA i AK a AK u AM
hizon	h AA i AK s AH o AM n AF
ho	h AA ɔ AM
homiliya	h AA o AM m AE i AK l AD i AK a AK
hong	h AA o AM ŋ AF
hopya	h AA o AM p AG j AB a AK ʔ AJ
hortaleza	h AA o AM ɾ BD t AC a AK l AD ɛ AK s AH a AK
hoy	h AA o AM j AB
huli	h AA u AM l AD i AK ʔ AJ
hulog	h AA u AM l AD o AM ɡ AC
humadlang	h AA u AM m AE a AK d AC l AD a AK ŋ AF
humagulgol	h AA u AM m AE a AK ɡ AC u AM l AD ɡ AC o AM l AD
humalik	h AA u AM m AE a AK l AD i AK k AC
humanda	h AA u AM m AE a AK n AF d AC a AK ʔ AJ
humandusay	h AA u AM m AE a AK n AF d AC u AM s AH a AK i AK
humiga	h AA u AM m AE i AK ɡ AC a AK ʔ AJ
humingi	h AA u AM m AE i AK ŋ AF i AK ʔ AJ
huminto	h AA u AM m AE i AK n AF t AC o AM ʔ AJ
humiram	h AA u AM m AE i AK ɾ BD a AK m AE
humirap	h AA u AM m AE i AK r BA a AK p AG
hung	h AA u AM ŋ AF
huni	h AA u AM n AF i AK
huramentado	h AA u AM ɾ BD a AK m AE e AK n AF t AC a AK d AC o AM
huron	h AA u AM r BA o AM n AF
husga	h AA u AM s AH ɡ AC a AK
husgado	h AA u AM s AH ɡ AC a AK d AC o AM
husgahan	h AA u AM s AH ɡ AC a AK h AA a AK n AF
huwebes	h AA u AM w AI ɛ AK b AG e AK s AH
huweteng	h AA u AM ɛ AK t AC ɛ AK ŋ AF
huy	h AA u AM j AB
huyad	h AA u AM j AB a AK d AC
huyong	h AA u AM j AB o AM ŋ AF
hwan	h AA w AI ɐ AM n AF
ibagsak	i AK b AG a AK ɡ AC s AH a AK k AC
ibahaw	i AK b AG a AK h AA a AK w AI
ibalik	i AK b AG a AK l AD i AK k AC
ibasco	ʔ AJ i AK b AG a AK s AH k AC o AM
ibay	ʔ AJ i AK b AG a AK j AB
ibili	i AK b AG i AK l AD i AK
ibutod	i AK b AG u AM t AC o AM d AC
idalum	ʔ AJ i AK d AC a AK l AD u AM m AE
igib	ʔ AJ i AK ɡ AC i AK b AG
igkasin	ʔ AJ i AK ɡ AC k AC a AK s AH i AK n AF
ignacio	ʔ AJ i AK ɡ AC n AF a AK s AH j AB o AM
ignoransiya	ʔ AJ i AK ɡ AC n AF o AM ɾ BD a AK n AF s AH j AB a AK
ignorante	ʔ AJ i AK ɡ AC n AF o AM ɾ BD a AK n AF t AC ɛ AK
ihi	ʔ AJ i AK h AA i AK ʔ AJ
ikabilanggo	ʔ AJ i AK k AC a AK b AG i AK l AD a AK ŋ AF ɡ AC o AM ʔ AJ
ikagalit	ʔ AJ i AK k AC a AK ɡ AC a AK l AD i AK t AC
ikaw	i AK k AC a AK w AI
ikmo	i AK k AC m AE o AM
ikuha	i AK k AC u AM h AA a AK
ilag	ʔ AJ i AK l AD a AK ɡ AC
ilao	ʔ AJ i AK l AD a AK u AM
iling	ʔ AJ i AK l AD i AK ŋ AF
ilog	ʔ AJ i AK l AD o AM ɡ AC
ilong	ʔ AJ i AK l AD o AM ŋ AF
ilustre	ʔ AJ i AK l AD u AM s AH t AC ɾ BD ɛ AK
imahen	ʔ AJ i AK m AE a AK h AA ɛ AK n AF
imbentaryo	ʔ AJ i AK m AE b AG ɛ AK n AF t AC a AK ɾ BD j AB o AM
imperial	ʔ AJ i AK m AE p AG ɛ AK ɾ BD j AB a AK l AD
impluwensiya	ʔ AJ i AK m AE p AG l AD u AM ɛ AK n AF s AH j AB a AK
importansiya	ʔ AJ i AK m AE p AG o AM ɾ BD t AC a AK n AF s AH j AB a AK
importante	ʔ AJ i AK m AE p AG o AM ɾ BD t AC a AK n AF t AC ɛ AK
ina	ʔ AJ i AK n AF a AK
inahin	ʔ AJ i AK n AF a AK h AA i AK n AF
infante	ʔ AJ i AK n AF p AG a AK n AF t AC ɛ AK
ingay	ʔ AJ i AK ŋ AF a AK i AK
inggit	ʔ AJ i AK ŋ AF ɡ AC i AK t AC
inggitero	ʔ AJ i AK ŋ AF ɡ AC i AK t AC ɛ AK ɾ BD o AM
inggles	i AK ŋ AF ɡ AC l AD ɛ AK s AH
inggo	ʔ AJ i AK ŋ AF ɡ AC o AM ʔ AJ
inglesero	i AK ŋ AF ɡ AC l AD ɛ AK s AH ɛː AL ɾ BD ɔ AM
ingrato	ʔ AJ i AK ŋ AF ɡ AC ɾ BD a AK t AC o AM
inip	ʔ AJ i AK n AF i AK p AG
init	ʔ AJ i AK n AF i AK t AC
initan	ʔ AJ i AK n AF i AK t AC a AK n AF
initbutod	ʔ AJ i AK n AF i AK t AC b AG u AM t AC ɔ AM d AC
initdagitban	ʔ AJ i AK n AF i AK t AC d AC a AK ɡ AC i AK t AC b AG a AK n AF
initkapnayan	ʔ AJ i AK n AF i AK t AC k AC a AK p AG n AF a AK j AB a AK n AF
initsigan	ʔ AJ i AK n AF i AK t AC s AH i AK ɡ AC a AK n AF
inosente	ʔ AJ i AK n AF o AM s AH ɛ AK n AF t AC ɛ AK
insulto	ʔ AJ i AK n AF s AH u AM l AD t AC o AM
interbiyu	ʔ AJ i AK n AF t AC ɛ AK ɾ BD b AG i AK u AM
interes	ʔ AJ i AK n AF t AC ɛ AK ɾ BD ɛ AK s AH
intindi	ʔ AJ i AK n AF t AC i AK n AF d AC i AK
intsik	ʔ AJ i AK n AF t AC ʃ AH i AK k AC
inumin	ʔ AJ i AK n AF u AM m AE i AK n AF
inutil	ʔ AJ i AK n AF u AM t AC i AK l AD
inyo	i AK n AF j AB o AM
ip	ɪ AK p AG
ipagbilin	ʔ AJ i AK p AG a AK ɡ AC b AG i AK l AD i AK n AF
ipakausap	i AK p AG a AK k AC a AK u AM s AH a AK p AG
ipakuha	i AK p AG a AK k AC u AM h AA a AK
ipamigay	ʔ AJ i AK p AG a AK m AE i AK ɡ AC a AK i AK
ipatapon	i AK p AG a AK t AC a AK p AG o AM n AF
ipis	ʔ AJ i AK p AG i AK s AH
ipo	ʔ AJ i AK p AG o AM
iprint	i AK p AG r BA i AK n AF t AC
irebisa	ʔ AJ i AK ɾ BD ɛ AK b AG i AK s AH a AK
isa	ʔ AJ i AK s AH a AK
isagani	ʔ AJ i AK s AH a AK ɡ AC a AK n AF i AK
isangkot	ʔ AJ i AK s AH a AK ŋ AF k AC o AM t AC
isauli	i AK s AH a AK u AM l AD i AK
iscan	i AK s AH k AC a AK n AF
iset	i AK s AH ɛ AK t AC
ishinare	ʔ AJ i AK s AH h AA i AK n AF ɛ AK ɾ BD
isidro	ʔ AJ i AK s AH i AK d AC ɾ BD o AM
isigan	i AK s AH i AK ɡ AC a AK n AF
isipin	ʔ AJ i AK s AH i AK p AG i AK n AF
isisi	ʔ AJ i AK s AH i AK s AH i AK
iskedyul	ʔ AJ i AK s AH k AC ɛ AK d AC j AB u AM l AD
iskolar	ʔ AJ i AK s AH k AC o AM l AD a AK ɾ BD
iskrip	ʔ AJ i AK s AH k AC ɾ BD i AK p AG
isoli	i AK s AH o AM l AD i AK
istorya	ʔ AJ i AK s AH t AC o AM ɾ BD j AB a AK
isuot	ʔ AJ i AK s AH u AM ʔ AJ ɔ AM t AC
itago	i AK t AC a AK ɡ AC o AM
itim	ɪ AK t AC i AK m AE
itlog	ʔ AJ i AK t AC l AD o AM ɡ AC
itmo	i AK t AC m AE o AM
ito	ʔ AJ i AK t AC o AM
ixerox	i AK s AH ɛ AK r BA o AM k AC s AH
iyan	j AB a AK n AF
iyo	i AK j AB o AM
iyon	j AB o AM n AF
jalandoni	d AC ʒ AH a AK l AD a AK n AF d AC o AM n AF i AK
jamisola	d AC ʒ AH a AK m AE i AK s AH o AM l AD a AK
jara	d AC ʒ AH a AK ɾ BD a AK
jaramillo	d AC ʒ AH a AK ɾ BD a AK m AE i AK l AD l AD o AM
jaranilla	d AC ʒ AH a AK ɾ BD a AK n AF i AK l AD l AD a AK
jologs	d AC ʒ AH o AM l AD o AM ɡ AC z AH
jontis	d AC ʒ AH ɔ AM n AF t AC i AK s AH
juan	h AA w AI ɐ AM n AF
juarez	d AC ʒ AH u AM a AK ɾ BD ɛ AK s AH
julalay	d AC ʒ AH u AM l AD a AK l AD a AK j AB
jumarang	d AC ʒ AH u AM m AE a AK ɾ BD a AK ŋ AF
juntilla	d AC ʒ AH u AM n AF t AC i AK l AD l AD a AK
jurado	d AC ʒ AH u AM ɾ BD a AK d AC o AM
jusi	d AC ʒ AH u AM s AH i AK
justiniano	d AC ʒ AH u AM s AH t AC i AK n AF i AK a AK n AF o AM
kaagulo	k AC a AK a AK ɡ AC u AM l AD ɔ AM ʔ AJ
kaalit	k AC a AK ʔ AJ a AK l AD i AK t AC
kaanak	k AC a AK ʔ AJ a AK n AF a AK k AC
kaanib	k AC a AK ʔ AJ a AK n AF i AK b AG
kababaihan	k AC a AK b AG a AK b AG a AK ʔ AJ i AK h AA a AK n AF
kabaligtaran	k AC a AK b AG a AK l AD i AK ɡ AC t AC a AK ɾ BD a AK n AF
kabalintunaan	k AC a AK b AG a AK l AD i AK n AF t AC u AM n AF a AK ʔ AJ a AK n AF
kabaong	k AC a AK b AG a AK o AM ŋ AF
kabarkada	k AC a AK b AG a AK r BA k AC a AK d AC a AK
kabasangal	k AC a AK b AG a AK s AH a AK ŋ AF a AK l AD
kabastusan	k AC a AK b AG a AK s AH t AC u AM s AH a AK n AF
kabayo	k AC a AK b AG a AK j AB o AM
kaberdehan	k AC a AK b AG ɛ AK ɾ BD d AC ɛ AK h AA a AK n AF
kabig	k AC a AK b AG i AK ɡ AC
kabiling	k AC a AK b AG i AK l AD i AK ŋ AF
kabuwanan	k AC a AK b AG u AM a AK n AF a AK n AF
kadena	k AC a AK d AC ɛ AK n AF a AK
kadugo	k AC a AK d AC u AM ɡ AC o AM ʔ AJ
kadyos	k AC a AK d AC j AB o AM s AH
kadyot	k AC ɑ AK d AC ʑ AH ɔ AM t̚
kagalingan	k AC a AK ɡ AC a AK l AD i AK ŋ AF a AK n AF
kagaw	k AC a AK ɡ AC a AK u AM
kaha	k AC a AK h AA a AK
kahabagan	k AC a AK h AA a AK b AG a AK ɡ AC a AK n AF
kahandaan	k AC a AK h AA a AK n AF d AC a AK ʔ AJ a AK n AF
kaharian	k AC a AK h AA a AK ɾ BD i AK a AK n AF
kahel	k AC ɐ AM h AA ɛ AK l AD
kahero	k AC a AK h AA ɛ AK ɾ BD o AM
kahihiyan	k AC a AK h AA i AK h AA i AK a AK n AF
kahoy	k AC a AK h AA o AM i AK
kaibigan	k AC a AK ʔ AJ i AK b AG i AK ɡ AC a AK n AF
kailan	k AC ɛ AK l AD a AK n AF
kain	k AC a AK ʔ AJ i AK n AF
kakainin	k AC a AK k AC a AK ʔ AJ i AK n AF i AK n AF
kakaphay	k AC a AK k AC a AK p AG h AA a AK j AB
kakarampot	k AC a AK k AC a AK ɾ BD a AK m AE p AG o AM t AC
kakayahan	k AC a AK k AC ɐ AM y AM ɐ AM h AA a AK n AF
kakulangan	k AC a AK k AC u AM l AD a AK ŋ AF a AK n AF
kakulawas	k AC a AK k AC u AM l AD a AK w AI a AK s AH
kalaguyo	k AC a AK l AD a AK ɡ AC u AM j AB o AM ʔ AJ
kalakpan	k AC a AK l AD a AK k AC p AG a AK n AF
kalaliman	k AC a AK l AD a AK l AD i AK m AE a AK n AF
kalan	k AC a AK l AD a AK n AF
kalansay	k AC a AK l AD a AK n AF s AH a AK j AB
kalantas	k AC a AK l AD a AK n AF t AC a AK s AH
kalaswaan	k AC a AK l AD a AK s AH w AI a AK ʔ AJ a AK n AF
kalat	k AC a AK l AD a AK t AC
kalatas	k AC a AK l AD a AK t AC a AK s AH
kalatsutsi	k AC a AK l AD a AK t AC ʃ AH u AM t AC ʃ AH i AK ʔ AJ
kalawang	k AC a AK l AD a AK w AI a AK ŋ AF
kalawangin	k AC a AK l AD a AK w AI a AK ŋ AF i AK n AF
kalayaan	k AC a AK l AD ɐ AM i AK ɪ AK a AK ʔ AJ ɐ AM n AF
kalbaryo	k AC a AK l AD b AG a AK ɾ BD j AB o AM
kaldero	k AC a AK l AD d AC ɛ AK ɾ BD o AM
kalendaryo	k AC a AK l AD ɛ AK n AF d AC a AK ɾ BD j AB o AM
kalesa	k AC ɐ AM l AD ɛː AL s AH a AK
kalibre	k AC a AK l AD i AK b AG ɾ BD ɛ AK
kalibugan	k AC a AK l AD i AK b AG u AM ɡ AC a AK n AF
kalidad	k AC a AK l AD i AK d AC a AK d AC
kaligayahan	k AC a AK l AD i AK ɡ AC a AK j AB a AK h AA a AK n AF
kaligkig	k AC a AK l AD i AK ɡ AC k AC i AK ɡ AC
kalihim	k AC a AK l AD i AK h AA i AK m AE
kalima	k AC a AK l AD i AK m AE a AK
kalis	k AC a AK l AD i AK s AH
kaliskis	k AC a AK l AD i AK s AH k AC i AK s AH
kaliwanagan	k AC a AK l AD i AK w AI a AK n AF a AK ɡ AC a AK n AF
kaliwete	k AC a AK l AD i AK w AI ɛ AK t AC ɛ AK
kalso	k AC a AK l AD s AH o AM
kaluban	k AC ɐ AM l AD u AM b AG ɐ AM n AF
kalungsuran	k AC a AK l AD u AM ŋ AF s AH u AM ɾ BD a AK n AF
kaluwalhatian	k AC a AK l AD u AM l AD u AM a AK l AD h AA a AK t AC i AK ʔ AJ a AK n AF
kalyo	k AC a AK l AD j AB o AM
kamanahan	k AC a AK m AE a AK n AF a AK h AA a AK n AF
kamandag	k AC a AK m AE a AK n AF d AC a AK ɡ AC
kamangmangan	k AC a AK m AE a AK ŋ AF m AE a AK ŋ AF a AK n AF
kamatayan	k AC a AK m AE a AK t AC a AK j AB a AK n AF
kambal	k AC a AK m AE b AG a AK l AD
kambyo	k AC a AK m AE b AG j AB o AM
kami	k AC a AK m AE ɪ AK
kamihasnan	k AC a AK m AE i AK h AA a AK s AH n AF a AK n AF
kampana	k AC a AK m AE p AG a AK n AF a AK ʔ AJ
kampante	k AC a AK m AE p AG a AK n AF t AC ɛ AK
kampanya	k AC a AK m AE p AG a AK n AF j AB a AK
kampyon	k AC a AK m AE p AG j AB o AM n AF
kamukha	k AC a AK m AE u AM k AC h AA a AK ʔ AJ
kamunduhan	k AC a AK m AE u AM n AF d AC u AM h AA a AK n AF
kandidato	k AC a AK n AF d AC i AK d AC a AK t AC o AM
kandila	k AC a AK n AF d AC i AK l AD a AK ʔ AJ
kanduli	k AC a AK n AF d AC u AM l AD i AK ʔ AJ
kang	k AC a AK ŋ AF
kangkungan	k AC a AK ŋ AF k AC u AM ŋ AF a AK n AF
kanina	k AC a AK n AF i AK n AF a AK
kanino	k AC a AK n AF i AK n AF o AM
kaniyugan	k AC a AK n AF j AB u AM ɡ AC a AK n AF
kanlong	k AC a AK n AF l AD o AM ŋ AF
kanlungan	k AC a AK n AF l AD u AM ŋ AF a AK n AF
kanselasyon	k AC a AK n AF s AH ɛ AK l AD a AK s AH j AB o AM n AF
kanser	k AC a AK n AF s AH ɛ AK ɾ BD
kanta	k AC a AK n AF t AC a AK
kantahin	k AC a AK n AF t AC a AK h AA i AK n AF
kantutin	k AC a AK n AF t AC u AM t AC i AK n AF
kanyon	k AC a AK ɲ AF o AM n AF
kaopisina	k AC a AK o AM p AG i AK s AH i AK n AF a AK
kapabayaan	k AC a AK p AG a AK b AG a AK j AB a AK a AK n AF
kapakanan	k AC a AK p AG a AK k AC a AK n AF ʔ AJ a AK n AF
kapalit	k AC a AK p AG a AK l AD i AK t AC
kapanahunan	k AC a AK p AG a AK n AF a AK h AA u AM n AF a AK n AF
kapatawaran	k AC a AK p AG a AK t AC a AK w AI a AK ɾ BD a AK n AF
kaphay	k AC a AK p AG h AA a AK j AB
kapid	k AC a AK p AG i AK d AC
kapiraso	k AC a AK p AG i AK ɾ BD a AK s AH o AM
kapitan	k AC a AK p AG i AK t AC a AK n AF
kaplastikan	k AC a AK p AG l AD a AK s AH t AC i AK k AC a AK n AF
kapon	k AC a AK p AG o AM n AF
kapotgayong	k AC a AK p AG o AM t AC ɡ AC a AK j AB o AM ŋ AF
kapre	k AC a AK p AG ɾ BD ɛ AK
kapuluan	k AC a AK p AG u AM l AD u AM a AK n AF
kaputsino	k AC a AK p AG u AM t AC ʃ AH i AK n AF o AM
karakter	k AC a AK ɾ BD a AK k AC t AC ɛ AK ɾ BD
karambola	k AC a AK ɾ BD a AK m AE b AG o AM l AD a AK
karamihan	k AC a AK ɾ BD a AK m AE i AK h AA a AK n AF
karampatan	k AC a AK ɾ BD a AK m AE p AG a AK t AC a AK n AF
karapatan	k AC a AK ɾ BD a AK p AG a AK t AC a AK n AF
karayom	k AC a AK ɾ BD a AK j AB o AM m AE
karbon	k AC a AK ɾ BD b AG o AM n AF
karelyebo	k AC a AK r BA ɛ AK ʎ AD ɛ AK b AG o AM
karerahan	k AC a AK ɾ BD ɛ AK ɾ BD a AK h AA a AK n AF
karibal	k AC a AK ɾ BD i AK b AG a AK l AD
karitela	k AC a AK ɾ BD i AK t AC ɛ AK l AD a AK
kariton	k AC a AK ɾ BD i AK t AC o AM n AF
karo	k AC a AK ɾ BD o AM
karpintero	k AC a AK ɾ BD p AG i AK n AF t AC ɛ AK ɾ BD o AM
karton	k AC a AK ɾ BD t AC o AM n AF
karunungan	k AC a AK ɾ BD u AM n AF u AM ŋ AF a AK n AF
karupukan	k AC a AK ɾ BD u AM p AG u AM k AC a AK n AF
karuwagan	k AC a AK ɾ BD u AM a AK ɡ AC a AK n AF
kasalanan	k AC a AK s AH a AK l AD a AK n AF a AK n AF
kasambahay	k AC a AK s AH a AK m AE b AG a AK h AA a AK i AK
kasera	k AC a AK s AH ɛ AK ɾ BD a AK
kasero	k AC a AK s AH ɛ AK ɾ BD o AM
kaserola	k AC a AK s AH ɛ AK ɾ BD o AM l AD a AK
kasiguraduhan	k AC a AK s AH i AK ɡ AC u AM ɾ BD a AK d AC u AM h AA a AK n AF
kasintahan	k AC a AK s AH i AK n AF t AC a AK h AA a AK n AF
kasinungalingan	k AC a AK s AH i AK n AF u AM ŋ AF a AK l AD i AK ŋ AF a AK n AF
kaso	k AC a AK s AH ɔ AM
kasoy	k AC a AK s AH o AM i AK
kastigo	k AC a AK s AH t AC i AK ɡ AC o AM
kastiguhin	k AC a AK s AH t AC i AK ɡ AC u AM h AA i AK n AF
kasubha	k AC a AK s AH u AM b AG h AA a AK ʔ AJ
kata	k AC a AK t AC a AK ʔ AJ
kataga	k AC a AK t AC a AK ɡ AC a AK ʔ AJ
katagalugan	k AC a AK t AC a AK ɡ AC a AK l AD u AM ɡ AC a AK n AF
katakawan	k AC a AK t AC a AK k AC a AK w AI a AK n AF
katang	k AC a AK t AC a AK ŋ AF
katangahan	k AC a AK t AC a AK ŋ AF a AK h AA a AK n AF
katarata	k AC a AK t AC a AK ɾ BD a AK t AC a AK
katawan	k AC a AK t AC a AK w AI a AK n AF
katedral	k AC a AK t AC ɛ AK d AC ɾ BD a AK l AD
kati	k AC ɐ AM t AC i AK ʔ AJ
katigbak	k AC a AK t AC i AK ɡ AC b AG a AK k AC
katiwalian	k AC a AK t AC i AK w AI a AK l AD i AK a AK n AF
kato	k AC a AK t AC o AM ʔ AJ
katolisismo	k AC a AK t AC o AM l AD i AK s AH i AK s AH m AE o AM
katropa	k AC a AK t AC r BA o AM p AG a AK
katungkulan	k AC a AK t AC u AM ŋ AF k AC u AM l AD a AK n AF
katuruan	k AC a AK t AC u AM r BA u AM ʔ AJ a AK n AF
katuwang	k AC a AK t AC u AM a AK ŋ AF
kaunti	k AC ɔ AM n AF t AC ɛ AK ʔ AJ
kausap	k AC a AK u AM s AH a AK p AG
kausapin	k AC a AK u AM s AH a AK p AG i AK n AF
kawad	k AC a AK w AI a AK d AC
kay	k AC a AK i AK
kaya	k AC aː AL ɪ AK a AK
kayumanggi	k AC a AK j AB u AM m AE a AK ŋ AF ɡ AC i AK
kelot	k AC ɛ AK l AD ɔ AM t AC
kendi	k AC ɛ AK n AF d AC i AK
keri	k AC ɛ AK ɾ BD i AK
ketongin	k AC ɛ AK t AC o AM ŋ AF i AK n AF
khoo	k AC uː AN
kiamzon	k AC i AK a AK m AE s AH o AM n AF
kidsulid	k AC i AK d AC s AH u AM l AD i AK d AC
kikil	k AC i AK k AC i AK l AD
kiko	k AC i AK k AC o AM ʔ AJ
kilay	k AC i AK l AD a AK j AB
kilikili	k AC i AK l AD i AK k AC i AK l AD i AK
kilo	k AC i AK l AD o AM ʔ AJ
kilos	k AC i AK l AD o AM s AH
kilusan	k AC i AK l AD u AM s AH a AK n AF
kimika	k AC i AK m AE ɪ AK k AC ɐ AM
kindat	k AC i AK n AF ʔ AJ d AC a AK t AC
king	k AC i AK ŋ AF
kintsay	k AC i AK n AF t AC ʃ AH a AK i AK
kita	k AC i AK t AC a AK
kitikiti	k AC i AK t AC i AK k AC i AK t AC i AK
kiyo	k AC i AK j AB o AM ʔ AJ
klima	k AC l AD i AK m AE a AK
klinika	k AC l AD i AK n AF i AK k AC a AK
kloropila	k AC l AD o AM r BA o AM p AG i AK l AD ɐ AM
ko	k AC ɔ AM
kolera	k AC o AM l AD ɛ AK ɾ BD a AK
komander	k AC o AM m AE a AK n AF d AC ɛ AK ɾ BD
kombinasyon	k AC o AM m AE b AG i AK n AF a AK s AH j AB o AM n AF
komedya	k AC o AM m AE ɛ AK d AC j AB a AK
komento	k AC o AM m AE ɛ AK n AF t AC o AM
kometa	k AC o AM m AE ɛ AK t AC a AK
kompleto	k AC o AM m AE p AG l AD ɛ AK t AC o AM
komplikasyon	k AC o AM m AE p AG l AD i AK k AC a AK s AH j AB o AM n AF
komunidad	k AC o AM m AE u AM n AF i AK d AC a AK d AC
komunikasyon	k AC o AM m AE u AM n AF i AK k AC a AK s AH j AB o AM n AF
komunista	k AC o AM m AE u AM n AF i AK s AH t AC ɐ AM
kondenahin	k AC o AM n AF d AC ɛ AK n AF a AK h AA i AK n AF
kondisyon	k AC o AM n AF d AC i AK s AH j AB o AM n AF
kong	k AC ɔ AM ŋ AF
konstitusyon	k AC o AM n AF s AH t AC i AK t AC u AM s AH j AB o AM n AF
konsumisyon	k AC o AM n AF s AH u AM m AE i AK s AH j AB o AM n AF
kontak	k AC o AM n AF t AC a AK k AC
kontakin	k AC o AM n AF t AC a AK k AC i AK n AF
kontrobersiya	k AC o AM n AF t AC ɾ BD o AM b AG ɛ AK ɾ BD s AH j AB a AK
koral	k AC o AM ɾ BD a AK l AD
korona	k AC o AM ɾ BD o AM n AF a AK
koronahan	k AC o AM ɾ BD o AM n AF a AK h AA a AK n AF
koronel	k AC o AM ɾ BD o AM n AF ɛ AK l AD
kotse	k AC o AM t AC ʃ AH ɛ AK
krimen	k AC ɾ BD i AK m AE ɛ AK n AF
kriminal	k AC ɾ BD i AK m AE i AK n AF a AK l AD
kritiko	k AC ɾ BD i AK t AC i AK k AC o AM
kromatina	k AC r BA o AM m AE ɐ AM t AC i AK n AF ɐ AM
kromosoma	k AC r BA o AM m AE o AM s AH o AM m AE ɐ AM
kroni	k AC ɾ BD o AM n AF i AK
kroniyismo	k AC ɾ BD o AM n AF i AK j AB i AK s AH m AE o AM
kua	k AC w AI a AK
kuba	k AC u AM b AG a AK ʔ AJ
kubeta	k AC u AM b AG ɛ AK t AC a AK
kubo	k AC u AM b AG o AM
kudkurin	k AC u AM d AC k AC u AM ɾ BD i AK n AF
kuha	k AC u AM h AA a AK
kulambo	k AC u AM l AD a AK m AE b AG o AM ʔ AJ
kulangi	k AC u AM l AD a AK ŋ AF i AK ʔ AJ
kulangot	k AC u AM l AD a AK ŋ AF o AM t AC
kulasim	k AC u AM l AD a AK s AH i AK m AE
kulay	k AC u AM l AD a AK j AB
kulayin	k AC u AM l AD a AK j AB i AK n AF
kulaylawas	k AC u AM l AD a AK j AB l AD a AK w AI a AK s AH
kulayputol	k AC u AM l AD a AK j AB p AG u AM t AC o AM l AD
kulig	k AC u AM l AD i AK ɡ AC
kulimlim	k AC u AM l AD i AK m AE l AD i AK m AE
kuliti	k AC u AM l AD i AK t AC i AK ʔ AJ
kulos	k AC u AM l AD o AM s AH
kulugo	k AC u AM l AD u AM ɡ AC o AM
kumabig	k AC u AM m AE a AK b AG i AK ɡ AC
kumain	k AC u AM m AE a AK ʔ AJ i AK n AF
kumanta	k AC u AM m AE a AK n AF t AC a AK
kumbensiyon	k AC u AM m AE b AG ɛ AK n AF s AH i AK o AM n AF
kumbento	k AC u AM m AE b AG ɛ AK n AF t AC o AM
kumbinsihin	k AC u AM m AE b AG i AK n AF s AH i AK h AA i AK n AF
kumbulsiyon	k AC u AM m AE b AG u AM l AD s AH i AK o AM n AF
kumintab	k AC u AM m AE i AK n AF t AC a AK b AG
kumot	k AC u AM m AE o AM t AC
kumpas	k AC u AM m AE p AG a AK s AH
kumpederasyon	k AC u AM m AE p AG ɛ AK d AC ɛ AK ɾ BD a AK s AH j AB o AM n AF
kumpisal	k AC u AM m AE p AG i AK s AH a AK l AD
kumpyansa	k AC u AM m AE p AG j AB a AK n AF s AH a AK
kumuha	k AC u AM m AE u AM h AA a AK
kumulimlim	k AC u AM m AE u AM l AD i AK m AE l AD i AK m AE
kumunoy	k AC u AM m AE u AM n AF o AM i AK
kumupas	k AC u AM m AE u AM p AG a AK s AH
kumusta	k AC u AM m AE u AM s AH t AC a AK
