अ	ə AG
डिमांड	ɖ AB ɪ AG m AE ɑː AG ɳ AB ɖ AB
डिल्डो	ɖ AB ɪ AG l AD ɖ AB oː AH
डी	ɖ AB iː AG
डीज़ल	ɖ AB iː AG z AB ə AG l AD
डीयू	ɖ AB iː AG j AA uː AH
डील	ɖ AB iː AG l AD
डुबकी	ɖ AB ʊ AH b AE k AB iː AG
डुबोना	ɖ AB ʊ AH b AE oː AH n AB ɑː AG
डुलना	ɖ AB ʊ AH l AD n AB ɑː AG
डूंगर	ɖ AB uː AH ŋ AB ɡ AB ə AG ɾ AJ
डेटा	ɖ AB eː AG ʈ AB ɑː AG
डेढ़	ɖ AB eː AG ɽʱ AL
डेनमार्क	ɖ AB eː AG n AB m AE ɑː AG ɾ AJ k AB
डेरा	ɖ AB eː AG ɾ AJ ɑː AG
डोई	ɖ AB oː AH iː AG
डोनट	ɖ AB oː AH n AB ə AG ʈ AB
डोर	ɖ AB oː AH ɾ AJ
डोरी	ɖ AB oː AH ɾ AJ iː AG
डोलना	ɖ AB oː AH l AD n AB ɑː AG
डोला	ɖ AB oː AH l AD ɑː AG
डोली	ɖ AB oː AH l AD iː AG
ड्यूक	ɖ AB j AA uː AH k AB
ढ	ɖʱ AC ə AG
ढंग	ɖʱ AC ə AG ŋ AB ɡ AB
ढकना	ɖʱ AC ə AG k AB n AB ɑː AG
ढलना	ɖʱ AC ə AG l AD n AB ɑː AG
ढ़	ɽʱ AL ə AG
ढाँचा	ɖʱ AC ɑ̃ː AG t AB ʃ AB ɑː AG
ढांचा	ɖʱ AC ɑ̃ː AG t AB ʃ AB ɑː AG
ढाई	ɖʱ AC ɑː AG iː AG
ढाका	ɖʱ AC ɑː AG k AB ɑː AG
ढाबा	ɖʱ AC ɑː AG b AE ɑː AG
ढाल	ɖʱ AC ɑː AG l AD
ढालना	ɖʱ AC ɑː AG l AD n AB ɑː AG
ढिशूम	ɖʱ AC ɪ AG ʃ AB uː AH m AE
ढीठ	ɖʱ AC iː AG ʈʰ AC
ढील	ɖʱ AC iː AG l AD
ढूँढना	ɖʱ AC uː AH ɳ AB ɖʱ AC n AB ɑː AG
ढूँढ़ना	ɖʱ AC ũː ɽʱ AL n AB ɑː AG
ढूंढ	ɖʱ AC uː AH ɳ AB ɖʱ AC
ढेर	ɖʱ AC eː AG ɾ AJ
ढेला	ɖʱ AC eː AG l AD ɑː AG
ढोंग	ɖʱ AC oː AH ŋ AB ɡ AB
ढोंढ़ी	ɖʱ AC õː ɽʱ AL iː AG
ढोकला	ɖʱ AC oː AH k AB l AD ɑː AG
ढोका	ɖʱ AC oː AH k AB ɑː AG
ढोटा	ɖʱ AC oː AH ʈ AB ɑː AG
ढोना	ɖʱ AC oː AH n AB ɑː AG
ढोर	ɖʱ AC oː AH ɾ AJ
ढोल	ɖʱ AC oː AH l AD
ण	ɳ AB ə AG
त	t̪ AB ə AG
तंग	t̪ AB ə AG ŋ AB ɡ AB
तंज़	t̪ AB ə̃ AG z AB
तंज़ानिया	t̪ AB ə̃ AG z AB ɑː AG n AB ɪ AG j AA ɑː AG
तंज़ीम	t̪ AB ə̃ AG z AB iː AG m AE
तंदुरुस्त	t̪ AB ə AG n AB d̪ AB ʊ AH ɾ AJ ʊ AH s AB t̪ AB
तंदुरुस्ती	t̪ AB ə AG n AB d̪ AB ʊ AH ɾ AJ ʊ AH s AB t̪ AB iː AG
तंदूरी	t̪ AB ə AG n AB d̪ AB uː AH ɾ AJ iː AG
तंबाकु	t̪ AB ə AG m AE b AE ɑː AG k AB uː AH
तंबू	t̪ AB ə AG m AE b AE uː AH
तंबोल	t̪ AB ə AG m AE b AE oː AH l AD
तंबोला	t̪ AB ə AG m AE b AE oː AH l AD ɑː AG
तक	t̪ AB ə AG k AB
तकरार	t̪ AB ə AG k AB ɾ AJ ɑː AG ɾ AJ
तकलीफ़	t̪ AB ə AG k AB l AD iː AG pʰ AF
तकलीफ़देह	t̪ AB ə AG k AB l AD iː AG pʰ AF d̪ AB eː AG ɦ AI
तकल्लुफ़	t̪ AB ə AG k AB ə AG l AD l AD ʊ AH pʰ AF
तक़दीर	t̪ AB ə AG q AB d̪ AB iː AG ɾ AJ
तक़रीबन	t̪ AB ə AG q AB ɾ AJ iː AG b AE ə AG n AB
तक़रीर	t̪ AB ə AG q AB ɾ AJ iː AG ɾ AJ
तक़सीम	t̪ AB ə AG q AB s AB iː AG m AE
तक़ाज़ा	t̪ AB ə AG q AB ɑː AG z AB ɑː AG
तकिया	t̪ AB ə AG k AB ɪ AG j AA ɑː AG
तक्षशिला	t̪ AB ə AG k AB ʂ AB ə AG ʃ AB ɪ AG l AD ɑː AG
तख़लिया	t̪ AB ə AG x AB l AD ɪ AG j AA ɑː AG
तख़ल्लुस	t̪ AB ə AG x AB ə AG l AD l AD ʊ AH s AB
तख़्त	t̪ AB ə AG x AB t̪ AB
तख़्तापलट	t̪ AB ə AG x AB t̪ AB ɑː AG p AE ə AG l AD ə AG ʈ AB
तख्त	t̪ AB ə AG x AB t̪ AB
तगड़ा	t̪ AB ə AG ɡ AB ɽ AJ ɑː AG
तग़ाफ़ुल	t̪ AB ə AG ɣ AB ɑː AG f AE ʊ AH l AD
तजना	t̪ AB ə AG d AB ʒ AB n AB ɑː AG
तजुर्बा	t̪ AB ə AG d AB ʒ AB ʊ AH ɾ AJ b AE ɑː AG
तटस्थ	t̪ AB ə AG ʈ AB ə AG s AB t̪ʰ AC
तटस्थीकरण	t̪ AB ə AG ʈ AB ə AG s AB t̪ʰ AC iː AG k AB ə AG ɾ AJ ə AG ɳ AB
तड़का	t̪ AB ə AG ɽ AJ k AB ɑː AG
तड़पना	t̪ AB ə AG ɽ AJ ə AG p AE n AB ɑː AG
तड़ित	t̪ AB ə AG ɽ AJ ɪ AG t̪ AB
तत्कालीन	t̪ AB ə AG t̪ AB k AB ɑː AG l AD iː AG n AB
तत्क्षण	t̪ AB ə AG t̪ AB k AB ʂ AB ə AG ɳ AB
तत्पर	t̪ AB ə AG t̪ AB p AE ə AG ɾ AJ
तत्परता	t̪ AB ə AG t̪ AB p AE ə AG ɾ AJ t̪ AB ɑː AG
तत्पश्चात्	t̪ AB ə AG t̪ AB p AE ə AG ʃ AB t AB ʃ AB ɑː AG t̪ AB
तत्वज्ञान	t̪ AB ə AG t̪ AB ʋ AK ə AG ɡ AB j AA ɑː AG n AB
तत्सम	t̪ AB ə AG t̪ AB s AB ə AG m AE
तथा	t̪ AB ə AG t̪ʰ AC ɑː AG
तथापि	t̪ AB ə AG t̪ʰ AC ɑː AG p AE iː AG
तदुपरांत	t̪ AB ə AG d̪ AB ʊ AH p AE ɾ AJ ɑː AG n AB t̪ AB
तद्भव	t̪ AB ə AG d̪ AB bʱ AF ə AG ʋ AK
तन	t̪ AB ə AG n AB
तनख़्वाह	t̪ AB ə AG n AB x AB ʋ AK ɑː AG ɦ AI
तनना	t̪ AB ə AG n AB n AB ɑː AG
तनहाई	t̪ AB ə AG n AB ɦ AI ɑː AG iː AG
तना	t̪ AB ə AG n AB ɑː AG
तनाव	t̪ AB ə AG n AB ɑː AG ʋ AK
तनावपूर्ण	t̪ AB ə AG n AB ɑː AG ʋ AK p AE uː AH ɾ AJ ɳ AB
तन्दूरी	t̪ AB ə AG n AB d̪ AB uː AH ɾ AJ iː AG
तपना	t̪ AB ə AG p AE n AB ɑː AG
तपस्वी	t̪ AB ə AG p AE ə AG s AB ʋ AK iː AG
तपेदिक़	t̪ AB ə AG p AE eː AG d̪ AB ɪ AG q AB
तब	t̪ AB ə AG b AE
तबदील	t̪ AB ə AG b AE d̪ AB iː AG l AD
तबला	t̪ AB ə AG b AE l AD ɑː AG
तबादला	t̪ AB ə AG b AE ɑː AG d̪ AB l AD ɑː AG
तबाशीर	t̪ AB ə AG b AE ɑː AG ʃ AB iː AG ɾ AJ
तबाह	t̪ AB ə AG b AE ɑː AG ɦ AI
तबाही	t̪ AB ə AG b AE ɑː AG ɦ AI iː AG
तबीब	t̪ AB ə AG b AE iː AG b AE
तबीयत	t̪ AB ə AG b AE iː AG j AA ə AG t̪ AB
तबेला	t̪ AB ə AG b AE eː AG l AD ɑː AG
तमंचा	t̪ AB ə AG m AE ə AG n AB t AB ʃ AB ɑː AG
तमग़ा	t̪ AB ə AG m AE ɣ AB ɑː AG
तमन्ना	t̪ AB ə AG m AE ə AG n AB n AB ɑː AG
तमाचा	t̪ AB ə AG m AE ɑː AG t AB ʃ AB ɑː AG
तमाम	t̪ AB ə AG m AE ɑː AG m AE
तमिल	t̪ AB ə AG m AE ɪ AG l AD
तमीज़	t̪ AB ə AG m AE iː AG z AB
तमे	t̪ AB ə AG m AE eː AG
तय	t̪ AB ə AG j AA
तर	t̪ AB ə AG ɾ AJ
तरंग	t̪ AB ə AG ɾ AJ ə AG ŋ AB ɡ AB
तरक़्क़ी	t̪ AB ə AG ɾ AJ ə AG q AB q AB iː AG
तरकारी	t̪ AB ə AG ɾ AJ k AB ɑː AG ɾ AJ iː AG
तरक्की	t̪ AB ə AG ɾ AJ ə AG q AB q AB iː AG
तरण	t̪ AB ə AG ɾ AJ ə AG ɳ AB
तरणक्रीड़ा	t̪ AB ə AG ɾ AJ ɳ AB ə AG k AB ɾ AJ iː AG ɽ AJ ɑː AG
तरणताल	t̪ AB ə AG ɾ AJ ə AG ɳ AB t̪ AB ɑː AG l AD
तरतीब	t̪ AB ə AG ɾ AJ t̪ AB iː AG b AE
तरफ	t̪ AB ə AG ɾ AJ ə AG pʰ AF
तरफ़	t̪ AB ə AG ɾ AJ ə AG pʰ AF
तरफ़दार	t̪ AB ə AG ɾ AJ ə AG pʰ AF d̪ AB ɑː AG ɾ AJ
तरबूज़	t̪ AB ə AG ɾ AJ b AE uː AH z AB
तरबूज़ा	t̪ AB ə AG ɾ AJ b AE uː AH z AB ɑː AG
तरस्विनी	t̪ AB ə AG ɾ AJ ə AG s AB ʋ AK ɪ AG n AB iː AG
तरह	t̪ AB ə AG ɾ AJ ɦ AI ə AG
तराई	t̪ AB ə AG ɾ AJ ɑː AG iː AG
तराज़ू	t̪ AB ə AG ɾ AJ ɑː AG z AB uː AH
तराना	t̪ AB ə AG ɾ AJ ɑː AG n AB ɑː AG
तराशना	t̪ AB ə AG ɾ AJ ɑː AG ʃ AB n AB ɑː AG
तराशा	t̪ AB ə AG ɾ AJ ɑː AG ʃ AB ɑː AG
तरीक़ा	t̪ AB ə AG ɾ AJ iː AG q AB ɑː AG
तरीका	t̪ AB ə AG ɾ AJ iː AG q AB ɑː AG
तरेरना	t̪ AB ə AG ɾ AJ eː AG ɾ AJ n AB ɑː AG
तरोताज़ा	t̪ AB ə AG ɾ AJ oː AH t̪ AB ɑː AG z AB ɑː AG
तर्क	t̪ AB ə AG ɾ AJ k AB
तर्जनी	t̪ AB ə AG ɾ AJ d AB ʒ AB ə AG n AB iː AG
तर्ज़	t̪ AB ə AG ɾ AJ z AB
तर्जुमा	t̪ AB ə AG ɾ AJ d AB ʒ AB ʊ AH m AE ɑː AG
तर्जुमान	t̪ AB ə AG ɾ AJ d AB ʒ AB ʊ AH m AE ɑː AG n AB
तल	t̪ AB ə AG l AD
तलक	t̪ AB ə AG l AD ə AG k AB
तलना	t̪ AB ə AG l AD n AB ɑː AG
तलब	t̪ AB ə AG l AD ə AG b AE
तलवा	t̪ AB ə AG l AD ʋ AK ɑː AG
तलवार	t̪ AB ə AG l AD ʋ AK ɑː AG ɾ AJ
तलहटी	t̪ AB ə AG l AD ə AG ɦ AI ʈ AB iː AG
तला	t̪ AB ə AG l AD ɑː AG
तलाव	t̪ AB ə AG l AD ɑː AG ʋ AK
तलाश	t̪ AB ə AG l AD ɑː AG ʃ AB
तलाशी	t̪ AB ə AG l AD ɑː AG ʃ AB iː AG
तले	t̪ AB ə AG l AD eː AG
तल्ख़	t̪ AB ə AG l AD x AB
तल्ख़ी	t̪ AB ə AG l AD x AB iː AG
तव	t̪ AB ə AG ʋ AK
तवारीख़	t̪ AB ə AG ʋ AK ɑː AG ɾ AJ iː AG x AB
तशद्दुद	t̪ AB ə AG ʃ AB ə AG d̪ AB d̪ AB ʊ AH d̪ AB
तशरीफ़	t̪ AB ə AG ʃ AB ɾ AJ iː AG pʰ AF
तश्तरी	t̪ AB ə AG ʃ AB t̪ AB ə AG ɾ AJ iː AG
तसमा	t̪ AB ə AG s AB m AE ɑː AG
तसला	t̪ AB ə AG s AB l AD ɑː AG
तसल्ली	t̪ AB ə AG s AB ə AG l AD l AD iː AG
तसव्वुर	t̪ AB ə AG s AB ə AG ʋ AK ʋ AK ʊ AH ɾ AJ
तस्कर	t̪ AB ə AG s AB k AB ə AG ɾ AJ
तस्करी	t̪ AB ə AG s AB k AB ə AG ɾ AJ iː AG
तस्दीक़	t̪ AB ə AG s AB d̪ AB iː AG q AB
तस्वीर	t̪ AB ə AG s AB ʋ AK iː AG ɾ AJ
तह	t̪ AB ə AG ɦ AI
तहज़ीब	t̪ AB ə AG ɦ AI z AB iː AG b AE
तहत	t̪ AB ə AG ɦ AI ə AG t̪ AB
तहरी	t̪ AB ə AG ɦ AI ɾ AJ iː AG
तहलका	t̪ AB ə AG ɦ AI ə AG l AD k AB ɑː AG
तहसील	t̪ AB ə AG ɦ AI s AB iː AG l AD
ता	t̪ AB ɑː AG
ताँबा	t̪ AB ɑː AG m AE b AE ɑː AG
ताइवान	t̪ AB ɑː AG ɪ AG ʋ AK ɑː AG n AB
ताई	t̪ AB ɑː AG iː AG
ताऊ	t̪ AB ɑː AG uː AH
ताक	t̪ AB ɑː AG k AB
ताकना	t̪ AB ɑː AG k AB n AB ɑː AG
ताक़त	t̪ AB ɑː AG q AB ə AG t̪ AB
ताक़तवर	t̪ AB ɑː AG q AB ə AG t̪ AB ʋ AK ə AG ɾ AJ
ताकि	t̪ AB ɑː AG k AB iː AG
ताज	t̪ AB ɑː AG d AB ʒ AB
ताजपोशी	t̪ AB ɑː AG d AB ʒ AB p AE oː AH ʃ AB iː AG
ताज़ा	t̪ AB ɑː AG z AB ɑː AG
ताजिकिस्तान	t̪ AB ɑː AG d AB ʒ AB ɪ AG k AB ɪ AG s AB t̪ AB ɑː AG n AB
ताड़	t̪ AB ɑː AG ɽ AJ
ताड़ी	t̪ AB ɑː AG ɽ AJ iː AG
तातार	t̪ AB ɑː AG t̪ AB ɑː AG ɾ AJ
तात्क्षणिक	t̪ AB ɑː AG t̪ AB k AB ʂ AB ə AG ɳ AB ɪ AG k AB
तादाद	t̪ AB ɑː AG d̪ AB ɑː AG d̪ AB
तान	t̪ AB ɑː AG n AB
तानना	t̪ AB ɑː AG n AB n AB ɑː AG
तानाशाह	t̪ AB ɑː AG n AB ɑː AG ʃ AB ɑː AG ɦ AI
ताप	t̪ AB ɑː AG p AE
तापक्रम	t̪ AB ɑː AG p AE ə AG k AB ɾ AJ ə AG m AE
तापना	t̪ AB ɑː AG p AE n AB ɑː AG
ताबीर	t̪ AB ɑː AG b AE iː AG ɾ AJ
तामील	t̪ AB ɑː AG m AE iː AG l AD
ताया	t̪ AB ɑː AG j AA ɑː AG
तारख़ाना	t̪ AB ɑː AG ɾ AJ x AB ɑː AG n AB ɑː AG
तारपीन	t̪ AB ɑː AG ɾ AJ p AE iː AG n AB
तारा	t̪ AB ɑː AG ɾ AJ ɑː AG
तारीख़	t̪ AB ɑː AG ɾ AJ iː AG x AB
तारीफ	t̪ AB ɑː AG ɾ AJ iː AG pʰ AF
तारीफ़	t̪ AB ɑː AG ɾ AJ iː AG pʰ AF
ताल	t̪ AB ɑː AG l AD
तालमेल	t̪ AB ɑː AG l AD m AE eː AG l AD
तालव्य	t̪ AB ɑː AG l AD ə AG ʋ AK j AA ə AG
तालाब	t̪ AB ɑː AG l AD ɑː AG b AE
तालाबंदी	t̪ AB ɑː AG l AD ɑː AG b AE ə AG n AB d̪ AB iː AG
तालिका	t̪ AB ɑː AG l AD ɪ AG k AB ɑː AG
तालिब	t̪ AB ɑː AG l AD ɪ AG b AE
तालियों	t̪ AB ɑː AG l AD ɪ AG j AA õː
तालीम	t̪ AB ɑː AG l AD iː AG m AE
तालु	t̪ AB ɑː AG l AD uː AH
ताल्लुक	t̪ AB ɑː AG l AD l AD ʊ AH q AB
ताल्लुक़	t̪ AB ɑː AG l AD l AD ʊ AH q AB
तावीज़	t̪ AB ɑː AG ʋ AK iː AG z AB
ताश	t̪ AB ɑː AG ʃ AB
ताशकंद	t̪ AB ɑː AG ʃ AB k AB ə AG n AB d̪ AB
तासीर	t̪ AB ɑː AG s AB iː AG ɾ AJ
तिंदिश	t̪ AB ɪ AG n AB d̪ AB ɪ AG ʃ AB
तिकड़म	t̪ AB ɪ AG k AB ɽ AJ ə AG m AE
तिक्की	t̪ AB ɪ AG k AB k AB iː AG
तिजोरी	t̪ AB ɪ AG d AB ʒ AB oː AH ɾ AJ iː AG
तितली	t̪ AB ɪ AG t̪ AB l AD iː AG
तिथि	t̪ AB ɪ AG t̪ʰ AC iː AG
तिनका	t̪ AB ɪ AG n AB k AB ɑː AG
तिनसुकिया	t̪ AB ɪ AG n AB s AB ʊ AH k AB ɪ AG j AA ɑː AG
तिपहिया	t̪ AB ɪ AG p AE ə AG ɦ AI ɪ AG j AA ɑː AG
तिब्बत	t̪ AB ɪ AG b AE b AE ə AG t̪ AB
तिब्बती	t̪ AB ɪ AG b AE b AE ə AG t̪ AB iː AG
तिमाही	t̪ AB ɪ AG m AE ɑː AG ɦ AI iː AG
तिय	t̪ AB ɪ AG j AA
तिरंगा	t̪ AB ɪ AG ɾ AJ ə AG ŋ AB ɡ AB ɑː AG
तिरछा	t̪ AB ɪ AG ɾ AJ t AB ʃʰ AC ɑː AG
तिरपन	t̪ AB ɪ AG ɾ AJ p AE ə AG n AB
तिरपाल	t̪ AB ɪ AG ɾ AJ p AE ɑː AG l AD
तिरसठ	t̪ AB ɪ AG ɾ AJ s AB ə AG ʈʰ AC
तिरस्कार	t̪ AB ɪ AG ɾ AJ ə AG s AB k AB ɑː AG ɾ AJ
तिरानवे	t̪ AB ɪ AG ɾ AJ ɑː AG n AB ʋ AK eː AG
तिरासी	t̪ AB ɪ AG ɾ AJ ɑː AG s AB iː AG
तिरुचिरापल्ली	t̪ AB ɪ AG ɾ AJ ʊ AH t AB ʃ AB ɪ AG ɾ AJ ɑː AG p AE ə AG l AD l AD iː AG
तिरुवनंतपुरम	t̪ AB ɪ AG ɾ AJ ʊ AH ʋ AK ə AG n AB ə AG n AB t̪ AB ə AG p AE ʊ AH ɾ AJ ə AG m AE
तिरूपुर	t̪ AB ɪ AG ɾ AJ uː AH p AE ʊ AH ɾ AJ
तिल	t̪ AB ɪ AG l AD
तिलंगा	t̪ AB ɪ AG l AD ə AG ŋ AB ɡ AB ɑː AG
तिलक	t̪ AB ɪ AG l AD ə AG k AB
तिलचट्टा	t̪ AB ɪ AG l AD t AB ʃ AB ə AG ʈ AB ʈ AB ɑː AG
तिलहन	t̪ AB ɪ AG l AD ɦ AI ə AG n AB
तिल्ली	t̪ AB ɪ AG l AD l AD iː AG
तिहत्तर	t̪ AB ɪ AG ɦ AI ə AG t̪ AB t̪ AB ə AG ɾ AJ
तीखा	t̪ AB iː AG kʰ AC ɑː AG
तीज	t̪ AB iː AG d AB ʒ AB
तीतर	t̪ AB iː AG t̪ AB ə AG ɾ AJ
तीन	t̪ AB iː AG n AB
तीर	t̪ AB iː AG ɾ AJ
तीरंदाज़	t̪ AB iː AG ɾ AJ ə AG n AB d̪ AB ɑː AG z AB
तीरंदाज़ी	t̪ AB iː AG ɾ AJ ə AG n AB d̪ AB ɑː AG z AB iː AG
तीली	t̪ AB iː AG l AD iː AG
तीव्रता	t̪ AB iː AG ʋ AK ɾ AJ ə AG t̪ AB ɑː AG
तीस	t̪ AB iː AG s AB
तीसरा	t̪ AB iː AG s AB ɾ AJ ɑː AG
तुंग	t̪ AB ʊ AH ŋ AB ɡ AB
तुकांत	t̪ AB ʊ AH k AB ɑː AG n AB t̪ AB
तुक्का	t̪ AB ʊ AH k AB k AB ɑː AG
तुग़लक़	t̪ AB ʊ AH ɣ AB l AD ə AG q AB
तुझ	t̪ AB ʊ AH d AB ʒʱ
तुफ़ंग	t̪ AB ʊ AH pʰ AF ə AG ŋ AB ɡ AB
तुम	t̪ AB ʊ AH m AE
तुमने	t̪ AB ʊ AH m AE n AB eː AG
तुम्हारा	t̪ AB ʊ AH m AE ɦ AI ɑː AG ɾ AJ ɑː AG
तुम्हें	t̪ AB ʊ AH m AE ɦ AI ẽː
तुरन्त	t̪ AB ʊ AH ɾ AJ ə AG n AB t̪ AB
तुरही	t̪ AB ʊ AH ɾ AJ ɦ AI iː AG
तुरुप	t̪ AB ʊ AH ɾ AJ ʊ AH p AE
तुर्क	t̪ AB ʊ AH ɾ AJ k AB
तुर्कमेनिस्तान	t̪ AB ʊ AH ɾ AJ k AB m AE eː AG n AB ɪ AG s AB t̪ AB ɑː AG n AB
तुर्किस्तान	t̪ AB ʊ AH ɾ AJ k AB ɪ AG s AB t̪ AB ɑː AG n AB
तुर्की	t̪ AB ʊ AH ɾ AJ k AB iː AG
तुलनात्मक	t̪ AB ʊ AH l AD ə AG n AB ɑː AG t̪ AB m AE ə AG k AB
तुलसी	t̪ AB ʊ AH l AD s AB iː AG
तुलसीदास	t̪ AB ʊ AH l AD s AB iː AG d̪ AB ɑː AG s AB
तुलित	t̪ AB ʊ AH l AD ɪ AG t̪ AB
तुष्टीकरण	t̪ AB ʊ AH ʂ AB ʈ AB iː AG k AB ə AG ɾ AJ ə AG ɳ AB
तू	t̪ AB uː AH
तूने	t̪ AB uː AH n AB eː AG
तूफ़ान	t̪ AB uː AH pʰ AF ɑː AG n AB
तृण	t̪ AB ɾ AJ ɪ AG ɳ AB
तृष्णा	t̪ AB ɾ AJ ɪ AG ʂ AB ɳ AB ɑː AG
तेईस	t̪ AB eː AG iː AG s AB
तेज	t̪ AB eː AG d AB ʒ AB
तेजपत्ता	t̪ AB eː AG d AB ʒ AB p AE ə AG t̪ AB t̪ AB ɑː AG
तेजपुर	t̪ AB eː AG d AB ʒ AB p AE ʊ AH ɾ AJ
तेज़ाब	t̪ AB eː AG z AB ɑː AG b AE
तेरह	t̪ AB eː AG ɾ AJ ə AG ɦ AI
तेरा	t̪ AB eː AG ɾ AJ ɑː AG
तेरे	t̪ AB eː AG ɾ AJ eː AG
तेल	t̪ AB eː AG l AD
तेलंगाना	t̪ AB eː AG l AD ə AG ŋ AB ɡ AB ɑː AG n AB ɑː AG
तेलुगू	t̪ AB eː AG l AD ʊ AH ɡ AB uː AH
तेवर	t̪ AB eː AG ʋ AK ə AG ɾ AJ
तेहरान	t̪ AB eː AG ɦ AI ɾ AJ ɑː AG n AB
तैंतालीस	t̪ AB ɛː AG n AB t̪ AB ɑː AG l AD iː AG s AB
तैंतीस	t̪ AB ɛː AG n AB t̪ AB iː AG s AB
तैनात	t̪ AB ɛː AG n AB ɑː AG t̪ AB
तैनाती	t̪ AB ɛː AG n AB ɑː AG t̪ AB iː AG
तो	t̪ AB oː AH
तोंदी	t̪ AB oː AH n AB d̪ AB iː AG
तोता	t̪ AB oː AH t̪ AB ɑː AG
तोती	t̪ AB oː AH t̪ AB iː AG
तोपची	t̪ AB oː AH p AE t AB ʃ AB iː AG
तोमर	t̪ AB oː AH m AE ə AG ɾ AJ
तोहफ़ा	t̪ AB oː AH ɦ AI pʰ AF ɑː AG
तौबा	t̪ AB ə AG ʊ AH b AE ɑː AG
तौर	t̪ AB ɔː AH ɾ AJ
तौल	t̪ AB ɔː AH l AD
तौलिया	t̪ AB ɔː AH l AD ɪ AG j AA ɑː AG
तौहीन	t̪ AB ɔː AH ɦ AI iː AG n AB
त्यागना	t̪ AB j AA ɑː AG ɡ AB n AB ɑː AG
त्यों	t̪ AB j AA õː
त्यौहार	t̪ AB j AA ɔː AH ɦ AI ɑː AG ɾ AJ
त्र	t̪ AB ɾ AJ ə AG
त्रय	t̪ AB ɾ AJ ə AG j AA
त्रासद	t̪ AB ɾ AJ ɑː AG s AB ə AG d̪ AB
त्रासदी	t̪ AB ɾ AJ ɑː AG s AB d̪ AB iː AG
त्रिज्या	t̪ AB ɾ AJ ɪ AG d AB ʒ AB j AA ɑː AG
त्रिपुरा	t̪ AB ɾ AJ ɪ AG p AE ʊ AH ɾ AJ ɑː AG
त्रिभुज	t̪ AB ɾ AJ ɪ AG bʱ AF ʊ AH d AB ʒ AB
त्रिमूर्ति	t̪ AB ɾ AJ ɪ AG m AE uː AH ɾ AJ t̪ AB iː AG
त्रुटि	t̪ AB ɾ AJ ʊ AH ʈ AB iː AG
त्रुटिपूर्ण	t̪ AB ɾ AJ ʊ AH ʈ AB ɪ AG p AE uː AH ɾ AJ ɳ AB
त्वचा	t̪ AB ʋ AK ə AG t AB ʃ AB ɑː AG
त्वरण	t̪ AB ʋ AK ə AG ɾ AJ ə AG ɳ AB
त्वरित	t̪ AB ʋ AK ə AG ɾ AJ ɪ AG t̪ AB
थ	t̪ʰ AC ə AG
थकना	t̪ʰ AC ə AG k AB n AB ɑː AG
थकान	t̪ʰ AC ə AG k AB ɑː AG n AB
थकावट	t̪ʰ AC ə AG k AB ɑː AG ʋ AK ə AG ʈ AB
थकित	t̪ʰ AC ə AG k AB ɪ AG t̪ AB
थन	t̪ʰ AC ə AG n AB
थपथपाना	t̪ʰ AC ə AG p AE ə AG t̪ʰ AC p AE ɑː AG n AB ɑː AG
थप्पड़	t̪ʰ AC ə AG p AE p AE ə AG ɽ AJ
थमना	t̪ʰ AC ə AG m AE n AB ɑː AG
थमाना	t̪ʰ AC ə AG m AE ɑː AG n AB ɑː AG
थरथराना	t̪ʰ AC ə AG ɾ AJ t̪ʰ AC ə AG ɾ AJ ɑː AG n AB ɑː AG
थर्राना	t̪ʰ AC ə AG ɾ AJ ɾ AJ ɑː AG n AB ɑː AG
था	t̪ʰ AC ɑː AG
थाइलैंड	t̪ʰ AC ɑː AG ɪ AG l AD ɛː AG ɳ AB ɖ AB
थाई	t̪ʰ AC ɑː AG iː AG
थाईलैंड	t̪ʰ AC ɑː AG iː AG l AD ɛː AG ɳ AB ɖ AB
थाना	t̪ʰ AC ɑː AG n AB ɑː AG
थानेदार	t̪ʰ AC ɑː AG n AB eː AG d̪ AB ɑː AG ɾ AJ
थापना	t̪ʰ AC ɑː AG p AE n AB ɑː AG
थापा	t̪ʰ AC ɑː AG p AE ɑː AG
थामना	t̪ʰ AC ɑː AG m AE n AB ɑː AG
थाली	t̪ʰ AC ɑː AG l AD iː AG
थी	t̪ʰ AC iː AG
थीं	t̪ʰ AC ĩː
थू	t̪ʰ AC uː AH
थूक	t̪ʰ AC uː AH k AB
थूकना	t̪ʰ AC uː AH k AB n AB ɑː AG
थूथन	t̪ʰ AC uː AH t̪ʰ AC ə AG n AB
थे	t̪ʰ AC eː AG
थैंक्स	t̪ʰ AC ɛː AG ŋ AB k AB s AB
थैला	t̪ʰ AC ɛː AG l AD ɑː AG
थोक	t̪ʰ AC oː AH k AB
थोड़ा	t̪ʰ AC oː AH ɽ AJ ɑː AG
थोपना	t̪ʰ AC oː AH p AE n AB ɑː AG
द	d̪ AB ə AG
दंग	d̪ AB ə AG ŋ AB ɡ AB
दंगल	d̪ AB ə AG ŋ AB ɡ AB ə AG l AD
दंगा	d̪ AB ə AG ŋ AB ɡ AB ɑː AG
दंड	d̪ AB ə AG ɳ AB ɖ AB
दंत	d̪ AB ə AG n AB t̪ AB
दंतकथा	d̪ AB ə AG n AB t̪ AB k AB ə AG t̪ʰ AC ɑː AG
दंतमंजन	d̪ AB ə AG n AB t̪ AB m AE ə AG n AB d AB ʒ AB ə AG n AB
दंदान	d̪ AB ə AG n AB d̪ AB ɑː AG n AB
