अ	ə AF
पुड़िया	p ʊ AD ɽ ɪ AF j AA ɑː AB
पुणे	p ʊ AD ɳ eː AB
पुण्डरी	p ʊ AD ɳ ɖ ɾ iː AB
पुण्यतिथि	p ʊ AD ɳ j AA ə AF t̪ ɪ AF t̪ʰ iː AB
पुतना	p ʊ AD t̪ n ɑː AB
पुतला	p ʊ AD t̪ l ɑː AB
पुतली	p ʊ AD t̪ l iː AB
पुत्री	p ʊ AD t̪ ɾ iː AB
पुदीना	p ʊ AD d̪ iː AB n ɑː AB
पुनः	p ʊ AD n ə AF ɦ AE
पुनःप्रवेश	p ʊ AD n ə AF ɦ AE p ɾ ə AF ʋ AI eː AB ʃ
पुनरुत्थान	p ʊ AD n ə AF ɾ ʊ AD t̪ t̪ʰ ɑː AB n
पुनर्गठन	p ʊ AD n ə AF ɾ ɡ ə AF ʈʰ ə AF n
पुनर्जन्म	p ʊ AD n ə AF ɾ d ʒ ə AF n ə AF m
पुनर्जीवित	p ʊ AD n ə AF ɾ d ʒ iː AB ʋ AI ɪ AF t̪
पुनर्दर्शनाय	p ʊ AD n ə AF ɾ d̪ ə AF ɾ ʃ ə AF n ɑː AB j AA
पुनर्निर्धारण	p ʊ AD n ə AF ɾ n ɪ AF ɾ d̪ʱ ɑː AB ɾ ə AF ɳ
पुनर्निर्माण	p ʊ AD n ə AF ɾ n ɪ AF ɾ m ɑː AB ɳ
पुनश्च	p ʊ AD n ə AF ʃ t ʃ ə AF
पुर	p ʊ AD ɾ
पुरज़ा	p ʊ AD ɾ z ɑː AB
पुरस्कार	p ʊ AD ɾ ə AF s k ɑː AB ɾ
पुरा	p ʊ AD ɾ ɑː AB
पुराण	p ʊ AD ɾ ɑː AB ɳ
पुरातत्वज्ञ	p ʊ AD ɾ ɑː AB t̪ ə AF t̪ ʋ AI ə AF ɡ j AA
पुरातात्विक	p ʊ AD ɾ ɑː AB t̪ ɑː AB t̪ ʋ AI ɪ AF k
पुराना	p ʊ AD ɾ ɑː AB n ɑː AB
पुरुष	p ʊ AD ɾ ʊ AD ʂ
पुरुषोचित	p ʊ AD ɾ ʊ AD ʂ oː AC t ʃ ɪ AF t̪
पुरोहित	p ʊ AD ɾ oː AC ɦ AE ɪ AF t̪
पुर्तगाल	p ʊ AD ɾ t̪ ə AF ɡ ɑː AB l
पुर्तगाली	p ʊ AD ɾ t̪ ə AF ɡ ɑː AB l iː AB
पुर्त॰	p ʊ AD ɾ t̪
पुल	p ʊ AD l
पुलिंदा	p ʊ AD l ɪ AF n d̪ ɑː AB
पुलिस	p ʊ AD l ɪ AF s
पुलिसकर्मी	p ʊ AD l ɪ AF s k ə AF ɾ m iː AB
पुल्लिंग	p ʊ AD l l ɪ AF ŋ ɡ
पुश्तैनी	p ʊ AD ʃ t̪ ɛː AB n iː AB
पुष्कलावती	p ʊ AD ʂ k ə AF l ɑː AB ʋ AI ə AF t̪ iː AB
पुष्टीकरण	p ʊ AD ʂ ʈ iː AB k ə AF ɾ ə AF ɳ
पुष्प	p ʊ AD ʂ p
पुस्तक	p ʊ AD s t̪ ə AF k
पुस्तकालय	p ʊ AD s t̪ ə AF k ɑː AB l ə AF j AA
पुस्तिका	p ʊ AD s t̪ ɪ AF k ɑː AB
पूँछ	p ũː t ʃʰ
पूंजी	p uː AC n d ʒ iː AB
पूंजीवाद	p uː AC n d ʒ iː AB ʋ AI ɑː AB d̪
पूंडरी	p uː AC ɳ ɖ ɾ iː AB
पूछ	p uː AC t ʃʰ
पूछताछ	p uː AC t ʃʰ t̪ ɑː AB t ʃʰ
पूछना	p uː AC t ʃʰ n ɑː AB
पूजना	p uː AC d ʒ n ɑː AB
पूजा	p uː AC d ʒ ɑː AB
पूत	p uː AC t̪
पूनम	p uː AC n ə AF m
पूय	p uː AC j AA
पूरब	p uː AC ɾ ə AF b
पूरबी	p uː AC ɾ b iː AB
पूरा	p uː AC ɾ ɑː AB
पूरी	p uː AC ɾ iː AB
पूर्ण	p uː AC ɾ ɳ
पूर्णकालिक	p uː AC ɾ ɳ k ɑː AB l ɪ AF k
पूर्णतः	p uː AC ɾ ɳ ə AF t̪ ə AF ɦ AE
पूर्णबंदी	p uː AC ɾ ɳ b ə AF n d̪ iː AB
पूर्णांक	p uː AC ɾ ɳ ɑ̃ː AH k
पूर्णिमा	p uː AC ɾ ɳ ɪ AF m ɑː AB
पूर्व	p uː AC ɾ ʋ AI
पूर्वकथन	p uː AC ɾ ʋ AI ə AF k t̪ʰ ə AF n
पूर्वज	p uː AC ɾ ʋ AI ə AF d ʒ
पूर्ववर्ती	p uː AC ɾ ʋ AI ʋ AI ə AF ɾ t̪ iː AB
पूर्वस्नातक	p uː AC ɾ ʋ AI s n ɑː AB t̪ ə AF k
पूर्वाग्रह	p uː AC ɾ ʋ AI ɑː AB ɡ ɾ ə AF ɦ AE
पूर्वानुमान	p uː AC ɾ ʋ AI ɑː AB n ʊ AD m ɑː AB n
पूर्वी	p uː AC ɾ ʋ AI iː AB
पूर्वोक्त	p uː AC ɾ ʋ AI oː AC k t̪
पृथक्करण	p ɾ ɪ AF t̪ʰ ə AF k k ə AF ɾ ə AF ɳ
पृथ्वी	p ɾ ɪ AF t̪ʰ ʋ AI iː AB
पृष्ट	p ɾ ɪ AF ʂ ʈ
पृष्ठभूमि	p ɾ ɪ AF ʂ ʈʰ bʱ uː AC m iː AB
पे	p eː AB
पेंशन	p eː AB n ʃ ə AF n
पेंसिल	p eː AB n s ɪ AF l
पेच	p eː AB t ʃ
पेचकस	p eː AB t ʃ k ə AF s
पेचीदा	p eː AB t ʃ iː AB d̪ ɑː AB
पेज	p eː AB d ʒ
पेट	p eː AB ʈ
पेटी	p eː AB ʈ iː AB
पेटू	p eː AB ʈ uː AC
पेटेंट	p eː AB ʈ eː AB ɳ ʈ
पेट्रोल	p eː AB ʈ ɾ oː AC l
पेठा	p eː AB ʈʰ ɑː AB
पेड	p eː AB ɽ
पेड़	p eː AB ɽ
पेड़ा	p eː AB ɽ ɑː AB
पेन	p eː AB n
पेन्सिलवेनिया	p eː AB n s ɪ AF l ʋ AI eː AB n ɪ AF j AA ɑː AB
पेप्सी	p eː AB p s iː AB
पेय	p eː AB j AA
पेरिस	p eː AB ɾ ɪ AF s
पेरू	p eː AB ɾ uː AC
पेश	p eː AB ʃ
पेशवा	p eː AB ʃ ʋ AI ɑː AB
पेशा	p eː AB ʃ ɑː AB
पेशाब	p eː AB ʃ ɑː AB b
पेशावर	p eː AB ʃ ɑː AB ʋ AI ə AF ɾ
पेशी	p eː AB ʃ iː AB
पेशेवर	p eː AB ʃ eː AB ʋ AI ə AF ɾ
पैंट	p ɛː AB ɳ ʈ
पैंतरा	p ɛː AB n t̪ ɾ ɑː AB
पैंतालीस	p ɛː AB n t̪ ɑː AB l iː AB s
पैंतीस	p ɛː AB n t̪ iː AB s
पैंसठ	p ɛː AB n s ə AF ʈʰ
पैकार	p ɛː AB k ɑː AB ɾ
पैकेट	p ɛː AB k eː AB ʈ
पैग़ाम	p ɛː AB ɣ ɑː AB m
पैज	p ɛː AB d ʒ
पैठ	p ɛː AB ʈʰ
पैदाइश	p ɛː AB d̪ ɑː AB ɪ AF ʃ
पैदाइशी	p ɛː AB d̪ ɑː AB ɪ AF ʃ iː AB
पैदावार	p ɛː AB d̪ ɑː AB ʋ AI ɑː AB ɾ
पैना	p ɛː AB n ɑː AB
पैमाना	p ɛː AB m ɑː AB n ɑː AB
पैर	p ɛː AB ɾ
पैराग्वे	p ɛː AB ɾ ɑː AB ɡ ʋ AI eː AB
पैरोकार	p ɛː AB ɾ oː AC k ɑː AB ɾ
पैसा	p ɛː AB s ɑː AB
पोंछना	p oː AC n t ʃʰ n ɑː AB
पोखरा	p oː AC kʰ ɾ ɑː AB
पोत	p oː AC t̪
पोतना	p oː AC t̪ n ɑː AB
पोता	p oː AC t̪ ɑː AB
पोती	p oː AC t̪ iː AB
पोथी	p oː AC t̪ʰ iː AB
पोपला	p oː AC p l ɑː AB
पोलिश	p oː AC l ɪ AF ʃ
पोलैंड	p oː AC l ɛː AB ɳ ɖ
पोशाक	p oː AC ʃ ɑː AB k
पौंड	p ɔː AC ɳ ɖ
पौदा	p ɔː AC d̪ ɑː AB
पौध	p ɔː AC d̪ʱ
पौधा	p ɔː AC d̪ʱ ɑː AB
पौन	p ɔː AC n
पौना	p ɔː AC n ɑː AB
पौने	p ɔː AC n eː AB
पौर	p ɔː AC ɾ
पौराणिक	p ɔː AC ɾ ɑː AB ɳ ɪ AF k
पौरुष	p ɔː AC ɾ ʊ AD ʂ
पौष	p ɔː AC ʂ
पौष्टिक	p ɔː AC ʂ ʈ ɪ AF k
प्याऊ	p j AA ɑː AB uː AC
प्याज	p j AA ɑː AB z
प्याज़	p j AA ɑː AB z
प्यादा	p j AA ɑː AB d̪ ɑː AB
प्यार	p j AA ɑː AB ɾ
प्यास	p j AA ɑː AB s
प्यासा	p j AA ɑː AB s ɑː AB
प्योंगचांग	p j AA oː AC ŋ ɡ t ʃ ɑː AB ŋ ɡ
प्योंगचैंग	p j AA oː AC ŋ ɡ t ʃ ɛː AB ŋ ɡ
प्योंगयांग	p j AA oː AC ŋ ɡ j AA ɑː AB ŋ ɡ
प्रकट	p ɾ ə AF k ə AF ʈ
प्रकांड	p ɾ ə AF k ɑː AB ɳ ɖ
प्रकार	p ɾ ə AF k ɑː AB ɾ
प्रकार्यात्मक	p ɾ ə AF k ɑː AB ɾ j AA ɑː AB t̪ m ə AF k
प्रकाश	p ɾ ə AF k ɑː AB ʃ
प्रकाशक	p ɾ ə AF k ɑː AB ʃ ə AF k
प्रकाशन	p ɾ ə AF k ɑː AB ʃ ə AF n
प्रकासम	p ɾ ə AF k ɑː AB s ə AF m
प्रकीर्णन	p ɾ ə AF k iː AB ɾ ɳ ə AF n
प्रक्रम	p ɾ ə AF k ɾ ə AF m
प्रक्रिया	p ɾ ə AF k ɾ ɪ AF j AA ɑː AB
प्रगति	p ɾ ə AF ɡ ə AF t̪ iː AB
प्रगतिवाद	p ɾ ə AF ɡ ə AF t̪ ɪ AF ʋ AI ɑː AB d̪
प्रगतिवादी	p ɾ ə AF ɡ ə AF t̪ ɪ AF ʋ AI ɑː AB d̪ iː AB
प्रगतिशील	p ɾ ə AF ɡ ə AF t̪ ɪ AF ʃ iː AB l
प्रचंड	p ɾ ə AF t ʃ ə AF ɳ ɖ
प्रचलित	p ɾ ə AF t ʃ ə AF l ɪ AF t̪
प्रचार	p ɾ ə AF t ʃ ɑː AB ɾ
प्रचारक	p ɾ ə AF t ʃ ɑː AB ɾ ə AF k
प्रचारिणी	p ɾ ə AF t ʃ ɑː AB ɾ ɪ AF ɳ iː AB
प्रचारित	p ɾ ə AF t ʃ ɑː AB ɾ ɪ AF t̪
प्रचारी	p ɾ ə AF t ʃ ɑː AB ɾ iː AB
प्रजनन	p ɾ ə AF d ʒ ə AF n ə AF n
प्रजा	p ɾ ə AF d ʒ ɑː AB
प्रजातंत्रवाद	p ɾ ə AF d ʒ ɑː AB t̪ ə AF n t̪ ɾ ə AF ʋ AI ɑː AB d̪
प्रज्वलित	p ɾ ə AF d ʒ ʋ AI ə AF l ɪ AF t̪
प्रण	p ɾ ə AF ɳ
प्रणाम	p ɾ ə AF ɳ ɑː AB m
प्रणाली	p ɾ ə AF ɳ ɑː AB l iː AB
प्रताड़ित	p ɾ ə AF t̪ ɑː AB ɽ ɪ AF t̪
प्रताप	p ɾ ə AF t̪ ɑː AB p
प्रतापी	p ɾ ə AF t̪ ɑː AB p iː AB
प्रतिकर्षण	p ɾ ə AF t̪ ɪ AF k ə AF ɾ ʂ ə AF ɳ
प्रतिकर्षी	p ɾ ə AF t̪ ɪ AF k ə AF ɾ ʂ iː AB
प्रतिक्रमण	p ɾ ə AF t̪ ɪ AF k ɾ ə AF m ə AF ɳ
प्रतिक्रिया	p ɾ ə AF t̪ ɪ AF k ɾ ɪ AF j AA ɑː AB
प्रतिक्रियावादी	p ɾ ə AF t̪ ɪ AF k ɾ ɪ AF j AA ɑː AB ʋ AI ɑː AB d̪ iː AB
प्रतिच्छेद	p ɾ ə AF t̪ ɪ AF t ʃ t ʃʰ eː AB d̪
प्रतिज्ञा	p ɾ ə AF t̪ ɪ AF ɡ j AA ɑː AB
प्रतिज्ञापन	p ɾ ə AF t̪ ɪ AF ɡ j AA ɑː AB p ə AF n
प्रतिध्वनि	p ɾ ə AF t̪ ɪ AF d̪ʱ ʋ AI ə AF n iː AB
प्रतिनिधि	p ɾ ə AF t̪ ɪ AF n ɪ AF d̪ʱ iː AB
प्रतिफल	p ɾ ə AF t̪ ɪ AF pʰ ə AF l
प्रतिबंध	p ɾ ə AF t̪ ɪ AF b ə AF n d̪ʱ
प्रतिबंधित	p ɾ ə AF t̪ ɪ AF b ə AF n d̪ʱ ɪ AF t̪
प्रतिबिंब	p ɾ ə AF t̪ ɪ AF b ɪ AF m b
प्रतिभा	p ɾ ə AF t̪ ɪ AF bʱ ɑː AB
प्रतिभूति	p ɾ ə AF t̪ ɪ AF bʱ uː AC t̪ iː AB
प्रतिमा	p ɾ ə AF t̪ ɪ AF m ɑː AB
प्रतिमाह	p ɾ ə AF t̪ ɪ AF m ɑː AB ɦ AE
प्रतियोगिता	p ɾ ə AF t̪ ɪ AF j AA oː AC ɡ ɪ AF t̪ ɑː AB
प्रतिरूप	p ɾ ə AF t̪ ɪ AF ɾ uː AC p
प्रतिरोध	p ɾ ə AF t̪ ɪ AF ɾ oː AC d̪ʱ
प्रतिरोधक	p ɾ ə AF t̪ ɪ AF ɾ oː AC d̪ʱ ə AF k
प्रतिरोधकता	p ɾ ə AF t̪ ɪ AF ɾ oː AC d̪ʱ ə AF k t̪ ɑː AB
प्रतिलोम	p ɾ ə AF t̪ ɪ AF l oː AC m
प्रतिशत	p ɾ ə AF t̪ ɪ AF ʃ ə AF t̪
प्रतिशोध	p ɾ ə AF t̪ ɪ AF ʃ oː AC d̪ʱ
प्रतिश्याय	p ɾ ə AF t̪ ɪ AF ʃ j AA ɑː AB j AA
प्रतिस्पर्धा	p ɾ ə AF t̪ ɪ AF s p ə AF ɾ d̪ʱ ɑː AB
प्रतीक	p ɾ ə AF t̪ iː AB k
प्रतीकात्मक	p ɾ ə AF t̪ iː AB k ɑː AB t̪ m ə AF k
प्रतीति	p ɾ ə AF t̪ iː AB t̪ iː AB
प्रत्यक्षदर्शी	p ɾ ə AF t̪ j AA ə AF k ʂ d̪ ə AF ɾ ʃ iː AB
प्रत्यक्षीकरण	p ɾ ə AF t̪ j AA ə AF k ʂ iː AB k ə AF ɾ ə AF ɳ
प्रत्यय	p ɾ ə AF t̪ j AA ə AF j AA
प्रत्यर्पण	p ɾ ə AF t̪ j AA ə AF ɾ p ə AF ɳ
प्रत्यर्पित	p ɾ ə AF t̪ j AA ə AF ɾ p ɪ AF t̪
प्रत्याशा	p ɾ ə AF t̪ j AA ɑː AB ʃ ɑː AB
प्रत्याशी	p ɾ ə AF t̪ j AA ɑː AB ʃ iː AB
प्रत्येक	p ɾ ə AF t̪ j AA eː AB k
प्रथमतः	p ɾ ə AF t̪ʰ ə AF m t̪ ə AF ɦ AE
प्रदत्त	p ɾ ə AF d̪ ə AF t̪ t̪
प्रदर्शन	p ɾ ə AF d̪ ə AF ɾ ʃ ə AF n
प्रदर्शित	p ɾ ə AF d̪ ə AF ɾ ʃ ɪ AF t̪
प्रदाता	p ɾ ə AF d̪ ɑː AB t̪ ɑː AB
प्रदान	p ɾ ə AF d̪ ɑː AB n
प्रदूषण	p ɾ ə AF d̪ uː AC ʂ ə AF ɳ
प्रदेश	p ɾ ə AF d̪ eː AB ʃ
प्रधान	p ɾ ə AF d̪ʱ ɑː AB n
प्रधानाध्यापक	p ɾ ə AF d̪ʱ ɑː AB n ɑː AB d̪ʱ j AA ɑː AB p ə AF k
प्रबंध	p ɾ ə AF b ə AF n d̪ʱ
प्रबंधक	p ɾ ə AF b ə AF n d̪ʱ ə AF k
प्रबंधकर्ता	p ɾ ə AF b ə AF n d̪ʱ k ə AF ɾ t̪ ɑː AB
प्रबन्ध	p ɾ ə AF b ə AF n d̪ʱ
प्रबल	p ɾ ə AF b ə AF l
प्रभात	p ɾ ə AF bʱ ɑː AB t̪
प्रभारी	p ɾ ə AF bʱ ɑː AB ɾ iː AB
प्रभाव	p ɾ ə AF bʱ ɑː AB ʋ AI
प्रभावकारी	p ɾ ə AF bʱ ɑː AB ʋ AI k ɑː AB ɾ iː AB
प्रभावित	p ɾ ə AF bʱ ɑː AB ʋ AI ɪ AF t̪
प्रभावी	p ɾ ə AF bʱ ɑː AB ʋ AI iː AB
प्रभु	p ɾ ə AF bʱ uː AC
प्रमाण	p ɾ ə AF m ɑː AB ɳ
प्रमाणभूत	p ɾ ə AF m ɑː AB ɳ bʱ uː AC t̪
प्रमुख	p ɾ ə AF m ʊ AD kʰ
प्रयत्नशील	p ɾ ə AF j AA ə AF t̪ n ə AF ʃ iː AB l
प्रयास	p ɾ ə AF j AA ɑː AB s
प्रयोग	p ɾ ə AF j AA oː AC ɡ
प्रयोगकर्ता	p ɾ ə AF j AA oː AC ɡ k ə AF ɾ t̪ ɑː AB
प्रयोगशाला	p ɾ ə AF j AA oː AC ɡ ʃ ɑː AB l ɑː AB
प्रयोजन	p ɾ ə AF j AA oː AC d ʒ ə AF n
प्रलय	p ɾ ə AF l ə AF j AA
प्रवक्ता	p ɾ ə AF ʋ AI ə AF k t̪ ɑː AB
प्रवचन	p ɾ ə AF ʋ AI ə AF t ʃ ə AF n
प्रवर्तक	p ɾ ə AF ʋ AI ə AF ɾ t̪ ə AF k
प्रवास	p ɾ ə AF ʋ AI ɑː AB s
प्रवाह	p ɾ ə AF ʋ AI ɑː AB ɦ AE
प्रविष्टि	p ɾ ə AF ʋ AI ɪ AF ʂ ʈ iː AB
प्रवीण	p ɾ ə AF ʋ AI iː AB ɳ
प्रवीणता	p ɾ ə AF ʋ AI iː AB ɳ t̪ ɑː AB
प्रवृत्ति	p ɾ ə AF ʋ AI ɾ ɪ AF t̪ t̪ iː AB
प्रवेश	p ɾ ə AF ʋ AI eː AB ʃ
प्रशंसक	p ɾ ə AF ʃ ə AF n s ə AF k
प्रशंसा	p ɾ ə AF ʃ ə AF n s ɑː AB
प्रशासक	p ɾ ə AF ʃ ɑː AB s ə AF k
प्रशासन	p ɾ ə AF ʃ ɑː AB s ə AF n
प्रशासिक	p ɾ ə AF ʃ ɑː AB s ɪ AF k
प्रशिक्षण	p ɾ ə AF ʃ ɪ AF k ʂ ə AF ɳ
प्रश्न	p ɾ ə AF ʃ ə AF n
प्रश्नोत्तर	p ɾ ə AF ʃ n oː AC t̪ t̪ ə AF ɾ
प्रसंग	p ɾ ə AF s ə AF ŋ ɡ
प्रसव	p ɾ ə AF s ə AF ʋ AI
प्रसववेदना	p ɾ ə AF s ə AF ʋ AI ʋ AI eː AB d̪ n ɑː AB
प्रसाद	p ɾ ə AF s ɑː AB d̪
प्रसाधन	p ɾ ə AF s ɑː AB d̪ʱ ə AF n
प्रसारित	p ɾ ə AF s ɑː AB ɾ ɪ AF t̪
प्रसिद्धि	p ɾ ə AF s ɪ AF d̪ d̪ʱ iː AB
प्रस्ताव	p ɾ ə AF s t̪ ɑː AB ʋ AI
प्रस्तावक	p ɾ ə AF s t̪ ɑː AB ʋ AI ə AF k
प्रस्तुत	p ɾ ə AF s t̪ ʊ AD t̪
प्रस्तुति	p ɾ ə AF s t̪ ʊ AD t̪ iː AB
प्रस्थान	p ɾ ə AF s t̪ʰ ɑː AB n
प्रहार	p ɾ ə AF ɦ AE ɑː AB ɾ
प्रांगार	p ɾ ɑː AB ŋ ɡ ɑː AB ɾ
प्रांत	p ɾ ɑː AB n t̪
प्राकृत	p ɾ ɑː AB k ɾ ɪ AF t̪
प्राकृतिक	p ɾ ɑː AB k ɾ ɪ AF t̪ ɪ AF k
प्राक्कथन	p ɾ ɑː AB k k ə AF t̪ʰ ə AF n
प्रागितिहास	p ɾ ɑː AB ɡ ɪ AF t̪ ɪ AF ɦ AE ɑː AB s
प्रागैतिहासिक	p ɾ ɑː AB ɡ ɛː AB t̪ ɪ AF ɦ AE ɑː AB s ɪ AF k
प्राचल	p ɾ ɑː AB t ʃ ə AF l
प्राची	p ɾ ɑː AB t ʃ iː AB
प्राचीन	p ɾ ɑː AB t ʃ iː AB n
प्राच्यलवक	p ɾ ɑː AB t ʃ j AA ə AF l ə AF ʋ AI ə AF k
प्राण	p ɾ ɑː AB ɳ
प्राणवायु	p ɾ ɑː AB ɳ ʋ AI ɑː AB j AA uː AC
प्राणी	p ɾ ɑː AB ɳ iː AB
प्रातः	p ɾ ɑː AB t̪ ə AF ɦ AE
प्राथमिक	p ɾ ɑː AB t̪ʰ m ɪ AF k
प्रादेशिक	p ɾ ɑː AB d̪ eː AB ʃ ɪ AF k
प्राधिकार	p ɾ ɑː AB d̪ʱ ɪ AF k ɑː AB ɾ
प्राधिकारी	p ɾ ɑː AB d̪ʱ ɪ AF k ɑː AB ɾ iː AB
प्राध्यापक	p ɾ ɑː AB d̪ʱ j AA ɑː AB p ə AF k
प्राप्त	p ɾ ɑː AB p t̪
प्राप्ति	p ɾ ɑː AB p t̪ iː AB
प्राप्तिकर्ता	p ɾ ɑː AB p t̪ ɪ AF k ə AF ɾ t̪ ɑː AB
प्राप्तिका	p ɾ ɑː AB p t̪ ɪ AF k ɑː AB
प्राप्यक	p ɾ ɑː AB p j AA ə AF k
प्रामाणिक	p ɾ ɑː AB m ɑː AB ɳ ɪ AF k
प्रायः	p ɾ ɑː AB j AA ə AF ɦ AE
प्रायद्वीप	p ɾ ɑː AB j AA d̪ ʋ AI iː AB p
प्रायापिज़्म	p ɾ ɑː AB j AA ɑː AB p ɪ AF z m
प्रायिकता	p ɾ ɑː AB j AA ɪ AF k t̪ ɑː AB
प्रारंभ	p ɾ ɑː AB ɾ ə AF m bʱ
प्रारंभिक	p ɾ ɑː AB ɾ ə AF m bʱ ɪ AF k
प्रारम्भ	p ɾ ɑː AB ɾ ə AF m bʱ
प्रारम्भिक	p ɾ ɑː AB ɾ ə AF m bʱ ɪ AF k
प्रार्थना	p ɾ ɑː AB ɾ t̪ʰ ə AF n ɑː AB
प्रावधान	p ɾ ɑː AB ʋ AI d̪ʱ ɑː AB n
प्रावृत्ति	p ɾ ɑː AB ʋ AI ɾ ɪ AF t̪ t̪ iː AB
प्रासंगिक	p ɾ ɑː AB s ə AF ŋ ɡ ɪ AF k
प्रासंगिकता	p ɾ ɑː AB s ə AF ŋ ɡ ɪ AF k t̪ ɑː AB
प्रासाद	p ɾ ɑː AB s ɑː AB d̪
प्रासुक	p ɾ ɑː AB s ʊ AD k
प्रिंस	p ɾ ɪ AF n s
प्रिटोरिया	p ɾ ɪ AF ʈ oː AC ɾ ɪ AF j AA ɑː AB
प्रियवर	p ɾ ɪ AF j AA ʋ AI ə AF ɾ
प्रिया	p ɾ ɪ AF j AA ɑː AB
प्रेक्षित	p ɾ eː AB k ʂ ɪ AF t̪
प्रेम	p ɾ eː AB m
प्रेमिक	p ɾ eː AB m ɪ AF k
प्रेमिका	p ɾ eː AB m ɪ AF k ɑː AB
प्रेमी	p ɾ eː AB m iː AB
प्रेयसी	p ɾ eː AB j AA s iː AB
प्रेरणा	p ɾ eː AB ɾ ɳ ɑː AB
प्रेरित	p ɾ eː AB ɾ ɪ AF t̪
प्रेस	p ɾ eː AB s
प्रोग्राम	p ɾ oː AC ɡ ɾ ɑː AB m
प्रोटीन	p ɾ oː AC ʈ iː AB n
प्रोत्साहन	p ɾ oː AC t̪ s ɑː AB ɦ AE ə AF n
प्रोत्साहित	p ɾ oː AC t̪ s ɑː AB ɦ AE ɪ AF t̪
प्रोस्टेट	p ɾ oː AC s ʈ eː AB ʈ
प्रौढ़	p ɾ ɔː AC ɽʱ
प्रौद्योगिकी	p ɾ ɔː AC d̪ j AA oː AC ɡ ɪ AF k iː AB
प्लाविका	p l ɑː AB ʋ AI ɪ AF k ɑː AB
प्लीज़	p l iː AB z
प्लीहा	p l iː AB ɦ AE ɑː AB
फ	pʰ ə AF
फँसना	pʰ ə̃ AJ s n ɑː AB
फंदा	pʰ ə AF n d̪ ɑː AB
फक्कड़	pʰ ə AF k k ə AF ɽ
फट	pʰ ə AF ʈ
फटफटिया	pʰ ə AF ʈ pʰ ə AF ʈ ɪ AF j AA ɑː AB
फट्टू	pʰ ə AF ʈ ʈ uː AC
फड़फड़ाना	pʰ ə AF ɽ pʰ ə AF ɽ ɑː AB n ɑː AB
फफकना	pʰ ə AF pʰ ə AF k n ɑː AB
फफूँदी	pʰ ə AF pʰ uː AC n d̪ iː AB
फफोला	pʰ ə AF pʰ oː AC l ɑː AB
फरवरी	pʰ ə AF ɾ ʋ AI ə AF ɾ iː AB
फर्ज	pʰ ə AF ɾ d ʒ
फर्न	pʰ ə AF ɾ n
फर्नीचर	pʰ ə AF ɾ n iː AB t ʃ ə AF ɾ
फल	pʰ ə AF l
फलक	pʰ ə AF l ə AF k
फलन	pʰ ə AF l ə AF n
फलना	pʰ ə AF l n ɑː AB
फलस्वरूप	pʰ ə AF l ə AF s ʋ AI ə AF ɾ uː AC p
फलालैन	pʰ ə AF l ɑː AB l ɛː AB n
फली	pʰ ə AF l iː AB
फलो	pʰ ə AF l oː AC
फलों	pʰ ə AF l õː
फसल	pʰ ə AF s ə AF l
फ़	pʰ ə AF
फ़ंतासी	pʰ ə AF n t̪ ɑː AB s iː AB
फ़क़ीर	pʰ ə AF k iː AB ɾ
फ़ख़्र	pʰ ə AF kʰ ɾ
फ़ज़ूल	pʰ ə AF d ʒ uː AC l
फ़तवा	pʰ ə AF t̪ ʋ AI ɑː AB
फ़तह	pʰ ə AF t̪ ə AF ɦ AE
फ़ना	pʰ ə AF n ɑː AB
फ़रक़	pʰ ə AF ɾ k
फ़रमाइश	pʰ ə AF ɾ m ɑː AB ɪ AF ʃ
फ़रमान	pʰ ə AF ɾ m ɑː AB n
फ़रमाना	pʰ ə AF ɾ m ɑː AB n ɑː AB
फ़रवरी	pʰ ə AF ɾ ʋ AI ə AF ɾ iː AB
फ़रात	pʰ ə AF ɾ ɑː AB t̪
फ़रार	pʰ ə AF ɾ ɑː AB ɾ
फ़रिश्ता	pʰ ə AF ɾ ɪ AF ʃ t̪ ɑː AB
फ़रीदाबाद	pʰ ə AF ɾ iː AB d̪ ɑː AB b ɑː AB d̪
फ़रेब	pʰ ə AF ɾ eː AB b
फ़रोश	pʰ ə AF ɾ oː AC ʃ
फ़र्ज़ंद	pʰ ə AF ɾ d ʒ ə AF n d̪
फ़र्ज़न्द	pʰ ə AF ɾ d ʒ ə AF n d̪
फ़र्ज़ी	pʰ ə AF ɾ d ʒ iː AB
फ़र्रुख़ाबाद	pʰ ə AF ɾ ɾ ʊ AD kʰ ɑː AB b ɑː AB d̪
फ़र्श	pʰ ə AF ɾ ʃ
फ़लक	pʰ ə AF l ə AF k
फ़लसफ़ा	pʰ ə AF l s ə AF pʰ ɑː AB
फ़लस्तीनी	pʰ ə AF l ə AF s t̪ iː AB n iː AB
फ़व्वारा	pʰ ə AF ʋ AI ʋ AI ɑː AB ɾ ɑː AB
फ़सल	pʰ ə AF s ə AF l
फ़साना	pʰ ə AF s ɑː AB n ɑː AB
फ़ाख़्ता	pʰ ɑː AB kʰ t̪ ɑː AB
फ़ानी	pʰ ɑː AB n iː AB
फ़ायदा	pʰ ɑː AB j AA d̪ ɑː AB
फ़ारसी	pʰ ɑː AB ɾ s iː AB
फ़ारिग़	pʰ ɑː AB ɾ ɪ AF ɡ
फ़ालतू	pʰ ɑː AB l t̪ uː AC
फ़ालसा	pʰ ɑː AB l s ɑː AB
फ़ाश	pʰ ɑː AB ʃ
