'n	ə AK n
perfektivisch	p ɛ AK ʁ f ɛ AK k t iː AF v ɪ AK ʃ
perforieren	p ɛ AK ʁ f o AG ʁ iː AF ʁ ə AK n
performativ	p ɛ AK ʁ f ɔ AI ʁ m a AC t iː AF f
pergamenisch	p ɛ AK ʁ ɡ a AC m eː AF n ɪ AK ʃ
pergament	p ɛ AK ʁ ɡ a AC m ɛ AK n t
pergamenten	p ɛ AK ʁ ɡ a AC m ɛ AK n t n̩
perigäum	p e AE ʁ i AE ɡ ɛː AM ʊ AI m
perihel	p e AE ʁ i AE h AA eː AF l
perimortal	p e AE ʀ i AE m ɔ AI ʁ t aː AD l
perinatal	p e AE ʀ i AE n a AC t aː AD l
peripatetisch	p e AE ʀ i AE p a AC t eː AF t ɪ AK ʃ
peripetie	p e AE ʁ i AE p e AE t iː AF
periphrastisch	p e AE ʀ i AE f ʀ a AC s t ɪ AK ʃ
perkussiv	p ɛ AK ʁ k ʊ AI s iː AF f
perkutan	p ɛ AK ʁ k u AG t aː AD n
perl	p ɛ AK ʁ l
perle	p ɛ AK ʁ l ə AK
perlenförmig	p ɛ AK ʁ l ə AK n f œ AI ʁ m ɪ AK ç
perlenkette	p ɛ AK ʁ l ə AK n k ɛ AK t ə AK
perlhuhn	p ɛ AK ʁ l h AA uː AH n
perlmutt	p ɛ AK ʁ l m ʊ AI t
perlmutter	p ɛ AK ʁ l m ʊ AI t ɐ BE
perlmuttern	p ɛ AK ʁ l m ʊ AI t ɐ BE
perlokutiv	p ɛ AK ʁ l o AG k u AG t iː AF f
perm	p ɛ AK ʁ m
permanent	p ɛ AK ʁ m a AC n ɛ AK n t
permanenz	p ɛ AK ʁ m a AC n ɛ AK n t s
permeabel	p ɛ AK ʁ m e AE ʔ aː AD b l̩
permissiv	p ɛ AK ʁ m ɪ AK s iː AF f
permutabel	p ɛ AK ʁ m u AG t aː AD b l̩
perpendikel	p ɛ AK ʁ p ɛ AK n d iː AF k l̩
perpendikular	p ɛ AK ʁ p ɛ AK n d i AE k u AG l aː AD ɐ̯
perpetuell	p ɛ AK ʁ p e AE t u̯ BF ɛ AK l
perplex	p ɛ AK ʁ p l ɛ AK k s
perplexe	p ɛ AK ʁ p l ɛ AK k s ə AK
perplexer	p ɛ AK ʁ p l ɛ AK k s ɐ BE
perplexes	p ɛ AK ʁ p l ɛ AK k s ə AK s
person	p ɛ AK r z oː AH n
personal	p ɛ AK ʁ z o AG n aː AD l
personaler	p ɛ AK r z o AG n aː AD l ə AK r
personell	p ɛ AK ʁ z o AG n ɛ AK l
perspektive	p ɛ AK ʁ s p ɛ AK k t iː AF v ə AK
perspektivlos	p ɛ AK ʁ s p ɛ AK k t iː AF f l oː AH s
persuasiv	p ɛ AK ʁ z u̯ BF a AC z iː AF f
persönchen	p ɛ AK r z øː AH n ç ə AK n
persönlich	p ɛ AK ʁ z øː AH n l ɪ AK ç
persönlichkeit	p ɛ AK ʁ z øː AH n l ɪ AK ç k a AC ɪ̯ BB t
persönlichkeiten	p ɛ AK ʁ z øː AH n l ɪ AK ç k a AC ɪ̯ BB t ə AK n
peru	p e AE ʁ uː AH
peruaner	p e AE ʁ u AG aː AD n ɐ BE
peruanerin	p e AE ʁ u AG aː AD n ɐ BE ʁ ɪ AK n
peruanisch	p e AE ʁ u AG aː AD n ɪ AK ʃ
pervasiv	p ɛ AK ʁ v a AC z iː AF f
pervers	p ɛ AK ʁ v ɛ AK ʁ s
perversling	p ɛ AK ʁ v ɛ AK ʁ s l ɪ AK ŋ
perzeptiv	p ɛ AK ʁ t s ɛ AK p t iː AF f
perücke	p e AE r ʏ AI k ə AK
peschmerga	p ɛ AK ʃ m ɛ AK r ɡ a AC
peschmerge	p ɛ AK ʃ m ɛ AK r ɡ ə AK
pesen	p eː AF z ə AK n
peso	p eː AF z o AG
pessach	p ɛ AK s a AC x
pest	p ɛ AK s t
pestilenzartig	p ɛ AK s t i AE l ɛ AK n t s ʔ aː AD ɐ̯ t ɪ AK ç
pestwurz	p ɛ AK s t v ʊ AI ʁ t s
petabyte	p eː AF t a AC b a AC ɪ AK t
peter	p eː AF t ɐ BE
peterwagen	pʰ eː AF t ɐ BE v aː AD ɡ n̩
petra	p eː AF t ʀ a AC
petrischale	p eː AF t ʁ i AE ʃ aː AD l ə AK
petulanz	p ɛ AK t ʊ AI l a AC n t s
petze	p ɛ AK t s ə AK
petzen	p ɛ AK t s n̩
peugeot	p ə AK ʃ oː AH
pfad	p f aː AD t
pfade	p f aː AD d ə AK
pfadfinder	p f aː AD t f ɪ AK n d ɐ BE
pfahl	p f aː AD l
pfalz	p f a AC l t s
pfalzerzherzog	p f a AC l t s eː AF ɐ̯ t s h AA ɛ AK ʁ t s oː AH k
pfand	p f a AC n t
pfandbrief	p f a AC n t b ʁ iː AF f
pfandgeld	p f a AC n t ɡ ɛ AK l t
pfandhaus	p f a AC n t h AA a AC ʊ̯ BC s
pfanne	p f a AC n ə AK
pfannekuchen	p f a AC n ə AK k uː AH x ə AK n
pfannenwender	p f a AC n ə AK n v ɛ AK n d ɐ BE
pfannkuchen	p f a AC n k uː AH x ə AK n
pfarrerin	p f a AC ʁ ə AK ʁ ɪ AK n
pfarrhaus	p f a AC ʁ h AA a AC ʊ̯ BC s
pfarrhauses	p f a AC ʁ h AA a AC ʊ̯ BC z ə AK s
pfarrhäuser	p f a AC ʁ h AA ɔ AI ɪ̯ BB z ɐ BE
pfau	p f a AC ʊ̯ BC
pfautaube	p f a AC ʊ̯ BC t a AC ʊ̯ BC b ə AK
pfeffer	p f ɛ AK f ɐ BE
pfefferig	p f ɛ AK f ə AK ʀ ɪ AK ç
pfefferkorn	p f ɛ AK f ɐ BE k ɔ AI r n
pfefferminze	p f ɛ AK f ɐ BE m ɪ AK n t s ə AK
pfeffernuss	p f ɛ AK f ɐ BE n ʊ AI s
pfeffernüsse	p f ɛ AK f ɐ BE n ʏ AI s ə AK
pfeffersack	f ɛ AK f ɐ BE z a AC k
pfeffrig	p f ɛ AK f ʀ ɪ AK ç
pfeife	p f a AC ɪ̯ BB f ə AK
pfeifen	p f a AC ɪ̯ BB f ə AK n
pfeifer	p f a AC ɪ̯ BB f ɐ BE
pfeil	p f a AC ɪ̯ BB l
pfeile	p f a AC ɪ̯ BB l ə AK
pfeiler	p f a AC ɪ̯ BB l ɐ BE
pfeilers	p f a AC ɪ̯ BB l ɐ BE s
pfeiles	p f a AC ɪ̯ BB l ə AK s
pfeilförmig	p f a AC ɪ̯ BB l f œ AI ʁ m ɪ AK ç
pfeils	p f a AC ɪ̯ BB l s
pfeilschnell	p f a AC ɪ̯ BB l ʃ n ɛ AK l
pfennig	p f ɛ AK n ɪ AK ç
pfenniggut	p f ɛ AK n ɪ AK ç ɡ uː AH t
pferch	p f ɛ AK r ç
pferchen	p f ɛ AK ʁ ç n̩
pferd	p f ɛ AK r t
pferde	p f eː AF ɐ̯ d ə AK
pferdefuss	p f eː AF ɐ̯ d ə AK f uː AH s
pferdestärke	p f eː AF ɐ̯ d ə AK ʃ t eː AF ɐ̯ k ə AK
pfiff	p f ɪ AK f
pfiffe	p f ɪ AK f ə AK
pfifferling	p f ɪ AK f ɐ BE l ɪ AK ŋ
pfiffig	p f ɪ AK f ɪ AK ç
pfingsten	p f ɪ AK ŋ s t ə AK n
pfingstochse	p f ɪ AK ŋ s t ʔ ɔ AI k s ə AK
pfingstrose	p f ɪ AK ŋ s t ʁ oː AH z ə AK
pfingsttag	p f ɪ AK ŋ s t t aː AD k
pfirsich	p f ɪ AK ʁ z ɪ AK ç
pfirsichbaum	p f ɪ AK ʁ z ɪ AK ç b a AC ʊ̯ BC m
pfirsiche	p f ɪ AK ʁ z ɪ AK ç ə AK
pfirsichfarben	p f ɪ AK ʁ z ɪ AK ç f a AC ʁ b m̩
pflanz	p f l a AC n t s
pflanze	p f l a AC n t s ə AK
pflanzen	p f l a AC n t s ə AK n
pflanzend	p f l a AC n t s ə AK n t
pflanzenfressend	p f l a AC n t s n̩ f ʀ ɛ AK s n̩ t
pflanzenfresser	p f l a AC n t s n̩ f ʀ ɛ AK s ɐ BE
pflanzest	p f l a AC n t s ə AK s t
pflanzet	p f l a AC n t s ə AK t
pflanzlich	p f l a AC n t s l ɪ AK ç
pflanzt	p f l a AC n t s t
pflanzte	p f l a AC n t s t ə AK
pflanzten	p f l a AC n t s t ə AK n
pflanztest	p f l a AC n t s t ə AK s t
pflanztet	p f l a AC n t s t ə AK t
pflaster	p f l a AC s t ɐ BE
pflastern	p f l a AC s t ɐ BE n
pflaume	p f l a AC ʊ̯ BC m ə AK
pflaumenbaum	p f l a AC ʊ̯ BC m ə AK n b a AC ʊ̯ BC m
pflaumenkuchen	p f l a AC ʊ̯ BC m ə AK n k uː AH χ n̩
pflege	p f l eː AF ɡ ə AK
pflegebedürftig	p f l eː AF ɡ ə AK b ə AK d ʏ AI ʁ f t ɪ AK ç
pflegeeltern	p f l eː AF ɡ ə AK ʔ ɛ AK l t ɐ BE n
pflegeleicht	p f l eː AF ɡ ə AK l a AC ɪ̯ BB ç t
pflegemutter	p f l eː AF ɡ ə AK m ʊ AI t ɐ BE
pflegen	p f l eː AF ɡ ə AK n
pfleger	p f l eː AF ɡ ɐ BE
pflegerin	p f l eː AF ɡ ə AK ʁ ɪ AK n
pflegevater	p f l eː AF ɡ ə AK f aː AD t ɐ BE
pfleglich	p f l eː AF k l ɪ AK ç
pflicht	p f l ɪ AK ç t
pflichtbewusst	p f l ɪ AK ç t b ə AK v ʊ AI s t
pflichtig	p f l ɪ AK ç t ɪ AK ç
pflichtmässig	p f l ɪ AK ç t m ɛː AM s ɪ AK ç
pflichtschuldig	p f l ɪ AK ç t ʃ ʊ AI l d ɪ AK ç
pflichtvergessen	p f l ɪ AK ç t f ɛ AK ɐ̯ ɡ ɛ AK s n̩
pflichtversichert	p f l ɪ AK ç t f ɛ AK ɐ̯ z ɪ AK ç ɐ BE t
pflichtwidrig	p f l ɪ AK ç t v iː AF d ʀ ɪ AK ç
pflock	p f l ɔ AI k
pflug	p f l uː AH k
pflücken	p f l ʏ AI k ə AK n
pflügen	p f l yː AH ɡ ə AK n
pforte	p f ɔ AI ʁ t ə AK
pfosten	p f ɔ AI s t ə AK n
pfostens	p f ɔ AI s t ə AK n s
pfote	p f oː AH t ə AK
pfriem	p f ʁ iː AF m
pfropf	p f r ɔ AI p f
pfropfen	p f ʁ ɔ AI p f ə AK n
pfründe	p f ʁ ʏ AI n d ə AK
pfuhl	p f uː AH l
pfui	p f ʊ AI ɪ̯ BB
pfund	p f ʊ AI n t
pfundig	p f ʊ AI n d ɪ AK ç
pfusch	p f ʊ AI ʃ
pfuschen	p f ʊ AI ʃ ə AK n
pfuscher	p f ʊ AI ʃ ɛ AK ɐ̯
pfuschzettel	p f ʊ AI ʃ t s ɛ AK t ə AK l
pfähle	p f ɛː AM l ə AK
pfälzisch	p f ɛ AK l t s ɪ AK ʃ
pfänden	p f ɛ AK n d n̩
pfänder	p f ɛ AK n d ɐ BE
pförtchen	p f œ AI ʁ t ç ə AK n
pförtner	p f œ AI ʁ t n ɐ BE
pfühl	p f yː AH l
pfütze	p f ʏ AI t s ə AK
phaneromer	f a AC n e AE ʀ o AG m eː AF ɐ̯
phanerozoikum	f a AC n e AE ʀ o AG t s oː AH i AE k ʊ AI m
phantasmagorie	f a AC n t a AC s m a AC ɡ o AG ʁ iː AF
phantom	f a AC n t oː AH m
phantombild	f a AC n t oː AH m b ɪ AK l t
pharisäer	f a AC ʁ i AE z ɛː AM ɐ BE
pharmaindustrie	f a AC ʁ m a AC ʔ ɪ AK n d ʊ AI s t ʁ iː AF
phase	f aː AD z ə AK
phasen	f aː AD z ə AK n
phenylalanin	f e AE n yː AH l ʔ a AC l a AC n iː AF n
philatelie	f i AE l a AC t e AE l iː AF
philatelistisch	f i AE l a AC t e AE l ɪ AK s t ɪ AK ʃ
philerast	f i AE l e AE ʁ a AC s t
philister	f i AE l ɪ AK s t ɐ BE
philogynie	f i AE l o AG ɡ y AG n iː AF
philologe	f i AE l o AG l oː AH ɡ ə AK
philologin	f i AE l o AG l oː AH ɡ ɪ AK n
philologisch	f i AE l o AG l oː AH ɡ ɪ AK ʃ
philosoph	f i AE l o AG z oː AH f
philosophaster	f i AE l o AG z o AG f a AC s t ɐ BE
philosophie	f i AE l o AG z o AG f iː AF
philosophisch	f i AE l o AG z oː AH f ɪ AK ʃ
phonem	f o AG n eː AF m
phonematisch	f o AG n e AE m aː AD t ɪ AK ʃ
phoneme	f o AG n eː AF m ə AK
phonemen	f o AG n eː AF m ə AK n
phonemik	f o AG n eː AF m ɪ AK k
phonemisch	f o AG n eː AF m ɪ AK ʃ
phonems	f o AG n eː AF m s
phonetik	f o AG n eː AF t ɪ AK k
phonetisch	f o AG n eː AF t ɪ AK ʃ
phonologe	f o AG n o AG l oː AH ɡ ə AK
phonologie	f o AG n o AG l o AG ɡ iː AF
phonologin	f o AG n o AG l oː AH ɡ ɪ AK n
phonologisch	f o AG n o AG l oː AH ɡ ɪ AK ʃ
phonotaktisch	f o AG n o AG t a AC k t ɪ AK ʃ
phosphathaltig	f ɔ AI s f aː AD t h AA a AC l t ɪ AK ç
phosphor	f ɔ AI s f o AG ɐ BE
phosphorhaltig	f ɔ AI s f oː AH ɐ̯ h AA a AC l t ɪ AK ç
phosphorsäure	f ɔ AI s f o AG ɐ BE z ɔ AI ʏ AI ʁ ə AK
photon	f oː AH t ɔ AI n
phrase	f ʁ aː AD z ə AK
phraseologie	f ʀ a AC z e AE o AG l o AG ɡ iː AF
phraseologismus	f ʀ a AC z e AE o AG l o AG ɡ ɪ AK s m ʊ AI s
phrygisch	f ʁ yː AH ɡ ɪ AK ʃ
phyletisch	f y AG l eː AF t ɪ AK ʃ
phylogenetisch	f y AG l o AG ɡ e AE n eː AF t ɪ AK ʃ
physik	f y AG z ɪ AK k
physiker	f yː AH z i AE k ɐ BE
physikerin	f yː AH z i AE k ɐ BE ʁ ɪ AK n
physiologe	f y AG z i AE o AG l oː AH ɡ ə AK
physiologie	f y AG z i AE o AG l o AG ɡ iː AF
physiologin	f y AG z i AE o AG l oː AH ɡ ɪ AK n
phytosanitär	f yː AH t o AG z a AC n i AE t ɛː AM ɐ̯
phytotomie	f y AG t o AG t o AG m iː AF
phänomen	f ɛ AK n o AG m eː AF n
phänomenal	f ɛ AK n o AG m e AE n aː AD l
phänomene	f ɛ AK n o AG m eː AF n ə AK
phänomenologisch	f ɛ AK n o AG m e AE n o AG l oː AH ɡ ɪ AK ʃ
phänotypisch	f ɛ AK n o AG t yː AH p ɪ AK ʃ
phönix	f øː AH n ɪ AK k s
pianist	p i AE a AC n ɪ AK s t
pianisten	p i AE a AC n ɪ AK s t ə AK n
piano	p i AE aː AD n o AG
piccolo	p ɪ AK k o AG l o AG
picheln	p ɪ AK ç ə AK l n
pick	p ɪ AK k
pickel	p ɪ AK k ə AK l
pickelig	p ɪ AK k ə AK l ɪ AK ç
picken	p ɪ AK k ə AK n
picklig	p ɪ AK k l ɪ AK ç
picknick	p ɪ AK k n ɪ AK k
picobello	p iː AF k o AG b ɛ AK l o AG
piekfein	p iː AF k f a AC ɪ̯ BB n
pieksig	p iː AF k s ɪ AK ç
pietät	p iː AF ə AK t ɛː AM t
pietätlos	p iː AF ə AK t ɛː AM t l oː AH s
pietätlosigkeit	p iː AF ə AK t ɛː AM t l o AG z ɪ AK ç k a AC ɪ̯ BB t
pik	p iː AF k
pikaresk	p i AE k a AC ʀ ɛ AK s k
pikarisch	p i AE k aː AD ʀ ɪ AK ʃ
pikass	p iː AF k ʔ a AC s
pike	p iː AF k ə AK
pikieren	p i AE k iː AF ʀ ə AK n
pikte	p ɪ AK k t ə AK
pilgerfahrt	p ɪ AK l ɡ ɐ BE f aː AD ɐ̯ t
pilgermuschel	p ɪ AK l ɡ ɐ BE m ʊ AI ʃ ə AK l
pilgern	p ɪ AK l ɡ ɐ BE n
pille	p ɪ AK l ə AK
pilot	p i AE l oː AH t
pils	p ɪ AK l s
pilz	p ɪ AK l t s
pilzartig	p ɪ AK l t s aː AD ɐ̯ t ɪ AK ç
pilzförmig	p ɪ AK l t s f œ AI ʁ m ɪ AK ç
pilzsuppe	p ɪ AK l t s z ʊ AI p ə AK
pimmel	p ɪ AK m ə AK l
pimpelig	p ɪ AK m p ə AK l ɪ AK ç
pimpern	p ɪ AK m p ə AK ʁ n
pimpf	p ɪ AK m p f
pingelig	p ɪ AK ŋ ə AK l ɪ AK ç
pingen	p ɪ AK ŋ ə AK n
pinguin	p ɪ AK ŋ ɡ u̯ BF iː AF n
pinguine	p ɪ AK ŋ ɡ u AG iː AF n ə AK
pinienkern	p iː AF n i AE ə AK n k ɛ AK ʁ n
pink	p ɪ AK ŋ k
pinnchen	p ɪ AK n ç ə AK n
pinscher	p ɪ AK n ʃ ɐ BE
pinsel	p ɪ AK n z l̩
pinselstrich	p ɪ AK n z l̩ ʃ t ʁ ɪ AK ç
pinzette	p ɪ AK n t s ɛ AK t ə AK
pinöpel	p i AE n øː AH p ə AK l
pipette	p i AE p ɛ AK t ə AK
pipifax	p ɪ AK p i AE f a AC k s
pips	p ɪ AK p s
piranha	p i AE ʁ a AC n j AB a AC
pirat	p i AE ʁ aː AD t
piratenflagge	p i AE ʁ aː AD t n̩ f l a AC ɡ ə AK
piratenschiff	p i AE ʁ aː AD t ə AK n ʃ ɪ AK f
piratensender	p i AE ʁ aː AD t ə AK n z ɛ AK n d ɐ BE
piratin	p i AE ʁ aː AD t ɪ AK n
pirogge	p i AE ʁ ɔ AI ɡ ə AK
pirsch	p ɪ AK ʁ ʃ
pirschen	p ɪ AK ʁ ʃ ə AK n
pisa	p iː AF z a AC
piss	p ɪ AK s
pisse	p ɪ AK s ə AK
pissen	p ɪ AK s ə AK n
pisser	p ɪ AK s ɐ BE
pistole	p ɪ AK s t oː AH l ə AK
pithekoid	p i AE t e AE k o AG ʔ iː AF t
pitschepatschenass	p ɪ AK t ʃ ə AK p a AC t ʃ ə AK n a AC s
pitschnass	p ɪ AK t ʃ n a AC s
pittoresk	p ɪ AK t o AG ʁ ɛ AK s k
pixelig	p ɪ AK k s ə AK l ɪ AK ç
pizza	p ɪ AK t s ɐ BE
pizzeria	p iː AF t s e AE ʁ iː AF a AC
pjöngjang	p j AB œ AI ŋ j AB a AC ŋ
pkw	p eː AF k a AC v eː AF
plage	p l aː AD ɡ ə AK
plakat	p l a AC k aː AD t
plakativ	p l a AC k a AC t iː AF f
plan	p l aː AD n
planen	p l aː AD n ə AK n
planet	p l a AC n eː AF t
planeten	p l a AC n eː AF t n
planierraupe	p l a AC n iː AF ɐ BE ʁ a AC ʊ AI p ə AK
planke	p l a AC ŋ k ə AK
planlos	p l aː AD n l oː AH s
planmässig	p l aː AD n m ɛː AM s ɪ AK ç
plansprache	p l aː AD n ʃ p ʁ aː AD χ ə AK
planstellenneutral	p l aː AD n ʃ t ɛ AK l ə AK n n ɔ AI ɪ̯ BB t ʀ aː AD l
plast	p l a AC s t
plastbecher	p l a AC s t b ɛ AK ç ɐ BE
plastbesteck	p l a AC s t b ə AK ʃ t ɛ AK k
plastbeutel	p l a AC s t b ɔ AI ɪ̯ BB t l̩
plastbomber	p l a AC s t b ɔ AI m b ɐ BE
plastdeckel	p l a AC s t d ɛ AK k l̩
plaste	p l a AC s t ə AK
plastebecher	p l a AC s t ə AK b ɛ AK ç ɐ BE
plastebehälter	p l a AC s t ə AK b ə AK h AA ɛ AK l t ɐ BE
plastebesteck	p l a AC s t ə AK b ə AK ʃ t ɛ AK k
plastebeutel	p l a AC s t ə AK b ɔ AI ɪ̯ BB t l̩
plastebomber	p l a AC s t ə AK b ɔ AI m b ɐ BE
plastedeckel	p l a AC s t ə AK d ɛ AK k l̩
plasteeimer	p l a AC s t ə AK ʔ a AC ɪ̯ BB m ɐ BE
plastegabel	p l a AC s t ə AK ɡ aː AD b l̩
plastegehäuse	p l a AC s t ə AK ɡ ə AK h AA ɔ AI ɪ̯ BB z ə AK
plastegeschirr	p l a AC s t ə AK ɡ ə AK ʃ ɪ AK ʁ
plasteimer	p l a AC s t ʔ a AC ɪ̯ BB m ɐ BE
plasteindustrie	p l a AC s t ə AK ʔ ɪ AK n d ʊ AI s t ʁ iː AF
plastekrug	p l a AC s t ə AK k ʁ uː AH k
plastelöffel	p l a AC s t ə AK l œ AI f l̩
plastemesser	p l a AC s t ə AK m ɛ AK s ɐ BE
plastepuppe	p l a AC s t ə AK p ʊ AI p ə AK
plasterahmen	p l a AC s t ə AK ʁ aː AD m ə AK n
plasterohr	p l a AC s t ə AK ʁ oː AH ɐ̯
plasterzeugung	p l a AC s t ʔ ɛ AK ɐ̯ t s ɔ AI ɪ̯ BB ɡ ʊ AI ŋ
plasterähmchen	p l a AC s t ə AK ʁ ɛː AM m ç ə AK n
plastetasche	p l a AC s t ə AK t a AC ʃ ə AK
plastetrinkbecher	p l a AC s t ə AK t ʁ ɪ AK ŋ k b ɛ AK ç ɐ BE
plastetüte	p l a AC s t ə AK t yː AH t ə AK
plastewanne	p l a AC s t ə AK v a AC n ə AK
plastgehäuse	p l a AC s t ɡ ə AK h AA ɔ AI ɪ̯ BB z ə AK
plastgeschirr	p l a AC s t ɡ ə AK ʃ ɪ AK ʁ
plastik	p l a AC s t ɪ AK k
plastikbecher	p l a AC s t ɪ AK k b ɛ AK ç ɐ BE
plastikbechers	p l a AC s t ɪ AK k b ɛ AK ç ɐ BE s
plastikbesteck	p l a AC s t ɪ AK k b ə AK ʃ t ɛ AK k
plastikbestecke	p l a AC s t ɪ AK k b ə AK ʃ t ɛ AK k ə AK
plastikbestecks	p l a AC s t ɪ AK k b ə AK ʃ t ɛ AK k s
plastikbeutel	p l a AC s t ɪ AK k b ɔ AI ɪ̯ BB t l̩
plastikflasche	p l a AC s t ɪ AK k f l a AC ʃ ə AK
plastikflaschen	p l a AC s t ɪ AK k f l a AC ʃ n̩
plastikgabel	p l a AC s t ɪ AK k ɡ aː AD b ə AK l
plastikgeld	p l a AC s t ɪ AK k ɡ ɛ AK l t
plastikgeschirr	p l a AC s t ɪ AK k ɡ ə AK ʃ ɪ AK ʁ
plastiklöffel	p l a AC s t ɪ AK k l œ AI f l̩
plastiklöffels	p l a AC s t ɪ AK k l œ AI f l̩ s
plastikmesser	p l a AC s t ɪ AK k m ɛ AK s ɐ BE
plastikschwanz	p l a AC s t ɪ AK k ʃ v a AC n t s
plastiktasche	p l a AC s t ɪ AK k t a AC ʃ ə AK
plastikteller	p l a AC s t ɪ AK k t ɛ AK l ɐ BE
plastiktüte	p l a AC s t ɪ AK k t yː AH t ə AK
plastindustrie	p l a AC s t ʔ ɪ AK n d ʊ AI s t ʁ iː AF
plastisch	p l a AC s t ɪ AK ʃ
plastizität	p l a AC s t i AE t s i AE t ɛː AM t
plastlöffel	p l a AC s t l œ AI f l̩
plastrahmen	p l a AC s t ʁ aː AD m ə AK n
plastrohr	p l a AC s t ʁ oː AH ɐ̯
plasttüte	p l a AC s t t yː AH t ə AK
plastwanne	p l a AC s t v a AC n ə AK
platin	p l aː AD t iː AF n
platinfarben	p l aː AD t iː AF n f a AC ʁ b n̩
platinhaltig	p l aː AD t iː AF n h AA a AC l t ɪ AK ç
platinoid	p l a AC t i AE n o AG ʔ iː AF t
platon	p l aː AD t ɔ AI n
platschen	p l a AC t ʃ n̩
platt	p l a AC t
plattdeutsch	p l a AC t d ɔ AI ʏ̯ t ʃ
platte	p l a AC t ə AK
platten	p l a AC t n̩
plattenbau	p l a AC t n̩ b a AC ʊ̯ BC
plattenspieler	p l a AC t n̩ ʃ p iː AF l ɐ BE
plattfisch	p l a AC t f ɪ AK ʃ
plattformabhängig	p l a AC t f ɔ AI ʁ m ʔ a AC p h AA ɛ AK ŋ ɪ AK ç
plattformunabhängig	p l a AC t f ɔ AI ʁ m ʊ AI n ʔ a AC p h AA ɛ AK ŋ ɪ AK ç
plattfuss	p l a AC t f uː AH s
plattfüsse	p l a AC t f yː AH s ə AK
plattfüssig	p l a AC t f yː AH s ɪ AK ç
plattmachen	p l a AC t m a AC x n̩
platz	p l a AC t s
platzangst	p l a AC t s a AC ŋ s t
platzdeckchen	p l a AC t s d ɛ AK k ç ə AK n
platze	p l a AC t s ə AK
platzen	p l a AC t s ə AK n
platzes	p l a AC t s ə AK s
platzieren	p l a AC t s iː AF ɐ̯ n
platzmässig	p l a AC t s m ɛː AM s ɪ AK ç
platzregen	p l a AC t s ʀ eː AF ɡ n̩
platzregens	p l a AC t s ʁ eː AF ɡ n̩ s
plauderei	p l a AC ʊ̯ BC d ə AK ʁ a AC ɪ̯ BB
plaudern	p l a AC ʊ̯ BC d ə AK ʁ n
playlist	p l ɛ AK ɪ̯ BB l ɪ AK s t
plebejisch	p l e AE b eː AF j AB ɪ AK ʃ
plebiszit	p l eː AF b ɪ AK s t s iː AF t
pleite	p l a AC ɪ̯ BB t ə AK
plektrum	p l ɛ AK k t ʀ ʊ AI m
plempern	p l ɛ AK m p ɐ BE n
plenarsaal	p l e AE n aː AD ɐ̯ z aː AD l
plombe	p l ɔ AI m b ə AK
plosiv	p l o AG z iː AF f
plump	p l ʊ AI m p
plumpfen	p l ʊ AI m p f ə AK n
plumps	p l ʊ AI m p s
plunder	p l ʊ AI n d ɐ BE
plural	p l u AG ʁ aː AD l
pluralisch	p l u AG ʀ aː AD l ɪ AK ʃ
pluralistisch	p l u AG ʀ a AC l ɪ AK s t ɪ AK ʃ
plurizentrisch	p l u AG ʀ i AE t s ɛ AK n t ʀ ɪ AK ʃ
plusenergiehaus	p l ʊ AI s ʔ e AE n ɛ AK ʁ ɡ iː AF h AA a AC ʊ̯ BC s
plusquamperfekt	p l ʊ AI s k v a AC m p ɛ AK ʁ f ɛ AK k t
pluszeichen	p l ʊ AI s t s a AC ɪ̯ BB ç ə AK n
pluto	p l uː AH t oː AH
plärren	p l ɛ AK ʁ ə AK n
plättchen	p l ɛ AK t ç ə AK n
plätten	p l ɛ AK t n̩
plätzchen	p l ɛ AK t s ç ə AK n
plätze	p l ɛ AK t s ə AK
plätzen	p l ɛ AK t s ə AK n
plörre	p l œ AI ʁ ə AK
plötze	p l œ AI t s ə AK
plötzlich	p l œ AI t s l ɪ AK ç
plünderer	p l ʏ AI n d ə AK ʀ ɐ BE
plündern	p l ʏ AI n d ɐ BE n
plüsch	p l ʏ AI ʃ
plüschen	p l ʏ AI ʃ n̩
plüschtier	p l ʏ AI ʃ t iː AF ɐ̯
pneu	p n øː AH
pneumatisch	p n ɔ AI ɪ̯ BB m aː AD t ɪ AK ʃ
po	p oː AH
pobacke	p oː AH b a AC k ə AK
pochen	p ɔ AI x n̩
pochieren	p ɔ AI ʃ iː AF ʁ ə AK n
pocke	p ɔ AI k ə AK
pockenvirus	p ɔ AI k n̩ v iː AF ʁ ʊ AI s
podcast	p ɔ AI t k aː AD s t
podest	p o AG d ɛ AK s t
podex	p oː AH d ɛ AK k s
poemisch	p o AG eː AF m ɪ AK ʃ
poesie	p o AG e AE z i AE
poet	p o AG ʔ eː AF t
pohl	p ɔː AJ l
pointer	p ɔ AI ɪ̯ BB n t ɐ BE
pokal	p o AG k aː AD l
polacke	p o AG l a AC k ə AK
polar	p o AG l aː AD ɐ̯
polarbär	p o AG l aː AD ʁ b ɛː AM ɐ̯
polarlicht	p o AG l aː AD ɐ̯ l ɪ AK ç t
polarstern	p o AG l aː AD ɐ̯ ʃ t ɛ AK ɐ̯ n
polder	p ɔ AI l d ɐ BE
polemogen	p o AG l e AE m o AG ɡ eː AF n
polen	p oː AH l ə AK n
polente	p o AG l ɛ AK n t ə AK
polentum	p oː AH l ə AK n t uː AH m
police	p o AG l iː AF s ə AK
