あ	a̠ AI
ちすいこうもり	t ɕ i̥ AC s ɨᵝ i AC k o̞ː AE m o̞ AF ɾʲ i AC
ちすじ	t ɕ i AC s ɨᵝ ʑ i AC
ちず	t ɕ i AC z ɨᵝ
ちせい	t ɕ i̥ AC s e̞ː AD
ちせいがく	t ɕ i̥ AC s e̞ː AD ɡ a̠ AI k ɯ̟ᵝ
ちせつ	t ɕ i AC s e̞ AC t s ɨᵝ
ちそう	t ɕ i̥ AC s o̞ː AE
ちたい	t ɕ i AC t a̠ AI i AC
ちたいくう	t ɕ i AC t a̠ AI i AC k ɯ̟ᵝː
ちだるま	t ɕ i AC d a̠ AI ɾ ɯ̟ᵝ m a̠ AI
ちち	t ɕ i̥ AC t ɕ i AC
ちちうえ	t ɕ i AC t ɕ i AC ɯ̟ᵝ e̞ AC
ちちおさえ	t ɕ i̥ AC t ɕ i AC o̞ AF s a̠ AI e̞ AC
ちちおや	t ɕ i̥ AC t ɕ i AC o̞ AF j AB a̠ AI
ちちくりあう	t ɕ i AC t ɕ i AC k ɯ̟ᵝ ɾʲ i AC a̠ AI ɯ̟ᵝ
ちちご	t ɕ i AC t ɕ i AC ɡ o̞ AF
ちちのひ	t ɕ i̥ AC t ɕ i AC n o̞ AF ç i AC
ちちゅうかい	t ɕ i̥ AC t ɕ ɨᵝː k a̠ AI i AC
ちぢ	t ɕ i AC ʑ i AC
ちぢかまる	t ɕ i AC ʑ i AC k a̠ AI m a̠ AI ɾ ɯ̟ᵝ
ちぢかむ	t ɕ i AC ʑ i AC k a̠ AI m ɯ̟ᵝ
ちぢこまる	t ɕ i AC ʑ i AC k o̞ AF m a̠ AI ɾ ɯ̟ᵝ
ちぢまる	t ɕ i AC ʑ i AC m a̠ AI ɾ ɯ̟ᵝ
ちぢむ	t ɕ i AC ʑ i AC m ɯ̟ᵝ
ちぢめる	t ɕ i AC ʑ i AC m e̞ AC ɾ ɯ̟ᵝ
ちぢれる	t ɕ i AC ʑ i AC ɾ e̞ AC ɾ ɯ̟ᵝ
ちっきょ	t ɕ i AC k̚ʲ kʲ o̞ AF
ちっこい	t ɕ i̥ AC k̚ k o̞ AF i AC
ちっそ	t ɕ i AC sː o̞ AF
ちっそく	t ɕ i AC sː o̞ AF k ɯ̟ᵝ
ちっちゃい	t ɕ i̥ AC t̚ t ɕ a̠ AI i AC
ちつ	t ɕ i AC t s ɨᵝ
ちつじょ	t ɕ i̥ AC t s ɨᵝ ʑ o̞ AF
ちていじん	t ɕ i AC t e̞ː AD ʑ ĩ ɴ
ちてき	t ɕ i AC t e̞ AC kʲ i AC
ちてん	t ɕ i AC t ẽ̞ ɴ
ちと	t ɕ i AC t o̞ AF
ちとせ	t ɕ i̥ AC t o̞ AF s e̞ AC
ちどうせつ	t ɕ i AC d o̞ː AE s e̞ AC t s ɨᵝ
ちどり	t ɕ i AC d o̞ AF ɾʲ i AC
ちどりあし	t ɕ i AC d o̞ AF ɾʲ i AC a̠ AI ɕ i AC
ちどん	t ɕ i AC d õ̞ ɴ
ちな	t ɕ i AC n a̠ AI
ちなみに	t ɕ i AC n a̠ AI mʲ i AC ɲ̟ i AC
ちなむ	t ɕ i AC n a̠ AI m ɯ̟ᵝ
ちにく	t ɕ i AC ɲ̟ i AC k ɯ̟ᵝ
ちのう	t ɕ i AC n o̞ː AE
ちのうしすう	t ɕ i AC n o̞ː AE ɕ i̥ AC s ɨᵝː
ちのり	t ɕ i AC n o̞ AF ɾʲ i AC
ちはや	t ɕ i AC h AA a̠ AI j AB a̠ AI
ちはやぶる	t ɕ i AC h AA a̠ AI j AB a̠ AI b ɯ̟ᵝ ɾ ɯ̟ᵝ
ちはら	t ɕ i AC h AA a̠ AI ɾ a̠ AI
ちば	t ɕ i AC b a̠ AI
ちばけん	t ɕ i AC b a̠ AI k ẽ̞ ɴ
ちばしる	t ɕ i AC b a̠ AI ɕ i AC ɾ ɯ̟ᵝ
ちばなれ	t ɕ i AC b a̠ AI n a̠ AI ɾ e̞ AC
ちび	t ɕ i AC bʲ i AC
ちびっこ	t ɕ i AC bʲ i AC k̚ k o̞ AF
ちびる	t ɕ i AC bʲ i AC ɾ ɯ̟ᵝ
ちぶ	t ɕ i AC b ɯ̟ᵝ
ちへいせん	t ɕ i AC h AA e̞ː AD s ẽ̞ ɴ
ちほう	t ɕ i AC h AA o̞ː AE
ちほうし	t ɕ i AC h AA o̞ː AE ɕ i AC
ちほうみん	t ɕ i AC h AA o̞ː AE mʲ ĩ ɴ
ちまき	t ɕ i AC m a̠ AI kʲ i AC
ちまなこ	t ɕ i AC m a̠ AI n a̠ AI k o̞ AF
ちまみれ	t ɕ i AC m a̠ AI mʲ i AC ɾ e̞ AC
ちまよう	t ɕ i AC m a̠ AI j AB o̞ː AE
ちみどろ	t ɕ i AC mʲ i AC d o̞ AF ɾ o̞ AF
ちみもうりょう	t ɕ i AC mʲ i AC m o̞ː AE ɾʲ o̞ː AE
ちめ	t ɕ i AC m e̞ AC
ちめい	t ɕ i AC m e̞ː AD
ちめいがく	t ɕ i AC m e̞ː AD ɡ a̠ AI k ɯ̟ᵝ
ちめいてき	t ɕ i AC m e̞ː AD t e̞ AC kʲ i AC
ちめいど	t ɕ i AC m e̞ː AD d o̞ AF
ちゃ	t ɕ a̠ AI
ちゃいろ	t ɕ a̠ AI i AC ɾ o̞ AF
ちゃいろい	t ɕ a̠ AI i AC ɾ o̞ AF i AC
ちゃえん	t ɕ a̠ AI ẽ̞ ɴ
ちゃかい	t ɕ a̠ AI k a̠ AI i AC
ちゃかす	t ɕ a̠ AI k a̠ AI s ɨᵝ
ちゃかっしょく	t ɕ a̠ AI k a̠ AI ɕː o̞ AF k ɯ̟ᵝ
ちゃがら	t ɕ a̠ AI ɡ a̠ AI ɾ a̠ AI
ちゃき	t ɕ a̠ AI kʲ i AC
ちゃく	t ɕ a̠ AI k ɯ̟ᵝ
ちゃくうた	t ɕ a̠ AI k ɯ̟ᵝ ɯ̟ᵝ t a̠ AI
ちゃくすい	t ɕ a̠ AI k ɯ̟ᵝ s ɨᵝ i AC
ちゃくせい	t ɕ a̠ AI k ɯ̟̊ᵝ s e̞ː AD
ちゃくせき	t ɕ a̠ AI k ɯ̟ᵝ s e̞ AC kʲ i AC
ちゃくそう	t ɕ a̠ AI k ɯ̟̊ᵝ s o̞ː AE
ちゃくだつ	t ɕ a̠ AI k ɯ̟ᵝ d a̠ AI t s ɨᵝ
ちゃくち	t ɕ a̠ AI k ɯ̟ᵝ t ɕ i AC
ちゃくもく	t ɕ a̠ AI k ɯ̟ᵝ m o̞ AF k ɯ̟ᵝ
ちゃくりく	t ɕ a̠ AI k ɯ̟ᵝ ɾʲ i AC k ɯ̟ᵝ
ちゃせん	t ɕ a̠ AI s ẽ̞ ɴ
ちゃち	t ɕ a̠ AI t ɕ i AC
ちゃづけ	t ɕ a̠ AI z ɨᵝ k e̞ AC
ちゃのゆ	t ɕ a̠ AI n o̞ AF j AB ɯ̟ᵝ
ちゃば	t ɕ a̠ AI b a̠ AI
ちゃばしら	t ɕ a̠ AI b a̠ AI ɕ i AC ɾ a̠ AI
ちゃばたけ	t ɕ a̠ AI b a̠ AI t a̠ AI k e̞ AC
ちゃま	t ɕ a̠ AI m a̠ AI
ちゃら	t ɕ a̠ AI ɾ a̠ AI
ちゃらちゃら	t ɕ a̠ AI ɾ a̠ AI t ɕ a̠ AI ɾ a̠ AI
ちゃる	t ɕ a̠ AI ɾ ɯ̟ᵝ
ちゃわん	t ɕ a̠ AI ɰᵝ ã̠ ɴ
ちゃん	t ɕ ã̠ ɴ
ちゃんぽん	t ɕ ã̠ m p õ̞ ɴ
ちやほや	t ɕ i AC j AB a̠ AI h AA o̞ AF j AB a̠ AI
ちゅ	t ɕ ɨᵝ
ちゅう	t ɕ ɨᵝː
ちゅうい	t ɕ ɨᵝː i AC
ちゅういがき	t ɕ ɨᵝː i AC ɡ a̠ AI kʲ i AC
ちゅういがく	t ɕ ɨᵝː i AC ɡ a̠ AI k ɯ̟ᵝ
ちゅういんふごう	t ɕ ɨᵝː ĩ ɰ̃ AK ɸ ɯ̟ᵝ ɡ o̞ː AE
ちゅうう	t ɕ ɨᵝː ɯ̟ᵝ
ちゅうおう	t ɕ ɨᵝː o̞ː AE
ちゅうおうしょりそうち	t ɕ ɨᵝː o̞ː AE ɕ o̞ AF ɾʲ i AC s o̞ː AE t ɕ i AC
ちゅうか	t ɕ ɨᵝː k a̠ AI
ちゅうかい	t ɕ ɨᵝː k a̠ AI i AC
ちゅうかそば	t ɕ ɨᵝː k a̠ AI s o̞ AF b a̠ AI
ちゅうかなべ	t ɕ ɨᵝː k a̠ AI n a̠ AI b e̞ AC
ちゅうかほうちょう	t ɕ ɨᵝː k a̠ AI h AA o̞ː AE t ɕ o̞ː AE
ちゅうから	t ɕ ɨᵝː k a̠ AI ɾ a̠ AI
ちゅうかりょうり	t ɕ ɨᵝː k a̠ AI ɾʲ o̞ː AE ɾʲ i AC
ちゅうかんけん	t ɕ ɨᵝː k ã̠ ŋ k ẽ̞ ɴ
ちゅうかんし	t ɕ ɨᵝː k ã̠ ɰ̃ AK ɕ i AC
ちゅうかんそう	t ɕ ɨᵝː k ã̠ ɰ̃ AK s o̞ː AE
ちゅうがく	t ɕ ɨᵝː ɡ a̠ AI k ɯ̟ᵝ
ちゅうがっこう	t ɕ ɨᵝː ɡ a̠ AI k̚ k o̞ː AE
ちゅうきえいご	t ɕ ɨᵝː kʲ i AC e̞ː AD ɡ o̞ AF
ちゅうきょうはいえん	t ɕ ɨᵝː kʲ o̞ː AE h AA a̠ AI i AC ẽ̞ ɴ
ちゅうきんとう	t ɕ ɨᵝː kʲ ĩ n t o̞ː AE
ちゅうけんしゅ	t ɕ ɨᵝː k ẽ̞ ɰ̃ AK ɕ ɨᵝ
ちゅうこう	t ɕ ɨᵝː k o̞ː AE
ちゅうこく	t ɕ ɨᵝː k o̞ AF k ɯ̟ᵝ
ちゅうごく	t ɕ ɨᵝː ɡ o̞ AF k ɯ̟ᵝ
ちゅうごくか	t ɕ ɨᵝː ɡ o̞ AF k ɯ̟ᵝ k a̠ AI
ちゅうごくがく	t ɕ ɨᵝː ɡ o̞ AF k ɯ̟ᵝ ɡ a̠ AI k ɯ̟ᵝ
ちゅうごくきょうさんとう	t ɕ ɨᵝː ɡ o̞ AF k ɯ̟ᵝ kʲ o̞ː AE s ã̠ n t o̞ː AE
ちゅうごくご	t ɕ ɨᵝː ɡ o̞ AF k ɯ̟ᵝ ɡ o̞ AF
ちゅうごくじん	t ɕ ɨᵝː ɡ o̞ AF k ɯ̟ᵝ ʑ ĩ ɴ
ちゅうごくたいりく	t ɕ ɨᵝː ɡ o̞ AF k ɯ̟ᵝ t a̠ AI i AC ɾʲ i AC k ɯ̟ᵝ
ちゅうさ	t ɕ ɨᵝː s a̠ AI
ちゅうさいにん	t ɕ ɨᵝː s a̠ AI i AC ɲ̟ ĩ ɴ
ちゅうし	t ɕ ɨᵝː ɕ i AC
ちゅうしゃ	t ɕ ɨᵝː ɕ a̠ AI
ちゅうしゃき	t ɕ ɨᵝː ɕ a̠ AI kʲ i AC
ちゅうしゃくしぎ	t ɕ ɨᵝː ɕ a̠ AI k ɯ̟̊ᵝ ɕ i AC ɡʲ i AC
ちゅうしゃじょう	t ɕ ɨᵝː ɕ a̠ AI ʑ o̞ː AE
ちゅうしょうが	t ɕ ɨᵝː ɕ o̞ː AE ɡ a̠ AI
ちゅうしょうだいすうがく	t ɕ ɨᵝː ɕ o̞ː AE d a̠ AI i AC s ɨᵝː ɡ a̠ AI k ɯ̟ᵝ
ちゅうしょうめいし	t ɕ ɨᵝː ɕ o̞ː AE m e̞ː AD ɕ i AC
ちゅうしょく	t ɕ ɨᵝː ɕ o̞ AF k ɯ̟ᵝ
ちゅうしん	t ɕ ɨᵝː ɕ ĩ ɴ
ちゅうじつ	t ɕ ɨᵝː ʑ i AC t s ɨᵝ
ちゅうじょう	t ɕ ɨᵝː ʑ o̞ː AE
ちゅうすい	t ɕ ɨᵝː s ɨᵝ i AC
ちゅうすいえん	t ɕ ɨᵝː s ɨᵝ i AC ẽ̞ ɴ
ちゅうすう	t ɕ ɨᵝː s ɨᵝː
ちゅうすうしんけいけい	t ɕ ɨᵝː s ɨᵝː ɕ ĩ ŋ k e̞ː AD k e̞ː AD
ちゅうせい	t ɕ ɨᵝː s e̞ː AD
ちゅうせいし	t ɕ ɨᵝː s e̞ː AD ɕ i AC
ちゅうせいしせい	t ɕ ɨᵝː s e̞ː AD ɕ i̥ AC s e̞ː AD
ちゅうせいしん	t ɕ ɨᵝː s e̞ː AD ɕ ĩ ɴ
ちゅうせいだい	t ɕ ɨᵝː s e̞ː AD d a̠ AI i AC
ちゅうせっきじだい	t ɕ ɨᵝː s e̞ AC k̚ʲ kʲ i AC d ʑ i AC d a̠ AI i AC
ちゅうぜつ	t ɕ ɨᵝː z e̞ AC t s ɨᵝ
ちゅうそつ	t ɕ ɨᵝː s o̞ AF t s ɨᵝ
ちゅうたい	t ɕ ɨᵝː t a̠ AI i AC
ちゅうちょ	t ɕ ɨᵝː t ɕ o̞ AF
ちゅうてつ	t ɕ ɨᵝː t e̞ AC t s ɨᵝ
ちゅうでんきん	t ɕ ɨᵝː d ẽ̞ ŋʲ kʲ ĩ ɴ
ちゅうとう	t ɕ ɨᵝː t o̞ː AE
ちゅうとうきょういくがっこう	t ɕ ɨᵝː t o̞ː AE kʲ o̞ː AE i AC k ɯ̟ᵝ ɡ a̠ AI k̚ k o̞ː AE
ちゅうとうこきゅうきしょうこうぐん	t ɕ ɨᵝː t o̞ː AE k o̞ AF kʲ ɨᵝː kʲ i AC ɕ o̞ː AE k o̞ː AE ɡ ɯ̟̃ᵝ ɴ
ちゅうとん	t ɕ ɨᵝː t õ̞ ɴ
ちゅうどくせい	t ɕ ɨᵝː d o̞ AF k ɯ̟ᵝ s e̞ː AD
ちゅうなごん	t ɕ ɨᵝː n a̠ AI ɡ õ̞ ɴ
ちゅうにうく	t ɕ ɨᵝː ɲ̟ i AC ɯ̟ᵝ k ɯ̟ᵝ
ちゅうにごころ	t ɕ ɨᵝː ɲ̟ i AC ɡ o̞ AF k o̞ AF ɾ o̞ AF
ちゅうにびょう	t ɕ ɨᵝː ɲ̟ i AC bʲ o̞ː AE
ちゅうにん	t ɕ ɨᵝː ɲ̟ ĩ ɴ
ちゅうばち	t ɕ ɨᵝː b a̠ AI t ɕ i AC
ちゅうばん	t ɕ ɨᵝː b ã̠ ɴ
ちゅうひ	t ɕ ɨᵝː ç i AC
ちゅうふく	t ɕ ɨᵝː ɸ ɯ̟ᵝ k ɯ̟ᵝ
ちゅうぶん	t ɕ ɨᵝː b ɯ̟̃ᵝ ɴ
ちゅうぼう	t ɕ ɨᵝː b o̞ː AE
ちゅうもく	t ɕ ɨᵝː m o̞ AF k ɯ̟ᵝ
ちゅうもん	t ɕ ɨᵝː m õ̞ ɴ
ちゅうや	t ɕ ɨᵝː j AB a̠ AI
ちゅうりゃく	t ɕ ɨᵝː ɾʲ a̠ AI k ɯ̟ᵝ
ちゅうりょう	t ɕ ɨᵝː ɾʲ o̞ː AE
ちゅうりん	t ɕ ɨᵝː ɾʲ ĩ ɴ
ちゅうりんじょう	t ɕ ɨᵝː ɾʲ ĩ ɲ̟ d ʑ o̞ː AE
ちゅうる	t ɕ ɨᵝː ɾ ɯ̟ᵝ
ちゅんてん	t ɕ ɨ̃ᵝ n t ẽ̞ ɴ
ちゅんもう	t ɕ ɨ̃ᵝ mː o̞ː AE
ちゆ	t ɕ i AC j AB ɯ̟ᵝ
ちょ	t ɕ o̞ AF
ちょう	t ɕ o̞ː AE
ちょうい	t ɕ o̞ː AE i AC
ちょうえつ	t ɕ o̞ː AE e̞ AC t s ɨᵝ
ちょうえつかんすう	t ɕ o̞ː AE e̞ AC t s ɨᵝ k ã̠ ɰ̃ AK s ɨᵝː
ちょうおん	t ɕ o̞ː AE õ̞ ɴ
ちょうおんぷ	t ɕ o̞ː AE õ̞ m p ɯ̟ᵝ
ちょうか	t ɕ o̞ː AE k a̠ AI
ちょうかい	t ɕ o̞ː AE k a̠ AI i AC
ちょうかこう	t ɕ o̞ː AE k a̠ AI k o̞ː AE
ちょうかんかくてきちかく	t ɕ o̞ː AE k ã̠ ŋ k a̠ AI k ɯ̟ᵝ t e̞ AC kʲ i AC t ɕ i AC k a̠ AI k ɯ̟ᵝ
ちょうかんまく	t ɕ o̞ː AE k ã̠ mː a̠ AI k ɯ̟ᵝ
ちょうがたべん	t ɕ o̞ː AE ɡ a̠ AI t a̠ AI b ẽ̞ ɴ
ちょうきょり	t ɕ o̞ː AE kʲ o̞ AF ɾʲ i AC
ちょうけし	t ɕ o̞ː AE k e̞ AC ɕ i AC
ちょうげんじつ	t ɕ o̞ː AE ɡ ẽ̞ ɲ̟ d ʑ i AC t s ɨᵝ
ちょうこ	t ɕ o̞ː AE k o̞ AF
ちょうこう	t ɕ o̞ː AE k o̞ː AE
ちょうこうせい	t ɕ o̞ː AE k o̞ː AE s e̞ː AD
ちょうこくぐざ	t ɕ o̞ː AE k o̞ AF k ɯ̟ᵝ ɡ ɯ̟ᵝ z a̠ AI
ちょうさ	t ɕ o̞ː AE s a̠ AI
ちょうさんぼし	t ɕ o̞ː AE s ã̠ m b o̞ AF ɕ i AC
ちょうざめ	t ɕ o̞ː AE z a̠ AI m e̞ AC
ちょうし	t ɕ o̞ː AE ɕ i AC
ちょうしぜん	t ɕ o̞ː AE ɕ i AC z ẽ̞ ɴ
ちょうしつ	t ɕ o̞ː AE ɕ i AC t s ɨᵝ
ちょうしゅう	t ɕ o̞ː AE ɕ ɨᵝː
ちょうしょ	t ɕ o̞ː AE ɕ o̞ AF
ちょうしょう	t ɕ o̞ː AE ɕ o̞ː AE
ちょうしょく	t ɕ o̞ː AE ɕ o̞ AF k ɯ̟ᵝ
ちょうしん	t ɕ o̞ː AE ɕ ĩ ɴ
ちょうしんき	t ɕ o̞ː AE ɕ ĩ ŋʲ kʲ i AC
ちょうしんせい	t ɕ o̞ː AE ɕ ĩ ɰ̃ AK s e̞ː AD
ちょうしんりがく	t ɕ o̞ː AE ɕ ĩ n ɾʲ i AC ɡ a̠ AI k ɯ̟ᵝ
ちょうしんるこつ	t ɕ o̞ː AE ɕ ĩ n ɾ ɯ̟ᵝ k o̞ AF t s ɨᵝ
ちょうじ	t ɕ o̞ː AE ʑ i AC
ちょうじかん	t ɕ o̞ː AE ʑ i AC k ã̠ ɴ
ちょうじげん	t ɕ o̞ː AE ʑ i AC ɡ ẽ̞ ɴ
ちょうじゃ	t ɕ o̞ː AE ʑ a̠ AI
ちょうじゅう	t ɕ o̞ː AE ʑ ɨᵝː
ちょうじょ	t ɕ o̞ː AE ʑ o̞ AF
ちょうじょう	t ɕ o̞ː AE ʑ o̞ː AE
ちょうせき	t ɕ o̞ː AE s e̞ AC kʲ i AC
ちょうせきがく	t ɕ o̞ː AE s e̞ AC kʲ i AC ɡ a̠ AI k ɯ̟ᵝ
ちょうせん	t ɕ o̞ː AE s ẽ̞ ɴ
ちょうせんがっこう	t ɕ o̞ː AE s ẽ̞ ŋ ɡ a̠ AI k̚ k o̞ː AE
ちょうせんご	t ɕ o̞ː AE s ẽ̞ ŋ ɡ o̞ AF
ちょうせんじん	t ɕ o̞ː AE s ẽ̞ ɲ̟ d ʑ ĩ ɴ
ちょうせんにんじん	t ɕ o̞ː AE s ẽ̞ ɲ̟ ɲ̟ ĩ ɲ̟ d ʑ ĩ ɴ
ちょうせんはんとう	t ɕ o̞ː AE s ẽ̞ ɰ̃ AK h AA ã̠ n t o̞ː AE
ちょうぜつ	t ɕ o̞ː AE z e̞ AC t s ɨᵝ
ちょうたつ	t ɕ o̞ː AE t a̠ AI t s ɨᵝ
ちょうだい	t ɕ o̞ː AE d a̠ AI i AC
ちょうちょう	t ɕ o̞ː AE t ɕ o̞ː AE
ちょうちん	t ɕ o̞ː AE t ɕ ĩ ɴ
ちょうちんあんこう	t ɕ o̞ː AE t ɕ ĩ ɰ̃ AK ã̠ ŋ k o̞ː AE
ちょうちんにつりがね	t ɕ o̞ː AE t ɕ ĩ ɲ̟ ɲ̟ i AC t s ɨᵝ ɾʲ i AC ɡ a̠ AI n e̞ AC
ちょうつがい	t ɕ o̞ː AE t s ɨᵝ ɡ a̠ AI i AC
ちょうていしゅうはおん	t ɕ o̞ː AE t e̞ː AD ɕ ɨᵝː h AA a̠ AI õ̞ ɴ
ちょうてき	t ɕ o̞ː AE t e̞ AC kʲ i AC
ちょうてん	t ɕ o̞ː AE t ẽ̞ ɴ
ちょうでん	t ɕ o̞ː AE d ẽ̞ ɴ
ちょうど	t ɕ o̞ː AE d o̞ AF
ちょうなん	t ɕ o̞ː AE n ã̠ ɴ
ちょうにゅう	t ɕ o̞ː AE ɲ̟ ɯ̟ᵝː
ちょうにん	t ɕ o̞ː AE ɲ̟ ĩ ɴ
ちょうのうりょく	t ɕ o̞ː AE n o̞ː AE ɾʲ o̞ AF k ɯ̟ᵝ
ちょうのすけそう	t ɕ o̞ː AE n o̞ AF s ɨ̥ᵝ k e̞ AC s o̞ː AE
ちょうは	t ɕ o̞ː AE h AA a̠ AI
ちょうはつ	t ɕ o̞ː AE h AA a̠ AI t s ɨᵝ
ちょうはつぞく	t ɕ o̞ː AE h AA a̠ AI t s ɨᵝ z o̞ AF k ɯ̟ᵝ
ちょうばつ	t ɕ o̞ː AE b a̠ AI t s ɨᵝ
ちょうふ	t ɕ o̞ː AE ɸ ɯ̟ᵝ
ちょうふゆうそう	t ɕ o̞ː AE ɸ ɯ̟ᵝ j AB ɯ̟ᵝː s o̞ː AE
ちょうぶん	t ɕ o̞ː AE b ɯ̟̃ᵝ ɴ
ちょうへん	t ɕ o̞ː AE h AA ẽ̞ ɴ
ちょうへんしょうせつ	t ɕ o̞ː AE h AA ẽ̞ ɰ̃ AK ɕ o̞ː AE s e̞ AC t s ɨᵝ
ちょうほう	t ɕ o̞ː AE h AA o̞ː AE
ちょうぼ	t ɕ o̞ː AE b o̞ AF
ちょうめい	t ɕ o̞ː AE m e̞ː AD
ちょうやく	t ɕ o̞ː AE j AB a̠ AI k ɯ̟ᵝ
ちょうよう	t ɕ o̞ː AE j AB o̞ː AE
ちょうり	t ɕ o̞ː AE ɾʲ i AC
ちょうりょう	t ɕ o̞ː AE ɾʲ o̞ː AE
ちょうりょく	t ɕ o̞ː AE ɾʲ o̞ AF k ɯ̟ᵝ
ちょうれい	t ɕ o̞ː AE ɾ e̞ː AD
ちょきんばこ	t ɕ o̞ AF kʲ ĩ m b a̠ AI k o̞ AF
ちょくげん	t ɕ o̞ AF k ɯ̟ᵝ ɡ ẽ̞ ɴ
ちょくご	t ɕ o̞ AF k ɯ̟ᵝ ɡ o̞ AF
ちょくし	t ɕ o̞ AF k ɯ̟̊ᵝ ɕ i AC
ちょくせつ	t ɕ o̞ AF k ɯ̟ᵝ s e̞ AC t s ɨᵝ
ちょくせつわほう	t ɕ o̞ AF k ɯ̟ᵝ s e̞ AC t s ɨᵝ ɰᵝ a̠ AI h AA o̞ː AE
ちょくせん	t ɕ o̞ AF k ɯ̟̊ᵝ s ẽ̞ ɴ
ちょくせんわかしゅう	t ɕ o̞ AF k ɯ̟ᵝ s ẽ̞ ɰ̃ AK ɰᵝ a̠ AI k a̠ AI ɕ ɨᵝː
ちょくぜん	t ɕ o̞ AF k ɯ̟ᵝ z ẽ̞ ɴ
ちょくちょう	t ɕ o̞ AF k ɯ̟̊ᵝ t ɕ o̞ː AE
ちょくとう	t ɕ o̞ AF k ɯ̟ᵝ t o̞ː AE
ちょくめん	t ɕ o̞ AF k ɯ̟ᵝ m ẽ̞ ɴ
ちょくりつ	t ɕ o̞ AF k ɯ̟ᵝ ɾʲ i AC t s ɨᵝ
ちょくりゅう	t ɕ o̞ AF k ɯ̟ᵝ ɾʲ ɨᵝː
ちょさくけんしんがい	t ɕ o̞ AF s a̠ AI k ɯ̟ᵝ k ẽ̞ ɰ̃ AK ɕ ĩ ŋ ɡ a̠ AI i AC
ちょしゃ	t ɕ o̞ AF ɕ a̠ AI
ちょすいち	t ɕ o̞ AF s ɨᵝ i AC t ɕ i AC
ちょちくぎんこう	t ɕ o̞ AF t ɕ i AC k ɯ̟ᵝ ɡʲ ĩ ŋ k o̞ː AE
ちょっかく	t ɕ o̞ AF k̚ k a̠ AI k ɯ̟ᵝ
ちょっかっこう	t ɕ o̞ AF k̚ k a̠ AI k̚ k o̞ː AE
ちょっかん	t ɕ o̞ AF k̚ k ã̠ ɴ
ちょっかんきか	t ɕ o̞ AF k̚ k ã̠ ŋʲ kʲ i AC k a̠ AI
ちょっかんてき	t ɕ o̞ AF k̚ k ã̠ n t e̞ AC kʲ i AC
ちょっきゅう	t ɕ o̞ AF k̚ʲ kʲ ɨᵝː
ちょっけつ	t ɕ o̞ AF k̚ k e̞ AC t s ɨᵝ
ちょっと	t ɕ o̞ AF t̚ t o̞ AF
ちょろい	t ɕ o̞ AF ɾ o̞ AF i AC
ちょん	t ɕ õ̞ ɴ
ちょんぎる	t ɕ õ̞ ŋʲ ɡʲ i AC ɾ ɯ̟ᵝ
ちょんぎれる	t ɕ õ̞ ŋʲ ɡʲ i AC ɾ e̞ AC ɾ ɯ̟ᵝ
ちよまる	t ɕ i AC j AB o̞ AF m a̠ AI ɾ ɯ̟ᵝ
ちらかす	t ɕ i AC ɾ a̠ AI k a̠ AI s ɨᵝ
ちらかる	t ɕ i AC ɾ a̠ AI k a̠ AI ɾ ɯ̟ᵝ
ちらす	t ɕ i AC ɾ a̠ AI s ɨᵝ
ちらっと	t ɕ i AC ɾ a̠ AI t̚ t o̞ AF
ちらつく	t ɕ i AC ɾ a̠ AI t s ɨᵝ k ɯ̟ᵝ
ちらばる	t ɕ i AC ɾ a̠ AI b a̠ AI ɾ ɯ̟ᵝ
ちり	t ɕ i AC ɾʲ i AC
ちりがく	t ɕ i AC ɾʲ i AC ɡ a̠ AI k ɯ̟ᵝ
ちりぢり	t ɕ i AC ɾʲ i AC ʑ i AC ɾʲ i AC
ちりめん	t ɕ i AC ɾʲ i AC m ẽ̞ ɴ
ちりめんざこ	t ɕ i AC ɾʲ i AC m ẽ̞ n d z a̠ AI k o̞ AF
ちりゃく	t ɕ i AC ɾʲ a̠ AI k ɯ̟ᵝ
ちりょう	t ɕ i AC ɾʲ o̞ː AE
ちりょく	t ɕ i AC ɾʲ o̞ AF k ɯ̟ᵝ
ちりれんげ	t ɕ i AC ɾʲ i AC ɾ ẽ̞ ŋ ɡ e̞ AC
ちる	t ɕ i AC ɾ ɯ̟ᵝ
ちん	t ɕ ĩ ɴ
ちんあつ	t ɕ ĩ ɰ̃ AK a̠ AI t s ɨᵝ
ちんあなご	t ɕ ĩ ɰ̃ AK a̠ AI n a̠ AI ɡ o̞ AF
ちんか	t ɕ ĩ ŋ k a̠ AI
ちんかばし	t ɕ ĩ ŋ k a̠ AI b a̠ AI ɕ i AC
ちんぎん	t ɕ ĩ ŋʲ ɡʲ ĩ ɴ
ちんこ	t ɕ ĩ ŋ k o̞ AF
ちんこう	t ɕ ĩ ŋ k o̞ː AE
ちんこん	t ɕ ĩ ŋ k õ̞ ɴ
ちんこんか	t ɕ ĩ ŋ k õ̞ ŋ k a̠ AI
ちんこんきょく	t ɕ ĩ ŋ k õ̞ ŋʲ kʲ o̞ AF k ɯ̟ᵝ
ちんご	t ɕ ĩ ŋ ɡ o̞ AF
ちんしゃ	t ɕ ĩ ɰ̃ AK ɕ a̠ AI
ちんじ	t ɕ ĩ ɲ̟ d ʑ i AC
ちんじゅ	t ɕ ĩ ɲ̟ d ʑ ɨᵝ
