ᆜ	j AB ɯ AD
에스컬레이터	e̞ AD sʰ ɯ AD kʰ ʌ̹ ɭ ɭ e̞ AD i AD tʰ ʌ̹
에스터	e̞ AD sʰ ɯ AD tʰ ʌ̹
에스테르	e̞ AD sʰ ɯ AD tʰ e̞ AD ɾ ɯ AD
에스토니아	e̞ AD sʰ ɯ AD tʰ o̞ AE n i AD a̠ AF
에스토니아어	e̞ AD sʰ ɯ AD tʰ o̞ AE n i AD a̠ AF ʌ̹
에스파냐	e̞ AD sʰ ɯ AD pʰ a̠ AF ɲ j AB a̠ AF
에어컨	e̞ AD ʌ̹ kʰ ʌ̹ n
에어컨디셔너	e̞ AD ʌ̹ kʰ ʌ̹ n d i AD ɕʰ ʌ̹ n ʌ̹
에어쿠션	e̞ AD ʌ̹ kʰ u AE ɕʰ ʌ̹ n
에이즈	e̞ AD i AD d ʑ ɯ AD
에잇	e̞ AD i AD t̚
에취	e̞ AD t ɕʰ ɥ AC i AD
에콰도르	e̞ AD kʰ w AC a̠ AF d o̞ AE ɾ ɯ AD
에탄	e̞ AD tʰ a̠ AF n
에터	e̞ AD tʰ ʌ̹
에테르	e̞ AD tʰ e̞ AD ɾ ɯ AD
에테인	e̞ AD tʰ e̞ AD i AD n
에티오피아	e̞ AD tʰ i AD o̞ AE pʰ i AD a̠ AF
에티켓	e̞ AD tʰ i AD kʰ e̞ AD t̚
에피소드	e̞ AD pʰ i AD sʰ o̞ AE d ɯ AD
엔	e̞ AD n
엔나	e̞ AD n n a̠ AF
엔진	e̞ AD ɲ d ʑ i AD n
엘니노	e̞ AD ʎ ʎ i AD n o̞ AE
엘니뇨	e̞ AD ʎ ʎ i AD ɲ j AB o AE
엘리베이터	e̞ AD ʎ ʎ i AD b e̞ AD i AD tʰ ʌ̹
엘리트	e̞ AD ʎ ʎ i AD tʰ ɯ AD
엘살바도르	e̞ AD ɭ sʰ a̠ AF ɭ b a̠ AF d o̞ AE ɾ ɯ AD
엘에이	e̞ AD ɾ e̞ AD i AD
엥가노쥐	e̞ AD ŋ ɡ a̠ AF n o̞ AE d ʑ ɥ AC i AD
여가	j AB ʌ̹ ɡ a̠ AF
여건	j AB ɘː AD k͈ ʌ̹ n
여겨지다	j AB ʌ̹ ɡ j AB ʌ̹ d ʑ i AD d a̠ AF
여과	j AB ɘː AD ɡ w AC a̠ AF
여과기	j AB ɘː AD ɡ w AC a̠ AF ɡ i AD
여관	j AB ʌ̹ ɡ w AC a̠ AF n
여권	j AB ʌ̹ k͈ w AC ʌ̹ n
여기	j AB ʌ̹ ɡ i AD
여기다	j AB ʌ̹ ɡ i AD d a̠ AF
여기저기	j AB ʌ̹ ɡ i AD d ʑ ʌ̹ ɡ i AD
여뀌	j AB ʌ̹ k͈ ɥ AC i AD
여남은	j AB ʌ̹ n a̠ AF m ɯ AD n
여단	j AB ɘː AD d a̠ AF n
여닫다	j AB ɘː AD d a̠ AF t̚ t͈ a̠ AF
여당	j AB ɘː AD d a̠ AF ŋ
여덟	j AB ʌ̹ d ʌ̹ ɭ
여돌	j AB ʌ̹ d o̞ AE ɭ
여드레	j AB ʌ̹ d ɯ AD ɾ e̞ AD
여드름	j AB ʌ̹ d ɯ AD ɾ ɯ AD m
여든	j AB ʌ̹ d ɯ AD n
여러	j AB ʌ̹ ɾ ʌ̹
여러분	j AB ʌ̹ ɾ ʌ̹ b u AE n
여럿	j AB ʌ̹ ɾ ʌ̹ t̚
여론	j AB ɘː AD ɾ o̞ AE n
여름	j AB ʌ̹ ɾ ɯ AD m
여름철	j AB ʌ̹ ɾ ɯ AD m t ɕʰ ʌ̹ ɭ
여린히읗	j AB ʌ̹ ɾ i AD n ʝ i AD ɯ AD t̚
여보	j AB ʌ̹ b o̞ AE
여보세요	j AB ʌ̹ b o̞ AE sʰ e̞ AD j AB o AE
여사친	j AB ʌ̹ sʰ a̠ AF t ɕʰ i AD n
여섯	j AB ʌ̹ sʰ ʌ̹ t̚
여성	j AB ʌ̹ sʰ ʌ̹ ŋ
여성스럽다	j AB ʌ̹ sʰ ʌ̹ ŋ sʰ ɯ AD ɾ ʌ̹ p̚ t͈ a̠ AF
여성주의	j AB ʌ̹ sʰ ʌ̹ ŋ d ʑ u AE ɰ AB i AD
여성혐오	j AB ʌ̹ sʰ ʌ̹ ŋ ʝ j AB ʌ̹ m o̞ AE
여신	j AB ʌ̹ ɕʰ i AD n
여야	j AB ɘː AD j AB a̠ AF
여여	j AB ʌ̹ j AB ʌ̹
여여하다	j AB ʌ̹ j AB ʌ̹ ɦ AA a̠ AF d a̠ AF
여와	j AB ʌ̹ w AC a̠ AF
여왕	j AB ʌ̹ w AC a̠ AF ŋ
여우	j AB ʌ̹ u AE
여우비	j AB ʌ̹ u AE b i AD
여우원숭이	j AB ʌ̹ u AE w AC ʌ̹ n sʰ u AE ŋ i AD
여울	j AB ʌ̹ u AE ɭ
여울마자	j AB ʌ̹ u AE ɭ m a̠ AF d ʑ a̠ AF
여유	j AB ʌ̹ j AB u AE
여의자	j AB ʌ̹ ɰ AB i AD d ʑ a̠ AF
여인	j AB ʌ̹ i AD n
여인숙	j AB ʌ̹ i AD n sʰ u AE k̚
여자	j AB ʌ̹ d ʑ a̠ AF
여자아이	j AB ʌ̹ d ʑ a̠ AF a̠ AF i AD
여자친구	j AB ʌ̹ d ʑ a̠ AF t ɕʰ i AD n ɡ u AE
여장	j AB ʌ̹ d ʑ a̠ AF ŋ
여전하다	j AB ʌ̹ d ʑ ʌ̹ n ɦ AA a̠ AF d a̠ AF
여전히	j AB ʌ̹ d ʑ ʌ̹ n ʝ i AD
여정	j AB ʌ̹ d ʑ ʌ̹ ŋ
여제	j AB ʌ̹ d ʑ e̞ AD
여진	j AB ʌ̹ d ʑ i AD n
여쭈다	j AB ɘː AD t ɕ͈ u AE d a̠ AF
여체	j AB ʌ̹ t ɕʰ e̞ AD
여초	j AB ʌ̹ t ɕʰ o̞ AE
여친	j AB ʌ̹ t ɕʰ i AD n
여하	j AB ʌ̹ ɦ AA a̠ AF
여호와	j AB ʌ̹ β o̞ AE w AC a̠ AF
역	j AB ʌ̹ k̚
역겹다	j AB ʌ̹ k̚ k͈ j AB ʌ̹ p̚ t͈ a̠ AF
역경	j AB ʌ̹ k̚ k͈ j AB ʌ̹ ŋ
역량	j AB ʌ̹ ŋ ɲ j AB a̠ AF ŋ
역사	j AB ʌ̹ k s͈ a̠ AF
역사가	j AB ʌ̹ k s͈ a̠ AF ɡ a̠ AF
역사적	j AB ʌ̹ k s͈ a̠ AF d ʑ ʌ̹ k̚
역시	j AB ʌ̹ k ɕ͈ i AD
역원	j AB ʌ̹ ɡ w AC ʌ̹ n
역학	j AB ʌ̹ kʰ a̠ AF k̚
역할	j AB ʌ̹ kʰ a̠ AF ɭ
엮다	j AB ʌ̹ k̚ t͈ a̠ AF
연	j AB ʌ̹ n
연가	j AB ɘː AD n ɡ a̠ AF
연간	j AB ʌ̹ n ɡ a̠ AF n
연감	j AB ʌ̹ n ɡ a̠ AF m
연결	j AB ʌ̹ n ɡ j AB ʌ̹ ɭ
연결되다	j AB ʌ̹ n ɡ j AB ʌ̹ ɭ d w AC e̞ AD d a̠ AF
연결하다	j AB ʌ̹ n ɡ j AB ʌ̹ ɾ ɦ AA a̠ AF d a̠ AF
연고	j AB ɘː AD n ɡ o̞ AE
연골	j AB ɘː AD n ɡ o̞ AE ɭ
연구	j AB ɘː AD n ɡ u AE
연구되다	j AB ʌ̹ n ɡ u AE d w AC e̞ AD d a̠ AF
연구소	j AB ʌ̹ n ɡ u AE sʰ o̞ AE
연구실	j AB ʌ̹ n ɡ u AE ɕʰ i AD ɭ
연구원	j AB ɘː AD n ɡ u AE w AC ʌ̹ n
연구자	j AB ɘː AD n ɡ u AE d ʑ a̠ AF
연구하다	j AB ɘː AD n ɡ u AE ɦ AA a̠ AF d a̠ AF
연극	j AB ɘː AD n ɡ ɯ AD k̚
연근	j AB ʌ̹ n ɡ ɯ AD n
연금	j AB ʌ̹ n ɡ ɯ AD m
연기	j AB ʌ̹ n ɡ i AD
연기자	j AB ɘː AD n ɡ i AD d ʑ a̠ AF
연꽃	j AB ʌ̹ n k͈ o̞ AE t̚
연락	j AB ʌ̹ ɭ ɭ a̠ AF k̚
연락처	j AB ʌ̹ ɭ ɭ a̠ AF k̚ t ɕʰ ʌ̹
연락하다	j AB ʌ̹ ɭ ɭ a̠ AF kʰ a̠ AF d a̠ AF
연령	j AB ʌ̹ ʎ ʎ j AB ʌ̹ ŋ
연료	j AB ʌ̹ ʎ ʎ j AB o AE
연루	j AB ʌ̹ ɭ ɭ u AE
연말	j AB ʌ̹ n m a̠ AF ɭ
연못	j AB ʌ̹ n m o̞ AE t̚
연방	j AB ʌ̹ n b a̠ AF ŋ
연변	j AB ʌ̹ n b j AB ʌ̹ n
연뿌리	j AB ʌ̹ n p͈ u AE ɾ i AD
연상	j AB ʌ̹ n sʰ a̠ AF ŋ
연설	j AB ɘː AD n sʰ ʌ̹ ɭ
연설자	j AB ɘː AD n sʰ ʌ̹ ʎ t ɕ͈ a̠ AF
연세	j AB ʌ̹ n sʰ e̞ AD
연속	j AB ʌ̹ n sʰ o̞ AE k̚
연속극	j AB ʌ̹ n sʰ o̞ AE k̚ k͈ ɯ AD k̚
연습	j AB ɘː AD n sʰ ɯ AD p̚
연습곡	j AB ɘː AD n sʰ ɯ AD p̚ k͈ o̞ AE k̚
연습하다	j AB ɘː AD n sʰ ɯ AD pʰ a̠ AF d a̠ AF
연안	j AB ʌ̹ n a̠ AF n
연어	j AB ʌ̹ n ʌ̹
연예인	j AB ɘː AD ɲ j AB e̞ AD i AD n
연옥	j AB ɘː AD n o̞ AE k̚
연월일	j AB ʌ̹ n w AC ʌ̹ ɾ i AD ɭ
연장	j AB ʌ̹ ɲ d ʑ a̠ AF ŋ
연적	j AB ɘː AD ɲ d ʑ ʌ̹ k̚
연주	j AB ɘː AD ɲ d ʑ u AE
연주하다	j AB ɘː AD ɲ d ʑ u AE ɦ AA a̠ AF d a̠ AF
연준모치	j AB ʌ̹ ɲ d ʑ u AE n m o̞ AE t ɕʰ i AD
연체동물	j AB ɘː AD ɲ t ɕʰ e̞ AD d o̞ AE ŋ m u AE ɭ
연초	j AB ʌ̹ ɲ t ɕʰ o̞ AE
연출	j AB ɘː AD ɲ t ɕʰ u AE ɭ
연탁	j AB ʌ̹ n tʰ a̠ AF k̚
연필	j AB ʌ̹ n pʰ i AD ɭ
연필깎이	j AB ʌ̹ n pʰ i AD ɭ k͈ a̠ AF k͈ i AD
연하다	j AB ɘː AD n ɦ AA a̠ AF d a̠ AF
연합	j AB ʌ̹ n ɦ AA a̠ AF p̚
연혁	j AB ɘː AD n ʝ j AB ʌ̹ k̚
연회	j AB ɘː AD n β w AC e̞ AD
연휴	j AB ʌ̹ n ʝ j AB u AE
연흔	j AB ʌ̹ n ɣ ɯ AD n
엳	j AB ʌ̹ t̚
엳아홉	j AB ʌ̹ d a̠ AF β o̞ AE p̚
열	j AB ʌ̹ ɭ
열넷	j AB ʌ̹ ɭ ɭ e̞ AD t̚
열다	j AB ɘː AD ɭ d a̠ AF
열다섯	j AB ʌ̹ ɭ t͈ a̠ AF sʰ ʌ̹ t̚
열도	j AB ʌ̹ ɭ t͈ o̞ AE
열동갈문절	j AB ʌ̹ ɭ t͈ o̞ AE ŋ ɡ a̠ AF ɭ m u AE ɲ d ʑ ʌ̹ ɭ
열둘	j AB ʌ̹ ɭ t͈ u AE ɭ
열등	j AB ʌ̹ ɭ d ɯ AD ŋ
열등감	j AB ʌ̹ ɭ t͈ ɯ AD ŋ ɡ a̠ AF m
열람실	j AB ʌ̹ ɭ ɭ a̠ AF m ɕʰ i AD ɭ
열량	j AB ʌ̹ ʎ ʎ j AB a̠ AF ŋ
열리다	j AB ʌ̹ ʎ ʎ i AD d a̠ AF
열목어	j AB ʌ̹ ɭ m o̞ AE ɡ ʌ̹
열반	j AB ʌ̹ ɭ b a̠ AF n
열방	j AB ʌ̹ ɭ b a̠ AF ŋ
열병	j AB ʌ̹ ɭ b j AB ʌ̹ ŋ
열셋	j AB ʌ̹ ɭ s͈ e̞ AD t̚
열쇠	j AB ɘː AD ɭ s͈ w AC e̞ AD
열심히	j AB ʌ̹ ɭ ɕ͈ i AD m ʝ i AD
열아홉	j AB ʌ̹ ɾ a̠ AF β o̞ AE p̚
열없다	j AB ɘː AD ɾ ʌ̹ p̚ t͈ a̠ AF
열여덟	j AB ʌ̹ ʎ ʎ j AB ʌ̹ d ʌ̹ ɭ
열여섯	j AB ʌ̹ ʎ ʎ j AB ʌ̹ sʰ ʌ̹ t̚
열역학	j AB ʌ̹ ʎ ʎ j AB ʌ̹ kʰ a̠ AF k̚
열일곱	j AB ʌ̹ ʎ ʎ i AD ɭ ɡ o̞ AE p̚
열정	j AB ʌ̹ ʎ d ʑ ʌ̹ ŋ
열차	j AB ʌ̹ ʎ t ɕʰ a̠ AF
열하나	j AB ʌ̹ ɾ ɦ AA a̠ AF n a̠ AF
열화학	j AB ʌ̹ ɾ β w AC a̠ AF ɦ AA a̠ AF k̚
열흘	j AB ʌ̹ ɾ ɣ ɯ AD ɭ
엷다	j AB ɘː AD ɭ t͈ a̠ AF
엷파랗다	j AB ʌ̹ ɭ pʰ a̠ AF ɾ a̠ AF tʰ a̠ AF
염	j AB ʌ̹ m
염기	j AB ʌ̹ m ɡ i AD
염려하다	j AB ɘː AD m ɲ j AB ʌ̹ ɦ AA a̠ AF d a̠ AF
염료	j AB ɘː AD m ɲ j AB o AE
염병	j AB ɘː AD m b j AB ʌ̹ ŋ
염복	j AB ɘː AD m b o̞ AE k̚
염불	j AB ʌ̹ m b u AE ɭ
염세	j AB ɘː AD m sʰ e̞ AD
염세가	j AB ɘː AD m sʰ e̞ AD ɡ a̠ AF
염세관	j AB ɘː AD m sʰ e̞ AD ɡ w AC a̠ AF n
염세주의	j AB ɘː AD m sʰ e̞ AD d ʑ u AE ɰ AB i AD
염소	j AB ʌ̹ m sʰ o̞ AE
염장	j AB ʌ̹ m d ʑ a̠ AF ŋ
염주	j AB ɘː AD m d ʑ u AE
염증	j AB ʌ̹ m t ɕ͈ ɯ AD ŋ
염통	j AB ʌ̹ m tʰ o̞ AE ŋ
엽	j AB ʌ̹ p̚
엽궐련	j AB ʌ̹ p̚ k͈ w AC ʌ̹ ʎ ʎ j AB ʌ̹ n
엽록소	j AB ʌ̹ m n o̞ AE k s͈ o̞ AE
엽록체	j AB ʌ̹ m n o̞ AE k̚ t ɕʰ e̞ AD
엽서	j AB ʌ̹ p s͈ ʌ̹
엿	j AB ʌ̹ t̚
엿기름	j AB ʌ̹ t̚ k͈ i AD ɾ ɯ AD m
엿듣다	j AB ɘː AD t̚ t͈ ɯ AD t̚ t͈ a̠ AF
엿보다	j AB ɘː AD t̚ p͈ o̞ AE d a̠ AF
영	j AB ʌ̹ ŋ
영광	j AB ʌ̹ ŋ ɡ w AC a̠ AF ŋ
영광스럽다	j AB ʌ̹ ŋ ɡ w AC a̠ AF ŋ sʰ ɯ AD ɾ ʌ̹ p̚ t͈ a̠ AF
영구	j AB ɘː AD ŋ ɡ u AE
영국	j AB ʌ̹ ŋ ɡ u AE k̚
영국인	j AB ʌ̹ ŋ ɡ u AE ɡ i AD n
영도자	j AB ʌ̹ ŋ d o̞ AE d ʑ a̠ AF
영리하다	j AB ɘː AD ŋ n i AD ɦ AA a̠ AF d a̠ AF
영묘	j AB ʌ̹ ŋ m j AB o AE
영문	j AB ʌ̹ ŋ m u AE n
영미권	j AB ʌ̹ ŋ m i AD k͈ w AC ʌ̹ n
영본	j AB ʌ̹ ŋ b o̞ AE n
영사	j AB ʌ̹ ŋ sʰ a̠ AF
영사관	j AB ʌ̹ ŋ sʰ a̠ AF ɡ w AC a̠ AF n
영상	j AB ʌ̹ ŋ sʰ a̠ AF ŋ
영성	j AB ʌ̹ ŋ sʰ ʌ̹ ŋ
영성체	j AB ɘː AD ŋ sʰ ʌ̹ ŋ t ɕʰ e̞ AD
영수증	j AB ʌ̹ ŋ sʰ u AE d ʑ ɯ AD ŋ
영양	j AB ʌ̹ ŋ j AB a̠ AF ŋ
영양물	j AB ʌ̹ ŋ j AB a̠ AF ŋ m u AE ɭ
영양실조	j AB ʌ̹ ŋ j AB a̠ AF ŋ ɕʰ i AD ʎ d ʑ o̞ AE
영양제	j AB ʌ̹ ŋ j AB a̠ AF ŋ d ʑ e̞ AD
영양탕	j AB ʌ̹ ŋ j AB a̠ AF ŋ tʰ a̠ AF ŋ
영어	j AB ʌ̹ ŋ ʌ̹
영어권	j AB ʌ̹ ŋ ʌ̹ k͈ w AC ʌ̹ n
영업	j AB ʌ̹ ŋ ʌ̹ p̚
영역	j AB ʌ̹ ŋ j AB ʌ̹ k̚
영예	j AB ʌ̹ ŋ j AB e̞ AD
영웅	j AB ʌ̹ ŋ u AE ŋ
영원	j AB ɘː AD ŋ w AC ʌ̹ n
영원하다	j AB ɘː AD ŋ w AC ʌ̹ n ɦ AA a̠ AF d a̠ AF
영원히	j AB ɘː AD ŋ w AC ʌ̹ n ʝ i AD
영자팔법	j AB ʌ̹ ŋ d ʑ a̠ AF pʰ a̠ AF ɭ b ʌ̹ p̚
영적	j AB ʌ̹ ŋ t ɕ͈ ʌ̹ k̚
영지	j AB ʌ̹ ŋ d ʑ i AD
영춘권	j AB ɘː AD ŋ t ɕʰ u AE n ɡ w AC ʌ̹ n
영토	j AB ʌ̹ ŋ tʰ o̞ AE
영포자	j AB ʌ̹ ŋ pʰ o̞ AE d ʑ a̠ AF
영하	j AB ʌ̹ ŋ ɦ AA a̠ AF
영향	j AB ɘː AD ŋ ʝ j AB a̠ AF ŋ
영향력	j AB ɘː AD ŋ ʝ j AB a̠ AF ŋ ɲ j AB ʌ̹ k̚
영혼	j AB ʌ̹ ŋ β o̞ AE n
영화	j AB ʌ̹ ŋ β w AC a̠ AF
영화관	j AB ʌ̹ ŋ β w AC a̠ AF ɡ w AC a̠ AF n
옅다	j AB ʌ̹ t̚ t͈ a̠ AF
옆	j AB ʌ̹ p̚
옆얼굴	j AB ʌ̹ b ʌ̹ ɭ ɡ u AE ɭ
옆집	j AB ʌ̹ p̚ t ɕ͈ i AD p̚
예	j AB e̞ː AD
예감	j AB e̞ː AD ɡ a̠ AF m
예구	j AB e̞ː AD k͈ u AE
예금	j AB e̞ː AD ɡ ɯ AD m
예능	j AB e̞ː AD n ɯ AD ŋ
예니레	j AB e̞ AD n i AD ɾ e̞ AD
예닐곱	j AB e̞ AD n i AD ɭ ɡ o̞ AE p̚
예다	j AB e̞ː AD d a̠ AF
예레반	j AB e̞ AD ɾ e̞ AD b a̠ AF n
예루살렘	j AB e̞ AD ɾ u AE sʰ a̠ AF ɭ ɭ e̞ AD m
예멘	j AB e̞ AD m e̞ AD n
예명	j AB e̞ AD m j AB ʌ̹ ŋ
예문	j AB e̞ː AD m u AE n
예물	j AB e̞ AD m u AE ɭ
예방	j AB e̞ː AD b a̠ AF ŋ
예비	j AB e̞ AD b i AD
예쁘다	j AB e̞ː AD p͈ ɯ AD d a̠ AF
예산	j AB e̞ː AD sʰ a̠ AF n
예상	j AB e̞ː AD sʰ a̠ AF ŋ
예상되다	j AB e̞ː AD sʰ a̠ AF ŋ d w AC e̞ AD d a̠ AF
예상하다	j AB e̞ː AD sʰ a̠ AF ŋ ɦ AA a̠ AF d a̠ AF
예수	j AB e̞ AD sʰ u AE
예수회	j AB e̞ AD sʰ u AE β w AC e̞ AD
예순	j AB e̞ AD sʰ u AE n
예술	j AB e̞ː AD sʰ u AE ɭ
예술가	j AB e̞ː AD sʰ u AE ɭ ɡ a̠ AF
예시	j AB e̞ː AD ɕʰ i AD
예식	j AB e̞ AD ɕʰ i AD k̚
예약	j AB e̞ː AD j AB a̠ AF k̚
예약하다	j AB e̞ː AD j AB a̠ AF kʰ a̠ AF d a̠ AF
예언	j AB e̞ː AD ʌ̹ n
예언자	j AB e̞ː AD ʌ̹ ɲ d ʑ a̠ AF
예외	j AB e̞ː AD w AC e̞ AD
예의	j AB e̞ AD ɰ AB i AD
예일	j AB e̞ AD i AD ɭ
예전	j AB e̞ː AD d ʑ ʌ̹ n
예절	j AB e̞ AD d ʑ ʌ̹ ɭ
예정	j AB e̞ː AD d ʑ ʌ̹ ŋ
예취기	j AB e̞ AD t ɕʰ ɥ AC i AD ɡ i AD
예카테린부르크	j AB e̞ AD kʰ a̠ AF tʰ e̞ AD ɾ i AD n b u AE ɾ ɯ AD k x ɯ AD
예후	j AB e̞ː AD β u AE
옛	j AB e̞ː AD t̚
옛날	j AB e̞ː AD n n a̠ AF ɭ
옛날이야기	j AB e̞ː AD n n a̠ AF ʎ ʎ i AD j AB a̠ AF ɡ i AD
옛말	j AB e̞ː AD n m a̠ AF ɭ
옛적	j AB e̞ː AD t̚ t ɕ͈ ʌ̹ k̚
옛한글	j AB e̞ː AD tʰ a̠ AF n ɡ ɯ AD ɭ
오	o̞ː AE
오가네손	o̞ AE ɡ a̠ AF n e̞ AD sʰ o̞ AE n
오가다	o̞ AE ɡ a̠ AF d a̠ AF
오그르르	o̞ AE ɡ ɯ AD ɾ ɯ AD ɾ ɯ AD
오글오글	o̞ AE ɡ ɯ AD ɾ o̞ AE ɡ ɯ AD ɭ
오금	o̞ AE ɡ ɯ AD m
오누이	o̞ AE n u AE i AD
오늄	o̞ AE ɲ j AB u AE m
오늘	o̞ AE n ɯ AD ɭ
오늘날	o̞ AE n ɯ AD ɭ ɭ a̠ AF ɭ
오늬	o̞ AE n i AD
오다	o̞ AE d a̠ AF
오답	o̞ː AE d a̠ AF p̚
오덕후	o̞ AE d ʌ̹ kʰ u AE
오데사	o̞ AE d e̞ AD sʰ a̠ AF
오뎅	o̞ AE d e̞ AD ŋ
오도카니	o̞ AE d o̞ AE kʰ a̠ AF n i AD
오드콜로뉴	o̞ AE d ɯ AD kʰ o̞ AE ɭ ɭ o̞ AE ɲ j AB u AE
오드투왈렛	o̞ AE d ɯ AD tʰ u AE w AC a̠ AF ɭ ɭ e̞ AD t̚
오등	o̞ː AE d ɯ AD ŋ
오디	o̞ AE d i AD
오딘	o̞ AE d i AD n
오라버니	o̞ AE ɾ a̠ AF b ʌ̹ n i AD
오라버님	o̞ AE ɾ a̠ AF b ʌ̹ n i AD m
오락	o̞ː AE ɾ a̠ AF k̚
오락실	o̞ː AE ɾ a̠ AF k ɕ͈ i AD ɭ
오랑우탄	o̞ AE ɾ a̠ AF ŋ u AE tʰ a̠ AF n
오렌지	o̞ AE ɾ e̞ AD ɲ d ʑ i AD
오로지	o̞ː AE ɾ o̞ AE d ʑ i AD
오롯하다	o̞ AE ɾ o̞ AE tʰ a̠ AF d a̠ AF
오룔	o̞ AE ɾ j AB o AE ɭ
오류	o̞ː AE ɾ j AB u AE
오르가슴	o̞ AE ɾ ɯ AD ɡ a̠ AF sʰ ɯ AD m
오르간	o̞ AE ɾ ɯ AD ɡ a̠ AF n
오르다	o̞ AE ɾ ɯ AD d a̠ AF
오르되브르	o̞ AE ɾ ɯ AD d w AC e̞ AD b ɯ AD ɾ ɯ AD
오른	o̞ AE ɾ ɯ AD n
오른손잡이	o̞ AE ɾ ɯ AD n sʰ o̞ AE ɲ d ʑ a̠ AF b i AD
오른쪽	o̞ AE ɾ ɯ AD ɲ t ɕ͈ o̞ AE k̚
오리	o̞ː AE ɾ i AD
오리나무	o̞ AE ɾ i AD n a̠ AF m u AE
오리너구리	o̞ː AE ɾ i AD n ʌ̹ ɡ u AE ɾ i AD
오리무중	o̞ː AE ɾ i AD m u AE d ʑ u AE ŋ
오마카세	o̞ AE m a̠ AF kʰ a̠ AF sʰ e̞ AD
오만	o̞ː AE m a̠ AF n
오목하다	o̞ AE m o̞ AE kʰ a̠ AF d a̠ AF
오문	o̞ AE m u AE n
오물	o̞ː AE m u AE ɭ
오물오물	o̞ AE m u AE ɾ o̞ AE m u AE ɭ
오므라이스	o̞ AE m ɯ AD ɾ a̠ AF i AD sʰ ɯ AD
오믈렛	o̞ AE m ɯ AD ɭ ɭ e̞ AD t̚
오미자	o̞ː AE m i AD d ʑ a̠ AF
오바마	o̞ AE b a̠ AF m a̠ AF
오버클럭	o̞ AE b ʌ̹ k x ɯ AD ɭ ɭ ʌ̹ k̚
오븐	o̞ AE b ɯ AD n
오블라스티	o̞ AE b ɯ AD ɭ ɭ a̠ AF sʰ ɯ AD tʰ i AD
오빠	o̞ AE p͈ a̠ AF
오사까	o̞ AE sʰ a̠ AF k͈ a̠ AF
오사존	o̞ AE sʰ a̠ AF d ʑ o̞ AE n
오사카	o̞ AE sʰ a̠ AF kʰ a̠ AF
오세아니아	o̞ AE sʰ e̞ AD a̠ AF n i AD a̠ AF
오소리	o̞ AE sʰ o̞ AE ɾ i AD
오스뮴	o̞ AE sʰ ɯ AD m j AB u AE m
오스트랄리아	o̞ AE sʰ ɯ AD tʰ ɯ AD ɾ a̠ AF ʎ ʎ i AD a̠ AF
오스트레일리아	o̞ AE sʰ ɯ AD tʰ ɯ AD ɾ e̞ AD i AD ʎ ʎ i AD a̠ AF
오스트리아	o̞ AE sʰ ɯ AD tʰ ɯ AD ɾ i AD a̠ AF
오슬로	o̞ AE sʰ ɯ AD ɭ ɭ o̞ AE
오십	o̞ː AE ɕʰ i AD p̚
오아시스	o̞ AE a̠ AF ɕʰ i AD sʰ ɯ AD
오염	o̞ː AE j AB ʌ̹ m
오염되다	o̞ː AE j AB ʌ̹ m d w AC e̞ AD d a̠ AF
오온	o̞ː AE o̞ AE n
오옴	o̞ AE o̞ AE m
오월	o̞ː AE w AC ʌ̹ ɭ
오음	o̞ː AE ɯ AD m
오이	o̞ AE i AD
오장육부	o̞ː AE d ʑ a̠ AF ŋ j AB u AE k̚ p͈ u AE
오적어	o̞ AE d ʑ ʌ̹ ɡ ʌ̹
오전	o̞ː AE d ʑ ʌ̹ n
오존	o̞ AE d ʑ o̞ AE n
오줌	o̞ AE d ʑ u AE m
오지리	o̞ AE d ʑ i AD ɾ i AD
오직	o̞ AE d ʑ i AD k̚
오징어	o̞ AE d ʑ i AD ŋ ʌ̹
오촌	o̞ː AE t ɕʰ o̞ AE n
오치레기	o̞ AE t ɕʰ i AD ɾ e̞ AD ɡ i AD
오케스트라	o̞ AE kʰ e̞ AD sʰ ɯ AD tʰ ɯ AD ɾ a̠ AF
오케이	o̞ AE kʰ e̞ AD i AD
오크로시카	o̞ AE k x ɯ AD ɾ o̞ AE ɕʰ i AD kʰ a̠ AF
오타	o̞ː AE tʰ a̠ AF
오타와	o̞ AE tʰ a̠ AF w AC a̠ AF
오타쿠	o̞ AE tʰ a̠ AF kʰ u AE
오토메이션	o̞ AE tʰ o̞ AE m e̞ AD i AD ɕʰ ʌ̹ n
오토바이	o̞ AE tʰ o̞ AE b a̠ AF i AD
오트밀	o̞ AE tʰ ɯ AD m i AD ɭ
오페라	o̞ AE pʰ e̞ AD ɾ a̠ AF
오페레타	o̞ AE pʰ e̞ AD ɾ e̞ AD tʰ a̠ AF
오피스텔	o̞ AE pʰ i AD sʰ ɯ AD tʰ e̞ AD ɭ
오하이오	o̞ AE ɦ AA a̠ AF i AD o̞ AE
오호	o̞ː AE β o̞ AE
오환	o̞ AE β w AC a̠ AF n
오후	o̞ː AE β u AE
오히려	o̞ AE ʝ i AD ɾ j AB ʌ̹
옥	o̞ AE k̚
옥고	o̞ AE k̚ k͈ o̞ AE
옥문	o̞ AE ŋ m u AE n
옥사졸	o̞ AE k s͈ a̠ AF d ʑ o̞ AE ɭ
옥상	o̞ AE k s͈ a̠ AF ŋ
옥석	o̞ AE k s͈ ʌ̹ k̚
옥수수	o̞ AE k s͈ u AE sʰ u AE
