a	a AD
serbiera	s̺ e AD r b j AB e AD ɾ a AD
serbokroaziera	s̺ e AD r b o AE k r o AE a AD s̻ j AB e AD ɾ a AD
setemere	s e AD t e AD m e AD ɾ e AD
siziliera	s̺ i AD s̻ i AD l j AB e AD ɾ a AD
soin	s̺ o AE ɲ
somaliera	s̺ o AE m a AD l j AB e AD ɾ a AD
sorgin	s̺ o AE r ɡ i AD ɲ
sortalde	s̺ o AE r t a AD l d e AD
suedia	s̺ w AC e AD d j AB a AD
suediera	s̺ w AC e AD d j AB e AD ɾ a AD
sufre	s̺ u AE f ɾ e AD
suitza	s̺ w AC i AD t s̻ a AD
t	t e AD
taberna	t a AD b e AD r n a AD
tailandiera	t a AD i AD l a AD n d j AB e AD ɾ a AD
tarte	t a AD r t e AD
tarteka	t a AD r t e AD k a AD
tatami	t a AD t a AD m i AD
tauromakia	t a AD u AE ɾ o AE m a AD k j AB a AD
te	t e AD
telezabor	t e AD l e AD s̻ a AD b o AE r
tigre	t i AD ɡ r e AD
tigrea	t i AD ɡ r e AD a AD
tigreari	t i AD ɡ r e AD a AD ɾ i AD
tigrez	t i AD ɡ r e AD s̻
tipula	t i AD p u AE l a AD
tobera	t o AE b e AD ɾ a AD
toki	t o AE k i AD
tunisia	t u AE n i AD s̺ j AB a AD
tunisian	t u AE n i AD s̺ j AB a AD n
turkia	t u AE r k i AD a AD
turkiera	t u AE r k i AD e AD ɾ a AD
txakaviera	t ʃ a AD k a AD b j AB e AD ɾ a AD
txakur	t ʃ a AD k u AE r
txakurkume	t ʃ a AD k u AE r k u AE m e AD
txapel	t ʃ a AD p e AD l
txekiera	t ʃ e AD k j AB e AD ɾ a AD
txerri	t ʃ e AD r i AD
txetnik	t ʃ e AD t n i AD k
tximino	t ʃ i AD m i AD ɲ o AE
txina	t ʃ i AD n a AD
txinera	t ʃ i AD n e AD ɾ a AD
txingurri	t ʃ i AD n ɡ u AE r i AD
txirrin	t ʃ i AD r i AD ɲ
txirrindu	t ʃ i AD r i AD n d u AE
txirrindulari	t ʃ i AD r i AD n d u AE l a AD ɾ i AD
txirrindularitza	t ʃ i AD r i AD n d u AE l a AD ɾ i AD t s̻ a AD
txori	t ʃ o AE ɾ i AD
u	u AE
uda	u AE d a AD
udaberri	u AE d a AD b e AD r i AD
udal	u AE d a AD l
udaletxe	u AE d a AD l e AD t ʃ e AD
udazken	u AE d a AD s̻ k e AD n
ugaztun	u AE ɡ a AD s̻ t u AE n
uharte	u AE ɦ AA a AD r t e AD
uhartedi	u AE h AA a AD r t e AD d i AD
uhartegi	u AE h AA a AD r t e AD ɡ i AD
ukondo	u AE k o AE n d o AE
ukraina	u AE k r a AD i AD n a AD
ukrainan	u AE k r a AD i AD n a AD n
ukrainera	u AE k r a AD i AD n e AD ɾ a AD
ulertu	u AE l e AD r t u AE
unai	u AE n a AD i AD
untxi	u AE n t ʃ i AD
ur	u AE r
urde	u AE r d e AD
urdin	u AE r d i AD ɲ
urre	u AE r e AD
urri	u AE r i AD
urrieta	u AE r i AD e AD t a AD
urril	u AE r i AD ʎ
urtaro	u AE r t a AD ɾ o AE
urtarril	u AE r t a AD r i AD ʎ
urte	u AE r t e AD
urthe	u AE r tʰ e AD
urtxintxa	u AE r t ʃ i AD n t ʃ a AD
usategi	u AE s̺ a AD t e AD ɡ i AD
uso	u AE s̺ o AE
usteldu	u AE s̺ t e AD l d u AE
utz	u AE t s̪
utzi	u AE t s̻ i AD
uve	u AE b e AD
uzbekera	u AE s̻ b e AD k e AD ɾ a AD
uzta	u AE s̻ t a AD
uztail	u AE s̻ t a AD ʎ
uñhu	u AE ɲ ɦ AA ũ
v	u AE b e AD
vietnamera	b j AB e AD t n a AD m e AD ɾ a AD
x	i AD ʃ a AD
xabier	ʃ a AD β j AB e AD r
xaboi	ʃ a AD b o AE i AD
xake	ʃ a AD k e AD
xakelari	ʃ a AD k e AD l a AD ɾ i AD
xanpu	ʃ a AD m p u AE
xurgagailu	ʃ u AE r ɡ a AD ɡ a AD ʎ u AE
yarda	ʎ a AD r d a AD
z	s̻ e AD t a AD
zabiltza	s̪ a AD b i AD l t s̪ a AD
zabiltzate	s̪ a AD b i AD l t s̪ a AD t e AD
zabilzke	s̪ a AD b i AD l s̪ k e AD
zabilzkete	s̪ a AD b i AD l s̪ k e AD t e AD
zahar	s̻ a AD ɦ AA a AD r
zahi	s̻ a AD ɦ AA i AD
zaitez	s̪ a AD j AB t e AD s̪
zaitezke	s̪ a AD j AB t e AD s̪ k e AD
zaitezkete	s̪ a AD j AB t e AD s̪ k e AD t e AD
zaitezte	s̪ a AD j AB t e AD s̪ t e AD
zaldi	s̻ a AD l d i AD
zamari	s̻ a AD m a AD ɾ i AD
zapaburu	s̻ a AD p a AD b u AE ɾ u AE
zapatu	s̻ a AD p a AD t u AE
zara	s̪ a AD ɾ a AD
zarautz	s̻ a AD ɾ a AD u AE t s̻
zarete	s̪ a AD ɾ e AD t e AD
zatoz	s̪ a AD t o AE s̪
zatozke	s̪ a AD t o AE s̪ k e AD
zatozkete	s̪ a AD t o AE s̪ k e AD t e AD
zatozte	s̪ a AD t o AE s̪ t e AD
zatxezkidate	s̪ a AD t ʃ e AD s̪ k i AD d a AD t e AD
zatxezkie	s̪ a AD t ʃ e AD s̪ k i AD e AD
zatxezkiete	s̪ a AD t ʃ e AD s̪ k i AD e AD t e AD
zatxezkigu	s̪ a AD t ʃ e AD s̪ k i AD ɡ u AE
zatxezkigute	s̪ a AD t ʃ e AD s̪ k i AD ɡ u AE t e AD
zatxezkio	s̪ a AD t ʃ e AD s̪ k i AD o AE
zatxezkiote	s̪ a AD t ʃ e AD s̪ k i AD o AE t e AD
zatxezkit	s̪ a AD t ʃ e AD s̪ k i AD t
zaude	s̪ a AD w AC d e AD
zaudeke	s̪ a AD w AC d e AD k e AD
zaudekete	s̪ a AD w AC d e AD k e AD t e AD
zaudete	s̪ a AD w AC d e AD t e AD
zauri	s̻ a AD u AE ɾ i AD
zautza	s̪ a AD w AC t s̪ a AD
zautzate	s̪ a AD w AC t s̪ a AD t e AD
zazpi	s̻ a AD s̻ p i AD
zazpigarren	s̻ a AD s̻ p i AD ɡ a AD r e AD n
zazpikoitz	s̻ a AD s̻ p i AD k o AE i AD t s̻
zazpiren	s̻ a AD s̻ p i AD ɾ e AD n
ze	s̻ e AD
zebilen	s̪ e AD b i AD ʎ e AD n
zebilkeen	s̪ e AD b i AD l k e AD e AD n
zebiltzan	s̪ e AD b i AD l t s̪ a AD n
zebilzkeen	s̪ e AD b i AD l s̪ k e AD e AD n
zedin	s̪ e AD d i AD ɲ
zegoen	s̪ e AD ɡ o AE e AD n
zegokeen	s̪ e AD ɡ o AE k e AD e AD n
zein	s̪ e AD ɲ
zekien	s̪ e AD k i AD e AD n
zekion	s̪ e AD k i AD o AE n
zekizkien	s̪ e AD k i AD s̪ k i AD e AD n
zekizkion	s̪ e AD k i AD s̪ k i AD o AE n
zemendi	s̻ e AD m e AD n d i AD
zen	s̪ e AD n
zenbaki	s̻ e AD n b a AD k i AD
zenbiltzan	s̪ e AD n b i AD l t s̪ a AD n
zenbiltzaten	s̪ e AD n b i AD l t s̪ a AD t e AD n
zenbilzke	s̪ e AD n b i AD l s̪ k e AD
zenbilzkeen	s̪ e AD n b i AD l s̪ k e AD e AD n
zenbilzkete	s̪ e AD n b i AD l s̪ k e AD t e AD
zenbilzketen	s̪ e AD n b i AD l s̪ k e AD t e AD n
zenkizkien	s̪ e AD n k i AD s̪ k i AD e AD n
zenkizkieten	s̪ e AD n k i AD s̪ k i AD e AD t e AD n
zenkizkion	s̪ e AD n k i AD s̪ k i AD o AE n
zenkizkioten	s̪ e AD n k i AD s̪ k i AD o AE t e AD n
zentozen	s̪ e AD n t o AE s̪ e AD n
zentozke	s̪ e AD n t o AE s̪ k e AD
zentozkeen	s̪ e AD n t o AE s̪ k e AD e AD n
zentozkete	s̪ e AD n t o AE s̪ k e AD t e AD
zentozketen	s̪ e AD n t o AE s̪ k e AD t e AD n
zentozten	s̪ e AD n t o AE s̪ t e AD n
zentxezkidake	s̪ e AD n t ʃ e AD s̪ k i AD d a AD k e AD
zentxezkidakete	s̪ e AD n t ʃ e AD s̪ k i AD d a AD k e AD t e AD
zentxezkidan	s̪ e AD n t ʃ e AD s̪ k i AD d a AD n
zentxezkidaten	s̪ e AD n t ʃ e AD s̪ k i AD d a AD t e AD n
zentxezkieke	s̪ e AD n t ʃ e AD s̪ k i AD e AD k e AD
zentxezkiekete	s̪ e AD n t ʃ e AD s̪ k i AD e AD k e AD t e AD
zentxezkien	s̪ e AD n t ʃ e AD s̪ k i AD e AD n
zentxezkieten	s̪ e AD n t ʃ e AD s̪ k i AD e AD t e AD n
zentxezkiguke	s̪ e AD n t ʃ e AD s̪ k i AD ɡ u AE k e AD
zentxezkigukete	s̪ e AD n t ʃ e AD s̪ k i AD ɡ u AE k e AD t e AD
zentxezkigun	s̪ e AD n t ʃ e AD s̪ k i AD ɡ u AE n
zentxezkiguten	s̪ e AD n t ʃ e AD s̪ k i AD ɡ u AE t e AD n
zentxezkioke	s̪ e AD n t ʃ e AD s̪ k i AD o AE k e AD
zentxezkiokete	s̪ e AD n t ʃ e AD s̪ k i AD o AE k e AD t e AD
zentxezkion	s̪ e AD n t ʃ e AD s̪ k i AD o AE n
zentxezkioten	s̪ e AD n t ʃ e AD s̪ k i AD o AE t e AD n
zer	s̪ e AD ɾ
zerbitzu	s̪ e AD r b i AD t s̪ u AE
zerbitzugune	s̪ e AD r b i AD t s̪ u AE ɡ u AE n e AD
zerbütxügüne	s̪ e AD r b i AD t ʃ y AE ɡ y AE n e AD
zerekin	s̪ e AD ɾ e AD k i AD n
zeren	s̪ e AD ɾ e AD n
zerentzat	s̻ e AD ɾ e AD n t s̻ a AD t
zerez	s̪ e AD ɾ e AD s̪
zergatik	s̪ e AD r ɡ a AD t i AD k
zeri	s̪ e AD ɾ i AD
zerk	s̪ e AD r k
zero	s̻ e AD ɾ o AE
zerogarren	s̻ e AD ɾ o AE ɡ a AD r e AD n
zerri	s̻ e AD r i AD
zertaz	s̪ e AD r t a AD s̪
zeru	s̻ e AD ɾ u AE
zeta	s̻ e AD t a AD
zetorkeen	s̪ e AD t o AE r k e AD e AD n
zetorren	s̪ e AD t o AE r e AD n
zetozen	s̪ e AD t o AE s̪ e AD n
zetozkeen	s̪ e AD t o AE s̪ k e AD e AD n
zetxekian	s̪ e AD t ʃ e AD k i AD a AD n
zetxekidan	s̪ e AD t ʃ e AD k i AD d a AD n
zetxekien	s̪ e AD t ʃ e AD k i AD e AD n
zetxekigun	s̪ e AD t ʃ e AD k i AD ɡ u AE n
zetxekinan	s̪ e AD t ʃ e AD k i AD n a AD n
zetxekion	s̪ e AD t ʃ e AD k i AD o AE n
zetxekizuen	s̪ e AD t ʃ e AD k i AD s̪ u AE e AD n
zetxekizun	s̪ e AD t ʃ e AD k i AD s̪ u AE n
zetxezkian	s̪ e AD t ʃ e AD s̪ k i AD a AD n
zetxezkidan	s̪ e AD t ʃ e AD s̪ k i AD d a AD n
zetxezkien	s̪ e AD t ʃ e AD s̪ k i AD e AD n
zetxezkigun	s̪ e AD t ʃ e AD s̪ k i AD ɡ u AE n
zetxezkinan	s̪ e AD t ʃ e AD s̪ k i AD n a AD n
zetxezkion	s̪ e AD t ʃ e AD s̪ k i AD o AE n
zetxezkizuen	s̪ e AD t ʃ e AD s̪ k i AD s̪ u AE e AD n
zetxezkizun	s̪ e AD t ʃ e AD s̪ k i AD s̪ u AE n
zetzan	s̪ e AD t s̪ a AD n
zeu	s̪ e AD w AC
zeudekeen	s̪ e AD w AC d e AD k e AD e AD n
zeuden	s̪ e AD w AC d e AD n
zeundeke	s̪ e AD w AC n d e AD k e AD
zeundekeen	s̪ e AD w AC n d e AD k e AD e AD n
zeundekete	s̪ e AD w AC n d e AD k e AD t e AD
zeundeketen	s̪ e AD w AC n d e AD k e AD t e AD n
zeunden	s̪ e AD w AC n d e AD n
zeundeten	s̪ e AD w AC n d e AD t e AD n
zeuntzake	s̪ e AD w AC n t s̪ a AD k e AD
zeuntzakete	s̪ e AD w AC n t s̪ a AD k e AD t e AD
zeuntzan	s̪ e AD w AC n t s̪ a AD n
zeuntzaten	s̪ e AD w AC n t s̪ a AD t e AD n
zeure	s̪ e AD w AC ɾ e AD
zeutzan	s̪ e AD w AC t s̪ a AD n
zezeil	s̺ e AD s̺ e AD ʎ
zezen	s̻ e AD s̻ e AD n
zezenkari	s̻ e AD s̻ e AD n k a AD ɾ i AD
zigilu	s̻ i AD ɡ i AD ʎ u AE
zikoina	s̻ i AD k o AE ɲ a AD
zilar	s̪ i AD ʎ a AD ɾ
zintezen	s̪ i AD n t e AD s̪ e AD n
zintezke	s̪ i AD n t e AD s̪ k e AD
zintezkeen	s̪ i AD n t e AD s̪ k e AD e AD n
zintezkete	s̪ i AD n t e AD s̪ k e AD t e AD
zintezketen	s̪ i AD n t e AD s̪ k e AD t e AD n
zintezten	s̪ i AD n t e AD s̪ t e AD n
zintzur	s̻ i AD n t s̻ u AE r
zipre	s̻ i AD p r e AD
zirkonio	s̪ i AD r k o AE n j AB o AE
zitekeen	s̪ i AD t e AD k e AD e AD n
zitezen	s̪ i AD t e AD s̪ e AD n
zitezkeen	s̪ i AD t e AD s̪ k e AD e AD n
ziztatu	s̻ i AD s̻ t a AD t u AE
zolda	s̻ o AE l d a AD
zortzi	s̻ o AE r t s̻ i AD
zortzigarren	s̻ o AE r t s̻ i AD ɡ a AD r e AD n
zortzikoitz	s̻ o AE r t s̻ i AD k o AE i AD t s̻
zortziren	s̻ o AE r t s̻ i AD ɾ e AD n
zu	s̪ u AE
zubi	s̻ u AE b i AD
zuek	s̪ u AE e AD k
zuhaitz	s̻ u AE ɦ AA a AD i AD t s̻
zuhaixka	s̻ u AE h AA a AD i AD ʃ k a AD
zuhamuxka	s̻ u AE h AA a AD m u AE ʃ k a AD
zuk	s̪ u AE k
zulo	s̻ u AE l o AE
zulogune	s̻ u AE l o AE ɡ u AE n e AD
zumake	s̻ u AE m a AD k e AD
zumarraga	s̻ u AE m a AD r a AD ɡ a AD
zur	s̻ u AE r
zurgin	s̻ u AE r ɡ i AD ɲ
zurgina	s̻ u AE r ɡ i AD ɲ a AD
zurginak	s̻ u AE r ɡ i AD ɲ a AD k
zurginarekin	s̻ u AE r ɡ i AD ɲ a AD ɾ e AD k i AD ɲ
zurginaren	s̻ u AE r ɡ i AD ɲ a AD ɾ e AD n
zurginarengan	s̻ u AE r ɡ i AD ɲ a AD ɾ e AD n ɡ a AD n
zurginarengana	s̻ u AE r ɡ i AD ɲ a AD ɾ e AD n ɡ a AD n a AD
zurginarenganaino	s̻ u AE r ɡ i AD ɲ a AD ɾ e AD n ɡ a AD n a AD ɲ o AE
zurginarenganako	s̻ u AE r ɡ i AD ɲ a AD ɾ e AD n ɡ a AD n a AD k o AE
zurginarenganantz	s̻ u AE r ɡ i AD ɲ a AD ɾ e AD n ɡ a AD n a AD n t s̻
zurginarengandik	s̻ u AE r ɡ i AD ɲ a AD ɾ e AD n ɡ a AD n d i AD k
zurginarengatik	s̻ u AE r ɡ i AD ɲ a AD ɾ e AD n ɡ a AD t i AD k
zurginarentzat	s̻ u AE r ɡ i AD ɲ a AD ɾ e AD n t s̻ a AD t
zurginari	s̻ u AE r ɡ i AD ɲ a AD ɾ i AD
zurginaz	s̻ u AE r ɡ i AD ɲ a AD s̻
zurgindegi	s̻ u AE r ɡ i AD n d e AD ɡ i AD
zurginei	s̻ u AE r ɡ i AD ɲ e AD i AD
zurginek	s̻ u AE r ɡ i AD ɲ e AD k
zurginekin	s̻ u AE r ɡ i AD ɲ e AD k i AD ɲ
zurginen	s̻ u AE r ɡ i AD ɲ e AD n
zurginengan	s̻ u AE r ɡ i AD ɲ e AD n ɡ a AD n
zurginengana	s̻ u AE r ɡ i AD ɲ e AD n ɡ a AD n a AD
zurginenganaino	s̻ u AE r ɡ i AD ɲ e AD n ɡ a AD n a AD ɲ o AE
zurginenganako	s̻ u AE r ɡ i AD ɲ e AD n ɡ a AD n a AD k o AE
zurginenganantz	s̻ u AE r ɡ i AD ɲ e AD n ɡ a AD n a AD n t s̻
zurginengandik	s̻ u AE r ɡ i AD ɲ e AD n ɡ a AD n d i AD k
zurginengatik	s̻ u AE r ɡ i AD ɲ e AD n ɡ a AD t i AD k
zurginentzat	s̻ u AE r ɡ i AD ɲ e AD n t s̻ a AD t
zurginez	s̻ u AE r ɡ i AD ɲ e AD s̻
zurgini	s̻ u AE r ɡ i AD ɲ i AD
zurginik	s̻ u AE r ɡ i AD ɲ i AD k
zurgintza	s̻ u AE r ɡ i AD n t s̻ a AD
zurgintzat	s̻ u AE r ɡ i AD n t s̻ a AD t
zuri	s̻ u AE ɾ i AD
zuzen	s̻ u AE s̻ e AD n
zuzendu	s̻ u AE s̻ e AD n d u AE
zuzentasun	s̻ u AE s̻ e AD n t a AD s̺ u AE n
zuzentzaile	s̻ u AE s̻ e AD n t s̻ a AD ʎ e AD
zuñiga	s̻ u AE ɲ i AD ɡ a AD
züntzür	s̻ y AE n t s̻ y AE r
ñ	e AD ɲ e AD
ü	y AE
üthürri	y AE tʰ y AE r i AD
ĺ	ʎ
ŕ	r
