'y	ɪ AM
kapiraso	k AC x BC ɐ BA p AG ɪ AM ɾ BE ɐ BA s AH o BA
kapitan	k AC x BC ɐ BA p AG ɪ AM t AI ɐ BA n AF
kaplastikan	k AC x BC ɐ BA p AG l AD ɐ BA s AH t AI ɪ AM x BC a AM n AF
kapon	k AC x BC ɐ BA p AG o BA n AF
kapre	k AC x BC ɐ BA p AG ɾ BE ɛ AM
kaputsino	k AC x BC ɐ BA p AG ʊ BA t AI ʃ AH ɪ AM n AF o BA
karakter	k AC x BC ɐ BA ɾ BE a AM k AC t AI ɛ AM ɾ BE
karambola	k AC x BC ɐ BA ɾ BE ɐ BA m AE b AG o BA l AD ɐ BA
karamihan	k AC x BC ɐ BA ɾ BE ɐ BA m AE ɪ AM h AA ɐ BA n AF
karampatan	k AC x BC ɐ BA ɾ BE ɐ BA m AE p AG a AM t AI ɐ BA n AF
karayom	k AC x BC ɐ BA ɾ BE ɐ BA j AB o BA m AE
karbon	k AC x BC ɐ BA ɾ BE b AG o BA n AF
karerahan	k AC x BC a AM ɾ BE ɛ AM ɾ BE ɐ BA h AA a AM n AF
karibal	k AC x BC ɐ BA ɾ BE ɪ AM b AG a AM l AD
karitela	k AC x BC ɐ BA ɾ BE ɪ AM t AI ɛ AM l AD ɐ BA
kariton	k AC x BC ɐ BA ɾ BE ɪ AM t AI o BA n AF
karo	k AC x BC a AM ɾ BE o BA
karpintero	k AC x BC ɐ BA ɾ BE p AG ɪ AM n AF t AI ɛ AM ɾ BE o BA
karton	k AC x BC ɐ BA ɾ BE t AI o BA n AF
karunungan	k AC x BC ɐ BA ɾ BE ʊ BA n AF ʊ BA ŋ AK ɐ BA n AF
karupukan	k AC x BC ɐ BA ɾ BE ʊ BA p AG ʊ BA x BC a AM n AF
karuwagan	k AC x BC ɐ BA ɾ BE ʊ BA ɐ BA ɰ AB a AM n AF
kasalanan	k AC x BC ɐ BA s AH ɐ BA l AD a AM n AF ɐ BA n AF
kasambahay	k AC x BC ɐ BA s AH ɐ BA m AE b AG ɐ BA h AA a AM ɪ̯ AB
kasera	k AC x BC ɐ BA s AH ɛ AM ɾ BE ɐ BA
kasero	k AC x BC ɐ BA s AH ɛ AM ɾ BE o BA
kaserola	k AC x BC ɐ BA s AH ɛ AM ɾ BE o BA l AD ɐ BA
kasiguraduhan	k AC x BC ɐ BA s AH ɪ AM ɰ AB ʊ BA ɾ BE ɐ BA d AI ʊ BA h AA ɐ BA n AF
kasintahan	k AC x BC ɐ BA s AH ɪ AM n AF t AI ɐ BA h AA ɐ BA n AF
kasinungalingan	k AC x BC ɐ BA s AH ɪ AM n AF ʊ BA ŋ AK ɐ BA l AD i AM ŋ AK ɐ BA n AF
kasoy	k AC x BC ɐ BA s AH o BA ɪ̯ AB
kastigo	k AC x BC ɐ BA s AH t AI ɪ AM ɰ AB o BA
kastiguhin	k AC x BC ɐ BA s AH t AI ɪ AM ɰ AB ʊ BA h AA ɪ AM n AF
kasubha	k AC x BC ɐ BA s AH u BA b AG h AA a AM ʔ AL
kataga	k AC x BC ɐ BA t AI ɐ BA ɰ AB a AM ʔ AL
katagalugan	k AC x BC ɐ BA t AI ɐ BA ɰ AB ɐ BA l AD ʊ BA ɰ AB ɐ BA n AF
katakawan	k AC x BC ɐ BA t AI ɐ BA x BC ɐ BA w AJ ɐ BA n AF
katang	k AC x BC ɐ BA t AI a AM ŋ AK
katangahan	k AC x BC ɐ BA t AI ɐ BA ŋ AK ɐ BA h AA a AM n AF
katarata	k AC x BC ɐ BA t AI ɐ BA ɾ BE ɐ BA t AI ɐ BA
katawan	k AC x BC ɐ BA t AI ɐ BA w AJ a AM n AF
katedral	k AC x BC ɐ BA t AI ɛ AM d AI ɾ BE ɐ BA l AD
katigbak	k AC x BC ɐ BA t AI ɪ AM ɡ AC b AG ɐ BA k AC
katiwalian	k AC x BC ɐ BA t AI ɪ AM w AJ ɐ BA l AD ɪ AM a AM n AF
kato	k AC x BC ɐ BA t AI o BA ʔ AL
katolisismo	k AC x BC ɐ BA t AI o BA l AD ɪ AM s AH ɪ AM s AH m AE o BA
katungkulan	k AC x BC ɐ BA t AI ʊ BA ŋ AK k AC ʊ BA l AD ɐ BA n AF
katuwang	k AC x BC ɐ BA t AI w AJ a AM ŋ AK
kawad	k AC x BC a AM w AJ ɐ BA d AI
kay	k AC x BC a AM ɪ̯ AB
kendi	k AC x BC ɛ AM n AF d AI ɪ AM
ketongin	k AC x BC ɛ AM t AI o BA ŋ AK ɪ AM n AF
kiamzon	k AC x BC ɪ AM ɐ BA m AE s AH o BA n AF
kikil	k AC x BC i AM x BC ɪ AM l AD
kilikili	k AC x BC ɪ AM l AD ɪ AM x BC ɪ AM l AD ɪ AM
kilo	k AC x BC ɪ AM l AD o BA ʔ AL
king	k AC x BC ɪ AM ŋ AK
kintsay	k AC x BC ɪ AM n AF t AI ʃ AH a AM ɪ̯ AB
kita	k AC ɪ AM t AI a AM
kitikiti	k AC x BC ɪ AM t AI ɪ AM x BC ɪ AM t AI i AM
klima	k AC x BC l AD i AM m AE ɐ BA
klinika	k AC x BC l AD i AM n AF ɪ AM x BC ɐ BA
kolera	k AC x BC o BA l AD ɛ AM ɾ BE ɐ BA
kombinasyon	k AC x BC u BA m AE b AG ɪ AM n AF ɐ BA ʃ AH o BA n AF
komedya	k AC x BC o BA m AE ɛ AM d AI ʒ AH ɐ BA
komento	k AC x BC o BA m AE ɛ AM n AF t AI o BA
kometa	k AC x BC o BA m AE ɛ AM t AI ɐ BA
kompleto	k AC x BC u BA m AE p AG l AD ɛ AM t AI o BA
komplikasyon	k AC x BC u BA m AE p AG l AD ɪ AM x BC ɐ BA ʃ AH o BA n AF
komunidad	k AC x BC o BA m AE ʊ BA n AF ɪ AM d AI a AM d AI
kondenahin	k AC x BC o BA n AF d AI ɛ AM n AF ɐ BA h AA i AM n AF
kondisyon	k AC x BC o BA n AF d AI ɪ AM ʃ AH o BA n AF
konstitusyon	k AC x BC o BA n AF s AH t AI ɪ AM t AI ʊ BA ʃ AH o BA n AF
konsumisyon	k AC x BC o BA n AF s AH ʊ BA m AE ɪ AM ʃ AH o BA n AF
kontak	k AC x BC o BA n AF t AI ɐ BA k AC
kontakin	k AC x BC o BA n AF t AI ɐ BA x BC ɪ AM n AF
kontrobersiya	k AC x BC o BA n AF t AI ɾ BE o BA b AG ɛ AM ɾ BE ʃ AH ɐ BA
koral	k AC x BC o BA ɾ BE a AM l AD
korona	k AC x BC o BA ɾ BE o BA n AF ɐ BA
koronahan	k AC x BC o BA ɾ BE o BA n AF a AM h AA ɐ BA n AF
kotse	k AC x BC o BA t AI ʃ AH ɛ AM
krimen	k AC x BC ɾ BE ɪ AM m AE ɛ AM n AF
kriminal	k AC x BC ɾ BE ɪ AM m AE ɪ AM n AF a AM l AD
kritiko	k AC x BC ɾ BE i AM t AI ɪ AM x BC o BA
kroni	k AC x BC ɾ BE o BA n AF ɪ AM
kroniyismo	k AC x BC ɾ BE o BA n AF ɪ AM j AB ɪ AM s AH m AE o BA
kuba	k AC x BC u BA b AG ɐ BA ʔ AL
kubeta	k AC x BC ʊ BA b AG ɛ AM t AI ɐ BA
kubo	k AC x BC ʊ BA b AG o BA
kudkurin	k AC x BC ʊ BA d AI k AC ʊ BA ɾ BE i AM n AF
kuha	k AC x BC ʊ BA h AA ɐ BA
kulambo	k AC x BC ʊ BA l AD ɐ BA m AE b AG o BA ʔ AL
kulangi	k AC x BC ʊ BA l AD ɐ BA ŋ AK ɪ AM ʔ AL
kulangot	k AC x BC ʊ BA l AD a AM ŋ AK o BA t AI
kulimlim	k AC x BC ʊ BA l AD ɪ AM m AE l AD i AM m AE
kulugo	k AC x BC ʊ BA l AD ʊ BA ɰ AB o BA
kumabig	k AC x BC ʊ BA m AE a AM b AG ɪ AM ɡ AC
kumanta	k AC x BC ʊ BA m AE ɐ BA n AF t AI a AM
kumbensiyon	k AC x BC u BA m AE b AG ɛ AM n AF ʃ AH o BA n AF
kumbento	k AC x BC u BA m AE b AG ɛ AM n AF t AI o BA
kumbulsiyon	k AC x BC u BA m AE b AG ʊ BA l AD ʃ AH o BA n AF
kumpas	k AC x BC u BA m AE p AG a AM s AH
kumpederasyon	k AC x BC u BA m AE p AG ɛ AM d AI ɛ AM ɾ BE ɐ BA ʃ AH o BA n AF
kumpisal	k AC x BC u BA m AE p AG ɪ AM s AH a AM l AD
kumunoy	k AC x BC ʊ BA m AE ʊ BA n AF o BA ɪ̯ AB
kumupas	k AC x BC ʊ BA m AE ʊ BA p AG ɐ BA s AH
kumuyakoy	k AC x BC ʊ BA m AE ʊ BA j AB a AM x BC o BA ɪ̯ AB
kunan	k AC x BC ʊ BA n AF ɐ BA n AF
kupas	k AC x BC ʊ BA p AG a AM s AH
kurba	k AC x BC ʊ BA ɾ BE b AG a AM
kurbata	k AC x BC ʊ BA ɾ BE b AG ɐ BA t AI ɐ BA
kurot	k AC x BC ʊ BA ɾ BE o BA t AI
kursonada	k AC x BC ʊ BA ɾ BE s AH o BA n AF ɐ BA d AI ɐ BA
kurtina	k AC x BC ʊ BA ɾ BE t AI ɪ AM n AF ɐ BA
kusina	k AC x BC ʊ BA s AH ɪ AM n AF ɐ BA
kustodiya	k AC x BC ʊ BA s AH t AI o BA d AI ɪ AM ɐ BA
kuting	k AC x BC ʊ BA t AI i AM ŋ AK
kutis	k AC x BC u BA t AI ɪ AM s AH
kuto	k AC x BC ʊ BA t AI o BA ʔ AL
kutsara	k AC x BC ʊ BA t AI ʃ AH ɐ BA ɾ BE ɐ BA
kutson	k AC x BC ʊ BA t AI ʃ AH o BA n AF
kutya	k AC x BC ʊ BA t AI ʃ AH a AM ʔ AL
kuwan	k AC w AJ a AM n AF
laba	l AD ɐ BA b AG a AM
labada	l AD ɐ BA b AG ɐ BA d AI ɐ BA
labag	l AD ɐ BA b AG a AM ɡ AC
labastida	l AD ɐ BA b AG ɐ BA s AH t AI ɪ AM d AI ɐ BA
labhan	l AD ɐ BA b AG h AA a AM n AF
labnot	l AD ɐ BA b AG n AF o BA t AI
labong	l AD ɐ BA b AG o BA ŋ AK
lacambra	l AD ɐ BA x BC ɐ BA m AE b AG ɾ BE ɐ BA
lacap	l AD ɐ BA x BC ɐ BA p AG
laganap	l AD ɐ BA ɰ AB ɐ BA n AF ɐ BA p AG
lagay	l AD ɐ BA ɰ AB a AM ɪ̯ AB
lagdameo	l AD ɐ BA ɡ AC d AI ɐ BA m AE ɛ AM o BA
lagmay	l AD ɐ BA ɡ AC m AE a AM ɪ̯ AB
lagundi	l AD ɐ BA ɰ AB ʊ BA n AF d AI i AM
laitin	l AD a AM ɪ̯ AB t AI ɪ AM n AF
lampara	l AD a AM m AE p AG ɐ BA ɾ BE ɐ BA
lampin	l AD ɐ BA m AE p AG i AM n AF
lana	l AD a AM n AF ɐ BA
landrito	l AD ɐ BA n AF d AI ɾ BE ɪ AM t AI o BA
langkaan	l AD ɐ BA ŋ AK k AC ɐ BA ʔ AL ɐ BA n AF
lanting	l AD ɐ BA n AF t AI ɪ AM ŋ AK
lantsa	l AD a AM n AF t AI ʃ AH ɐ BA
lanuza	l AD ɐ BA n AF ʊ BA s AH ɐ BA
lapis	l AD a AM p AG ɪ AM s AH
lapnos	l AD ɐ BA p AG n AF o BA s AH
lapuz	l AD ɐ BA p AG ʊ BA s AH
laquindanum	l AD ɐ BA x BC ɪ AM n AF d AI ɐ BA n AF ʊ BA m AE
larawan	l AD ɐ BA ɾ BE a AM w AJ ɐ BA n AF
lascano	l AD ɐ BA s AH k AC ɐ BA n AF o BA
laspag	l AD ɐ BA s AH p AG a AM ɡ AC
lastiko	l AD a AM s AH t AI ɪ AM x BC o BA
laswa	l AD ɐ BA s AH w AJ a AM ʔ AL
latayan	l AD ɐ BA t AI ɐ BA j AB ɐ BA n AF
lawa	l AD a AM w AJ ɐ BA ʔ AL
lawaan	l AD ɐ BA w AJ a AM ʔ AL ɐ BA n AF
laway	l AD a AM w AJ a AM ɪ̯ AB
lawlaw	l AD a AM ʊ̯ AJ l AD a AM ʊ̯ AJ
laxamana	l AD ɐ BA k AC s AH ɐ BA m AE ɐ BA n AF ɐ BA
layag	l AD a AM j AB ɐ BA ɡ AC
layas	l AD ɐ BA j AB a AM s AH
laygo	l AD a AM ɪ̯ AB ɰ AB o BA
laylayan	l AD a AM ɪ̯ AB l AD a AM j AB ɐ BA n AF
laylo	l AD a AM ɪ̯ AB l AD o BA
layno	l AD a AM ɪ̯ AB n AF o BA
lazarte	l AD ɐ BA s AH ɐ BA ɾ BE t AI ɛ AM
lazatin	l AD ɐ BA s AH ɐ BA t AI ɪ AM n AF
lehitimo	l AD ɛ AM h AA i AM t AI ɪ AM m AE o BA
leynes	l AD ɛ AM ɪ̯ AB n AF ɛ AM s AH
libak	l AD ɪ AM b AG a AM k AC
libradilla	l AD ɪ AM b AG ɾ BE ɐ BA d AI ɪ AM l AD l AD ɐ BA
libre	l AD ɪ AM b AG ɾ BE ɛ AM
lichauco	l AD ɪ AM t AI ʃ AH a AM ʊ̯ AJ x BC o BA
licup	l AD ɪ AM x BC ʊ BA p AG
ligpit	l AD ɪ AM ɡ AC p AG i AM t AI
liha	l AD ɪ AM h AA ɐ BA
lihim	l AD i AM h AA ɪ AM m AE
liko	l AD ɪ AM x BC o BA ʔ AL
limahid	l AD ɪ AM m AE a AM h AA ɪ AM d AI
limbaga	l AD ɪ AM m AE b AG ɐ BA ɰ AB ɐ BA
limjoco	l AD ɪ AM m AE d AI ʒ AH o BA x BC o BA
limos	l AD ɪ AM m AE o BA s AH
linatoc	l AD ɪ AM n AF ɐ BA t AI o BA k AC
lingad	l AD ɪ AM ŋ AK ɐ BA d AI
linggo	l AD ɪ AM ŋ AK ɡ AC o BA
lingon	l AD ɪ AM ŋ AK o BA n AF
linta	l AD ɪ AM n AF t AI a AM ʔ AL
liquigan	l AD ɪ AM x BC ɪ AM ɰ AB ɐ BA n AF
lising	l AD ɪ AM s AH ɪ AM ŋ AK
lislis	l AD ɪ AM s AH l AD i AM s AH
literasiya	l AD ɪ AM t AI ɛ AM ɾ BE ɐ BA s AH ɪ AM ɐ BA
litrato	l AD ɪ AM t AI ɾ BE ɐ BA t AI o BA
liwag	l AD ɪ AM w AJ ɐ BA ɡ AC
lizada	l AD ɪ AM s AH ɐ BA d AI ɐ BA
llanera	l AD l AD ɐ BA n AF ɛ AM ɾ BE ɐ BA
llanto	l AD l AD ɐ BA n AF t AI o BA
lobo	l AD o BA b AG o BA
logarta	l AD o BA ɰ AB ɐ BA ɾ BE t AI ɐ BA
loko	l AD o BA x BC o BA
lola	l AD o BA l AD ɐ BA
lomibao	l AD o BA m AE ɪ AM b AG a AM ʊ̯ AJ
lona	l AD o BA n AF ɐ BA
longhitud	l AD o BA ŋ AK h AA ɪ AM t AI ʊ BA d AI
lorenzana	l AD o BA ɾ BE ɛ AM n AF s AH ɐ BA n AF ɐ BA
loterya	l AD o BA t AI ɛ AM ɾ BE j AB ɐ BA
lozada	l AD o BA s AH ɐ BA d AI ɐ BA
lubak	l AD ʊ BA b AG a AM k AC
lubha	l AD ʊ BA b AG h AA a AM ʔ AL
lubiano	l AD ʊ BA b AG j AB ɐ BA n AF o BA
lukban	l AD ʊ BA k AC b AG ɐ BA n AF
lula	l AD ʊ BA l AD a AM ʔ AL
lumad	l AD u BA m AE ɐ BA d AI
lumagui	l AD ʊ BA m AE ɐ BA ɰ AB ɪ AM
lumanglas	l AD ʊ BA m AE ɐ BA ŋ AK l AD ɐ BA s AH
lumbang	l AD u BA m AE b AG ɐ BA ŋ AK
lumbao	l AD u BA m AE b AG a AM ʊ̯ AJ
lumibao	l AD ʊ BA m AE ɪ AM b AG a AM ʊ̯ AJ
luwag	l AD w AJ a AM ɡ AC
luzano	l AD ʊ BA s AH ɐ BA n AF o BA
luzon	l AD ʊ BA s AH o BA n AF
luzuriaga	l AD ʊ BA s AH ʊ BA ɾ BE j AB ɐ BA ɰ AB ɐ BA
maagrabyado	m AE ɐ BA ʔ AL ɐ BA ʔ AL ɡ AC ɾ BE ɐ BA b AG j AB a AM d AI o BA
maangas	m AE ɐ BA ʔ AL a AM ŋ AK ɐ BA s AH
mababa	m AE ɐ BA b AG a AM b AG ɐ BA ʔ AL
mabalot	m AE ɐ BA b AG ɐ BA l AD o BA t AI
mabigat	m AE ɐ BA b AG ɪ AM ɰ AB a AM t AI
mabini	m AE ɐ BA b AG ɪ AM n AF ɪ AM
mabulaklak	m AE ɐ BA b AG ʊ BA l AD ɐ BA k AC l AD a AM k AC
maburyong	m AE ɐ BA b AG ʊ BA ɾ BE j AB o BA ŋ AK
mabuwisit	m AE ɐ BA b AG w AJ i AM s AH ɪ AM t AI
macababbad	m AE ɐ BA x BC ɐ BA b AG ɐ BA b AG b AG ɐ BA d AI
macadangdang	m AE ɐ BA x BC ɐ BA d AI ɐ BA ŋ AK d AI ɐ BA ŋ AK
macalalad	m AE ɐ BA x BC ɐ BA l AD ɐ BA l AD ɐ BA d AI
macalindong	m AE ɐ BA x BC ɐ BA l AD ɪ AM n AF d AI o BA ŋ AK
macapagal	m AE ɐ BA x BC ɐ BA p AG ɐ BA ɰ AB ɐ BA l AD
macapinlac	m AE ɐ BA x BC ɐ BA p AG ɪ AM n AF l AD ɐ BA k AC
macapugay	m AE ɐ BA x BC ɐ BA p AG ʊ BA ɰ AB a AM ɪ̯ AB
macaranas	m AE ɐ BA x BC ɐ BA ɾ BE ɐ BA n AF ɐ BA s AH
macasaet	m AE ɐ BA x BC ɐ BA s AH ɐ BA ɛ AM t AI
macasieb	m AE ɐ BA x BC ɐ BA s AH ɪ AM ɛ AM b AG
macaspac	m AE ɐ BA x BC ɐ BA s AH p AG ɐ BA k AC
macatulad	m AE ɐ BA x BC ɐ BA t AI ʊ BA l AD ɐ BA d AI
maceda	m AE ɐ BA s AH ɛ AM d AI ɐ BA
macuha	m AE ɐ BA x BC ʊ BA h AA ɐ BA
madalas	m AE ɐ BA d AI ɐ BA l AD a AM s AH
madlangbayan	m AE ɐ BA d AI l AD ɐ BA ŋ AK b AG ɐ BA j AB ɐ BA n AF
madriaga	m AE ɐ BA d AI ɾ BE ɪ AM ɐ BA ɰ AB ɐ BA
madulas	m AE ɐ BA d AI ʊ BA l AD a AM s AH
magaling	m AE ɐ BA ɰ AB ɐ BA l AD ɪ AM ŋ AK
magallanes	m AE ɐ BA ɰ AB ɐ BA l AD l AD ɐ BA n AF ɛ AM s AH
magalona	m AE ɐ BA ɰ AB ɐ BA l AD o BA n AF ɐ BA
magandahan	m AE ɐ BA ɰ AB ɐ BA n AF d AI ɐ BA h AA a AM n AF
magbabaon	n AF ɐ BA ɡ AC b AG ɐ BA ʔ AL o BA n AF
magbanua	m AE ɐ BA ɡ AC b AG ɐ BA n AF ʊ BA ɐ BA
magbaon	m AE ɐ BA ɡ AC b AG ɐ BA ʔ AL o BA n AF
magbarena	m AE ɐ BA ɡ AC b AG ɐ BA ɾ BE ɛ AM n AF ɐ BA
magbihis	m AE ɐ BA ɡ AC b AG i AM h AA ɪ AM s AH
magbinata	m AE ɐ BA ɡ AC b AG ɪ AM n AF ɐ BA t AI a AM ʔ AL
magbiro	m AE ɐ BA ɡ AC b AG ɪ AM ɾ BE o BA ʔ AL
magbisikleta	m AE ɐ BA ɡ AC b AG ɪ AM s AH ɪ AM k AC l AD ɛ AM t AI ɐ BA
magboo	m AE ɐ BA ɡ AC b AG o BA o BA
magbubukid	m AE ɐ BA ɡ AC b AG ʊ BA b AG ʊ BA x BC i AM d AI
magbuhat	m AE ɐ BA ɡ AC b AG ʊ BA h AA ɐ BA t AI
magbulakbol	m AE ɐ BA ɡ AC b AG ʊ BA l AD ɐ BA k AC b AG o BA l AD
magdalaga	m AE ɐ BA ɡ AC d AI ɐ BA l AD ɐ BA ɰ AB a AM
magdayao	m AE ɐ BA ɡ AC d AI ɐ BA j AB a AM ʊ̯ AJ
magdeliryo	m AE ɐ BA ɡ AC d AI ɛ AM l AD i AM ɾ BE j AB o BA
magdemanda	m AE ɐ BA ɡ AC d AI ɛ AM m AE ɐ BA n AF d AI ɐ BA
maghabilin	m AE ɐ BA ɡ AC h AA ɐ BA b AG ɪ AM l AD ɪ AM n AF
maghabla	m AE ɐ BA ɡ AC h AA ɐ BA b AG l AD a AM
maghanapbuhay	m AE ɐ BA ɡ AC h AA ɐ BA n AF ɐ BA p AG b AG ʊ BA h AA a AM ɪ̯ AB
maghanda	m AE ɐ BA ɡ AC h AA ɐ BA n AF d AI a AM ʔ AL
maghangad	m AE ɐ BA ɡ AC h AA ɐ BA ŋ AK a AM d AI
maghari	m AE ɐ BA ɡ AC h AA a AM ɾ BE ɪ AM ʔ AL
maghasik	m AE ɐ BA ɡ AC h AA ɐ BA s AH i AM k AC
maghati	m AE ɐ BA ɡ AC h AA ɐ BA t AI ɪ AM ʔ AL
maghiganti	m AE ɐ BA ɡ AC h AA ɪ AM ɰ AB ɐ BA n AF t AI i AM
maghikab	m AE ɐ BA ɡ AC h AA ɪ AM x BC a AM b AG
maghikaw	m AE ɐ BA ɡ AC h AA ɪ AM x BC a AM ʊ̯ AJ
maghilik	m AE ɐ BA ɡ AC h AA ɪ AM l AD i AM k AC
maghimagsik	m AE ɐ BA ɡ AC h AA ɪ AM m AE ɐ BA ɡ AC s AH i AM k AC
maghimutok	m AE ɐ BA ɡ AC h AA ɪ AM m AE ʊ BA t AI o BA k AC
maghinala	m AE ɐ BA ɡ AC h AA ɪ AM n AF ɐ BA l AD ɐ BA ʔ AL
maghingalo	m AE ɐ BA ɡ AC h AA ɪ AM ŋ AK ɐ BA l AD o BA
maghinto	m AE ɐ BA ɡ AC h AA ɪ AM n AF t AI o BA ʔ AL
maghinuha	m AE ɐ BA ɡ AC h AA ɪ AM n AF u BA h AA ɐ BA ʔ AL
maghirang	m AE ɐ BA ɡ AC h AA ɪ AM ɾ BE ɐ BA ŋ AK
maghirap	m AE ɐ BA ɡ AC h AA ɪ AM ɾ BE ɐ BA p AG
maghiyas	m AE ɐ BA ɡ AC h AA ɪ AM a AM s AH
maghumpay	m AE ɐ BA ɡ AC h AA u BA m AE p AG a AM ɪ̯ AB
magkanlong	m AE ɐ BA ɡ AC k AC ɐ BA n AF l AD o BA ŋ AK
magkataon	m AE ɐ BA ɡ AC k AC ɐ BA t AI ɐ BA ʔ AL o BA n AF
maglalang	m AE ɐ BA ɡ AC l AD ɐ BA l AD ɐ BA ŋ AK
maglanggas	m AE ɐ BA ɡ AC l AD ɐ BA ŋ AK ɡ AC a AM s AH
maglangib	m AE ɐ BA ɡ AC l AD ɐ BA ŋ AK i AM b AG
maglango	m AE ɐ BA ɡ AC l AD ɐ BA ŋ AK o BA
maglantod	m AE ɐ BA ɡ AC l AD ɐ BA n AF t AI o BA d AI
maglapa	m AE ɐ BA ɡ AC l AD a AM p AG ɐ BA ʔ AL
maglarawan	m AE ɐ BA ɡ AC l AD ɐ BA ɾ BE ɐ BA w AJ ɐ BA n AF
maglaro	m AE ɐ BA ɡ AC l AD ɐ BA ɾ BE o BA ʔ AL
maglaso	m AE ɐ BA ɡ AC l AD ɐ BA s AH o BA
maglaway	m AE ɐ BA ɡ AC l AD ɐ BA w AJ a AM ɪ̯ AB
maglingid	m AE ɐ BA ɡ AC l AD ɪ AM ŋ AK i AM d AI
maglingkod	m AE ɐ BA ɡ AC l AD ɪ AM ŋ AK k AC o BA d AI
maglola	m AE ɐ BA ɡ AC l AD o BA l AD ɐ BA
maglolo	m AE ɐ BA ɡ AC l AD o BA l AD o BA
magmaliw	m AE ɐ BA ɡ AC m AE ɐ BA l AD ɪ AM ʊ̯ AJ
magmartsa	m AE ɐ BA ɡ AC m AE ɐ BA ɾ BE t AI ʃ AH ɐ BA
magnakaw	m AE ɐ BA ɡ AC n AF a AM x BC a AM ʊ̯ AJ
magno	m AE ɐ BA ɡ AC n AF o BA
magpalaganap	m AE ɐ BA ɡ AC p AG ɐ BA l AD ɐ BA ɰ AB a AM n AF ɐ BA p AG
magpanatili	m AE ɐ BA ɡ AC p AG ɐ BA n AF ɐ BA t AI ɪ AM l AD ɪ AM
magparaya	m AE ɐ BA ɡ AC p AG ɐ BA ɾ BE ɐ BA j AB ɐ BA ʔ AL
magpasubasta	m AE ɐ BA ɡ AC p AG ɐ BA s AH ʊ BA b AG ɐ BA s AH t AI ɐ BA
magpaubaya	m AE ɐ BA ɡ AC p AG ɐ BA ʔ AL ʊ BA b AG ɐ BA j AB ɐ BA ʔ AL
magpraktis	m AE ɐ BA ɡ AC p AG ɾ BE ɐ BA k AC t AI ɪ AM s AH
magrenta	m AE ɐ BA ɡ AC ɾ BE ɛ AM n AF t AI ɐ BA
magsalang	m AE ɐ BA ɡ AC s AH a AM l AD ɐ BA ŋ AK
magsaliksik	m AE ɐ BA ɡ AC s AH ɐ BA l AD ɪ AM k AC s AH i AM k AC
magsimba	m AE ɐ BA ɡ AC s AH ɪ AM m AE b AG a AM
magsiwalat	m AE ɐ BA ɡ AC s AH ɪ AM w AJ a AM l AD ɐ BA t AI
magsugal	m AE ɐ BA ɡ AC s AH ʊ BA ɰ AB a AM l AD
magsuntukan	m AE ɐ BA ɡ AC s AH ʊ BA n AF t AI ʊ BA x BC ɐ BA n AF
magtalas	m AE ɐ BA ɡ AC t AI ɐ BA l AD ɐ BA s AH
magtalo	m AE ɐ BA ɡ AC t AI ɐ BA l AD o BA
magustuhan	m AE ɐ BA ɰ AB ʊ BA s AH t AI ʊ BA h AA a AM n AF
mahinay	m AE ɐ BA h AA ɪ AM n AF a AM ɪ̯ AB
mahirap	m AE ɐ BA h AA i AM ɾ BE ɐ BA p AG
maingay	m AE ɐ BA ʔ AL i AM ŋ AK a AM ɪ̯ AB
mais	m AE ɐ BA ʔ AL i AM s AH
makalat	m AE ɐ BA x BC a AM l AD ɐ BA t AI
makaluma	m AE ɐ BA x BC ɐ BA l AD u BA m AE ɐ BA ʔ AL
makapuno	m AE ɐ BA x BC ɐ BA p AG ʊ BA n AF o BA ʔ AL
makatotohanan	m AE ɐ BA x BC ɐ BA t AI o BA t AI o BA h AA ɐ BA n AF ɐ BA n AF
makatulog	m AE ɐ BA x BC ɐ BA t AI ʊ BA l AD o BA ɡ AC
makiapid	m AE ɐ BA x BC i AM ʔ AL ɐ BA p AG i AM d AI
makibahagi	m AE ɐ BA x BC ɪ AM b AG ɐ BA h AA a AM ɰ AB ɪ AM ʔ AL
makina	m AE a AM x BC ɪ AM n AF ɐ BA
makinis	m AE ɐ BA x BC ɪ AM n AF ɪ AM s AH
makipagbati	m AE ɐ BA x BC ɪ AM p AG ɐ BA ɡ AC b AG ɐ BA t AI i AM ʔ AL
makipagsuntukan	m AE ɐ BA x BC ɪ AM p AG ɐ BA ɡ AC s AH ʊ BA n AF t AI ʊ BA x BC ɐ BA n AF
makontento	m AE ɐ BA x BC o BA n AF t AI ɛ AM n AF t AI o BA
makulimlim	m AE ɐ BA x BC ʊ BA l AD ɪ AM m AE l AD i AM m AE
makunan	m AE ɐ BA x BC ʊ BA n AF ɐ BA n AF
malabuyoc	m AE ɐ BA l AD ɐ BA b AG ʊ BA j AB o BA k AC
malakanyang	m AE ɐ BA l AD ɐ BA x BC ɐ BA ɲ AK ɐ BA ŋ AK
malaluan	m AE ɐ BA l AD ɐ BA l AD ʊ BA ɐ BA n AF
malambot	m AE ɐ BA l AD ɐ BA m AE b AG o BA t AI
malas	m AE ɐ BA l AD ɐ BA s AH
malaswa	m AE ɐ BA l AD ɐ BA s AH w AJ a AM ʔ AL
malibiran	m AE ɐ BA l AD ɪ AM b AG ɪ AM ɾ BE ɐ BA n AF
malicsi	m AE ɐ BA l AD ɪ AM k AC s AH ɪ AM
