aa	ɑː AE
patrioottisuus	p ɑ AD t̪ r i AD o̞ː AG t̪ː i AD s̠ uː AG s̠
patristiikka	p ɑ AD t̪ r i AD s̠ t̪ iː AE kː ɑ AD
patruuna	p ɑ AD t̪ r uː AG n ɑ AD
patsas	p ɑ AD t s̠ ɑ AD s̠
patsasteleminen	p ɑ AD t s̠ ɑ AD s̠ t̪ e̞ AD l e̞ AD m i AD n e̞ AD n
patsastelu	p ɑ AD t s̠ ɑ AD s̠ t̪ e̞ AD l u AF
patteristi	p ɑ AD t̪ː e̞ AD r i AD s̠ t̪ i AD
patteristo	p ɑ AD t̪ː e̞ AD r i AD s̠ t̪ o̞ AF
patti	p ɑ AD t̪ː i AD
pattijalkainen	p ɑ AD t̪ː i AD j AB ɑ AD l k ɑ AD i̯ AB n e̞ AD n
pattipolvinen	p ɑ AD t̪ː i AD p o̞ AF l ʋ AC i AD n e̞ AD n
pattitilanne	p ɑ AD t̪ː i AD t̪ i AD l ɑ AD nː e̞ AD ʔ
patukka	p ɑ AD t̪ u AF kː ɑ AD
patukkasara	p ɑ AD t̪ u AF kː ɑ AD s̠ ɑ AD r ɑ AD
patukoida	p ɑ AD t̪ u AF k o̞ AF i̯ AB d ɑ AD ʔ
patvi	p ɑ AD t̪ ʋ AC i AD
paukahtaminen	p ɑ AD u̯ AC k ɑ AD h AA t̪ ɑ AD m i AD n e̞ AD n
paukama	p ɑ AD u̯ AC k ɑ AD m ɑ AD
paukauttaa	p ɑ AD u̯ AC k ɑ AD u AF t̪ː ɑː AE ʔ
paukautus	p ɑ AD u̯ AC k ɑ AD u AF t̪ u AF s̠
pauke	p ɑ AD u̯ AC k e̞ AD ʔ
paukkaa	p ɑ AD u̯ AC kː ɑː AE ʔ
paukku	p ɑ AD u̯ AC kː u AF
paukkua	p ɑ AD u̯ AC kː u AF ɑ AD ʔ
paukkuminen	p ɑ AD u̯ AC kː u AF m i AD n e̞ AD n
paukuttaa	p ɑ AD u̯ AC k u AF t̪ː ɑː AE ʔ
paukuttaminen	p ɑ AD u̯ AC k u AF t̪ t̪ ɑ AD m i AD n e̞ AD n
paukuttelu	p ɑ AD u̯ AC k u AF t̪ t̪ e̞ AD l u AF
paukutus	p ɑ AD u̯ AC k u AF t̪ u AF s̠
paul	p ɑ AD u̯ AC l
paula	p ɑ AD u̯ AC l ɑ AD
paulakenkä	p ɑ AD u̯ AC l ɑ AD k e̞ AD ŋ k æ AD
pauli	p ɑ AD u̯ AC l i AD
pauliina	p ɑ AD u̯ AC l iː AE n ɑ AD
pauloittaa	p ɑ AD u̯ AC l o̞ AF i̯ AB t̪ː ɑː AE ʔ
pauloittaminen	p ɑ AD u̯ AC l o̞ AF i̯ AB t̪ t̪ ɑ AD m i AD n e̞ AD n
pauna	p ɑ AD u̯ AC n ɑ AD
paunetti	p ɑ AD u̯ AC n e̞ AD t̪ː i AD
paunu	p ɑ AD u̯ AC n u AF
pausettaa	p ɑ AD u̯ AC s̠ e̞ AD t̪ː ɑː AE ʔ
paviaani	p ɑ AD ʋ AC i AD ɑː AE n i AD
pe	p e̞ː AE
pedaali	p e̞ AD d ɑː AE l i AD
pedari	p e̞ AD d ɑ AD r i AD
pedersöre	p e̞ː AE d e̞ AD r s̠ ø̞ː AG r e̞ AD
pedersöreläinen	p e̞ː AE d e̞ AD r s̠ ø̞ː AG r e̞ AD l æ AD i̯ AB n e̞ AD n
pedologia	p e̞ AD d o̞ AF l o̞ AF ɡ i AD ɑ AD
pedro	p e̞ AD d r o̞ AF
pee	p e̞ː AE
peelo	p e̞ː AE l o̞ AF
peesi	p e̞ː AE s̠ i AD
peetu	p e̞ː AE t̪ u AF
peevelinmoinen	p e̞ː AE ʋ AC e̞ AD l i AD m m o̞ AF i̯ AB n e̞ AD n
peevelisti	p e̞ː AE ʋ AC e̞ AD l i AD s̠ t̪ i AD ʔ
peffa	p e̞ AD fː ɑ AD
peffamäki	p e̞ AD fː ɑ AD m æ AD k i AD
pegasus	p e̞ AD ɡ ɑ AD s̠ u AF s̠
peherrys	p e̞ AD ɦ AA e̞ AD rː y AF s̠
pehertää	p e̞ AD ɦ AA e̞ AD r t̪ æː AE ʔ
pehku	p e̞ AD h AA k u AF
pehmennysmerkki	p e̞ AD h AA m e̞ AD nː y AF s̠ m e̞ AD r kː i AD
pehmentyä	p e̞ AD h AA m e̞ AD n t̪ y AF æ AD ʔ
pehmentää	p e̞ AD h AA m e̞ AD n̪ t̪ æː AE ʔ
pehmeä	p e̞ AD h AA m e̞ AD æ AD
pehmeäjuote	p e̞ AD h AA m e̞ AD æ AD j AB u AF o̞̯ t̪ e̞ AD ʔ
pehmeäjuotos	p e̞ AD h AA m e̞ AD æ AD j AB u AF o̞̯ t̪ o̞ AF s̠
pehmeäkarvainen	p e̞ AD h AA m e̞ AD æ AD k ɑ AD r ʋ AC ɑ AD i̯ AB n e̞ AD n
pehmeäkuorinen	p e̞ AD h AA m e̞ AD æ AD k u AF o̞̯ r i AD n e̞ AD n
pehmeäliikkeinen	p e̞ AD h AA m e̞ AD æ AD l iː AE kː e̞ AD i̯ AB n e̞ AD n
pehmeäluontoinen	p e̞ AD h AA m e̞ AD æ AD l u AF o̞̯ n̪ t̪ o̞ AF i̯ AB n e̞ AD n
pehmeäpiirteinen	p e̞ AD h AA m e̞ AD æ AD p iː AE r t̪ e̞ AD i̯ AB n e̞ AD n
pehmeäpohjainen	p e̞ AD h AA m e̞ AD æ AD p o̞ AF x j AB ɑ AD i̯ AB n e̞ AD n
pehmeäpohjasyövytys	p e̞ AD h AA m e̞ AD æ AD p o̞ AF x j AB ɑ AD s̠ y AF ø̞̯ ʋ AC y AF t̪ y AF s̠
pehmeäpäinen	p e̞ AD h AA m e̞ AD æ AD p æ AD i̯ AB n e̞ AD n
pehmeäsointinen	p e̞ AD h AA m e̞ AD æ AD s̠ o̞ AF i̯ AB n̪ t̪ i AD n e̞ AD n
pehmeäsydäminen	p e̞ AD h AA m e̞ AD æ AD s̠ y AF d æ AD m m i AD n e̞ AD n
pehmeäsävyinen	p e̞ AD h AA m e̞ AD æ AD s̠ æ AD ʋ AC y AF i̯ AB n e̞ AD n
pehmeäturkkinen	p e̞ AD h AA m e̞ AD æ AD t̪ u AF r kː i AD n e̞ AD n
pehmeävillainen	p e̞ AD h AA m e̞ AD æ AD ʋ AC i AD lː ɑ AD i̯ AB n e̞ AD n
pehmitellä	p e̞ AD h AA m i AD t̪ e̞ AD lː æ AD ʔ
pehmitin	p e̞ AD h AA m i AD t̪ i AD n
pehmittyä	p e̞ AD h AA m i AD t̪ t̪ y AF æ AD ʔ
pehmittäminen	p e̞ AD h AA m i AD t̪ t̪ æ AD m i AD n e̞ AD n
pehmittää	p e̞ AD h AA m i AD t̪ː æː AE ʔ
pehmitys	p e̞ AD h AA m i AD t̪ y AF s̠
pehmitysaine	p e̞ AD h AA m i AD t̪ y AF s̠ ɑ AD i̯ AB n e̞ AD ʔ
pehmitä	p e̞ AD h AA m i AD t̪ æ AD ʔ
pehmoeläin	p e̞ AD h AA m o̞ AF e̞ AD l æ AD i̯ AB n
pehmoilla	p e̞ AD h AA m o̞ AF i̯ AB lː ɑ AD ʔ
pehmoilu	p e̞ AD h AA m o̞ AF i̯ AB l u AF
pehmoisesti	p e̞ AD h AA m o̞ AF i̯ AB s̠ e̞ AD s̠ t̪ i AD ʔ
pehmoisuus	p e̞ AD h AA m o̞ AF i̯ AB s̠ uː AG s̠
pehmoisä	p e̞ AD h AA m o̞ AF i AD s̠ æ AD
pehmolelu	p e̞ AD h AA m o̞ AF l e̞ AD l u AF
pehmustaa	p e̞ AD h AA m u AF s̠ t̪ ɑː AE ʔ
pehmustaminen	p e̞ AD h AA m u AF s̠ t̪ ɑ AD m i AD n e̞ AD n
pehmustettu	p e̞ AD h AA m u AF s̠ t̪ e̞ AD t̪ː u AF
pehmustus	p e̞ AD h AA m u AF s̠ t̪ u AF s̠
pehmyt	p e̞ AD h AA m y AF t̪
pehmytkalvo	p e̞ AD h AA m y AF t̪ k ɑ AD l ʋ AC o̞ AF
pehmytkoralli	p e̞ AD h AA m y AF t̪ k o̞ AF r ɑ AD lː i AD
pehmytkudos	p e̞ AD h AA m y AF t̪ k u AF d o̞ AF s̠
pehva	p e̞ AD h AA ʋ AC ɑ AD
peijakkaanmoinen	p e̞ AD i̯ AB jː AH ɑ AD kː ɑː AE m m o̞ AF i̯ AB n e̞ AD n
peijata	p e̞ AD i̯ AB jː AH ɑ AD t̪ ɑ AD ʔ
peilaileminen	p e̞ AD i̯ AB l ɑ AD i̯ AB l e̞ AD m i AD n e̞ AD n
peilailu	p e̞ AD i̯ AB l ɑ AD i̯ AB l u AF
peilari	p e̞ AD i̯ AB l ɑ AD r i AD
peilausmatriisi	p e̞ AD i̯ AB l ɑ AD u AF s̠ m ɑ AD t̪ r iː AE s̠ i AD
peilautua	p e̞ AD i̯ AB l ɑ AD u AF t̪ u AF ɑ AD ʔ
peili	p e̞ AD i̯ AB l i AD
peiliheijastuskamera	p e̞ AD i̯ AB l i AD h AA e̞ AD i̯ AB jː AH ɑ AD s̠ t̪ u AF s̠ k ɑ AD m e̞ AD r ɑ AD
peiliholvi	p e̞ AD i̯ AB l i AD h AA o̞ AF l ʋ AC i AD
peilikaappi	p e̞ AD i̯ AB l i AD k ɑː AE pː i AD
peilikirkas	p e̞ AD i̯ AB l i AD k i AD r k ɑ AD s̠
peilikuvaisomeria	p e̞ AD i̯ AB l i AD k u AF ʋ AC ɑ AD i AD s̠ o̞ AF m e̞ AD r i AD ɑ AD
peililasi	p e̞ AD i̯ AB l i AD l ɑ AD s̠ i AD
peiliovi	p e̞ AD i̯ AB l i AD o̞ AF ʋ AC i AD
peilipöytä	p e̞ AD i̯ AB l i AD p ø̞ AF y̯ t̪ æ AD
peilirauta	p e̞ AD i̯ AB l i AD r ɑ AD u̯ AC t̪ ɑ AD
peilisali	p e̞ AD i̯ AB l i AD s̠ ɑ AD l i AD
peilityven	p e̞ AD i̯ AB l i AD t̪ y AF ʋ AC e̞ AD n
peipata	p e̞ AD i̯ AB p ɑ AD t̪ ɑ AD ʔ
peippaus	p e̞ AD i̯ AB pː ɑ AD u AF s̠
peippi	p e̞ AD i̯ AB pː i AD
peitata	p e̞ AD i̯ AB t̪ ɑ AD t̪ ɑ AD ʔ
peitekuvaus	p e̞ AD i̯ AB t̪ e̞ AD k̚ k u AF ʋ AC ɑ AD u AF s̠
peitelevy	p e̞ AD i̯ AB t̪ e̞ AD l l e̞ AD ʋ AC y AF
peitellysti	p e̞ AD i̯ AB t̪ e̞ AD l l y AF s̠ t̪ i AD ʔ
peitellä	p e̞ AD i̯ AB t̪ e̞ AD lː æ AD ʔ
peitepuikko	p e̞ AD i̯ AB t̪ e̞ AD p̚ p u AF i̯ AB kː o̞ AF
peitetysti	p e̞ AD i̯ AB t̪ e̞ AD t̪ y AF s̠ t̪ i AD ʔ
peiteyhtiö	p e̞ AD i̯ AB t̪ e̞ AD ʔ y AF ç t̪ i AD ø̞ AF
peiteyritys	p e̞ AD i̯ AB t̪ e̞ AD ʔ y AF r i AD t̪ y AF s̠
peitin	p e̞ AD i̯ AB t̪ i AD n
peitinkalvo	p e̞ AD i̯ AB t̪ i AD ŋ k ɑ AD l ʋ AC o̞ AF
peitsari	p e̞ AD i̯ AB t s̠ ɑ AD r i AD
peitsata	p e̞ AD i̯ AB t s̠ ɑ AD t̪ ɑ AD ʔ
peitsaus	p e̞ AD i̯ AB t s̠ ɑ AD u AF s̠
peitsi	p e̞ AD i̯ AB t s̠ i AD
peittausaine	p e̞ AD i̯ AB t̪ː ɑ AD u AF s̠ ɑ AD i̯ AB n e̞ AD ʔ
peitteinen	p e̞ AD i̯ AB t̪ː e̞ AD i̯ AB n e̞ AD n
peittely	p e̞ AD i̯ AB t̪ː e̞ AD l y AF
peittoala	p e̞ AD i̯ AB t̪ː o̞ AF ɑ AD l ɑ AD
peittoilmiö	p e̞ AD i̯ AB t̪ː o̞ AF i AD l m i AD ø̞ AF
peittokyky	p e̞ AD i̯ AB t̪ː o̞ AF k y AF k y AF
peittolakana	p e̞ AD i̯ AB t̪ː o̞ AF l ɑ AD k ɑ AD n ɑ AD
peittyminen	p e̞ AD i̯ AB t̪ː y AF m i AD n e̞ AD n
peittäminen	p e̞ AD i̯ AB t̪ː æ AD m i AD n e̞ AD n
peittäytyä	p e̞ AD i̯ AB t̪ː æ AD y AF t̪ y AF æ AD ʔ
peittää	p e̞ AD i̯ AB t̪ː æː AE ʔ
peitättää	p e̞ AD i̯ AB t̪ æ AD t̪ː æː AE ʔ
pekka	p e̞ AD kː ɑ AD
pekkala	p e̞ AD kː ɑ AD l ɑ AD
pekkanen	p e̞ AD kː ɑ AD n e̞ AD n
pekkaspäivä	p e̞ AD kː ɑ AD s̠ p æ AD i̯ AB ʋ AC æ AD
pekko	p e̞ AD kː o̞ AF
pekonimakkara	p e̞ AD k o̞ AF n i AD m ɑ AD kː ɑ AD r ɑ AD
pekonipizza	p e̞ AD k o̞ AF n i AD p i AD t s̠ ɑ AD
pekoraali	p e̞ AD k o̞ AF r ɑː AE l i AD
pelaajamäärä	p e̞ AD l ɑː AE j AB ɑ AD m æː AE r æ AD
pelailla	p e̞ AD l ɑ AD i̯ AB lː ɑ AD ʔ
pelastaa	p e̞ AD l ɑ AD s̠ t̪ ɑː AE ʔ
pelastettu	p e̞ AD l ɑ AD s̠ t̪ e̞ AD t̪ː u AF
pelastusarmeijalainen	p e̞ AD l ɑ AD s̠ t̪ u AF s̠ ɑ AD r m e̞ AD i̯ AB jː AH ɑ AD l ɑ AD i̯ AB n e̞ AD n
pelastussuunnitelma	p e̞ AD l ɑ AD s̠ t̪ u AF s̠ s̠ uː AG nː i AD t̪ e̞ AD l m ɑ AD
pelastustie	p e̞ AD l ɑ AD s̠ t̪ u AF s̠ t̪ i AD e̞̯
pelastusväline	p e̞ AD l ɑ AD s̠ t̪ u AF s̠ ʋ AC æ AD l i AD n e̞ AD ʔ
pelastusyksikkö	p e̞ AD l ɑ AD s̠ t̪ u AF s̠ y AF k s̠ i AD kː ø̞ AF
pelata	p e̞ AD l ɑ AD t̪ ɑ AD ʔ
pelauttaa	p e̞ AD l ɑ AD u AF t̪ː ɑː AE ʔ
pelehtiä	p e̞ AD l e̞ AD h AA t̪ i AD æ AD ʔ
peli	p e̞ AD l i AD
peliala	p e̞ AD l i AD ɑ AD l ɑ AD
pelialue	p e̞ AD l i AD ɑ AD l u AF e̞ AD ʔ
peliautomaatti	p e̞ AD l i AD ɑ AD u̯ AC t̪ o̞ AF m ɑː AE t̪ː i AD
pelihallipeli	p e̞ AD l i AD h AA ɑ AD lː i AD p e̞ AD l i AD
pelihimo	p e̞ AD l i AD h AA i AD m o̞ AF
peliittinen	p e̞ AD l iː AE t̪ t̪ i AD n e̞ AD n
pelikausi	p e̞ AD l i AD k ɑ AD u̯ AC s̠ i AD
pelikello	p e̞ AD l i AD k e̞ AD lː o̞ AF
pelikone	p e̞ AD l i AD k o̞ AF n e̞ AD ʔ
pelilaite	p e̞ AD l i AD l ɑ AD i̯ AB t̪ e̞ AD ʔ
pelillinen	p e̞ AD l i AD l l i AD n e̞ AD n
pelimies	p e̞ AD l i AD m i AD e̞̯ s̠
pelimoottori	p e̞ AD l i AD m o̞ː AG t̪ː o̞ AF r i AD
peliongelmainen	p e̞ AD l i AD o̞ AF ŋː e̞ AD l m ɑ AD i̯ AB n e̞ AD n
pelipallo	p e̞ AD l i AD p ɑ AD lː o̞ AF
pelipalvelin	p e̞ AD l i AD p ɑ AD l ʋ AC e̞ AD l i AD n
pelipuu	p e̞ AD l i AD p uː AG
pelipöytä	p e̞ AD l i AD p ø̞ AF y̯ t̪ æ AD
peliraha	p e̞ AD l i AD r ɑ AD ɦ AA ɑ AD
peliriippuvainen	p e̞ AD l i AD r iː AE pː u AF ʋ AC ɑ AD i̯ AB n e̞ AD n
pelisuunnittelija	p e̞ AD l i AD s̠ uː AG nː i AD t̪ t̪ e̞ AD l i AD j AB ɑ AD
pelisuunnittelu	p e̞ AD l i AD s̠ uː AG nː i AD t̪ t̪ e̞ AD l u AF
peliteoreetikko	p e̞ AD l i AD t̪ e̞ AD o̞ AF r e̞ː AE t̪ i AD kː o̞ AF
pelitietokone	p e̞ AD l i AD t̪ i AD e̞̯ t̪ o̞ AF k o̞ AF n e̞ AD ʔ
pelittää	p e̞ AD l i AD t̪ː æː AE ʔ
pelkistin	p e̞ AD l k i AD s̠ t̪ i AD n
pelkistyminen	p e̞ AD l k i AD s̠ t̪ y AF m i AD n e̞ AD n
pelkistys	p e̞ AD l k i AD s̠ t̪ y AF s̠
pelkistysaine	p e̞ AD l k i AD s̠ t̪ y AF s̠ ɑ AD i̯ AB n e̞ AD ʔ
pelkkasahaus	p e̞ AD l kː ɑ AD s̠ ɑ AD ɦ AA ɑ AD u AF s̠
pelkkaäes	p e̞ AD l kː ɑ AD æ AD e̞ AD s̠
pelkkä	p e̞ AD l kː æ AD
pelko	p e̞ AD l k o̞ AF
pelkosenniemeläinen	p e̞ AD l k o̞ AF s̠ e̞ AD n n i AD e̞̯ m e̞ AD l æ AD i̯ AB n e̞ AD n
pelkosenniemi	p e̞ AD l k o̞ AF s̠ e̞ AD n n i AD e̞̯ m i AD
pelkotila	p e̞ AD l k o̞ AF t̪ i AD l ɑ AD
pelkurimaisesti	p e̞ AD l k u AF r i AD m ɑ AD i̯ AB s̠ e̞ AD s̠ t̪ i AD ʔ
pelkuruus	p e̞ AD l k u AF r uː AG s̠
pelkääjä	p e̞ AD l k æː AE j AB æ AD
pelkääminen	p e̞ AD l k æː AE m i AD n e̞ AD n
pelkäämätön	p e̞ AD l k æː AE m æ AD t̪ ø̞ AF n
pelkääväinen	p e̞ AD l k æː AE ʋ AC æ AD i̯ AB n e̞ AD n
pellava	p e̞ AD lː ɑ AD ʋ AC ɑ AD
pellavaharja	p e̞ AD lː ɑ AD ʋ AC ɑ AD h AA ɑ AD r j AB ɑ AD
pellavakampa	p e̞ AD lː ɑ AD ʋ AC ɑ AD k ɑ AD m p ɑ AD
pellavapäinen	p e̞ AD lː ɑ AD ʋ AC ɑ AD p æ AD i̯ AB n e̞ AD n
pellavatukkainen	p e̞ AD lː ɑ AD ʋ AC ɑ AD t̪ u AF kː ɑ AD i̯ AB n e̞ AD n
pelle	p e̞ AD lː e̞ AD
pelleillä	p e̞ AD lː e̞ AD i̯ AB lː æ AD ʔ
pelleriini	p e̞ AD lː e̞ AD r iː AE n i AD
pellervo	p e̞ AD lː e̞ AD r ʋ AC o̞ AF
pellervoinen	p e̞ AD lː e̞ AD r ʋ AC o̞ AF i̯ AB n e̞ AD n
pelletointi	p e̞ AD lː e̞ AD t̪ o̞ AF i̯ AB n̪ t̪ i AD
pellillinen	p e̞ AD lː i AD l l i AD n e̞ AD n
pellittää	p e̞ AD lː i AD t̪ː æː AE ʔ
pello	p e̞ AD lː o̞ AF
pellolainen	p e̞ AD lː o̞ AF l ɑ AD i̯ AB n e̞ AD n
pellonmuokkaus	p e̞ AD lː o̞ AF m m u AF o̞̯ kː ɑ AD u AF s̠
pellonpiennar	p e̞ AD lː o̞ AF m p i AD e̞̯ nː ɑ AD r
pellonraivaus	p e̞ AD lː o̞ AF n r ɑ AD i̯ AB ʋ AC ɑ AD u AF s̠
pellonvaraus	p e̞ AD lː o̞ AF n ʋ AC ɑ AD r ɑ AD u AF s̠
pelmahdella	p e̞ AD l m ɑ AD h AA d e̞ AD lː ɑ AD ʔ
pelmahtaa	p e̞ AD l m ɑ AD x t̪ ɑː AE ʔ
pelmeni	p e̞ AD l m e̞ AD n i AD
pelmuta	p e̞ AD l m u AF t̪ ɑ AD ʔ
pelmuttaa	p e̞ AD l m u AF t̪ː ɑː AE ʔ
peloissaan	p e̞ AD l o̞ AF i̯ AB s̠ː ɑː AE n
pelokkaasti	p e̞ AD l o̞ AF k k ɑː AE s̠ t̪ i AD ʔ
pelokkuus	p e̞ AD l o̞ AF kː uː AG s̠
pelonsekainen	p e̞ AD l o̞ AF n s̠ e̞ AD k ɑ AD i̯ AB n e̞ AD n
pelontunne	p e̞ AD l o̞ AF n t̪ u AF nː e̞ AD ʔ
pelote	p e̞ AD l o̞ AF t̪ e̞ AD ʔ
pelotin	p e̞ AD l o̞ AF t̪ i AD n
pelottaa	p e̞ AD l o̞ AF t̪ː ɑː AE ʔ
pelottaminen	p e̞ AD l o̞ AF t̪ t̪ ɑ AD m i AD n e̞ AD n
pelottavasti	p e̞ AD l o̞ AF t̪ː ɑ AD ʋ AC ɑ AD s̠ t̪ i AD ʔ
pelottavuus	p e̞ AD l o̞ AF t̪ t̪ ɑ AD ʋ AC uː AG s̠
pelotteleminen	p e̞ AD l o̞ AF t̪ t̪ e̞ AD l e̞ AD m i AD n e̞ AD n
pelottelu	p e̞ AD l o̞ AF t̪ t̪ e̞ AD l u AF
pelottomasti	p e̞ AD l o̞ AF t̪ː o̞ AF m ɑ AD s̠ t̪ i AD ʔ
pelotus	p e̞ AD l o̞ AF t̪ u AF s̠
pelsimet	p e̞ AD l s̠ i AD m e̞ AD t̪
pelti	p e̞ AD l t̪ i AD
peltikate	p e̞ AD l t̪ i AD k ɑ AD t̪ e̞ AD ʔ
peltikatto	p e̞ AD l t̪ i AD k ɑ AD t̪ː o̞ AF
peltikattoinen	p e̞ AD l t̪ i AD k ɑ AD t̪ː o̞ AF i̯ AB n e̞ AD n
peltilehmä	p e̞ AD l t̪ i AD l e̞ AD h AA m æ AD
peltinen	p e̞ AD l t̪ i AD n e̞ AD n
peltipoliisi	p e̞ AD l t̪ i AD p o̞ AF l iː AE s̠ i AD
peltiromu	p e̞ AD l t̪ i AD r o̞ AF m u AF
peltiruuvi	p e̞ AD l t̪ i AD r uː AG ʋ AC i AD
peltisakset	p e̞ AD l t̪ i AD s̠ ɑ AD k s̠ e̞ AD t̪
peltivasara	p e̞ AD l t̪ i AD ʋ AC ɑ AD s̠ ɑ AD r ɑ AD
pelto	p e̞ AD l t̪ o̞ AF
peltoala	p e̞ AD l t̪ o̞ AF ɑ AD l ɑ AD
peltoaukea	p e̞ AD l t̪ o̞ AF ɑ AD u̯ AC k e̞ AD ɑ AD
peltoaukeama	p e̞ AD l t̪ o̞ AF ɑ AD u̯ AC k e̞ AD ɑ AD m ɑ AD
peltoemäkki	p e̞ AD l t̪ o̞ AF e̞ AD m æ AD kː i AD
peltoenergia	p e̞ AD l t̪ o̞ AF e̞ AD n e̞ AD r ɡ i AD ɑ AD
peltoetana	p e̞ AD l t̪ o̞ AF e̞ AD t̪ ɑ AD n ɑ AD
peltohatikka	p e̞ AD l t̪ o̞ AF h AA ɑ AD t̪ i AD kː ɑ AD
peltohehtaari	p e̞ AD l t̪ o̞ AF h AA e̞ AD h AA t̪ ɑː AE r i AD
peltoherne	p e̞ AD l t̪ o̞ AF h AA e̞ AD r n e̞ AD ʔ
peltohiiri	p e̞ AD l t̪ o̞ AF h AA iː AE r i AD
peltokaali	p e̞ AD l t̪ o̞ AF k ɑː AE l i AD
peltokanankaali	p e̞ AD l t̪ o̞ AF k ɑ AD n ɑ AD ŋ k ɑː AE l i AD
peltokaura	p e̞ AD l t̪ o̞ AF k ɑ AD u̯ AC r ɑ AD
peltokierto	p e̞ AD l t̪ o̞ AF k i AD e̞̯ r t̪ o̞ AF
peltola	p e̞ AD l t̪ o̞ AF l ɑ AD
peltolaidun	p e̞ AD l t̪ o̞ AF l ɑ AD i̯ AB d u AF n
peltolemmikki	p e̞ AD l t̪ o̞ AF l e̞ AD mː i AD kː i AD
peltomaa	p e̞ AD l t̪ o̞ AF m ɑː AE
peltomies	p e̞ AD l t̪ o̞ AF m i AD e̞̯ s̠
peltoretikka	p e̞ AD l t̪ o̞ AF r e̞ AD t̪ i AD kː ɑ AD
peltoröykkiö	p e̞ AD l t̪ o̞ AF r ø̞ AF y̯ kː i AD ø̞ AF
peltosirkku	p e̞ AD l t̪ o̞ AF s̠ i AD r kː u AF
peltotaskuruoho	p e̞ AD l t̪ o̞ AF t̪ ɑ AD s̠ k u AF r u AF o̞̯ ɦ AA o̞ AF
peltotie	p e̞ AD l t̪ o̞ AF t̪ i AD e̞̯
peltotilkku	p e̞ AD l t̪ o̞ AF t̪ i AD l kː u AF
peltotyö	p e̞ AD l t̪ o̞ AF t̪ y AF ø̞̯
peltoukonnauris	p e̞ AD l t̪ o̞ AF u AF k o̞ AF n n ɑ AD u̯ AC r i AD s̠
peltovalvatti	p e̞ AD l t̪ o̞ AF ʋ AC ɑ AD l ʋ AC ɑ AD t̪ː i AD
peltoviljely	p e̞ AD l t̪ o̞ AF ʋ AC i AD l j AB e̞ AD l y AF
peltovilla	p e̞ AD l t̪ o̞ AF ʋ AC i AD lː ɑ AD
peluuttaa	p e̞ AD l uː AG t̪ː ɑː AE ʔ
peluuttaminen	p e̞ AD l uː AG t̪ t̪ ɑ AD m i AD n e̞ AD n
pelästyminen	p e̞ AD l æ AD s̠ t̪ y AF m i AD n e̞ AD n
pelästys	p e̞ AD l æ AD s̠ t̪ y AF s̠
pelästyttäminen	p e̞ AD l æ AD s̠ t̪ y AF t̪ː æ AD m i AD n e̞ AD n
pelästyttää	p e̞ AD l æ AD s̠ t̪ y AF t̪ː æː AE ʔ
pelästyä	p e̞ AD l æ AD s̠ t̪ y AF æ AD ʔ
pelätti	p e̞ AD l æ AD t̪ː i AD
pelätä	p e̞ AD l æ AD t̪ æ AD ʔ
pemfigoidi	p e̞ AD m f i AD ɡ o̞ AF i̯ AB d i AD
pemfigus	p e̞ AD m f i AD ɡ u AF s̠
pendyyli	p e̞ AD n d yː AG l i AD
penetroida	p e̞ AD n e̞ AD t̪ r o̞ AF i̯ AB d ɑ AD ʔ
penger	p e̞ AD ŋː e̞ AD r
pengermä	p e̞ AD ŋː e̞ AD r m æ AD
pengermäinen	p e̞ AD ŋː e̞ AD r m æ AD i̯ AB n e̞ AD n
pengertäminen	p e̞ AD ŋː e̞ AD r t̪ æ AD m i AD n e̞ AD n
pengertää	p e̞ AD ŋː e̞ AD r t̪ æː AE ʔ
peni	p e̞ AD n i AD
penikka	p e̞ AD n i AD kː ɑ AD
penikkamainen	p e̞ AD n i AD kː ɑ AD m ɑ AD i̯ AB n e̞ AD n
penikkamaisesti	p e̞ AD n i AD kː ɑ AD m ɑ AD i̯ AB s̠ e̞ AD s̠ t̪ i AD ʔ
penikkamaisuus	p e̞ AD n i AD kː ɑ AD m ɑ AD i̯ AB s̠ uː AG s̠
penikoida	p e̞ AD n i AD k o̞ AF i̯ AB d ɑ AD ʔ
penikoiminen	p e̞ AD n i AD k o̞ AF i̯ AB m i AD n e̞ AD n
penikointi	p e̞ AD n i AD k o̞ AF i̯ AB n̪ t̪ i AD
penikuorma	p e̞ AD n i AD k u AF o̞̯ r m ɑ AD
peninkulma	p e̞ AD n i AD ŋ k u AF l m ɑ AD
peniskuva	p e̞ː AE n i AD s̠ k u AF ʋ AC ɑ AD
penkereinen	p e̞ AD ŋ k e̞ AD r e̞ AD i̯ AB n e̞ AD n
penkereisyys	p e̞ AD ŋ k e̞ AD r e̞ AD i̯ AB s̠ yː AG s̠
penkinpainajaiset	p e̞ AD ŋ k i AD m p ɑ AD i̯ AB n ɑ AD j AB ɑ AD i̯ AB s̠ e̞ AD t̪
penkka	p e̞ AD ŋ kː ɑ AD
penkkarit	p e̞ AD ŋ kː ɑ AD r i AD t̪
penkkihöylä	p e̞ AD ŋ kː i AD h AA ø̞ AF y̯ l æ AD
penkkiurheilu	p e̞ AD ŋ kː i AD u AF r h AA e̞ AD i̯ AB l u AF
penkkivelli	p e̞ AD ŋ kː i AD ʋ AC e̞ AD lː i AD
