ᆜ	j AB ɯ AJ
소중하다	sʰ BB o̞ː AK d AC ʑ AL u AK ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
소중화	sʰ BB o̞ː AK d AC ʑ AL u AK ŋ AF β AM w AI a̠ AJ
소지품	sʰ BB o̞ː AK d AC ʑ AL i AJ pʰ AH u AK m AE
소지하다	sʰ BB o̞ AK d AC ʑ AL i AJ ɦ AA a̠ AJ d AC a̠ AJ
소집하다	sʰ BB o̞ AK d AC ʑ AL i AJ pʰ AH a̠ AJ d AC a̠ AJ
소총	sʰ BB o̞ː AK t AC ɕʰ BB o̞ AK ŋ AF
소치	s͈ AL o̞ AK t AC ɕʰ BB i AJ
소파	s͈ AL o̞ AK pʰ AH a̠ AJ
소포	sʰ BB o̞ː AK pʰ AH o̞ AK
소품	sʰ BB o̞ː AK pʰ AH u AK m AE
소풍	sʰ BB o̞ AK pʰ AH u AK ŋ AF
소프트볼	sʰ BB o̞ AK pʰ AH ɯ AJ tʰ AD ɯ AJ b AG o̞ AK ɭ AN
소프트웨어	sʰ BB o̞ AK pʰ AH ɯ AJ tʰ AD ɯ AJ w AI e̞ AJ ʌ̹
소피아	sʰ BB o̞ AK pʰ AH i AJ a̠ AJ
소학교	sʰ BB o̞ː AK ɦ AA a̠ AJ k̚ k͈ AC j AB o AK
소형	sʰ BB o̞ː AK ʝ AL j AB ʌ̹ ŋ AF
소화	sʰ BB o̞ AK β AM w AI a̠ AJ
소화기	sʰ BB o̞ AK β AM w AI a̠ AJ ɡ AC i AJ
소화전	sʰ BB o̞ AK β AM w AI a̠ AJ d AC ʑ AL ʌ̹ n AF
소환	sʰ BB o̞ AK β AM w AI a̠ AJ n AF
속	sʰ BB o̞ː AK k̚
속견	sʰ BB o̞ AK k̚ k͈ AC j AB ʌ̹ n AF
속눈썹	sʰ BB o̞ː AK ŋ AF n AF u AK n AF s͈ AL ʌ̹ p̚
속다	sʰ BB o̞ AK k̚ t͈ AC a̠ AJ
속담	sʰ BB o̞ AK k̚ t͈ AC a̠ AJ m AE
속도	sʰ BB o̞ AK k̚ t͈ AC o̞ AK
속되다	sʰ BB o̞ AK k̚ t͈ AC w AI e̞ AJ d AC a̠ AJ
속마음	sʰ BB o̞ː AK ŋ AF m AE a̠ AJ ɯ AJ m AE
속보	sʰ BB o̞ AK k̚ p͈ AG o̞ AK
속삭이다	sʰ BB o̞ AK k AC s͈ AL a̠ AJ ɡ AC i AJ d AC a̠ AJ
속삭임	sʰ BB o̞ AK k AC s͈ AL a̠ AJ ɡ AC i AJ m AE
속성음식	sʰ BB o̞ AK k AC s͈ AL ʌ̹ ŋ AF ɯ AJ m AE ɕʰ BB i AJ k̚
속세	sʰ BB o̞ AK k AC s͈ AL e̞ AJ
속속	sʰ BB o̞ AK k AC s͈ AL o̞ AK k̚
속속들이	sʰ BB o̞ AK k AC s͈ AL o̞ AK k̚ t͈ AC ɯ AJ ɾ BA i AJ
속쓰림	sʰ BB o̞ː AK k AC s͈ AL ɯ AJ ɾ BA i AJ m AE
속어	sʰ BB o̞ AK ɡ AC ʌ̹
속옷	sʰ BB o̞ː AK ɡ AC o̞ AK t̚
속음	sʰ BB o̞ AK ɡ AC ɯ AJ m AE
속이다	sʰ BB o̞ AK ɡ AC i AJ d AC a̠ AJ
속자	sʰ BB o̞ AK k̚ t AC ɕ͈ a̠ AJ
속칭	sʰ BB o̞ AK k̚ t AC ɕʰ BB i AJ ŋ AF
속하다	sʰ BB o̞ AK kʰ AD a̠ AJ d AC a̠ AJ
손	sʰ BB o̞ AK n AF
손가락	sʰ BB o̞ AK n AF k͈ AC a̠ AJ ɾ BA a̠ AJ k̚
손가락질	sʰ BB o̞ AK n AF ɡ AC a̠ AJ ɾ BA a̠ AJ k̚ t AC ɕ͈ i AJ ɭ AN
손가방	sʰ BB o̞ AK n AF ɡ AC a̠ AJ b AG a̠ AJ ŋ AF
손녀	sʰ BB o̞ AK n AF ɲ AF j AB ʌ̹
손님	sʰ BB o̞ AK n AF n AF i AJ m AE
손님네	sʰ BB o̞ AK n AF n AF i AJ m AE n AF e̞ AJ
손목	sʰ BB o̞ AK n AF m AE o̞ AK k̚
손바닥	sʰ BB o̞ AK n AF p͈ AG a̠ AJ d AC a̠ AJ k̚
손발톱	sʰ BB o̞ AK n AF b AG a̠ AJ ɭ AN tʰ AD o̞ AK p̚
손뼉	sʰ BB o̞ AK n AF p͈ AG j AB ʌ̹ k̚
손상	sʰ BB o̞ː AK n AF sʰ BB a̠ AJ ŋ AF
손상하다	sʰ BB o̞ː AK n AF sʰ BB a̠ AJ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
손수건	sʰ BB o̞ AK n AF s͈ AL u AK ɡ AC ʌ̹ n AF
손싸다	sʰ BB o̞ AK n AF s͈ AL a̠ AJ d AC a̠ AJ
손아귀	sʰ BB o̞ː AK n AF a̠ AJ ɡ AC ɥ AI i AJ
손자	sʰ BB o̞ AK ɲ AF d AC ʑ AL a̠ AJ
손전등	sʰ BB o̞ AK ɲ AF t AC ɕ͈ ʌ̹ n AF d AC ɯ AJ ŋ AF
손전화	sʰ BB o̞ AK ɲ AF d AC ʑ AL ʌ̹ n AF β AM w AI a̠ AJ
손주	sʰ BB o̞ AK ɲ AF d AC ʑ AL u AK
손질	sʰ BB o̞ AK ɲ AF d AC ʑ AL i AJ ɭ AN
손질하다	sʰ BB o̞ AK ɲ AF d AC ʑ AL i AJ ɾ BA ɦ AA a̠ AJ d AC a̠ AJ
손톱	sʰ BB o̞ AK n AF tʰ AD o̞ AK p̚
손톱깎이	sʰ BB o̞ AK n AF tʰ AD o̞ AK p̚ k͈ AC a̠ AJ k͈ AC i AJ
솓	sʰ BB o̞ AK t̚
솔	sʰ BB o̞ː AK ɭ AN
솔깃하다	sʰ BB o̞ AK ɭ AN ɡ AC i AJ tʰ AD a̠ AJ d AC a̠ AJ
솔까말	sʰ BB o̞ AK ɭ AN k͈ AC a̠ AJ m AE a̠ AJ ɭ AN
솔로	s͈ AL o̞ AK ɭ AN ɭ AN o̞ AK
솔로몬	sʰ BB o̞ AK ɭ AN ɭ AN o̞ AK m AE o̞ AK n AF
솔선수범	sʰ BB o̞ AK ɭ AN s͈ AL ʌ̹ n AF sʰ BB u AK b AG ʌ̹ m AE
솔직	sʰ BB o̞ AK ʎ AN t AC ɕ͈ i AJ k̚
솔직하다	sʰ BB o̞ AK ʎ AN t AC ɕ͈ i AJ kʰ AD a̠ AJ d AC a̠ AJ
솔크	s͈ AL o̞ AK ɭ AN k AC x AL ɯ AJ
솜	sʰ BB o̞ː AK m AE
솜땀	sʰ BB o̞ AK m AE t͈ AC a̠ AJ m AE
솜사탕	sʰ BB o̞ AK m AE sʰ BB a̠ AJ tʰ AD a̠ AJ ŋ AF
솜씨	sʰ BB o̞ AK m AE ɕ͈ i AJ
솜털	sʰ BB o̞ AK m AE tʰ AD ʌ̹ ɭ AN
솝	sʰ BB o̞ AK p̚
솟	sʰ BB o̞ AK t̚
솟다	sʰ BB o̞ AK t̚ t͈ AC a̠ AJ
송	sʰ BB o̞ AK ŋ AF
송과선	sʰ BB o̞ AK ŋ AF ɡ AC w AI a̠ AJ sʰ BB ʌ̹ n AF
송구	sʰ BB o̞ː AK ŋ AF ɡ AC u AK
송나라	sʰ BB o̞ AK ŋ AF n AF a̠ AJ ɾ BA a̠ AJ
송년회	sʰ BB o̞ː AK ŋ AF ɲ AF j AB ʌ̹ n AF β AM w AI e̞ AJ
송도	sʰ BB o̞ AK ŋ AF d AC o̞ AK
송림	sʰ BB o̞ AK ŋ AF n AF i AJ m AE
송부	sʰ BB o̞ː AK ŋ AF b AG u AK
송사리	sʰ BB o̞ː AK ŋ AF sʰ BB a̠ AJ ɾ BA i AJ
송아지	sʰ BB o̞ AK ŋ AF a̠ AJ d AC ʑ AL i AJ
송어	sʰ BB o̞ AK ŋ AF ʌ̹
송이	sʰ BB o̞ AK ŋ AF i AJ
송이송이	sʰ BB o̞ AK ŋ AF i AJ sʰ BB o̞ AK ŋ AF i AJ
송장	sʰ BB o̞ː AK ŋ AF d AC ʑ AL a̠ AJ ŋ AF
송편	sʰ BB o̞ AK ŋ AF pʰ AH j AB ʌ̹ n AF
솥	sʰ BB o̞ AK t̚
솧	sʰ BB o̞ AK t̚
쇠	sʰ BB w AI e̞ AJ
쇠가마우지	sʰ BB w AI e̞ AJ ɡ AC a̠ AJ m AE a̠ AJ u AK d AC ʑ AL i AJ
쇠갈밭쥐	sʰ BB w AI e̞ AJ ɡ AC a̠ AJ ɭ AN b AG a̠ AJ t̚ t AC ɕ͈ ɥ AI i AJ
쇠고기	sʰ BB w AI e̞ AJ ɡ AC o̞ AK ɡ AC i AJ
쇠기러기	sʰ BB w AI e̞ AJ ɡ AC i AJ ɾ BA ʌ̹ ɡ AC i AJ
쇠뒤쥐	sʰ BB w AI e̞ AJ d AC ɥ AI i AJ d AC ʑ AL ɥ AI i AJ
쇠붙이	sʰ BB w AI e̞ AJ b AG u AK t AC ɕʰ BB i AJ
쇠뼈	sʰ BB w AI e̞ AJ p͈ AG j AB ʌ̹
쇠뿌러기	sʰ BB w AI e̞ AJ p͈ AG u AK ɾ BA ʌ̹ ɡ AC i AJ
쇠오리	sʰ BB w AI e̞ AJ o̞ AK ɾ BA i AJ
쇠퇴하다	sʰ BB w AI e̞ AJ tʰ AD w AI e̞ AJ ɦ AA a̠ AJ d AC a̠ AJ
쇠풀	sʰ BB w AI e̞ AJ pʰ AH u AK ɭ AN
쇠황조롱이	sʰ BB w AI e̞ AJ β AM w AI a̠ AJ ŋ AF d AC ʑ AL o̞ AK ɾ BA o̞ AK ŋ AF i AJ
쇳돌	sʰ BB w AI e̞ AJ t̚ t͈ AC o̞ AK ɭ AN
쇼	ɕ͈ o AK
쇼룸	ɕʰ BB o AK ɾ BA u AK m AE
쇼비니즘	ɕʰ BB o AK b AG i AJ n AF i AJ d AC ʑ AL ɯ AJ m AE
쇼윈도	ɕʰ BB o AK ɥ AI i AJ n AF d AC o̞ AK
쇼츠	ɕʰ BB o AK t AC ɕʰ BB ɯ AJ
쇼케이스	ɕʰ BB o AK kʰ AD e̞ AJ i AJ sʰ BB ɯ AJ
쇼크	ɕʰ BB o AK k AC x AL ɯ AJ
쇼트닝	ɕʰ BB o AK tʰ AD ɯ AJ n AF i AJ ŋ AF
쇼핑	ɕ͈ o AK pʰ AH i AJ ŋ AF
쇼핑하다	ɕʰ BB o AK pʰ AH i AJ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
수	sʰ BB uː AK
수간	sʰ BB u AK ɡ AC a̠ AJ n AF
수갑	sʰ BB u AK ɡ AC a̠ AJ p̚
수건	sʰ BB uː AK ɡ AC ʌ̹ n AF
수고	sʰ BB uː AK ɡ AC o̞ AK
수고하다	sʰ BB uː AK ɡ AC o̞ AK ɦ AA a̠ AJ d AC a̠ AJ
수괴	sʰ BB u AK ɡ AC w AI e̞ AJ
수급	sʰ BB u AK ɡ AC ɯ AJ p̚
수납장	sʰ BB u AK n AF a̠ AJ p̚ t AC ɕ͈ a̠ AJ ŋ AF
수녀	sʰ BB u AK ɲ AF j AB ʌ̹
수뇌상봉	sʰ BB u AK n AF w AI e̞ AJ sʰ BB a̠ AJ ŋ AF b AG o̞ AK ŋ AF
수뇌회담	sʰ BB u AK n AF w AI e̞ AJ β AM w AI e̞ AJ d AC a̠ AJ m AE
수능	sʰ BB u AK n AF ɯ AJ ŋ AF
수다	sʰ BB uː AK d AC a̠ AJ
수다떨다	sʰ BB u AK d AC a̠ AJ t͈ AC ʌ̹ ɭ AN d AC a̠ AJ
수단	sʰ BB u AK d AC a̠ AJ n AF
수달	sʰ BB u AK d AC a̠ AJ ɭ AN
수도	sʰ BB u AK d AC o̞ AK
수도권	sʰ BB u AK d AC o̞ AK k͈ AC w AI ʌ̹ n AF
수도꼭지	sʰ BB u AK d AC o̞ AK k͈ AC o̞ AK k̚ t AC ɕ͈ i AJ
수도사	sʰ BB u AK d AC o̞ AK sʰ BB a̠ AJ
수도원	sʰ BB u AK d AC o̞ AK w AI ʌ̹ n AF
수라	sʰ BB u AK ɾ BA a̠ AJ
수량	sʰ BB uː AK ɾ BA j AB a̠ AJ ŋ AF
수레	sʰ BB u AK ɾ BA e̞ AJ
수력	sʰ BB u AK ɾ BA j AB ʌ̹ k̚
수련	sʰ BB u AK ɾ BA j AB ʌ̹ n AF
수렴	sʰ BB u AK ɾ BA j AB ʌ̹ m AE
수령	sʰ BB u AK ɾ BA j AB ʌ̹ ŋ AF
수로	sʰ BB u AK ɾ BA o̞ AK
수록	sʰ BB u AK ɾ BA o̞ AK k̚
수류탄	sʰ BB u AK ɾ BA j AB u AK tʰ AD a̠ AJ n AF
수리	sʰ BB uː AK ɾ BA i AJ
수리남	sʰ BB u AK ɾ BA i AJ n AF a̠ AJ m AE
수리아	sʰ BB u AK ɾ BA i AJ a̠ AJ
수리하다	sʰ BB u AK ɾ BA i AJ ɦ AA a̠ AJ d AC a̠ AJ
수많다	sʰ BB uː AK m AE a̠ AJ n AF tʰ AD a̠ AJ
수말	sʰ BB u AK m AE a̠ AJ ɭ AN
수면	sʰ BB u AK m AE j AB ʌ̹ n AF
수면제	sʰ BB u AK m AE j AB ʌ̹ ɲ AF d AC ʑ AL e̞ AJ
수명	sʰ BB u AK m AE j AB ʌ̹ ŋ AF
수문학	sʰ BB u AK m AE u AK n AF ɦ AA a̠ AJ k̚
수바	sʰ BB u AK b AG a̠ AJ
수박	sʰ BB uː AK b AG a̠ AJ k̚
수법	sʰ BB u AK p͈ AG ʌ̹ p̚
수병	sʰ BB u AK b AG j AB ʌ̹ ŋ AF
수사학	sʰ BB u AK sʰ BB a̠ AJ ɦ AA a̠ AJ k̚
수산	sʰ BB u AK sʰ BB a̠ AJ n AF
수산기	sʰ BB u AK sʰ BB a̠ AJ n AF ɡ AC i AJ
수상	sʰ BB u AK sʰ BB a̠ AJ ŋ AF
수상하다	sʰ BB u AK sʰ BB a̠ AJ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
수서	sʰ BB u AK sʰ BB ʌ̹
수석	sʰ BB u AK sʰ BB ʌ̹ k̚
수선	sʰ BB u AK sʰ BB ʌ̹ n AF
수성	sʰ BB u AK sʰ BB ʌ̹ ŋ AF
수세미	sʰ BB u AK sʰ BB e̞ AJ m AE i AJ
수소	sʰ BB u AK sʰ BB o̞ AK
수소탄	sʰ BB u AK sʰ BB o̞ AK tʰ AD a̠ AJ n AF
수소폭탄	sʰ BB u AK sʰ BB o̞ AK pʰ AH o̞ AK k̚ tʰ AD a̠ AJ n AF
수속	sʰ BB u AK sʰ BB o̞ AK k̚
수송	sʰ BB u AK sʰ BB o̞ AK ŋ AF
수송선	sʰ BB u AK sʰ BB o̞ AK ŋ AF sʰ BB ʌ̹ n AF
수수	sʰ BB u AK sʰ BB u AK
수수께끼	sʰ BB u AK sʰ BB u AK k͈ AC e̞ AJ k͈ AC i AJ
수수미꾸리	sʰ BB u AK sʰ BB u AK m AE i AJ k͈ AC u AK ɾ BA i AJ
수술	sʰ BB u AK sʰ BB u AK ɭ AN
수습	sʰ BB u AK sʰ BB ɯ AJ p̚
수습하다	sʰ BB u AK sʰ BB ɯ AJ pʰ AH a̠ AJ d AC a̠ AJ
수시로	sʰ BB u AK ɕʰ BB i AJ ɾ BA o̞ AK
수식어	sʰ BB u AK ɕʰ BB i AJ ɡ AC ʌ̹
수심	sʰ BB u AK ɕʰ BB i AJ m AE
수십	sʰ BB uː AK ɕʰ BB i AJ p̚
수업	sʰ BB u AK ʌ̹ p̚
수없이	sʰ BB uː AK ʌ̹ p AG ɕ͈ i AJ
수염	sʰ BB u AK j AB ʌ̹ m AE
수염수리	sʰ BB u AK j AB ʌ̹ m AE sʰ BB u AK ɾ BA i AJ
수영	sʰ BB u AK j AB ʌ̹ ŋ AF
수영복	sʰ BB u AK j AB ʌ̹ ŋ AF b AG o̞ AK k̚
수영장	sʰ BB u AK j AB ʌ̹ ŋ AF d AC ʑ AL a̠ AJ ŋ AF
수영하다	sʰ BB u AK j AB ʌ̹ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
수요	sʰ BB u AK j AB o AK
수요일	sʰ BB u AK j AB o AK i AJ ɭ AN
수원	sʰ BB u AK w AI ʌ̹ n AF
수은	sʰ BB u AK ɯ AJ n AF
수음	sʰ BB u AK ɯ AJ m AE
수음하다	sʰ BB u AK ɯ AJ m AE ɦ AA a̠ AJ d AC a̠ AJ
수의사	sʰ BB u AK ɰ AB i AJ sʰ BB a̠ AJ
수익	sʰ BB u AK i AJ k̚
수입	sʰ BB u AK i AJ p̚
수장룡	sʰ BB u AK d AC ʑ AL a̠ AJ ŋ AF ɲ AF j AB o AK ŋ AF
수저	sʰ BB u AK d AC ʑ AL ʌ̹
수적	sʰ BB uː AK t AC ɕ͈ ʌ̹ k̚
수전	sʰ BB u AK d AC ʑ AL ʌ̹ n AF
수정	sʰ BB u AK d AC ʑ AL ʌ̹ ŋ AF
수정란	sʰ BB u AK d AC ʑ AL ʌ̹ ŋ AF n AF a̠ AJ n AF
수정체	sʰ BB u AK d AC ʑ AL ʌ̹ ŋ AF t AC ɕʰ BB e̞ AJ
수조	sʰ BB u AK d AC ʑ AL o̞ AK
수족관	sʰ BB u AK d AC ʑ AL o̞ AK k̚ k͈ AC w AI a̠ AJ n AF
수준	sʰ BB u AK d AC ʑ AL u AK n AF
수줍다	sʰ BB u AK d AC ʑ AL u AK p̚ t͈ AC a̠ AJ
수질	sʰ BB u AK d AC ʑ AL i AJ ɭ AN
수집하다	sʰ BB u AK d AC ʑ AL i AJ pʰ AH a̠ AJ d AC a̠ AJ
수첩	sʰ BB u AK t AC ɕʰ BB ʌ̹ p̚
수청목	sʰ BB u AK t AC ɕʰ BB ʌ̹ ŋ AF m AE o̞ AK k̚
수축	sʰ BB u AK t AC ɕʰ BB u AK k̚
수출	sʰ BB u AK t AC ɕʰ BB u AK ɭ AN
수출품	sʰ BB u AK t AC ɕʰ BB u AK ɭ AN pʰ AH u AK m AE
수치	sʰ BB u AK t AC ɕʰ BB i AJ
수칙	sʰ BB u AK t AC ɕʰ BB i AJ k̚
수컷	sʰ BB u AK kʰ AD ʌ̹ t̚
수탉	sʰ BB u AK tʰ AD a̠ AJ k̚
수판	sʰ BB uː AK pʰ AH a̠ AJ n AF
수평	sʰ BB u AK pʰ AH j AB ʌ̹ ŋ AF
수평선	sʰ BB u AK pʰ AH j AB ʌ̹ ŋ AF sʰ BB ʌ̹ n AF
수포자	sʰ BB uː AK pʰ AH o̞ AK d AC ʑ AL a̠ AJ
수표	sʰ BB u AK pʰ AH j AB o AK
수풀	sʰ BB u AK pʰ AH u AK ɭ AN
수풍금	sʰ BB u AK pʰ AH u AK ŋ AF ɡ AC ɯ AJ m AE
수프	sʰ BB u AK pʰ AH ɯ AJ
수피	sʰ BB u AK pʰ AH i AJ
수필	sʰ BB u AK pʰ AH i AJ ɭ AN
수하물	sʰ BB u AK ɦ AA a̠ AJ m AE u AK ɭ AN
수학	sʰ BB uː AK ɦ AA a̠ AJ k̚
수학자	sʰ BB uː AK ɦ AA a̠ AJ k̚ t AC ɕ͈ a̠ AJ
수호	sʰ BB u AK β AM o̞ AK
수호신	sʰ BB u AK β AM o̞ AK ɕʰ BB i AJ n AF
수화	sʰ BB u AK β AM w AI a̠ AJ
수화기	sʰ BB u AK β AM w AI a̠ AJ ɡ AC i AJ
수확	sʰ BB u AK β AM w AI a̠ AJ k̚
수효	sʰ BB uː AK ʝ AL j AB o AK
숙	sʰ BB u AK k̚
숙녀	sʰ BB u AK ŋ AF ɲ AF j AB ʌ̹
숙답	sʰ BB u AK k̚ t͈ AC a̠ AJ p̚
숙련자	sʰ BB u AK ŋ AF ɲ AF j AB ʌ̹ ɲ AF d AC ʑ AL a̠ AJ
숙명	sʰ BB u AK ŋ AF m AE j AB ʌ̹ ŋ AF
숙명론	sʰ BB u AK ŋ AF m AE j AB ʌ̹ ŋ AF n AF o̞ AK n AF
숙박	sʰ BB u AK k̚ p͈ AG a̠ AJ k̚
숙소	sʰ BB u AK k AC s͈ AL o̞ AK
숙식	sʰ BB u AK k AC ɕ͈ i AJ k̚
숙어	sʰ BB u AK ɡ AC ʌ̹
숙이다	sʰ BB u AK ɡ AC i AJ d AC a̠ AJ
숙제	sʰ BB u AK k̚ t AC ɕ͈ e̞ AJ
숙제하다	sʰ BB u AK k̚ t AC ɕ͈ e̞ AJ ɦ AA a̠ AJ d AC a̠ AJ
숙주나물	sʰ BB u AK k̚ t AC ɕ͈ u AK n AF a̠ AJ m AE u AK ɭ AN
숙취	sʰ BB u AK k̚ t AC ɕʰ BB ɥ AI i AJ
순간	sʰ BB u AK n AF ɡ AC a̠ AJ n AF
순결	sʰ BB u AK n AF ɡ AC j AB ʌ̹ ɭ AN
순교	sʰ BB u AK n AF ɡ AC j AB o AK
순교자	sʰ BB u AK n AF ɡ AC j AB o AK d AC ʑ AL a̠ AJ
순도	sʰ BB u AK n AF d AC o̞ AK
순두부	sʰ BB u AK n AF d AC u AK b AG u AK
순례	sʰ BB u AK ʎ AN ʎ AN j AB e̞ AJ
순무	sʰ BB u AK n AF m AE u AK
순박	sʰ BB u AK n AF b AG a̠ AJ k̚
순박하다	sʰ BB u AK n AF b AG a̠ AJ kʰ AD a̠ AJ d AC a̠ AJ
순서	sʰ BB uː AK n AF sʰ BB ʌ̹
순수	sʰ BB u AK n AF sʰ BB u AK
순수하다	sʰ BB u AK n AF sʰ BB u AK ɦ AA a̠ AJ d AC a̠ AJ
순양함	sʰ BB u AK ɲ AF j AB a̠ AJ ŋ AF ɦ AA a̠ AJ m AE
순위	sʰ BB uː AK n AF ɥ AI i AJ
순천	sʰ BB uː AK ɲ AF t AC ɕʰ BB ʌ̹ n AF
순회심판소	sʰ BB u AK n AF β AM w AI e̞ AJ ɕʰ BB i AJ m AE pʰ AH a̠ AJ n AF sʰ BB o̞ AK
순흥	sʰ BB u AK n AF ɣ AL ɯ AJ ŋ AF
숟가락	sʰ BB u AK t̚ k͈ AC a̠ AJ ɾ BA a̠ AJ k̚
술	sʰ BB u AK ɭ AN
술기운	sʰ BB u AK ɭ AN k͈ AC i AJ u AK n AF
술독	sʰ BB u AK ɭ AN d AC o̞ AK k̚
술라쥐	sʰ BB u AK ɭ AN ɭ AN a̠ AJ d AC ʑ AL ɥ AI i AJ
술병	sʰ BB u AK ɭ AN p͈ AG j AB ʌ̹ ŋ AF
술어	sʰ BB u AK ɾ BA ʌ̹
술집	sʰ BB u AK ʎ AN t AC ɕ͈ i AJ p̚
술탄	sʰ BB u AK ɭ AN tʰ AD a̠ AJ n AF
숨	sʰ BB u AK m AE
숨구멍	sʰ BB u AK m AE ɡ AC u AK m AE ʌ̹ ŋ AF
숨기다	sʰ BB u AK m AE ɡ AC i AJ d AC a̠ AJ
숨다	sʰ BB uː AK m AE t͈ AC a̠ AJ
숨바꼭질	sʰ BB u AK m AE b AG a̠ AJ k͈ AC o̞ AK k̚ t AC ɕ͈ i AJ ɭ AN
숨쉬다	sʰ BB u AK m AE ʃʰ BB ɥ AI i AJ d AC a̠ AJ
숨지다	sʰ BB uː AK m AE d AC ʑ AL i AJ d AC a̠ AJ
숨통	sʰ BB u AK m AE tʰ AD o̞ AK ŋ AF
숩	sʰ BB u AK p̚
숫	sʰ BB u AK t̚
숫자	sʰ BB uː AK t̚ t AC ɕ͈ a̠ AJ
숭	sʰ BB u AK ŋ AF
숭경	sʰ BB u AK ŋ AF ɡ AC j AB ʌ̹ ŋ AF
숭경하다	sʰ BB u AK ŋ AF ɡ AC j AB ʌ̹ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
숭고	sʰ BB u AK ŋ AF ɡ AC o̞ AK
숭늉	sʰ BB u AK ŋ AF ɲ AF j AB u AK ŋ AF
숭어	sʰ BB uː AK ŋ AF ʌ̹
숯	sʰ BB u AK t̚
숱	sʰ BB u AK t̚
숲	sʰ BB u AK p̚
숲들쥐	sʰ BB u AK p̚ t͈ AC ɯ AJ ʎ AN d AC ʑ AL ɥ AI i AJ
쉬다	ʃʰ BB ɥ AI iː AJ d AC a̠ AJ
쉬리	ʃʰ BB ɥ AI iː AJ ɾ BA i AJ
쉰	ʃʰ BB ɥ AI iː AJ n AF
쉽게	ʃʰ BB ɥ AI i AJ p̚ k͈ AC e̞ AJ
쉽다	ʃʰ BB ɥ AI iː AJ p̚ t͈ AC a̠ AJ
쉽사리	ʃʰ BB ɥ AI iː AJ p AG s͈ AL a̠ AJ ɾ BA i AJ
슈	ɕʰ BB u AK
슈니첼	ɕʰ BB u AK n AF i AJ t AC ɕʰ BB e̞ AJ ɭ AN
슈인	ɕʰ BB u AK i AJ n AF
슈크림	ɕʰ BB u AK k AC x AL ɯ AJ ɾ BA i AJ m AE
슈트	ɕʰ BB u AK tʰ AD ɯ AJ
슈트케이스	ɕʰ BB u AK tʰ AD ɯ AJ kʰ AD e̞ AJ i AJ sʰ BB ɯ AJ
슈퍼	ɕʰ BB u AK pʰ AH ʌ̹
슈퍼마켓	ɕʰ BB u AK pʰ AH ʌ̹ m AE a̠ AJ kʰ AD e̞ AJ t̚
슈퍼스타	ɕʰ BB u AK pʰ AH ʌ̹ sʰ BB ɯ AJ tʰ AD a̠ AJ
슛	ɕʰ BB u AK t̚
스께또	sʰ BB ɯ AJ k͈ AC e̞ AJ t͈ AC o̞ AK
스노보드	sʰ BB ɯ AJ n AF o̞ AK b AG o̞ AK d AC ɯ AJ
스님	sʰ BB ɯ AJ n AF i AJ m AE
스도쿠	sʰ BB ɯ AJ d AC o̞ AK kʰ AD u AK
스라소니	sʰ BB ɯ AJ ɾ BA a̠ AJ sʰ BB o̞ AK n AF i AJ
스럽다	sʰ BB ɯ AJ ɾ BA ʌ̹ p̚ t͈ AC a̠ AJ
스르르	sʰ BB ɯ AJ ɾ BA ɯ AJ ɾ BA ɯ AJ
스리랑카	sʰ BB ɯ AJ ɾ BA i AJ ɾ BA a̠ AJ ŋ AF kʰ AD a̠ AJ
스마트폰	sʰ BB ɯ AJ m AE a̠ AJ tʰ AD ɯ AJ pʰ AH o̞ AK n AF
스며들다	sʰ BB ɯ AJ m AE j AB ʌ̹ d AC ɯ AJ ɭ AN d AC a̠ AJ
스모	s͈ AL ɯ AJ m AE o̞ AK
스모그	sʰ BB ɯ AJ m AE o̞ AK ɡ AC ɯ AJ
스몰렌스크	sʰ BB ɯ AJ m AE o̞ AK ɭ AN ɭ AN e̞ AJ n AF sʰ BB ɯ AJ k AC x AL ɯ AJ
스무니까	sʰ BB ɯ AJ m AE u AK n AF i AJ k͈ AC a̠ AJ
스무니다	sʰ BB ɯ AJ m AE u AK n AF i AJ d AC a̠ AJ
스물	sʰ BB ɯ AJ m AE u AK ɭ AN
스미다	sʰ BB ɯ AJ m AE i AJ d AC a̠ AJ
스스로	sʰ BB ɯ AJ sʰ BB ɯ AJ ɾ BA o̞ AK
스스이	sʰ BB ɯ AJ sʰ BB ɯ AJ i AJ
스승	sʰ BB ɯ AJ sʰ BB ɯ AJ ŋ AF
스시	sʰ BB ɯ AJ ɕʰ BB i AJ
스시국	sʰ BB ɯ AJ ɕʰ BB i AJ ɡ AC u AK k̚
스시녀	sʰ BB ɯ AJ ɕʰ BB i AJ ɲ AF j AB ʌ̹
스와질란드	sʰ BB ɯ AJ w AI a̠ AJ d AC ʑ AL i AJ ɭ AN ɭ AN a̠ AJ n AF d AC ɯ AJ
스웨덴	sʰ BB ɯ AJ w AI e̞ AJ d AC e̞ AJ n AF
스웨덴어	sʰ BB ɯ AJ w AI e̞ AJ d AC e̞ AJ n AF ʌ̹
