'tain	t ɛ̃ AM
gâtines	ɡ a AC t i AE n
gâtisme	ɡ ɑ AK t i AE s m
gène	ʒ ɛ AD n
gé	ʒ e AD
géant	ʒ e AD ɑ̃ BB
gégène	ʒ e AD ʒ ɛ AD n
géhenne	ʒ e AD ɛ AD n
gélatine	ʒ e AD l a AC t i AE n
gélifié	ʒ e AD l i AE f j AA e AD
gélifraction	ʒ e AD l i AE f ʁ a AC k s j AA ɔ̃ BA
gélinotte	ʒ e AD l i AE n ɔ AF t
géliturbation	ʒ e AD l i AE t y AH ʁ b a AC s j AA ɔ̃ BA
gélosée	ʒ e AD l o AF z e AD
gélule	ʒ e AD l y AH l
gémeaux	ʒ e AD m o AF
gémellité	ʒ e AD m ɛ AD l i AE t e AD
géminée	ʒ e AD m i AE n e AD
gémir	ʒ e AD m i AE ʁ
gémissement	ʒ e AD m i AE s m ɑ̃ BB
gémonies	ʒ e AD m ɔ AF n i AE
génal	ʒ e AD n a AC l
génale	ʒ e AD n a AC l
génial	ʒ e AD n j AA a AC l
génie	ʒ e AD n i AE
génienne	ʒ e AD n j AA ɛ AD n
génisse	ʒ e AD n i AE s
génisses	ʒ e AD n i AE s
génital	ʒ e AD n i AE t a AC l
génitale	ʒ e AD n i AE t a AC l
génitales	ʒ e AD n i AE t a AC l
génitaux	ʒ e AD n i AE t o AF
génitif	ʒ e AD n i AE t i AE f
génitive	ʒ e AD n i AE t i AE v
génitoires	ʒ e AD n i AE t w AB a AC ʁ
génocidaire	ʒ e AD n ɔ AF s i AE d ɛ AD ʁ
génocidaires	ʒ e AD n ɔ AF s i AE d ɛ AD ʁ
génocide	ʒ e AD n ɔ AF s i AE d
génois	ʒ e AD n w AB a AC
génoise	ʒ e AD n w AB a AC z
génome	ʒ e AD n o AF m
génomique	ʒ e AD n ɔ AF m i AE k
génotoxique	ʒ e AD n ɔ AF t ɔ AF k s i AE k
génotype	ʒ e AD n ɔ AF t i AE p
génuflexion	ʒ e AD n y AH f l ɛ AD k s j AA ɔ̃ BA
généalogie	ʒ e AD n e AD a AC l ɔ AF ʒ i AE
général	ʒ e AD n e AD ʁ a AC l
générale	ʒ e AD n e AD ʁ a AC l
généralement	ʒ e AD n e AD ʁ a AC l m ɑ̃ BB
générales	ʒ e AD n e AD ʁ a AC l
généralissime	ʒ e AD n e AD ʁ a AC l i AE s i AE m
génération	ʒ e AD n e AD ʁ a AC s j AA ɔ̃ BA
générationnelle	ʒ e AD n e AD ʁ a AC s j AA ɔ AF n ɛ AD l
générative	ʒ e AD n e AD ʁ a AC t i AE v
généraux	ʒ e AD n e AD ʁ o AF
généreux	ʒ e AD n e AD ʁ ø AI
générosité	ʒ e AD n e AD ʁ o AF z i AE t e AD
générosités	ʒ e AD n e AD ʁ o AF z i AE t e AD
génésiquement	ʒ e AD n e AD z i AE k m ɑ̃ BB
génétique	ʒ e AD n e AD t i AE k
génétiquement	ʒ e AD n e AD t i AE k m ɑ̃ BB
génétiques	ʒ e AD n e AD t i AE k
géoarchéologie	ʒ e AD o AF a AC ʁ k e AD ɔ AF l ɔ AF ʒ i AE
géocentrique	ʒ e AD ɔ AF s ɑ̃ BB t ʁ i AE k
géocentriques	ʒ e AD ɔ AF s ɑ̃ BB t ʁ i AE k
géochimie	ʒ e AD o AF ʃ i AE m i AE
géochimique	ʒ e AD o AF ʃ i AE m i AE k
géochimiste	ʒ e AD o AF ʃ i AE m i AE s t
géochronologie	ʒ e AD o AF k ʁ ɔ AF n ɔ AF l ɔ AF ʒ i AE
géocoucou	ʒ e AD ɔ AF k u AG k u AG
géode	ʒ e AD ɔ AF d
géodes	ʒ e AD ɔ AF d
géodynamique	ʒ e AD o AF d i AE n a AC m i AE k
géodésie	ʒ e AD ɔ AF d e AD z i AE
géodésique	ʒ e AD ɔ AF d e AD z i AE k
géographe	ʒ e AD ɔ AF ɡ ʁ a AC f
géographes	ʒ e AD ɔ AF ɡ ʁ a AC f
géographie	ʒ e AD ɔ AF ɡ ʁ a AC f i AE
géographique	ʒ e AD ɔ AF ɡ ʁ a AC f i AE k
géographiques	ʒ e AD ɔ AF ɡ ʁ a AC f i AE k
géohydrologie	ʒ e AD o AF i AE d ʁ ɔ AF l ɔ AF ʒ i AE
géologie	ʒ e AD ɔ AF l ɔ AF ʒ i AE
géologique	ʒ e AD ɔ AF l ɔ AF ʒ i AE k
géologue	ʒ e AD ɔ AF l ɔ AF ɡ
géomagnétique	ʒ e AD o AF m a AC ɲ e AD t i AE k
géomagnétisme	ʒ e AD o AF m a AC ɲ e AD t i AE z m
géomancie	ʒ e AD ɔ AF m ɑ̃ BB s i AE
géomancies	ʒ e AD ɔ AF m ɑ̃ BB s i AE
géomatériau	ʒ e AD o AF m a AC t e AD ʁ j AA o AF
géomorphologie	ʒ e AD o AF m ɔ AF ʁ f ɔ AF l ɔ AF ʒ i AE
géomorphologies	ʒ e AD o AF m ɔ AF ʁ f ɔ AF l ɔ AF ʒ i AE
géomécanique	ʒ e AD o AF m e AD k a AC n i AE k
géométralement	ʒ e AD ɔ AF m e AD t ʁ a AC l m ɑ̃ BB
géométrie	ʒ e AD ɔ AF m e AD t ʁ i AE
géométries	ʒ e AD ɔ AF m e AD t ʁ i AE
géophysicien	ʒ e AD o AF f i AE z i AE s j AA ɛ̃ AM
géophysicienne	ʒ e AD o AF f i AE z i AE s j AA ɛ AD n
géophysique	ʒ e AD o AF f i AE z i AE k
géorgie	ʒ e AD ɔ AF ʁ ʒ i AE
géorgien	ʒ e AD ɔ AF ʁ ʒ j AA ɛ̃ AM
géoscience	ʒ e AD o AF s j AA ɑ̃ BB s
géotechnique	ʒ e AD o AF t ɛ AD k n i AE k
géotectonique	ʒ e AD o AF t ɛ AD k t ɔ AF n i AE k
gérald	ʒ e AD ʁ a AC l d
géraldine	ʒ e AD ʁ a AC l d i AE n
géranium	ʒ e AD ʁ a AC n j AA ɔ AF m
gérant	ʒ e AD ʁ ɑ̃ BB
gérard	ʒ e AD ʁ a AC ʁ
gérer	ʒ e AD ʁ e AD
gérondif	ʒ e AD ʁ ɔ̃ BA d i AE f
gérôme	ʒ e AD ʁ o AF m
gésier	ʒ e AD z j AA e AD
gésir	ʒ e AD z i AE ʁ
gênant	ʒ ɛ AD n ɑ̃ BB
gêne	ʒ ɛ AD n
gêner	ʒ ɛ AD n e AD
gênes	ʒ ɛ AD n
gêné	ʒ ɛ AD n e AD
gîte	ʒ i AE t
gîter	ʒ i AE t e AD
habile	a AC b i AE l
habilement	a AC b i AE l m ɑ̃ BB
habiles	a AC b i AE l
habileté	a AC b i AE l t e AD
habiletés	a AC b i AE l t e AD
habilité	a AC b i AE l i AE t e AD
habillage	a AC b i AE j AA a AC ʒ
habiller	a AC b i AE j AA e AD
habit	a AC b i AE
habitable	a AC b i AE t a AC b l
habitacle	a AC b i AE t a AC k l
habitant	a AC b i AE t ɑ̃ BB
habitante	a AC b i AE t ɑ̃ BB t
habitat	a AC b i AE t a AC
habitation	a AC b i AE t a AC s j AA ɔ̃ BA
habite	a AC b i AE t
habiter	a AC b i AE t e AD
habits	a AC b i AE
habitua	a AC b i AE t ɥ AN a AC
habituai	a AC b i AE t ɥ AN e AD
habituaient	a AC b i AE t ɥ AN ɛ AD
habituais	a AC b i AE t ɥ AN ɛ AD
habituait	a AC b i AE t ɥ AN ɛ AD
habituant	a AC b i AE t ɥ AN ɑ̃ BB
habituas	a AC b i AE t ɥ AN a AC
habituasse	a AC b i AE t ɥ AN a AC s
habituassent	a AC b i AE t ɥ AN a AC s
habituasses	a AC b i AE t ɥ AN a AC s
habituassiez	a AC b i AE t ɥ AN a AC s j AA e AD
habituassions	a AC b i AE t ɥ AN a AC s j AA ɔ̃ BA
habitude	a AC b i AE t y AH d
habitue	a AC b i AE t y AH
habituel	a AC b i AE t ɥ AN ɛ AD l
habituelle	a AC b i AE t ɥ AN ɛ AD l
habituellement	a AC b i AE t ɥ AN ɛ AD l m ɑ̃ BB
habituelles	a AC b i AE t ɥ AN ɛ AD l
habituels	a AC b i AE t ɥ AN ɛ AD l
habituent	a AC b i AE t y AH
habituer	a AC b i AE t ɥ AN e AD
habituera	a AC b i AE t y AH ʁ a AC
habituerai	a AC b i AE t y AH ʁ e AD
habitueraient	a AC b i AE t y AH ʁ ɛ AD
habituerais	a AC b i AE t y AH ʁ ɛ AD
habituerait	a AC b i AE t y AH ʁ ɛ AD
habitueras	a AC b i AE t y AH ʁ ɑ AK
habituerez	a AC b i AE t y AH ʁ e AD
habitueriez	a AC b i AE t y AH ʁ j AA e AD
habituerions	a AC b i AE t y AH ʁ j AA ɔ̃ BA
habituerons	a AC b i AE t y AH ʁ ɔ̃ BA
habitueront	a AC b i AE t y AH ʁ ɔ̃ BA
habitues	a AC b i AE t y AH
habituez	a AC b i AE t ɥ AN e AD
habituiez	a AC b i AE t y AH j AA e AD
habituions	a AC b i AE t y AH j AA ɔ̃ BA
habituons	a AC b i AE t ɥ AN ɔ̃ BA
habituâmes	a AC b i AE t ɥ AN ɑ AK m
habituât	a AC b i AE t ɥ AN ɑ AK
habituâtes	a AC b i AE t ɥ AN ɑ AK t
habituèrent	a AC b i AE t ɥ AN ɛ AD ʁ
habitué	a AC b i AE t ɥ AN e AD
habité	a AC b i AE t e AD
habs	a AC b
hache	a AC ʃ
hacher	a AC ʃ e AD
haches	a AC ʃ
hachette	a AC ʃ ɛ AD t
hachis	a AC ʃ i AE
hachure	a AC ʃ y AH ʁ
hachurer	a AC ʃ y AH ʁ e AD
hachures	a AC ʃ y AH ʁ
hacienda	a AC s j AA ɛ AD n d a AC
hacktiviste	a AC k t i AE v i AE s t
hadal	a AC d a AC l
hadrien	a AC d ʁ i AE j AA ɛ̃ AM
hafnium	a AC f n j AA ɔ AF m
hafézien	a AC f e AD z j AA ɛ̃ AM
hagar	a AC ɡ a AC ʁ
haggis	a AC ɡ i AE s
hagiographie	a AC ʒ j AA ɔ AF ɡ ʁ a AC f i AE
hagiographies	a AC ʒ j AA ɔ AF ɡ ʁ a AC f i AE
haha	a AC a AC
haie	ɛ AD
haillon	ɑ AK j AA ɔ̃ BA
hainaut	ɛ AD n o AF
haine	ɛ AD n
haines	ɛ AD n
haire	ɛ AD ʁ
hais	ɛ AD
hait	ɛ AD
hajjam	a AC ʒ a AC m
halbrenée	a AC l b ʁ ə AJ n e AD
haleine	a AC l ɛ AD n
halener	a AC l ɛ AD n e AD
haler	a AC l e AD
haleter	a AC l t e AD
haleur	a AC l œ AI ʁ
hall	o AF l
hallali	a AC l a AC l i AE
halle	a AC l
hallier	a AC l j AA e AD
halloween	a AC l ɔ AF w AB i AE n
hallucinant	a AC l y AH s i AE n ɑ̃ BB
hallucination	a AC l y AH s i AE n a AC s j AA ɔ̃ BA
hallucinatoire	a AC l y AH s i AE n a AC t w AB a AC ʁ
halluciner	a AC l y AH s i AE n e AD
halo	a AC l o AF
halogène	a AC l ɔ AF ʒ ɛ AD n
halogènure	a AC l ɔ AF ʒ ɛ AD n y AH ʁ
halogéner	a AC l ɔ AF ʒ e AD n e AD
halogénure	a AC l ɔ AF ʒ e AD n y AH ʁ
halogénures	a AC l ɔ AF ʒ e AD n y AH ʁ
halouf	ʁ a AC l u AG f
haloïde	a AC l ɔ AF i AE d
halte	a AC l t
haltère	a AC l t ɛ AD ʁ
haltérophilie	a AC l t e AD ʁ ɔ AF f i AE l i AE
halva	a AC l v a AC
hama	a AC m a AC
hamac	a AC m a AC k
hamacs	a AC m a AC k
hamamélis	a AC m a AC m e AD l i AE
hambourg	ɑ̃ BB b u AG ʁ
hambourgeois	ɑ̃ BB b u AG ʁ ʒ w AB a AC
hamburger	ɑ̃ BB b œ AI ʁ ɡ œ AI ʁ
hameau	a AC m o AF
hameçon	a AC m s ɔ̃ BA
hampe	ɑ̃ BB p
hamster	a AC m s t ɛ AD ʁ
hanap	a AC n a AC p
hanche	ɑ̃ BB ʃ
hand	ɑ̃ BB d
handball	ɑ̃ BB d b a AC l
handballeur	ɑ̃ BB d b a AC l œ AI ʁ
handibasket	ɑ̃ BB d i AE b a AC s k ɛ AD t
handicap	ɑ̃ BB d i AE k a AC p
handicapante	ɑ̃ BB d i AE k a AC p ɑ̃ BB t
handicaper	ɑ̃ BB d i AE k a AC p e AD
handicapé	ɑ̃ BB d i AE k a AC p e AD
handisport	ɑ̃ BB d i AE s p ɔ AF ʁ
hangar	ɑ̃ BB ɡ a AC ʁ
hangeul	a AC n ɡ œ AI l
hanneton	a AC n t ɔ̃ BA
hanoukka	a AC n u AG k a AC
hanovre	a AC n ɔ AF v ʁ
hanovrien	a AC n ɔ AF v ʁ i AE j AA ɛ̃ AM
hanovrienne	a AC n ɔ AF v ʁ i AE j AA ɛ AD n
hanovriennes	a AC n ɔ AF v ʁ i AE j AA ɛ AD n
hanovriens	a AC n ɔ AF v ʁ i AE j AA ɛ̃ AM
hanoï	a AC n ɔ AF j AA
hanter	ɑ̃ BB t e AD
hantise	ɑ̃ BB t i AE z
haoussa	a AC u AG s a AC
hapax	a AC p a AC k s
haplogroupe	a AC p l ɔ AF ɡ ʁ u AG p
haplologie	a AC p l ɔ AF l ɔ AF ʒ i AE
haplotype	a AC p l ɔ AF t i AE p
haploïdie	a AC p l ɔ AF i AE d i AE
happer	a AC p e AD
harangue	a AC ʁ ɑ̃ BB ɡ
haranguer	a AC ʁ ɑ̃ BB ɡ e AD
harapéenne	a AC ʁ a AC p e AD ɛ AD n
haras	a AC ʁ ɑ AK
harassant	a AC ʁ a AC s ɑ̃ BB
harassement	a AC ʁ a AC s m ɑ̃ BB
harasser	a AC ʁ a AC s e AD
harceler	a AC ʁ s ə AJ l e AD
harceleur	a AC ʁ s ə AJ l œ AI ʁ
harcelle	a AC ʁ s ɛ AD l
harcèlement	a AC ʁ s ɛ AD l m ɑ̃ BB
harcèlements	a AC ʁ s ɛ AD l m ɑ̃ BB
hard	a AC ʁ d
harde	a AC ʁ d
hardenne	a AC ʁ d ɛ AD n
hardes	a AC ʁ d
hardeur	a AC ʁ d œ AI ʁ
hardeuse	a AC ʁ d ø AI z
hardi	a AC ʁ d i AE
hardiesse	a AC ʁ d j AA ɛ AD s
hardware	a AC ʁ d w AB ɛ AD ʁ
hareng	a AC ʁ ɑ̃ BB
harfang	a AC ʁ f ɑ̃ BB
hargne	a AC ʁ ɲ
hargneux	a AC ʁ ɲ ø AI
haricot	a AC ʁ i AE k o AF
haricots	a AC ʁ i AE k o AF
haridelle	a AC ʁ i AE d ɛ AD l
harki	a AC ʁ k i AE
harmonica	a AC ʁ m ɔ AF n i AE k a AC
harmonieuse	a AC ʁ m ɔ AF n j AA ø AI z
harmonieusement	a AC ʁ m ɔ AF n j AA ø AI z m ɑ̃ BB
harmonieuses	a AC ʁ m ɔ AF n j AA ø AI z
harmonieux	a AC ʁ m ɔ AF n j AA ø AI
harmonique	a AC ʁ m ɔ AF n i AE k
harmoniser	a AC ʁ m ɔ AF n i AE z e AD
harnacher	a AC ʁ n a AC ʃ e AD
harnais	a AC ʁ n ɛ AD
haro	a AC ʁ o AF
harpagon	a AC ʁ p a AC ɡ ɔ̃ BA
harpe	a AC ʁ p
harper	a AC ʁ p e AD
harpie	a AC ʁ p i AE
harpiste	a AC ʁ p i AE s t
harpon	a AC ʁ p ɔ̃ BA
hart	a AC ʁ t
haruspice	a AC ʁ y AH s p i AE s
hasard	a AC z a AC ʁ
hasarder	a AC z a AC ʁ d e AD
hasards	a AC z a AC ʁ
hasch	a AC ʃ
haschich	a AC ʃ i AE ʃ
hase	a AC z
hashtag	a AC ʃ t a AC ɡ
hassium	a AC s j AA ɔ AF m
hauban	o AF b ɑ̃ BB
hausse	o AF s
haussement	o AF s m ɑ̃ BB
hausser	o AF s e AD
haussier	o AF s j AA e AD
haussière	o AF s j AA ɛ AD ʁ
haussières	o AF s j AA ɛ AD ʁ
haussé	o AF s e AD
haut	o AF
hautain	o AF t ɛ̃ AM
hautbois	o AF b w AB a AC
hautboïste	o AF b ɔ AF i AE s t
haute	o AF t
hauteur	o AF t œ AI ʁ
hauteurs	o AF t œ AI ʁ
haveur	a AC v œ AI ʁ
havre	ɑ AK v ʁ
havresac	a AC v ʁ ə AJ s a AC k
hawaiien	a AC w AB a AC j AA ɛ̃ AM
hawaï	a AC w AB a AC j AA
hawaïanité	a AC w AB a AC j AA a AC n i AE t e AD
hawaïen	a AC w AB a AC j AA ɛ̃ AM
haydée	ɛ AD d e AD
hayon	ɛ AD j AA ɔ̃ BA
haï	a AC i AE
haïe	a AC j AA
haïes	a AC i AE
haïkiste	a AC i AE k i AE s t
haïku	a AC j AA k u AG
haïr	a AC j AA i AE ʁ
haïrai	a AC i AE ʁ e AD
haïrais	a AC i AE ʁ ɛ AD
haïrons	a AC i AE ʁ ɔ̃ BA
haïs	a AC i AE
haïssable	a AC i AE s a AC b l
haïssais	a AC i AE s ɛ AD
haïssait	a AC i AE s ɛ AD
haïssant	a AC i AE s ɑ̃ BB
haïsse	a AC i AE s
haïssent	a AC i AE s
haïsses	a AC i AE s
haïsseur	a AC i AE s œ AI ʁ
haïssez	a AC i AE s e AD
haïssiez	a AC i AE s j AA e AD
haïssions	a AC i AE s j AA ɔ̃ BA
haïssons	a AC i AE s ɔ̃ BA
haït	a AC i AE
haïti	a AC i AE t i AE
haïtien	a AC i AE s j AA ɛ̃ AM
haüy	a AC ɥ AN i AE
haüynite	a AC ɥ AN i AE n i AE t
heaume	o AF m
heaumes	o AF m
hebdo	ɛ AD b d o AF
hebdomadaire	ɛ AD b d ɔ AF m a AC d ɛ AD ʁ
hebdomadairement	ɛ AD b d ɔ AF m a AC d ɛ AD ʁ m ɑ̃ BB
hectare	ɛ AD k t a AC ʁ
hecto	ɛ AD k t o AF
hectoampère	ɛ AD k t ɔ AF ɑ̃ BB p ɛ AD ʁ
hectocandela	ɛ AD k t ɔ AF k ɑ̃ BB d e AD l a AC
hectogramme	ɛ AD k t ɔ AF ɡ ʁ a AC m
hectokatal	ɛ AD k t ɔ AF k a AC t a AC l
hectolitre	ɛ AD k t ɔ AF l i AE t ʁ
hectomètre	ɛ AD k t ɔ AF m ɛ AD t ʁ
hector	ɛ AD k t ɔ AF ʁ
hectoseconde	ɛ AD k t ɔ AF s ə AJ ɡ ɔ̃ BA d
hectostéradian	ɛ AD k t ɔ AF s t e AD ʁ a AC d j AA ɑ̃ BB
hectowatt	ɛ AD k t ɔ AF w AB a AC t
hein	ɛ̃ AM
hellénisant	ɛ AD l e AD n i AE z ɑ̃ BB
helsinki	ɛ AD l s i AE ŋ k i AE
hemiptère	e AD m i AE p t ɛ AD ʁ
hendaye	ɑ̃ BB d a AC j AA
hendek	ɛ AD n d ɛ AD k
henni	e AD n i AE
hennir	ɛ AD n i AE ʁ
hennissement	ɛ AD n i AE s m ɑ̃ BB
hennuyer	e AD n ɥ AN i AE j AA e AD
hennuyère	e AD n ɥ AN i AE j AA ɛ AD ʁ
henné	e AD n e AD
henri	ɑ̃ BB ʁ i AE
henriette	ɑ̃ BB ʁ j AA ɛ AD t
henry	ɑ̃ BB ʁ i AE
hepcidine	ɛ AD p s i AE d i AE n
heptamètre	ɛ AD p t a AC m ɛ AD t ʁ
herbage	ɛ AD ʁ b a AC ʒ
herbe	ɛ AD ʁ b
herbicide	ɛ AD ʁ b i AE s i AE d
herbicides	ɛ AD ʁ b i AE s i AE d
herbier	ɛ AD ʁ b j AA e AD
herbivore	ɛ AD ʁ b i AE v ɔ AF ʁ
herbivores	ɛ AD ʁ b i AE v ɔ AF ʁ
herbu	ɛ AD ʁ b y AH
hercheur	ɛ AD ʁ ʃ œ AI ʁ
herculanum	ɛ AD ʁ k y AH l a AC n ɔ AF m
hercynien	ɛ AD ʁ s i AE n j AA ɛ̃ AM
hercynienne	ɛ AD ʁ s i AE n j AA ɛ AD n
hermaphrodite	ɛ AD ʁ m a AC f ʁ ɔ AF d i AE t
hermarque	ɛ AD ʁ m a AC ʁ k
hermine	ɛ AD ʁ m i AE n
hermines	ɛ AD ʁ m i AE n
hermite	ɛ AD ʁ m i AE t
hermitienne	ɛ AD ʁ m i AE s j AA ɛ AD n
hermocrate	ɛ AD ʁ m ɔ AF k ʁ a AC t
hermès	ɛ AD ʁ m ɛ AD s
herméneutiquement	ɛ AD ʁ m e AD n ø AI t i AE k m ɑ̃ BB
hernie	ɛ AD ʁ n i AE
hernies	ɛ AD ʁ n i AE
herse	ɛ AD ʁ s
herser	ɛ AD ʁ s e AD
hertz	ɛ AD ʁ t s
hervé	ɛ AD ʁ v e AD
hesse	ɛ AD s
heur	œ AI ʁ
heure	œ AI ʁ
heures	œ AI ʁ
heureuse	œ AI ʁ ø AI z
heureusement	œ AI ʁ ø AI z m ɑ̃ BB
heureuses	œ AI ʁ ø AI z
heureux	œ AI ʁ ø AI
heuristique	ɥ AN ɛ AD ʁ s t i AE k
heurs	œ AI ʁ
heurt	œ AI ʁ
heurter	œ AI ʁ t e AD
heurtoir	œ AI ʁ t w AB a AC ʁ
heurtoirs	œ AI ʁ t w AB a AC ʁ
heus	y AH
hexadécimal	ɛ AD ɡ z a AC d e AD s i AE m a AC l
hexagone	ɛ AD ɡ z a AC ɡ ɔ AF n
hexamètre	ɛ AD ɡ z a AC m ɛ AD t ʁ
hexane	ɛ AD ɡ z a AC n
hexaèdre	ɛ AD ɡ z a AC ɛ AD d ʁ
hexaèdres	ɛ AD ɡ z a AC ɛ AD d ʁ
hiatal	j AA a AC t a AC l
hiatus	j AA a AC t y AH s
hiberner	i AE b ɛ AD ʁ n e AD
hibou	i AE b u AG
hic	i AE k
hidalgo	i AE d a AC l ɡ o AF
hideur	i AE d œ AI ʁ
hideuse	i AE d ø AI z
hideuses	i AE d ø AI z
hideux	i AE d ø AI
hidjab	i AE d ʒ a AC b
hie	i AE
hier	j AA ɛ AD ʁ
hilaire	i AE l ɛ AD ʁ
hilalienne	i AE l a AC l j AA ɛ AD n
hilarant	i AE l a AC ʁ ɑ̃ BB
hilarants	i AE l a AC ʁ ɑ̃ BB
hilbertienne	i AE l b ɛ AD ʁ s j AA ɛ AD n
hile	i AE l
himalaya	i AE m a AC l a AC j AA a AC
himalayen	i AE m a AC l a AC j AA ɛ̃ AM
himalayenne	i AE m a AC l a AC j AA ɛ AD n
hin	ɛ̃ AM
hindou	ɛ̃ AM d u AG
hindouisme	ɛ̃ AM d w AB i AE z m
hindî	i AE n d i AE
hipparque	i AE p a AC ʁ k
hippiquement	i AE p i AE k m ɑ̃ BB
hippocampe	i AE p ɔ AF k ɑ̃ BB p
hippocrate	i AE p ɔ AF k ʁ a AC t
hippodrome	i AE p ɔ AF d ʁ ɔ AF m
hippolyte	i AE p ɔ AF l i AE t
hippopotame	i AE p ɔ AF p ɔ AF t a AC m
hirondelle	i AE ʁ ɔ̃ BA d ɛ AD l
hirsute	i AE ʁ s y AH t
hispaniola	i AE s p a AC n j AA ɔ AF l a AC
hispanique	i AE s p a AC n i AE k
hispaniques	i AE s p a AC n i AE k
hisser	i AE s e AD
histoire	i AE s t w AB a AC ʁ
histologiquement	i AE s t ɔ AF l ɔ AF ʒ i AE k m ɑ̃ BB
historien	i AE s t ɔ AF ʁ j AA ɛ̃ AM
historique	i AE s t ɔ AF ʁ i AE k
histrion	i AE s t ʁ i AE j AA ɔ̃ BA
hitchcockienne	i AE t ʃ k ɔ AF k j AA ɛ AD n
hitlérien	i AE t l e AD ʁ j AA ɛ̃ AM
hitlérienne	i AE t l e AD ʁ j AA ɛ AD n
hiver	i AE v ɛ AD ʁ
hivernal	i AE v ɛ AD ʁ n a AC l
hiverner	i AE v ɛ AD ʁ n e AD
hièble	j AA ɛ AD b l
hiérarchie	j AA e AD ʁ a AC ʁ ʃ i AE
hiérarchique	j AA e AD ʁ a AC ʁ ʃ i AE k
hiérarchiques	j AA e AD ʁ a AC ʁ ʃ i AE k
hiéroglyphe	j AA e AD ʁ ɔ AF ɡ l i AE f
hiéroglyphique	j AA e AD ʁ ɔ AF ɡ l i AE f i AE k
ho	o AF
hoazin	o AF a AC z ɛ̃ AM
hobbesienne	ɔ AF b z j AA ɛ AD n
hobby	ɔ AF b i AE
hobereau	ɔ AF b ʁ o AF
hochequeue	ɔ AF ʃ k ø AI
hocher	ɔ AF ʃ e AD
hockey	ɔ AF k ɛ AD
hoir	w AB a AC ʁ
hoirie	w AB a AC ʁ i AE
hola	ɔ AF l a AC
hollandais	ɔ AF l ɑ̃ BB d ɛ AD
hollandaise	ɔ AF l ɑ̃ BB d ɛ AD z
hollande	ɔ AF l ɑ̃ BB d
holmesienne	ɔ AF l m s j AA ɛ AD n
holmium	ɔ AF l m j AA ɔ AF m
holonyme	ɔ AF l ɔ AF n i AE m
holothurie	ɔ AF l ɔ AF t y AH ʁ i AE
holà	ɔ AF l a AC
homard	ɔ AF m a AC ʁ
hombre	ɔ̃ BA b ʁ
hommage	ɔ AF m a AC ʒ
homme	ɔ AF m
hommelet	ɔ AF m l ɛ AD
hommes	ɔ AF m
homoglyphe	ɔ AF m ɔ AF ɡ l i AE f
homographe	ɔ AF m ɔ AF ɡ ʁ a AC f
homonyme	ɔ AF m ɔ AF n i AE m
homonymes	ɔ AF m ɔ AF n i AE m
homonymie	ɔ AF m ɔ AF n i AE m i AE
homophone	ɔ AF m ɔ AF f ɔ AF n
homoptère	ɔ AF m ɔ AF p t ɛ AD ʁ
homorgane	ɔ AF m ɔ AF ʁ ɡ a AC n
homosexualité	ɔ AF m ɔ AF s ɛ AD k s ɥ AN a AC l i AE t e AD
homosexuel	ɔ AF m ɔ AF s ɛ AD k s ɥ AN ɛ AD l
homosexuelle	ɔ AF m ɔ AF s ɛ AD k s ɥ AN ɛ AD l
homosocialité	ɔ AF m ɔ AF s ɔ AF s j AA a AC l i AE t e AD
homothermal	ɔ AF m ɔ AF t ɛ AD ʁ m a AC l
homothermale	ɔ AF m ɔ AF t ɛ AD ʁ m a AC l
homothermales	ɔ AF m ɔ AF t ɛ AD ʁ m a AC l
homère	o AF m ɛ AD ʁ
homéopathe	ɔ AF m e AD ɔ AF p a AC t
homéopathie	ɔ AF m e AD ɔ AF p a AC t i AE
homéopathiquement	ɔ AF m e AD ɔ AF p a AC t i AE k m ɑ̃ BB
homéostasie	ɔ AF m e AD ɔ AF s t a AC z i AE
homéotherme	ɔ AF m e AD ɔ AF t ɛ AD ʁ m
homœomorphe	ɔ AF m e AD ɔ AF m ɔ AF ʁ f
homœopathie	ɔ AF m e AD ɔ AF p a AC t i AE
honduras	ɔ̃ BA d y AH ʁ a AC s
hongkong	ɔ̃ BA ɡ k ɔ̃ BA ɡ
hongre	ɔ̃ BA ɡ ʁ
hongrie	ɔ̃ BA ɡ ʁ i AE
hongrois	ɔ̃ BA ɡ ʁ w AB a AC
honneur	ɔ AF n œ AI ʁ
honnir	ɔ AF n i AE ʁ
honnête	ɔ AF n ɛ AD t
honnêtement	ɔ AF n ɛ AD t m ɑ̃ BB
honnêteté	ɔ AF n ɛ AD t ə AJ t e AD
honora	ɔ AF n ɔ AF ʁ a AC
honorable	ɔ AF n ɔ AF ʁ a AC b l
honorai	ɔ AF n ɔ AF ʁ e AD
honoraient	ɔ AF n ɔ AF ʁ ɛ AD
honorais	ɔ AF n ɔ AF ʁ ɛ AD
honorait	ɔ AF n ɔ AF ʁ ɛ AD
honorant	ɔ AF n ɔ AF ʁ ɑ̃ BB
honoras	ɔ AF n ɔ AF ʁ ɑ AK
honorasse	ɔ AF n ɔ AF ʁ a AC s
honorassent	ɔ AF n ɔ AF ʁ a AC s
honorasses	ɔ AF n ɔ AF ʁ a AC s
honorassiez	ɔ AF n ɔ AF ʁ a AC s j AA e AD
honorassions	ɔ AF n ɔ AF ʁ a AC s j AA ɔ̃ BA
honore	ɔ AF n ɔ AF ʁ
