ँ	ə̃ AJ
नेस्तनाबूद	n̪ eː AC s̪ t̪ ə AD n̪ äː b uː AE d̪
नैचा	n̪ ɛː AC t ʃ äː
नैन	n̪ ɛ̃ː AI n̪
नैना	n̪ ɛː AC n̪ äː
नॉर्वे	n̪ ɔ AF ɾ ʋ AB eː AC
नोएडा	n̪ oː AE eː AC ɖ äː
नोचना	n̪ oː AE t ʃ n̪ äː
नोट	n̪ oː AE ʈ
नोटबंदी	n̪ oː AE ʈ b ə̃ AJ n̪ d̪ iː AC
नोटबुक	n̪ oː AE ʈ b ʊ AF k
नोटिस	n̪ oː AE ʈ ɪ AD s̪
नोनी	n̪ oː AE n̪ iː AC
नौ	n̪ ɔː AE
नौकर	n̪ ɔː AE k ə AD ɾ
नौकरशाही	n̪ ɔː AE k ə AD ɾ ʃ äː ɦ AG iː AC
नौका	n̪ ɔː AE k äː
नौजवान	n̪ ɔː AE d ʒ ə AD ʋ AB ä̃ː n̪
नौटंकी	n̪ ɔː AE ʈ ə̃ AJ ŋ k iː AC
नौबत	n̪ ɔː AE b ə AD t̪
नौसिखिया	n̪ ɔː AE s̪ ɪ AD kʰ i AD j AA äː
नौसेना	n̪ ɔː AE s̪ eː AC n̪ äː
न्याय	n̪ j AA äː j AA
न्यायपालिका	n̪ j AA äː j AA p äː l̪ ɪ AD k äː
न्यायशास्त्र	n̪ j AA äː j AA ʃ äː s̪ t̪ ɾ
न्यायाधीश	n̪ j AA äː j AA äː d̪ʱ iː AC ʃ
न्यायिक	n̪ j AA äː j AA ɪ AD k
न्यायोचित	n̪ j AA äː j AA oː AE t ʃ ɪ AD t̪
न्यारा	n̪ j AA äː ɾ äː
न्यास	n̪ j AA äː s̪
न्यूज़	n̪ j AA uː AE z
न्यूज़ीलैंड	n̪ j AA uː AE z iː AC l̪ ɛ̃ː AI ɳ ɖ
न्यूज़ीलैण्ड	n̪ j AA uː AE z iː AC l̪ ɛ̃ː AI ɳ ɖ
न्यून	n̪ j AA ũː n̪
न्यूनतम	n̪ j AA ũː n̪ t̪ ə̃ AJ m
न्यूयॉर्क	n̪ j AA uː AE j AA ɔ AF ɾ k
न्योता	n̪ j AA oː AE t̪ äː
पंक्ति	p ə̃ AJ ŋ k t̪ iː AC
पंख	p ə̃ AJ ŋ kʰ
पंखा	p ə̃ AJ ŋ kʰ äː
पंखावाला	p ə̃ AJ ŋ kʰ äː ʋ AB äː l̪ äː
पंगु	p ə̃ AJ ŋ ɡ uː AE
पंचशील	p ə̃ AJ n̪ t ʃ ʃ iː AC l̪
पंचायत	p ə̃ AJ n̪ t ʃ äː j AA ə AD t̪
पंचायती	p ə̃ AJ n̪ t ʃ äː j AA ə AD t̪ iː AC
पंछी	p ə̃ AJ n̪ t ʃʰ iː AC
पंजा	p ə̃ AJ n̪ d ʒ äː
पंजाब	p ə̃ AJ n̪ d ʒ äː b
पंजाबी	p ə̃ AJ n̪ d ʒ äː b iː AC
पंजीकरण	p ə̃ AJ n̪ d ʒ iː AC k ə AD ɾ ə̃ AJ ɳ
पंजीकृत	p ə̃ AJ n̪ d ʒ iː AC k ɾ ɪ AD t̪
पंडाल	p ə̃ AJ ɳ ɖ äː l̪
पंडिताई	p ə̃ AJ ɳ ɖ ɪ AD t̪ äː iː AC
पंद्रह	p ə̃ AJ n̪ d̪ ɾ ə AD ɦ AG
पंसारी	p ə̃ AJ n̪ s̪ äː ɾ iː AC
पकड़ना	p ə AD k ə AD ɽ n̪ äː
पकवान	p ə AD k w AB ä̃ː n̪
पकाना	p ə AD k äː n̪ äː
पकोड़ा	p ə AD k oː AE ɽ äː
पक्का	p ə AD k̚ k äː
पक्ष	p ə AD k ʃ
पक्षधर	p ə AD k ʃ d̪ʱ ə AD ɾ
पक्षपात	p ə AD k ʃ p äː t̪
पक्षपातपूर्ण	p ə AD k ʃ p äː t̪ p uː AE ɾ ɳ
पखवाड़ा	p ə AD kʰ ʋ AB äː ɽ äː
पगडंडी	p ə AD ɡ ɖ ə̃ AJ ɳ ɖ iː AC
पगला	p ə AD ɡ l̪ äː
पगली	p ə AD ɡ l̪ iː AC
पगोडा	p ə AD ɡ oː AE ɖ äː
पचना	p ə AD t ʃ n̪ äː
पचपन	p ə AD t ʃ p ə̃ AJ n̪
पचहत्तर	p ə AD t ʃʰ ə AD t̪̚ t̪ ə AD ɾ
पचानवे	p ə AD t ʃ ä̃ː n̪ w AB eː AC
पचाना	p ə AD t ʃ äː n̪ äː
पचास	p ə AD t ʃ äː s̪
पचासी	p ə AD t ʃ äː s̪ iː AC
पच्चीस	p ə AD t̚ t ʃ ɪ AD s̪
पछताना	p ə AD t ʃʰ t̪ äː n̪ äː
पछत्तर	p ə AD t ʃʰ ə AD t̪̚ t̪ ə AD ɾ
पछाँई	p ə AD t ʃʰ ä̃ː iː AC
पछाड़	p ə AD t ʃʰ äː ɽ
पछाड़ना	p ə AD t ʃʰ äː ɽ n̪ äː
पटकना	p ə AD ʈ ə AD k n̪ äː
पटका	p ə AD ʈ k äː
पटना	p ə AD ʈ n̪ äː
पटरा	p ə AD ʈ ɾ äː
पटल	p ə AD ʈ ə AD l̪
पटवारी	p ə AD ʈ w AB äː ɾ iː AC
पटाका	p ə AD ʈ äː k äː
पटाखा	p ə AD ʈ äː kʰ äː
पटेल	p ə AD ʈ eː AC l̪
पटोल	p ə AD ʈ oː AE l̪
पट्टा	p ə AD ʈ̚ ʈ äː
पट्टिका	p ə AD ʈ̚ ʈ ɪ AD k äː
पट्टी	p ə AD ʈ̚ ʈ iː AC
पट्ठा	p ə AD ʈ̚ ʈʰ äː
पठान	p ə AD ʈʰ ä̃ː n̪
पठानकोट	p ə AD ʈʰ ä̃ː n̪ k oː AE ʈ
पड़ताल	p ə AD ɽ t̪ äː l̪
पड़ना	p ə AD ɽ n̪ äː
पड़ाना	p ə AD ɽ äː n̪ äː
पड़ोस	p ə AD ɽ oː AE s̪
पड़ोसिन	p ə AD ɽ oː AE s̪ ɪ̃ AJ n̪
पढ़ना	p ə AD ɽʱ n̪ äː
पढ़ाई	p ə AD ɽʱ äː iː AC
पणजी	p ə̃ AJ ɳ d ʒ iː AC
पतंग	p ə AD t̪ ə̃ AJ ŋ ɡ
पतंगबाज़	p ə AD t̪ ə̃ AJ ŋ ɡ b äː z
पतंगबाज़ी	p ə AD t̪ ə̃ AJ ŋ ɡ b äː z iː AC
पतला	p ə AD t̪ l̪ äː
पतलू	p ə AD t̪ l̪ uː AE
पतलून	p ə AD t̪ l̪ ũː n̪
पता	p ə AD t̪ äː
पताका	p ə AD t̪ äː k äː
पतित्व	p ə AD t̪ ɪ AD t̪ w AB
पतीला	p ə AD t̪ iː AC l̪ äː
पत्ता	p ə AD t̪̚ t̪ äː
पत्ती	p ə AD t̪̚ t̪ iː AC
पत्तीदार	p ə AD t̪̚ t̪ iː AC d̪ äː ɾ
पत्थर	p ə AD t̪̚ t̪ʰ ə AD ɾ
पत्थरबाज़	p ə AD t̪̚ t̪ʰ ə AD ɾ b äː z
पत्थरबाज़ी	p ə AD t̪̚ t̪ʰ ə AD ɾ b äː z iː AC
पत्नी	p ə AD t̪̚ n̪ iː AC
पत्रकार	p ə AD t̪ ɾ ə AD k äː ɾ
पत्रवाहक	p ə AD t̪ ɾ ə AD ʋ AB äː ɦ AG ə AD k
पत्रिका	p ə AD t̪ ɾ ɪ AD k äː
पथरीला	p ə AD t̪ʰ ɾ iː AC l̪ äː
पदक	p ə AD d̪ ə AD k
पदयात्रा	p ə AD d̪ j AA äː t̪ ɾ äː
पदवी	p ə AD d̪ w AB iː AC
पदाधिकारी	p ə AD d̪ äː d̪ʱ ɪ AD k äː ɾ iː AC
पदोन्नत	p ə AD d̪ õː n̪ n̪ ə AD t̪
पद्धति	p ə AD d̪̚ d̪ʱ ə AD t̪ iː AC
पद्मावत	p ə AD d̪ m äː ʋ AB ə AD t̪
पधारना	p ə AD d̪ʱ äː ɾ n̪ äː
पनडुब्बी	p ə̃ AJ n̪ ɖ ʊ AF b̚ b iː AC
पनपना	p ə AD n̪ ə AD p n̪ äː
पनस	p ə AD n̪ ə AD s̪
पनामा	p ə AD n̪ äː m äː
पनाह	p ə AD n̪ äː ɦ AG
पनाहगाह	p ə AD n̪ äː ɦ AG ɡ äː ɦ AG
पनीर	p ə AD n̪ iː AC ɾ
पन्द्रह	p ə̃ AJ n̪ d̪ ɾ ə AD ɦ AG
पन्ना	p ə̃ AJ n̪ n̪ äː
पपनी	p ə AD p n̪ iː AC
पपीता	p ə AD p iː AC t̪ äː
पपीहा	p ə AD p iː AC ɦ AG äː
पयाम	p ə AD j AA ä̃ː m
परंतु	p ə AD ɾ ə̃ AJ n̪ t̪ uː AE
परंदा	p ə AD ɾ ə̃ AJ n̪ d̪ äː
परंपरागत	p ə AD ɾ ə̃ AJ p ə AD ɾ äː ɡ ə AD t̪
परखना	p ə AD ɾ ə AD kʰ n̪ äː
परगना	p ə AD ɾ ɡ ə AD n̪ äː
परचम	p ə AD ɾ t ʃ ə̃ AJ m
परछाई	p ə AD ɾ t ʃʰ äː iː AC
परछाईं	p ə AD ɾ t ʃʰ äː ĩː
परजन	p ə AD ɾ d ʒ ə̃ AJ n̪
परदादा	p ə AD ɾ d̪ äː d̪ äː
परदादी	p ə AD ɾ d̪ äː d̪ iː AC
परनाना	p ə AD ɾ n̪ äː n̪ äː
परनानी	p ə AD ɾ n̪ äː n̪ iː AC
परनिंदा	p ə AD ɾ n̪ ɪ̃ AJ n̪ d̪ äː
परन्दा	p ə AD ɾ ə̃ AJ n̪ d̪ äː
परमाणविक	p ə AD ɾ m ä̃ː ɳ w AB ɪ AD k
परमाणु	p ə AD ɾ m äː ɳ uː AE
परवल	p ə AD ɾ ʋ AB ə AD l̪
परवाज़	p ə AD ɾ ʋ AB äː z
परवानगी	p ə AD ɾ ʋ AB ä̃ː n̪ ɡ iː AC
परवाना	p ə AD ɾ ʋ AB äː n̪ äː
परवाह	p ə AD ɾ ʋ AB äː ɦ AG
परसर्ग	p ə AD ɾ s̪ ə AD ɾ ɡ
परस्पर	p ə AD ɾ ə AD s̪ p ə AD ɾ
पराकाष्ठा	p ə AD ɾ äː k äː ʃ ʈʰ äː
पराक्रमी	p ə AD ɾ äː k ɾ ə AD m iː AC
पराठा	p ə AD ɾ äː ʈʰ äː
परात	p ə AD ɾ äː t̪
परामर्श	p ə AD ɾ äː m ə AD ɾ ʃ
पराया	p ə AD ɾ äː j AA äː
परावर्तन	p ə AD ɾ äː ʋ AB ə AD ɾ t̪ ə̃ AJ n̪
परास्त	p ə AD ɾ äː s̪ t̪
परिंदा	p ə AD ɾ ɪ̃ AJ n̪ d̪ äː
परिकलित	p ə AD ɾ ɪ AD k l̪ ɪ AD t̪
परिकलित्र	p ə AD ɾ ɪ AD k ə AD l̪ ɪ AD t̪ ɾ
परिक्रमा	p ə AD ɾ ɪ AD k ɾ ə AD m äː
परिचालन	p ə AD ɾ ɪ AD t ʃ äː l̪ ə̃ AJ n̪
परिच्छेद	p ə AD ɾ ɪ AD t̚ t ʃʰ eː AC d̪
परिणाम	p ə AD ɾ ɪ AD ɳ ä̃ː m
परिणामस्वरूप	p ə AD ɾ ɪ AD ɳ ä̃ː m s̪ ʋ AB ə AD ɾ uː AE p
परिपाटी	p ə AD ɾ ɪ AD p äː ʈ iː AC
परिभाषा	p ə AD ɾ ɪ AD bʱ äː ʃ äː
परिभाषित	p ə AD ɾ ɪ AD bʱ äː ʃ ɪ AD t̪
परिमाप	p ə AD ɾ ɪ AD m äː p
परिमार्जित	p ə AD ɾ ɪ AD m äː ɾ d ʒ ɪ AD t̪
परियोजना	p ə AD ɾ i AD j AA oː AE d ʒ n̪ äː
परिवर्तन	p ə AD ɾ ɪ AD ʋ AB ə AD ɾ t̪ ə̃ AJ n̪
परिवार	p ə AD ɾ ɪ AD ʋ AB äː ɾ
परिवारवाद	p ə AD ɾ ɪ AD ʋ AB äː ɾ ʋ AB äː d̪
परिषद	p ə AD ɾ ɪ AD ʃ ə AD d̪
परिसंघ	p ə AD ɾ ɪ AD s̪ ə̃ AJ ŋ ɡʱ
परिसंपत्ति	p ə AD ɾ ɪ AD s̪ ə̃ AJ m p ə AD t̪̚ t̪ iː AC
परिसमापन	p ə AD ɾ ɪ AD s̪ m äː p ə̃ AJ n̪
परिसर	p ə AD ɾ ɪ AD s̪ ə AD ɾ
परिस्थिति	p ə AD ɾ ɪ AD s̪ t̪ʰ ɪ AD t̪ iː AC
परीक्षण	p ə AD ɾ iː AC k ʃ ə̃ AJ ɳ
परीक्षा	p ə AD ɾ iː AC k ʃ äː
परेशानी	p ə AD ɾ eː AC ʃ äː n̪ iː AC
परोपकार	p ə AD ɾ oː AE p k äː ɾ
परोसा	p ə AD ɾ oː AE s̪ äː
पर्चा	p ə AD ɾ t ʃ äː
पर्यटन	p ə AD ɾ j AA ə AD ʈ ə̃ AJ n̪
पर्याप्त	p ə AD ɾ j AA aː AC p t̪
पर्याय	p ə AD ɾ j AA äː j AA
पर्यावरण	p ə AD ɾ j AA äː ʋ AB ə AD ɾ ə̃ AJ ɳ
पर्युषण	p ə AD ɾ j AA ʊ AF ʃ ə̃ AJ ɳ
पल	p ə AD l̪
पलंग	p ə AD l̪ ə̃ AJ ŋ ɡ
पलक	p ə AD l̪ ə AD k
पलटन	p ə AD l̪ ʈ ə̃ AJ n̪
पलटवाना	p ə AD l̪ ə AD ʈ w AB äː n̪ äː
पलटवार	p ə AD l̪ ə AD ʈ w AB äː ɾ
पलटाना	p ə AD l̪ ʈ äː n̪ äː
पलस्तर	p ə AD l̪ ə AD s̪ t̪ ə AD ɾ
पलाण्डु	p ə AD l̪ ä̃ː ɳ ɖ uː AE
पलायन	p ə AD l̪ äː j AA ə̃ AJ n̪
पलित	p ə AD l̪ ɪ AD t̪
पलीता	p ə AD l̪ iː AC t̪ äː
पल्लव	p ə AD l̪ l̪ ə AD ʋ AB
पल्ला	p ə AD l̪ l̪ äː
पवन	p ə AD ʋ AB ə̃ AJ n̪
पशुपालक	p ə AD ʃ ʊ AF p äː l̪ ə AD k
पश्चात्	p ə AD ʃ t ʃ äː t̪
पश्चिम	p ə AD ʃ t ʃ ɪ̃ AJ m
पश्मीना	p ə AD ʃ m iː AC n̪ äː
पसंद	p ə AD s̪ ə̃ AJ n̪ d̪
पसंदगी	p ə AD s̪ ə̃ AJ n̪ d̪ ɡ iː AC
पसंदीदा	p ə AD s̪ ə̃ AJ n̪ d̪ iː AC d̪ äː
पसरना	p ə AD s̪ ə AD ɾ n̪ äː
पसली	p ə AD s̪ l̪ iː AC
पसार	p ə AD s̪ äː ɾ
पसीजना	p ə AD s̪ iː AC d ʒ n̪ äː
पसीना	p ə AD s̪ iː AC n̪ äː
पसेरी	p ə AD s̪ eː AC ɾ iː AC
पहचान	p ɛ AD ɦ AG t ʃ ä̃ː n̪
पहचानकर्ता	p ɛ AD ɦ AG t ʃ ä̃ː n̪ k ə AD ɾ t̪ äː
पहनना	p ɛ AD ɦ AG ɛ̃ AJ n̪ n̪ äː
पहनाना	p ɛ AD ɦ AG n̪ äː n̪ äː
पहनावा	p ɛ AD ɦ AG n̪ äː ʋ AB äː
पहर	p ɛ AD ɦ AG ɛ AD ɾ
पहरा	p ɛ AD ɦ AG ɾ äː
पहरेदार	p ɛ AD ɦ AG ɾ eː AC d̪ äː ɾ
पहल	p ɛ AD ɦ AG ɛ AD l̪
पहलवानी	p ɛ AD ɦ AG ɛ AD l̪ ʋ AB äː n̪ iː AC
पहला	p ɛ AD ɦ AG l̪ äː
पहलू	p ɛ AD ɦ AG l̪ uː AE
पहले	p ɛ AD ɦ AG l̪ eː AC
पहाड़	p ə AD ɦ AG äː ɽ
पहाड़ी	p ə AD ɦ AG äː ɽ iː AC
पहिया	p ə AD ɦ AG i AD j AA äː
पहुँचना	p ɔ AF ɦ AG ɔ̃ AL n̪ t ʃ n̪ äː
पहुँचाना	p ɔ AF ɦ AG ɔ̃ AL n̪ t ʃ äː n̪ äː
पहेली	p ə AD ɦ AG eː AC l̪ iː AC
पाँच	p ä̃ː t ʃ
पाँचवाँ	p ä̃ː t ʃ ʋ AB ä̃ː
पाँव	p ä̃ː ʋ AB
पांच	p ä̃ː t ʃ
पाई	p äː iː AC
पाउंड	p äː ʊ̃ AL ɳ ɖ
पाक	p äː k
पाकपत्तन	p äː k p ə AD t̪̚ t̪ ə̃ AJ n̪
पाकिस्तान	p äː k ɪ AD s̪ t̪ ä̃ː n̪
पाकिस्तानी	p äː k ɪ AD s̪ t̪ äː n̪ iː AC
पागल	p äː ɡ ə AD l̪
पागलख़ाना	p äː ɡ ə AD l̪ x äː n̪ äː
पागलपन	p äː ɡ ə AD l̪ p ə̃ AJ n̪
पाचन	p äː t ʃ ə̃ AJ n̪
पाजामा	p äː d ʒ äː m äː
पाजी	p äː d ʒ iː AC
पाटन	p äː ʈ ə̃ AJ n̪
पाठक	p äː ʈʰ ə AD k
पाठशाला	p äː ʈʰ ʃ äː l̪ äː
पाठ्य	p äː ʈʰ j AA
पाठ्यक्रम	p äː ʈʰ j AA ə AD k ɾ ə̃ AJ m
पाठ्यपुस्तक	p äː ʈʰ j AA ə AD p ʊ AF s̪ t̪ ə AD k
पात	p äː t̪
पात्र	p äː t̪ ɾ
पाथना	p äː t̪ʰ n̪ äː
पाद	p äː d̪
पादत्र	p äː d̪ ə AD t̪ ɾ
पादत्राण	p äː d̪ ə AD t̪ ɾ ä̃ː ɳ
पादना	p äː d̪̚ n̪ äː
पादप	p äː d̪ ə AD p
पादरी	p äː d̪ ɾ iː AC
पादावरण	p äː d̪ äː ʋ AB ɾ ə̃ AJ ɳ
पान	p ä̃ː n̪
पाना	p äː n̪ äː
पानी	p äː n̪ iː AC
पाप	p äː p
पापड़	p äː p ə AD ɽ
पापड़ी	p äː p ɽ iː AC
पापा	p äː p äː
पाबंद	p äː b ə̃ AJ n̪ d̪
पाबंदी	p äː b ə̃ AJ n̪ d̪ iː AC
पायदान	p äː j AA d̪ ä̃ː n̪
पायल	p äː j AA ə AD l̪
पायलट	p äː j AA l̪ ə AD ʈ
पायस	p äː j AA ə AD s̪
पाया	p äː j AA äː
पार	p äː ɾ
पारगम्य	p äː ɾ ɡ ə̃ AJ m j AA
पारगम्यता	p äː ɾ ɡ ə̃ AJ m j AA ə AD t̪ äː
पारदर्शी	p äː ɾ d̪ ə AD ɾ ʃ iː AC
पारसी	p äː ɾ s̪ iː AC
पारसेक	p äː ɾ s̪ eː AC k
पारित	p äː ɾ ɪ AD t̪
पारिवारिक	p äː ɾ ɪ AD ʋ AB äː ɾ ɪ AD k
पारिश्रमिक	p äː ɾ ɪ AD ʃ ɾ ə AD m ɪ AD k
पारी	p äː ɾ iː AC
पार्क	p äː ɾ k
पार्थिव	p äː ɾ t̪ʰ ɪ AD ʋ AB
पार्श्वसरट	p äː ɾ ʃ ʋ AB s̪ ə AD ɾ ə AD ʈ
पाल	p äː l̪
पालक	p äː l̪ ə AD k
पालकी	p äː l̪ k iː AC
पालतू	p äː l̪ t̪ uː AE
पालथी	p äː l̪ t̪ʰ iː AC
पालना	p äː l̪ n̪ äː
पालिका	p äː l̪ ɪ AD k äː
पाशा	p äː ʃ äː
पाशुपत	p äː ʃ ʊ AF p ə AD t̪
पाश्चात्य	p äː ʃ t ʃ äː t̪ j AA
पाषाण	p äː ʃ ä̃ː ɳ
पास	p äː s̪
पासपोर्ट	p äː s̪ p oː AE ɾ ʈ
पास्ता	p äː s̪ t̪ äː
पाहन	p äː ɦ AG ə̃ AJ n̪
पाहुना	p äː ɦ AG ʊ AF n̪ äː
पिंजड़ा	p ɪ̃ AJ n̪ d ʒ ɽ äː
पिंजरा	p ɪ̃ AJ n̪ d ʒ ɾ äː
पिघलना	p ɪ AD ɡʱ ə AD l̪ n̪ äː
पिघलाना	p ɪ AD ɡʱ l̪ äː n̪ äː
पिचकना	p ɪ AD t ʃ ə AD k n̪ äː
पिछड़ा	p ɪ AD t ʃʰ ɽ äː
पिज़्ज़ा	p ɪ AD z z äː
पिता	p ɪ AD t̪ äː
पिपासा	p ɪ AD p äː s̪ äː
पिपीलिका	p ɪ AD p iː AC l̪ ɪ AD k äː
पियक्कड़	p i AD j AA ə AD k̚ k ə AD ɽ
पिया	p i AD j AA äː
पिलाना	p ɪ AD l̪ äː n̪ äː
पिलास	p ɪ AD l̪ äː s̪
पिल्ला	p ɪ AD l̪ l̪ äː
पिशाच	p ɪ AD ʃ äː t ʃ
पिसना	p ɪ AD s̪ n̪ äː
पिसाई	p ɪ AD s̪ äː iː AC
पिस्ता	p ɪ AD s̪ t̪ äː
पिस्तौल	p ɪ AD s̪ t̪ ɔː AE l̪
पीएम	p iː AC ẽː m
पीतल	p iː AC t̪ ə AD l̪
पीतस	p iː AC t̪ ə AD s̪
पीतसरा	p iː AC t̪ ə AD s̪ ɾ äː
पीन	p ĩː n̪
पीनस	p iː AC n̪ ə AD s̪
पीना	p iː AC n̪ äː
पीपल	p iː AC p ə AD l̪
पीपा	p iː AC p äː
पीरियड	p iː AC ɾ i AD j AA ə AD ɖ
पीला	p iː AC l̪ äː
पीलापन	p iː AC l̪ äː p ə̃ AJ n̪
पीसना	p iː AC s̪ n̪ äː
पुंडरी	p ʊ̃ AL ɳ ɖ ɾ iː AC
पुकारना	p ʊ AF k äː ɾ n̪ äː
पुखराज	p ʊ AF kʰ ɾ äː d ʒ
पुख़्ता	p ʊ AF x t̪ äː
पुच्छ	p ʊ AF t̚ t ʃʰ
पुच्छल	p ʊ AF t̚ t ʃʰ ə AD l̪
पुजारी	p ʊ AF d ʒ äː ɾ iː AC
पुट्ठा	p ʊ AF ʈ̚ ʈʰ äː
पुड़िया	p ʊ AF ɽ i AD j AA äː
पुण्डरी	p ʊ̃ AL ɳ ɖ ɾ iː AC
पुण्य	p ʊ̃ AL ɳ j AA
पुण्यतिथि	p ʊ̃ AL ɳ j AA ə AD t̪ ɪ AD t̪ʰ iː AC
पुतना	p ʊ AF t̪̚ n̪ äː
पुतला	p ʊ AF t̪ l̪ äː
पुतली	p ʊ AF t̪ l̪ iː AC
पुत्रजया	p ʊ AF t̪ ɾ d ʒ ə AD j AA äː
पुदीना	p ʊ AF d̪ iː AC n̪ äː
पुनः	p ʊ AF n̪ ə AD ɦ AG
पुनःप्रवेश	p ʊ AF n̪ ə AD ɦ AG p ɾ ə AD ʋ AB eː AC ʃ
पुनरुत्थान	p ʊ AF n̪ ə AD ɾ ʊ AF t̪̚ t̪ʰ ä̃ː n̪
पुनर्गठन	p ʊ AF n̪ ə AD ɾ ɡ ə AD ʈʰ ə̃ AJ n̪
पुनर्जन्म	p ʊ AF n̪ ə AD ɾ d ʒ ə̃ AJ n̪ m
पुनर्जीवित	p ʊ AF n̪ ə AD ɾ d ʒ iː AC ʋ AB ɪ AD t̪
पुनर्दर्शनाय	p ʊ AF n̪ ə AD ɾ d̪ ə AD ɾ ʃ ə AD n̪ äː j AA
पुनर्निर्धारण	p ʊ AF n̪ ə AD ɾ n̪ ɪ AD ɾ d̪ʱ äː ɾ ə̃ AJ ɳ
पुनर्निर्माण	p ʊ AF n̪ ə AD ɾ n̪ ɪ AD ɾ m ä̃ː ɳ
पुनश्च	p ʊ AF n̪ ə AD ʃ t ʃ ə AD
पुरज़ा	p ʊ AF ɾ z äː
पुरस्कार	p ʊ AF ɾ ə AD s̪ k äː ɾ
पुरा	p ʊ AF ɾ äː
पुराण	p ʊ AF ɾ ä̃ː ɳ
पुरातत्व	p ʊ AF ɾ äː t̪ ə AD t̪ w AB
पुरातत्वज्ञ	p ʊ AF ɾ äː t̪ ə AD t̪ w AB ə AD ɡ j AA
पुरातात्विक	p ʊ AF ɾ äː t̪ äː t̪ w AB ɪ AD k
पुराना	p ʊ AF ɾ äː n̪ äː
पुरुष	p ʊ AF ɾ ʊ AF ʃ
पुरुषोचित	p ʊ AF ɾ ʊ AF ʃ oː AE t ʃ ɪ AD t̪
पुर्तगाल	p ʊ AF ɾ t̪ ə AD ɡ äː l̪
पुर्तगाली	p ʊ AF ɾ t̪ ə AD ɡ äː l̪ iː AC
पुल	p ʊ AF l̪
पुलिंदा	p ʊ AF l̪ ɪ̃ AJ n̪ d̪ äː
पुलिस	p ʊ AF l̪ ɪ AD s̪
पुलिसकर्मी	p ʊ AF l̪ ɪ AD s̪ k ə AD ɾ m iː AC
पुल्लिंग	p ʊ AF l̪ l̪ ɪ̃ AJ ŋ ɡ
पुश्तैनी	p ʊ AF ʃ t̪ ɛː AC n̪ iː AC
पुष्कलावती	p ʊ AF ʃ k ə AD l̪ äː ʋ AB ə AD t̪ iː AC
पुष्टीकरण	p ʊ AF ʃ ʈ iː AC k ə AD ɾ ə̃ AJ ɳ
पुष्प	p ʊ AF ʃ p
पुस्तक	p ʊ AF s̪ t̪ ə AD k
पुस्तकालय	p ʊ AF s̪ t̪ ə AD k äː l̪ ə AD j AA
पुस्तकीय	p ʊ AF s̪ t̪ ə AD k iː AC j AA
पुस्तिका	p ʊ AF s̪ t̪ ɪ AD k äː
पूंजी	p ũː n̪ d ʒ iː AC
पूंजीवाद	p ũː n̪ d ʒ iː AC ʋ AB äː d̪
पूंडरी	p ũː ɳ ɖ ɾ iː AC
पूछताछ	p uː AE t ʃʰ t̪ äː t ʃʰ
पूछना	p uː AE t ʃʰ n̪ äː
पूजना	p uː AE d ʒ n̪ äː
पूजा	p uː AE d ʒ äː
पूनम	p uː AE n̪ ə̃ AJ m
पूरा	p uː AE ɾ äː
पूर्णकालिक	p uː AE ɾ ɳ k äː l̪ ɪ AD k
पूर्णबंदी	p uː AE ɾ ɳ b ə̃ AJ n̪ d̪ iː AC
पूर्णांक	p uː AE ɾ ɳ ä̃ː k
पूर्णिमा	p uː AE ɾ ɳ ɪ AD m äː
पूर्वकथन	p uː AE ɾ ʋ AB ə AD k t̪ʰ ə̃ AJ n̪
पूर्वस्नातक	p uː AE ɾ ʋ AB s̪ n̪ äː t̪ ə AD k
पूर्वाग्रह	p uː AE ɾ ʋ AB äː ɡ ɾ ə AD ɦ AG
पूर्वानुमान	p uː AE ɾ ʋ AB äː n̪ ʊ AF m ä̃ː n̪
पृथक्करण	p ɾ ɪ AD t̪ʰ ə AD k̚ k ə AD ɾ ə̃ AJ ɳ
पृष्ठभूमि	p ɾ ɪ AD ʃ ʈʰ bʱ uː AE m iː AC
पेंशन	p ẽː n̪ ʃ ə̃ AJ n̪
पेंसिल	p ẽː n̪ s̪ ɪ AD l̪
पेचकस	p eː AC t ʃ k ə AD s̪
पेचीदा	p eː AC t ʃ iː AC d̪ äː
पेटेंट	p eː AC ʈ ẽː ɳ ʈ
पेट्रोल	p eː AC ʈ ɾ oː AE l̪
पेठा	p eː AC ʈʰ äː
पेड़ा	p eː AC ɽ äː
पेन	p ẽː n̪
पेन्सिलवेनिया	p ẽː n̪ s̪ ɪ AD l̪ ʋ AB eː AC n̪ i AD j AA äː
पेप्सी	p eː AC p s̪ iː AC
पेय	p eː AC
पेरिस	p eː AC ɾ ɪ AD s̪
पेशवा	p eː AC ʃ ʋ AB äː
पेशा	p eː AC ʃ äː
पेशाब	p eː AC ʃ äː b
पेशावर	p eː AC ʃ äː ʋ AB ə AD ɾ
पैंट	p ɛ̃ː AI ɳ ʈ
पैंतरा	p ɛ̃ː AI n̪ t̪ ɾ äː
पैंतालीस	p ɛ̃ː AI n̪ t̪ äː l̪ iː AC s̪
पैंतीस	p ɛ̃ː AI n̪ t̪ iː AC s̪
पैंसठ	p ɛ̃ː AI n̪ s̪ ə AD ʈʰ
पैकार	p ɛː AC k äː ɾ
पैग़ाम	p ɛː AC ɣ ä̃ː m
पैदाइश	p ɛː AC d̪ äː ɪ AD ʃ
