က	k AC a̰ AL
ဘယ်လို	b AH ɛ AL l AE o AM
ဘယ်လောက်	b AH ɛ AL l AE a AL ʊ AM ʔ AC
ဘယ်လ်ဂျီယမ်	b AH ɛ AL l AE d AC ʑ AJ i AL j AB a AL ɴ AG
ဘယ်သူ	b AH ə AL θ AJ u AM
ဘယ်သူ့	b AH ə AL θ AJ ṵ
ဘရင်ဂျီ	b AH ə AL j AB ɪ AL ɴ AG d AC ʑ AJ i AL
ဘရဏီ	b AH a̰ AL j AB ə AL n AG i AL
ဘရာစီယာ	b AH ə AL ɹ AB a AL s AJ i AL j AB a AL
ဘရာဇီး	b AH ə AL ɹ AB a AL z AJ i AL
ဘရိတ်	b AH ə AL ɹ AB e AL ɪ AL ʔ AC
ဘရူနိုင်း	b AH ə AL ɹ AB u AM n AG a AL ɪ AL ɴ AG
ဘလိဇ်	b AH ə AL l AE i AL z AJ
ဘလောက်	b AH a̰ AL l AE a AL ʊ AM ʔ AC
ဘလော့ဂ်	b AH ə AL l AE o AM ʊ AM ʔ AC
ဘလေး	b AH a̰ AL l AE e AL
ဘဝ	b AH a̰ AL w AK a̰ AL
ဘဝဲ	b AH ə AL w AK ɛ AL
ဘဟားမား	b AH a̰ AL h AA a AL m AF a AL
ဘာ	b AH a AL
ဘာကီးနားဖားဆို	b AH a AL k AC i AL n AG a AL pʰ AI a AL sʰ BA o AM
ဘာရိန်း	b AH a AL ɹ AB e AL ɪ AL ɴ AG
ဘာလင်	b AH a AL l AE ɪ AL ɴ AG
ဘာလိ	b AH a AL l AE ḭ
ဘာသာ	b AH a AL ð AJ a AL
ဘာသာစကား	b AH a AL θ AJ a AL z AJ ə AL ɡ AC a AL
ဘာသာပြန်	b AH a AL ð AJ a AL p AH j AB a AL ɴ AG
ဘာသာဗေဒ	b AH a AL θ AJ a AL b AH e AL d AC a̰ AL
ဘား	pʰ AI a AL
ဘိက္ခု	b AH e AL ɪ AL ʔ AC kʰ AD ṵ
ဘိက္ခုနီ	b AH i AL k AC kʰ AD ṵ n AG i AL
ဘိန်း	b AH e AL ɪ AL ɴ AG
ဘိန်းမုန့်	b AH e AL ɪ AL ɴ AG m AF o̰ AM ʊ AM ɴ AG
ဘိဘိသန	b AH ḭ b AH ḭ θ AJ ə AL n AG a̰ AL
ဘိလပ်	b AH ḭ l AE a AL ʔ AC
ဘိသိက်	b AH e AL ɪ AL ʔ AC θ AJ e AL ɪ AL ʔ AC
ဘိုကလေး	b AH o AM ɡ AC ə AL l AE e AL
ဘိုက်	b AH a AL ɪ AL ʔ AC
ဘိုင်	b AH a AL ɪ AL ɴ AG
ဘိုင်စကယ်	b AH a AL ɪ AL ɴ AG s AJ ə AL k AC ɛ AL
ဘိုင်စကုတ်	b AH a AL ɪ AL ɴ AG s AJ ə AL k AC o AM ʊ AM ʔ AC
ဘိုရွန်	b AH o AM ɹ AB ʊ AM ɴ AG
ဘိုလီးဗီးယား	b AH o AM l AE i AL b AH i AL j AB a AL
ဘိုးဘိုး	pʰ AI o AM pʰ AI o AM
ဘီ	b AH i AL
ဘီစကွတ်	b AH i AL s AJ ə AL k AC ʊ AM ʔ AC
ဘီနင်	b AH i AL n AG ɪ AL ɴ AG
ဘီယာ	b AH i AL j AB a AL
ဘီလာရုဇ်	b AH i AL l AE a AL ɹ AB u AM z AJ
ဘီလူး	b AH ə AL l AE u AM
ဘီး	b AH i AL
ဘီးကြယ်	b AH i AL t AC ɕ AJ ɛ AL
ဘု	b AH ṵ
ဘုဉ်းပေး	b AH o AM ʊ AM ɴ AG p AH e AL
ဘုတ်	b AH o AM ʊ AM ʔ AC
ဘုန်း	pʰ AI o AM ʊ AM ɴ AG
ဘုန်းကြီး	pʰ AI o AM ʊ AM ɴ AG d AC ʑ AJ i AL
ဘုန်းကြီးကျောင်း	pʰ AI o AM ʊ AM ɴ AG d AC ʑ AJ i AL t AC ɕ AJ a AL ʊ AM ɴ AG
ဘုန်းကြီးပျံ	pʰ AI o AM ʊ AM ɴ AG d AC ʑ AJ i AL b AH j AB a AL ɴ AG
ဘုန်းတော်ကြီးဘုရား	pʰ AI o AM ʊ AM ɴ AG d AC ɔ AM d AC ʑ AJ i AL pʰ AI ə AL j AB a AL
ဘုန်းဘုန်း	pʰ AI o AM ʊ AM ɴ AG pʰ AI o AM ʊ AM ɴ AG
ဘုမ္မစိုး	b AH o AM ʊ AM ɴ AG m AF ə AL z AJ o AM
ဘုရင်	b AH ə AL j AB ɪ AL ɴ AG
ဘုရင်ခံ	b AH ə AL j AB ɪ AL ɴ AG ɡ AC a AL ɴ AG
ဘုရင်မ	b AH a̰ AL j AB ɪ AL ɴ AG m AF a̰ AL
ဘုရား	pʰ AI ə AL j AB a AL
ဘုရားကိုးဆူ	pʰ AI ə AL j AB a AL k AC o AM sʰ BA u AM
ဘုရားကျောင်း	pʰ AI ə AL j AB a AL d AC ʑ AJ a AL ʊ AM ɴ AG
ဘုရားရှိခိုးကျောင်း	pʰ AI ə AL j AB a AL ʃ AJ ḭ kʰ AD o AM d AC ʑ AJ a AL ʊ AM ɴ AG
ဘုရားလောင်း	pʰ AI ə AL j AB a AL l AE a AL ʊ AM ɴ AG
ဘုရားအလောင်း	pʰ AI ə AL j AB a AL ʔ AC ə AL l AE a AL ʊ AM ɴ AG
ဘုံကျောင်း	b AH o AM ʊ AM ɴ AG d AC ʑ AJ a AL ʊ AM ɴ AG
ဘုံပိုင်	b AH o AM ʊ AM ɴ AG b AH a AL ɪ AL ɴ AG
ဘူ	b AH u AM
ဘူဂေးရီးယား	b AH u AM ɡ AC e AL ɹ AB i AL j AB a AL
ဘူတန်	b AH u AM t AC a AL ɴ AG
ဘူတာရုံ	b AH u AM d AC a AL j AB o AM ʊ AM ɴ AG
ဘူမိဗေဒ	b AH u AM m AF ḭ b AH e AL d AC a̰ AL
ဘူမိရူပဗေဒ	b AH u AM m AF ḭ j AB u AM p AH a̰ AL b AH e AL d AC a̰ AL
ဘူရွန်ဒီ	b AH u AM ɹ AB ʊ AM ɴ AG d AC i AL
ဘူး	b AH u AM
ဘူးသီး	b AH u AM θ AJ i AL
ဘူးသီးတောင်	b AH u AM ð AJ i AL d AC a AL ʊ AM ɴ AG
ဘော	b AH ɔ AM
ဘောက်ဆူး	b AH a AL ʊ AM ʔ AC sʰ BA u AM
ဘောဂဗေဒ	b AH ɔ AM ɡ AC a̰ AL t AC a̰ AL b AH e AL d AC a̰ AL
ဘောင်းဘီ	b AH a AL ʊ AM ɴ AG b AH i AL
ဘောပင်	b AH ɔ AM p AH ɪ AL ɴ AG
ဘောပွဲ	b AH ɔ AM p AH w AK ɛ AL
ဘောလုံး	b AH ɔ AM l AE o AM ʊ AM ɴ AG
ဘော့ဆွာနာ	b AH ɔ̰ AM sʰ BA w AK a AL n AG a AL
ဘော်ဒါ	b AH ɔ AM d AC a AL
ဘော်ဒါကြေး	b AH ɔ AM d AC a AL t AC ɕ AJ e AL
ဘော်လီဘော	b AH ɔ AM l AE i AL b AH ɔ AM
ဘေ့စ်ဘော	b AH ḛ s AJ b AH ɔ AM
ဘေး	b AH e AL
ဘေးဆိုး	b AH e AL z AJ o AM
ဘေးဆီးရန်ကာ	b AH e AL z AJ i AL j AB a AL ɴ AG ɡ AC a AL
ဘဲ	b AH ɛ AL
ဘဲလေး	b AH ɛ AL l AE e AL
ဘွား	b AH w AK a AL
ဘွားဘွား	pʰ AI w AK a AL pʰ AI w AK a AL
ဘွဲ့	b AH w AK ɛ̰ AL
ဘွဲ့ချဉ်	b AH w AK ɛ̰ AL d AC ʑ AJ ɪ AL ɴ AG
မ	m AF ə AL
မကန်း	m AF ə AL ɡ AC a AL ɴ AG
မကိုဋ်	m AF ə AL ɡ AC a AL ɪ AL ʔ AC
မကုဋ	m AF ə AL k AC ṵ t AC a̰ AL
မက္ကဆီကို	m AF ɛ AL ʔ AC k AC ə AL sʰ BA i AL k AC o AM
မက်	m AF ɛ AL ʔ AC
မက်စီဒိုးနီးယား	m AF ɛ AL ʔ AC s AJ i AL d AC o AM n AG i AL j AB a AL
မက်မွန်	m AF ɛ AL ʔ AC m AF ʊ AM ɴ AG
မကြာမတင်	m AF ə AL t AC ɕ AJ a AL m AF ə AL t AC ɪ AL ɴ AG
မကွေး	m AF ə AL ɡ AC w AK e AL
မဂ္ဂင်ရှစ်ပါး	m AF ɛ AL ʔ AC ɡ AC ɪ AL ɴ AG ʃ AJ ɪ AL ʔ AC b AH a AL
မဂ္ဂဇင်း	m AF ɛ AL ʔ AC ɡ AC a̰ AL z AJ ɪ AL ɴ AG
မင့်စ်	m AF ɪ̰ AL ɴ AG s AJ
မင်	m̥ AF ɪ AL ɴ AG
မင်း	m AF ɪ AL ɴ AG
မင်းကြီး	m AF ɪ AL ɴ AG d AC ʑ AJ i AL
မင်းကွတ်	m AF ɪ AL ɴ AG ɡ AC ʊ AM ʔ AC
မင်းတရား	m AF ɪ AL ɴ AG t AC ə AL j AB a AL
မင်းဘူး	m AF ɪ AL ɴ AG b AH u AM
မင်းမြောက်တန်ဆာ	m AF ɪ AL ɴ AG m AF j AB a AL ʊ AM ʔ AC d AC ə AL z AJ a AL
မင်းသမီး	m AF ɪ AL ɴ AG ð AJ ə AL m AF i AL
မင်းသား	m AF ɪ AL ɴ AG ð AJ a AL
မင်္ဂလ	m AF ɪ AL ɴ AG ɡ AC ə AL l AE a̰ AL
မင်္ဂလဘုရား	m AF ɪ AL ɴ AG ɡ AC ə AL l AE a̰ AL pʰ AI ə AL j AB a AL
မင်္ဂလသုတ်	m AF ɪ AL ɴ AG ɡ AC ə AL l AE a̰ AL θ AJ o AM ʊ AM ʔ AC
မင်္ဂလာ	m AF ɪ AL ɴ AG ɡ AC ə AL l AE a AL
မင်္ဂလာဆောင်	m AF ɪ AL ɴ AG ɡ AC ə AL l AE a AL sʰ BA a AL ʊ AM ɴ AG
မင်္ဂလာပါ	m AF ɪ AL ɴ AG ɡ AC ə AL l AE a AL b AH a AL
မစင်	m AF a̰ AL s AJ ɪ AL ɴ AG
မဆလာ	m AF a̰ AL sʰ BA ə AL l AE a AL
မဇ္ဈဒေသ	m AF ɪ AL ʔ AC z AJ a̰ AL d AC e AL θ AJ a̰ AL
မဉ္ဇူ	m AF j AB ɪ AL ɴ AG z AJ u AM
မည်	m AF j AB i AL
မည်စည်	m AF ɛ AL z AJ ɛ AL
မည်သည်	m AF i AL ð AJ i AL
မည်သူ	m AF i AL ð AJ u AM
မည်း	m AF ɛ AL
မဏိ	m AF ə AL n AG ḭ
မဏိတော်	m AF ə AL n AG ḭ d AC ɔ AM
မဏိပူရ	m AF ə AL n AG ḭ p AH u AM j AB a̰ AL
မဏိမေခလာ	m AF ə AL n AG ḭ m AF e AL kʰ AD ə AL l AE a AL
မဏိဩဂ	m AF ə AL n AG ḭ ʔ AC ɔ AM ɡ AC a̰ AL
မဏ္ဍပ်	m AF a AL ɴ AG d AC a AL ʔ AC
မဏ္ဍိုင်	m AF a AL ɴ AG d AC a AL ɪ AL ɴ AG
မတော်တဆ	m AF ə AL t AC ɔ AM t AC ə AL sʰ BA a̰ AL
မတော်တဆမှု	m AF ə AL t AC ɔ AM t AC ə AL sʰ BA a̰ AL m̥ AF ṵ
မတ်	m AF a AL ʔ AC
မတ်ခွက်	m AF a AL ʔ AC kʰ AD w AK ɛ AL ʔ AC
မတ်စေ့	m AF a AL ʔ AC s AJ ḭ
မတ်ပဲ	m AF a AL ʔ AC p AH ɛ AL
မတ်မတ်	m AF a AL ʔ AC m AF a AL ʔ AC
မဒါဂတ်စကား	m AF a̰ AL d AC a AL ɡ AC a AL ʔ AC s AJ ə AL k AC a AL
မနက်	m AF ə AL n AG ɛ AL ʔ AC
မနက်ဖြန်	m AF ə AL n AG ɛ AL ʔ AC pʰ AI j AB a AL ɴ AG
မနုပ်တာနီ	m AF ə AL n AG o AM ʊ AM ʔ AC t AC a AL n AG i AL
မနုဿ	m AF a̰ AL n AG o AM ʊ AM ʔ AC θ AJ a AL
မနုဿဗေဒ	m AF ə AL n AG o AM ʊ AM ʔ AC θ AJ a̰ AL b AH e AL d AC a̰ AL
မနုဿီဟ	m AF ə AL n AG o AM ʊ AM ʔ AC θ AJ i AL h AA a̰ AL
မနော	m AF ə AL n AG ɔ AM
မနောကံ	m AF ə AL n AG ɔ AM ɡ AC a AL ɴ AG
မနေ့က	m AF ə AL n AG ḛ ɡ AC a̰ AL
မန္တန်	m AF a AL ɴ AG d AC a AL ɴ AG
မန္တလေး	m AF a AL ɴ AG d AC ə AL l AE e AL
မန်ကျည်း	m AF ə AL d AC ʑ AJ i AL
မန်နေဂျာ	m AF a AL ɴ AG n AG e AL d AC ʑ AJ a AL
မန်း	m AF a AL ɴ AG
မနှစ်	m AF ə AL n̥ AG ɪ AL ʔ AC
မယား	m AF ə AL j AB a AL
မယ်	m AF ɛ AL
မယ်ဇယ်	m AF ɛ AL z AJ ɛ AL
မယ်ဇလီ	m AF ɛ AL z AJ ə AL l AE i AL
မယ်တော်	m AF ɛ AL d AC ɔ AM
မယ်သီတာ	m AF ɛ AL θ AJ i AL d AC a AL
မယ်သီလ	m AF ɛ AL ð AJ i AL l AE a̰ AL
မရဏ	m AF ə AL ɹ AB ə AL n AG a̰ AL
မရန်း	m AF ə AL j AB a AL ɴ AG
မရမာ	m AF ə AL ɹ AB ə AL m AF a AL
မရမာကြီး	m AF ə AL ɹ AB ə AL m AF a AL d AC ʑ AJ i AL
မရီး	m AF ə AL j AB i AL
မလိုင်	m AF a̰ AL l AE a AL ɪ AL ɴ AG
မလုပ်တာနီ	m AF ə AL l AE o AM ʊ AM ʔ AC t AC a AL n AG i AL
မလေး	m AF ə AL l AE e AL
မလေးရှား	m AF ə AL l AE e AL ʃ AJ a AL
မလ္လိကာ	m AF a AL ɴ AG l AE ḭ k AC a AL
မသာ	m AF ə AL θ AJ a AL
မသိပါဘူး	m AF a̰ AL θ AJ ḭ b AH a AL b AH u AM
မသိဘူး	m AF a̰ AL θ AJ ḭ b AH u AM
မဟာ	m AF a̰ AL h AA a AL
မဟာကဿပ	m AF ə AL h AA a AL k AC a AL ʔ AC θ AJ ə AL p AH a̰ AL
မဟာဂီတ	m AF ə AL h AA a AL ɡ AC i AL t AC a̰ AL
မဟာပညာဗလ	m AF ə AL h AA a AL p AH j AB ɪ AL ɴ AG ɲ AG a AL b AH ə AL l AE a̰ AL
မဟာပိန္နဲ	m AF ə AL h AA a AL p AH e AL ɪ AL ɴ AG n AG ɛ AL
မဟာဘာရတ	m AF ə AL h AA a AL b AH a AL ɹ AB ə AL t AC a̰ AL
မဟာဘွဲ့	m AF ə AL h AA a AL b AH w AK ɛ̰ AL
မဟာမိတ်	m AF ə AL h AA a AL m AF e AL ɪ AL ʔ AC
မဟာမောဂ္ဂလာန်	m AF ə AL h AA a AL m AF a AL ʊ AM ʔ AC ɡ AC ə AL l AE a AL ɴ AG
မဟာယာန	m AF ə AL h AA a AL j AB a AL n AG a̰ AL
မဟာရဋ္ဌ	m AF ə AL h AA a AL j AB ə AL tʰ AD a̰ AL
မဟာလတာ	m AF ə AL h AA a AL l AE ə AL t AC a AL
မဟာဝင်	m AF ə AL h AA a AL w AK ɪ AL ɴ AG
မဟာဝိဇ္ဇာဘွဲ့	m AF ə AL h AA a AL w AK e AL ɪ AL ʔ AC z AJ a AL b AH w AK ɛ̰ AL
မဟာသာဝက	m AF ə AL h AA a AL θ AJ a AL w AK ə AL k AC a̰ AL
မဟာသိပ္ပံဘွဲ့	m AF ə AL h AA a AL θ AJ e AL ɪ AL ʔ AC p AH a AL ɴ AG b AH w AK ɛ̰ AL
မဟေ	m AF ə AL h AA e AL
မဟေသီ	m AF ə AL h AA e AL θ AJ i AL
မအေလိုး	m AF ə AL ʔ AC e AL l AE o AM
မာ	m AF a AL
မာကျောက်	m AF a AL t AC ɕ AJ a AL ʊ AM ʔ AC
မာစကတ်	m AF a AL s AJ ə AL k AC a AL ʔ AC
မာတိကာ	m AF a AL t AC ḭ k AC a AL
မာန်	m AF a AL ɴ AG
မာန်အောင်	m AF a AL n AG ʔ AC a AL ʊ AM ɴ AG
မာရ်	m AF a AL
မာရ်နတ်	m AF a AL n AG a AL ʔ AC
မာလကာ	m AF a AL l AE ə AL k AC a AL
မာလကာသီး	m AF a AL l AE ə AL k AC a AL θ AJ i AL
မာလဝီ	m AF a AL l AE a̰ AL w AK i AL
မာလာ	m AF a AL l AE a AL
မာလာရှမ်းကော	m AF a AL l AE a AL ʃ AJ a AL ɴ AG k AC ɔ AM
မာလာဟင်း	m AF a AL l AE a AL h AA ɪ AL ɴ AG
မာလီ	m AF a AL l AE i AL
မိ	m AF ḭ
မိကျောင်း	m AF ḭ d AC ʑ AJ a AL ʊ AM ɴ AG
မိခင်	m AF ḭ ɡ AC ɪ AL ɴ AG
မိငယ်	m AF ḭ ŋ AG ɛ AL
မိတ္တူ	m AF e AL ɪ AL ʔ AC t AC u AM
မိတ္ထီလာ	m AF e AL ɪ AL ʔ AC tʰ AD i AL l AE a AL
မိတ်	m AF e AL ɪ AL ʔ AC
မိတ်ကပ်	m AF e AL ɪ AL ʔ AC k AC a AL ʔ AC
မိတ်ဆွေ	m AF e AL ɪ AL ʔ AC sʰ BA w AK e AL
မိထွေး	m AF ḭ d AC w AK e AL
မိနစ်	m AF ḭ n AG ɪ AL ʔ AC
မိန်းကလေး	m AF e AL ɪ AL ɴ AG ɡ AC ə AL l AE e AL
မိန်းမ	m AF e AL ɪ AL ɴ AG m AF a̰ AL
မိန်းမလျာ	m AF e AL ɪ AL ɴ AG m AF ə AL ʃ AJ a AL
မိဖုရား	m AF ḭ b AH ə AL j AB a AL
မိဘ	m AF ḭ b AH a̰ AL
မိဘမဲ့	m AF ḭ b AH a̰ AL m AF ɛ̰ AL
မိသားစု	m AF ḭ ð AJ a AL z AJ ṵ
မိုက်	m AF a AL ɪ AL ʔ AC
မိုက်ကယ်	m AF a AL ɪ AL ʔ AC k AC ɛ AL
မိုင်	m AF a AL ɪ AL ɴ AG
မိုင်လို	m AF a AL ɪ AL ɴ AG l AE o AM
မိုင်း	m AF a AL ɪ AL ɴ AG
မိုဇမ်ဘစ်	m AF o AM z AJ a AL ɴ AG b AH ɪ AL ʔ AC
မိုတယ်	m AF o AM t AC ɛ AL
မိုနာကို	m AF o AM n AG a AL k AC o AM
မိုဘိုင်းလ်ဖုန်း	m AF o AM b AH a AL ɪ AL ɴ AG pʰ AI o AM ʊ AM ɴ AG
မိုး	m AF o AM
မိုးကာအင်္ကျီ	m AF o AM ɡ AC a AL ʔ AC ɪ AL ɴ AG d AC ʑ AJ i AL
မိုးကုတ်	m AF o AM ɡ AC o AM ʊ AM ʔ AC
မိုးကုပ်စက်ဝိုင်း	m AF o AM ɡ AC o AM ʊ AM ʔ AC s AJ ɛ AL ʔ AC w AK a AL ɪ AL ɴ AG
မိုးကြိုး	m AF o AM d AC ʑ AJ o AM
မိုးခေါ်	m AF o AM kʰ AD ɔ AM
မိုးရာသီ	m AF o AM j AB a AL ð AJ i AL
မိုးလေဝသ	m AF o AM l AE e AL w AK ə AL θ AJ a̰ AL
မီတာ	m AF i AL t AC a AL
မီနူး	m AF i AL n AG u AM
မီး	m AF i AL
မီးခတ်	m AF i AL ɡ AC a AL ʔ AC
မီးခိုး	m AF i AL ɡ AC o AM
မီးခိုးရောင်	m AF i AL ɡ AC o AM j AB a AL ʊ AM ɴ AG
မီးခေါင်း	m AF i AL ɡ AC a AL ʊ AM ɴ AG
မီးခံသေတ္တာ	m AF i AL ɡ AC a AL ɴ AG θ AJ ɪ AL ʔ AC t AC a AL
မီးခြစ်	m AF i AL d AC ʑ AJ ɪ AL ʔ AC
မီးခွက်	m AF i AL ɡ AC w AK ɛ AL ʔ AC
မီးတောင်	m AF i AL d AC a AL ʊ AM ɴ AG
မီးပန်း	m AF i AL b AH a AL ɴ AG
မီးပူ	m AF i AL b AH u AM
မီးပြတိုက်	m AF i AL b AH j AB a̰ AL d AC a AL ɪ AL ʔ AC
မီးပွား	m AF i AL b AH w AK a AL
မီးပွိုင့်	m AF i AL p AH w AK a̰ AL ɪ AL ɴ AG
မီးဖို	m AF i AL pʰ AI o AM
မီးဖိုချောင်	m AF i AL b AH o AM d AC ʑ AJ a AL ʊ AM ɴ AG
မီးယပ်	m AF i AL j AB a AL ʔ AC
မီးယပ်ပညာ	m AF i AL j AB a AL ʔ AC p AH j AB ɪ AL ɴ AG ɲ AG a AL
မီးယပ်ရောဂါ	m AF i AL j AB a AL ʔ AC j AB ɔ AM ɡ AC a AL
မီးရထား	m AF i AL j AB ə AL tʰ AD a AL
မီးရထားတွဲ	m AF i AL j AB ə AL tʰ AD a AL d AC w AK ɛ AL
မီးရှူးမီးပန်း	m AF i AL ʃ AJ u AM m AF i AL b AH a AL ɴ AG
မီးလင်းဖို	m AF i AL l AE ɪ AL ɴ AG b AH o AM
မီးသင်္ဘော	m AF i AL θ AJ ɪ AL ɴ AG b AH ɔ AM
မီးသီး	m AF i AL θ AJ i AL
မီးသုံးပါး	m AF i AL θ AJ o AM ʊ AM ɴ AG b AH a AL
မီးသွေး	m AF i AL ð AJ w AK e AL
မီးအိမ်	m AF i AL ʔ AC e AL ɪ AL ɴ AG
မုခ်	m AF o AM ʊ AM ʔ AC
မုစလိန္ဒ	m AF ṵ s AJ ə AL l AE e AL ɪ AL ɴ AG d AC a̰ AL
မုဆိုး	m AF o AM ʊ AM ʔ AC sʰ BA o AM
မုဆိုးဖို	m AF ṵ sʰ BA o AM b AH o AM
မုဆိုးမ	m AF ṵ sʰ BA o AM m AF a̰ AL
မုတ္ထမ	m AF o AM ʊ AM ʔ AC t AC ə AL m AF a̰ AL
မုတ်ခွံ	m AF o AM ʊ AM ʔ AC kʰ AD ʊ AM ɴ AG
မုတ်ဆိတ်	m AF o AM ʊ AM ʔ AC sʰ BA e AL ɪ AL ʔ AC
မုဒိမ်း	m AF ṵ d AC e AL ɪ AL ɴ AG
မုဒ္ဓဇ	m AF u AM d AC d AC ə AL z AJ a̰ AL
မုဒြာ	m AF ṵ d AC ɹ AB a AL
မုနိ	m AF ṵ n AG ḭ
မုန့်	m AF o̰ AM ʊ AM ɴ AG
မုန့်ကျွဲသည်း	m AF o̰ AM ʊ AM ɴ AG t AC ɕ AJ w AK ɛ AL ð AJ ɛ AL
မုန့်ကွမ်းယာ	m AF o̰ AM ʊ AM ɴ AG k AC ʊ AM ɴ AG j AB a AL
မုန့်ညက်	m AF o̰ AM ʊ AM ɴ AG ɲ AG ɛ AL ʔ AC
မုန့်တီ	m AF o̰ AM ʊ AM ɴ AG t AC i AL
မုန့်လက်ကောက်	m AF o̰ AM ʊ AM ɴ AG l AE ɛ AL ʔ AC k AC a AL ʊ AM ʔ AC
မုန့်လက်ဆောင်း	m AF o̰ AM ʊ AM ɴ AG l AE ɛ AL ʔ AC sʰ BA a AL ʊ AM ɴ AG
မုန့်လင်မယား	m AF o̰ AM ʊ AM ɴ AG l AE ɪ AL ɴ AG m AF ə AL j AB a AL
မုန့်လုံးရေပေါ်	m AF o̰ AM ʊ AM ɴ AG l AE o AM ʊ AM ɴ AG j AB e AL b AH ɔ AM
မုန့်ဟင်းခါး	m AF o̰ AM ʊ AM ɴ AG h AA ɪ AL ɴ AG ɡ AC a AL
မုန့်အုပ်ကလေး	m AF o̰ AM ʊ AM ɴ AG ʔ AC o AM ʊ AM ʔ AC ɡ AC ə AL l AE e AL
မုန့်ဦးနှောက်	m AF o̰ AM ʊ AM ɴ AG ʔ AC o AM ʊ AM ɴ AG ð AJ i AL
မုန်ညင်း	m AF o AM ʊ AM ɴ AG ɲ AG ɪ AL ɴ AG
မုန်ညင်းဆီ	m AF o AM ʊ AM ɴ AG ɲ AG ɪ AL ɴ AG sʰ BA i AL
မုန်ညင်းဖြူ	m AF o AM ʊ AM ɴ AG ɲ AG ɪ AL ɴ AG pʰ AI j AB u AM
မုန်ညှင်းဖြူ	m AF o AM ʊ AM ɴ AG ɲ̊ AG ɪ AL ɴ AG b AH j AB u AM
မုန်တိုင်း	m AF o AM ʊ AM ɴ AG d AC a AL ɪ AL ɴ AG
မုန်လာ	m AF o AM ʊ AM ɴ AG l AE a AL
မုန်လာထုပ်	m AF o AM ʊ AM ɴ AG l AE a AL d AC o AM ʊ AM ʔ AC
မုန်လာဥ	m AF o AM ʊ AM ɴ AG l AE a AL ʔ AC ṵ
မုန်လာဥနီ	m AF o AM ʊ AM ɴ AG l AE a AL ʔ AC ṵ n AG i AL
မုန်လာဥဝါ	m AF o AM ʊ AM ɴ AG l AE a AL ʔ AC ṵ w AK a AL
မုန်း	m AF o AM ʊ AM ɴ AG
မုရား	m AF ə AL j AB a AL
မုသား	m AF ṵ ð AJ a AL
မုံ	m AF o AM ʊ AM ɴ AG
မုံရွာ	m AF o AM ʊ AM ɴ AG j AB w AK a AL
မူကြို	m AF u AM d AC ʑ AJ o AM
မူကြိုကျောင်း	m AF u AM d AC ʑ AJ o AM d AC ʑ AJ a AL ʊ AM ɴ AG
မူလ	m AF u AM l AE a̰ AL
မူလတန်း	m AF u AM l AE a̰ AL t AC a AL ɴ AG
မူလတန်းကြိုကျောင်း	m AF u AM l AE a̰ AL d AC a AL ɴ AG d AC ʑ AJ o AM d AC ʑ AJ a AL ʊ AM ɴ AG
မူလီ	m AF u AM l AE i AL
မူး	m AF u AM
မေ	m AF e AL
မေဃာလယ	m AF e AL ɡ AC a AL l AE ə AL j AB a̰ AL
မေတ္တာ	m AF j AB ɪ AL ʔ AC t AC a AL
မေတ္တေယျ	m AF j AB ɪ AL ʔ AC t AC e AL j AB a̰ AL
မေဓင်္ကရာ	m AF e AL d AC ɪ AL ɴ AG k AC ə AL ɹ AB a AL
မေဓင်္ကရာဘုရား	m AF e AL d AC ɪ AL ɴ AG k AC ə AL ɹ AB a AL pʰ AI ə AL j AB a AL
မေမေ	m AF e AL m AF e AL
မော	m AF ɔ AM
မောက်ချ	m AF a AL ʊ AM ʔ AC t AC ɕʰ BA a̰ AL
မောင်	m AF a AL ʊ AM ɴ AG
မောင်တော	m AF a AL ʊ AM ɴ AG t AC ɔ AM
မောင်နှမ	m AF a AL ʊ AM ɴ AG n̥ AG ə AL m AF a̰ AL
မောင်း	m AF a AL ʊ AM ɴ AG
မောင်းမမိဿံ	m AF a AL ʊ AM ɴ AG m AF a̰ AL m AF e AL ɪ AL ʔ AC θ AJ a AL ɴ AG
မောရစ်ရှ	m AF ɔ AM ɹ AB ɪ AL ʔ AC ʃ AJ a̰ AL
မော်စကို	m AF ɔ AM s AJ ə AL k AC o AM
မော်ဇာ	m AF ɔ AM z AJ a AL
မော်တော်ဆိုင်ကယ်	m AF ɔ AM t AC ɔ AM sʰ BA a AL ɪ AL ɴ AG k AC ɛ AL
မော်ရိုကို	m AF ɔ AM ɹ AB o AM k AC o AM
မော်ရီတေးနီးယား	m AF ɔ AM ɹ AB i AL t AC e AL n AG i AL j AB a AL
မော်လတာ	m AF ɔ AM l AE ə AL t AC a AL
မော်လဒိုက်	m AF ɔ AM l AE ə AL d AC a AL ɪ AL ʔ AC
မော်လမြိုင်	m AF ɔ AM l AE ə AL m AF j AB a AL ɪ AL ɴ AG
မော်လီကျူး	m AF ɔ AM l AE i AL t AC ɕ AJ u AM
မော်လ်ဒိုဗာ	m AF ɔ AM l AE d AC o AM b AH a AL
မေ့	m AF ḛ
မေး	m AF e AL
မေးခိုင်ရောဂါ	m AF e AL kʰ AD a AL ɪ AL ɴ AG j AB ɔ AM ɡ AC a AL
မေးခွန်း	m AF e AL ɡ AC ʊ AM ɴ AG
မေးစေ့	m AF e AL z AJ ḭ
မဲ	m AF ɛ AL
