't	t
kaphay	k a AD p h AA a AD j AB
kapid	k a AD p i AD d
kapiraso	k a AD p i AD ɾ a AD s o AF
kapitan	k a AD p i AD t a AD n
kaplastikan	k a AD p l a AD s t i AD k a AD n
kapon	k a AD p o AF n
kapotgayong	k a AD p o AF t ɡ a AD j AB o AF ŋ
kapre	k a AD p ɾ ɛ AD
kapuluan	k a AD p u AF l u AF a AD n
kaputsino	k a AD p u AF t ʃ i AD n o AF
karakter	k a AD ɾ a AD k t ɛ AD ɾ
karambola	k a AD ɾ a AD m b o AF l a AD
karamihan	k a AD ɾ a AD m i AD h AA a AD n
karampatan	k a AD ɾ a AD m p a AD t a AD n
karapatan	k a AD ɾ a AD p a AD t a AD n
karayom	k a AD ɾ a AD j AB o AF m
karbon	k a AD ɾ b o AF n
karelyebo	k a AD r ɛ AD ʎ ɛ AD b o AF
karerahan	k a AD ɾ ɛ AD ɾ a AD h AA a AD n
karibal	k a AD ɾ i AD b a AD l
karitela	k a AD ɾ i AD t ɛ AD l a AD
kariton	k a AD ɾ i AD t o AF n
karo	k a AD ɾ o AF
karpintero	k a AD ɾ p i AD n t ɛ AD ɾ o AF
karton	k a AD ɾ t o AF n
karunungan	k a AD ɾ u AF n u AF ŋ a AD n
karupukan	k a AD ɾ u AF p u AF k a AD n
karuwagan	k a AD ɾ u AF a AD ɡ a AD n
kasalanan	k a AD s a AD l a AD n a AD n
kasambahay	k a AD s a AD m b a AD h AA a AD i AD
kasera	k a AD s ɛ AD ɾ a AD
kasero	k a AD s ɛ AD ɾ o AF
kaserola	k a AD s ɛ AD ɾ o AF l a AD
kasiguraduhan	k a AD s i AD ɡ u AF ɾ a AD d u AF h AA a AD n
kasintahan	k a AD s i AD n t a AD h AA a AD n
kasinungalingan	k a AD s i AD n u AF ŋ a AD l i AD ŋ a AD n
kaso	k a AD s ɔ AF
kasoy	k a AD s o AF i AD
kastigo	k a AD s t i AD ɡ o AF
kastiguhin	k a AD s t i AD ɡ u AF h AA i AD n
kasubha	k a AD s u AF b h AA a AD ʔ
kata	k a AD t a AD ʔ
kataga	k a AD t a AD ɡ a AD ʔ
katagalugan	k a AD t a AD ɡ a AD l u AF ɡ a AD n
katakawan	k a AD t a AD k a AD w AC a AD n
katang	k a AD t a AD ŋ
katangahan	k a AD t a AD ŋ a AD h AA a AD n
katarata	k a AD t a AD ɾ a AD t a AD
katawan	k a AD t a AD w AC a AD n
katedral	k a AD t ɛ AD d ɾ a AD l
kati	k ɐ AF t i AD ʔ
katigbak	k a AD t i AD ɡ b a AD k
katiwalian	k a AD t i AD w AC a AD l i AD a AD n
kato	k a AD t o AF ʔ
katolisismo	k a AD t o AF l i AD s i AD s m o AF
katropa	k a AD t r o AF p a AD
katungkulan	k a AD t u AF ŋ k u AF l a AD n
katuruan	k a AD t u AF r u AF ʔ a AD n
katuwang	k a AD t u AF a AD ŋ
kaunti	k ɔ AF n t ɛ AD ʔ
kausap	k a AD u AF s a AD p
kausapin	k a AD u AF s a AD p i AD n
kawad	k a AD w AC a AD d
kay	k a AD i AD
kaya	k aː AE ɪ AD a AD
kayumanggi	k a AD j AB u AF m a AD ŋ ɡ i AD
kelot	k ɛ AD l ɔ AF t
kendi	k ɛ AD n d i AD
keri	k ɛ AD ɾ i AD
ketongin	k ɛ AD t o AF ŋ i AD n
khoo	k uː AG
kiamzon	k i AD a AD m s o AF n
kidsulid	k i AD d s u AF l i AD d
kikil	k i AD k i AD l
kiko	k i AD k o AF ʔ
kilay	k i AD l a AD j AB
kilikili	k i AD l i AD k i AD l i AD
kilo	k i AD l o AF ʔ
kilos	k i AD l o AF s
kilusan	k i AD l u AF s a AD n
kimika	k i AD m ɪ AD k ɐ AF
kindat	k i AD n ʔ d a AD t
king	k i AD ŋ
kintsay	k i AD n t ʃ a AD i AD
kita	k i AD t a AD
kitikiti	k i AD t i AD k i AD t i AD
kiyo	k i AD j AB o AF ʔ
klima	k l i AD m a AD
klinika	k l i AD n i AD k a AD
kloropila	k l o AF r o AF p i AD l ɐ AF
ko	k ɔ AF
kolera	k o AF l ɛ AD ɾ a AD
komander	k o AF m a AD n d ɛ AD ɾ
kombinasyon	k o AF m b i AD n a AD s j AB o AF n
komedya	k o AF m ɛ AD d j AB a AD
komento	k o AF m ɛ AD n t o AF
kometa	k o AF m ɛ AD t a AD
kompleto	k o AF m p l ɛ AD t o AF
komplikasyon	k o AF m p l i AD k a AD s j AB o AF n
komunidad	k o AF m u AF n i AD d a AD d
komunikasyon	k o AF m u AF n i AD k a AD s j AB o AF n
komunista	k o AF m u AF n i AD s t ɐ AF
kondenahin	k o AF n d ɛ AD n a AD h AA i AD n
kondisyon	k o AF n d i AD s j AB o AF n
kong	k ɔ AF ŋ
konstitusyon	k o AF n s t i AD t u AF s j AB o AF n
konsumisyon	k o AF n s u AF m i AD s j AB o AF n
kontak	k o AF n t a AD k
kontakin	k o AF n t a AD k i AD n
kontrobersiya	k o AF n t ɾ o AF b ɛ AD ɾ s j AB a AD
koral	k o AF ɾ a AD l
korona	k o AF ɾ o AF n a AD
koronahan	k o AF ɾ o AF n a AD h AA a AD n
koronel	k o AF ɾ o AF n ɛ AD l
kotse	k o AF t ʃ ɛ AD
krimen	k ɾ i AD m ɛ AD n
kriminal	k ɾ i AD m i AD n a AD l
kritiko	k ɾ i AD t i AD k o AF
kromatina	k r o AF m ɐ AF t i AD n ɐ AF
kromosoma	k r o AF m o AF s o AF m ɐ AF
kroni	k ɾ o AF n i AD
kroniyismo	k ɾ o AF n i AD j AB i AD s m o AF
kua	k w AC a AD
kuba	k u AF b a AD ʔ
kubeta	k u AF b ɛ AD t a AD
kubo	k u AF b o AF
kudkurin	k u AF d k u AF ɾ i AD n
kuha	k u AF h AA a AD
kulambo	k u AF l a AD m b o AF ʔ
kulangi	k u AF l a AD ŋ i AD ʔ
kulangot	k u AF l a AD ŋ o AF t
kulasim	k u AF l a AD s i AD m
kulay	k u AF l a AD j AB
kulayin	k u AF l a AD j AB i AD n
kulaylawas	k u AF l a AD j AB l a AD w AC a AD s
kulayputol	k u AF l a AD j AB p u AF t o AF l
kulig	k u AF l i AD ɡ
kulimlim	k u AF l i AD m l i AD m
kuliti	k u AF l i AD t i AD ʔ
kulos	k u AF l o AF s
kulugo	k u AF l u AF ɡ o AF
kumabig	k u AF m a AD b i AD ɡ
kumain	k u AF m a AD ʔ i AD n
kumanta	k u AF m a AD n t a AD
kumbensiyon	k u AF m b ɛ AD n s i AD o AF n
kumbento	k u AF m b ɛ AD n t o AF
kumbinsihin	k u AF m b i AD n s i AD h AA i AD n
kumbulsiyon	k u AF m b u AF l s i AD o AF n
kumintab	k u AF m i AD n t a AD b
kumot	k u AF m o AF t
kumpas	k u AF m p a AD s
kumpederasyon	k u AF m p ɛ AD d ɛ AD ɾ a AD s j AB o AF n
kumpisal	k u AF m p i AD s a AD l
kumpyansa	k u AF m p j AB a AD n s a AD
kumuha	k u AF m u AF h AA a AD
kumulimlim	k u AF m u AF l i AD m l i AD m
kumunoy	k u AF m u AF n o AF i AD
kumupas	k u AF m u AF p a AD s
kumusta	k u AF m u AF s t a AD
kumuyakoy	k u AF m u AF j AB a AD k o AF i AD
kunan	k u AF n a AD n
kunin	k u AF n i AD n
kupal	k uː AG p a AD l
kupas	k u AF p a AD s
kurag	k u AF ɾ a AD ɡ
kurarap	k u AF ɾ a AD ɾ a AD p
kurba	k u AF ɾ b a AD
kurbata	k u AF ɾ b a AD t a AD
kurot	k u AF ɾ o AF t
kurse	k u AF ɾ s e AD
kursonada	k u AF ɾ s o AF n a AD d a AD
kurtina	k u AF ɾ t i AD n a AD
kuryusidad	k u AF r j AB u AF s i AD d a AD d
kusi	k u AF s i AD
kusina	k u AF s i AD n a AD
kuskos	k u AF s k o AF s
kustodiya	k u AF s t o AF d i AD a AD
kuting	k u AF t i AD ŋ
kutis	k u AF t i AD s
kuto	k u AF t o AF ʔ
kutsara	k u AF t ʃ a AD ɾ a AD
kutsarita	k u AF t ʃ a AD r i AD t a AD
kutson	k u AF t ʃ o AF n
kutya	k u AF t j AB a AD ʔ
kuwan	k u AF a AD n
kwok	k w AC ɔ AF k
kyut	k j AB u AF t
laba	l a AD b a AD
labada	l a AD b a AD d a AD
labag	l a AD b a AD ɡ
labas	l a AD b a AD s
labaskaphay	l a AD b a AD s k a AD p h AA a AD j AB
labastida	l a AD b a AD s t i AD d a AD
labawsugnayan	l a AD b a AD u AF s u AF ɡ n a AD j AB a AD n
labhan	l a AD b h AA a AD n
labi	l a AD b i AD ʔ
labimpito	l a AD b i AD m p i AD t o AF
labindalawa	l a AD b i AD n d a AD l a AD w AC a AD
labingwalo	l a AD b i AD ŋ w AC a AD l o AF
labinlima	l a AD b i AD n l i AD m a AD
labinsiyam	l a AD b i AD n s i AD j AB a AD m
labintatlo	l a AD b i AD n t a AD t l o AF
labnot	l a AD b n o AF t
labong	l a AD b o AF ŋ
lacambra	l a AD k a AD m b ɾ a AD
lacap	l a AD k a AD p
laganap	l a AD ɡ a AD n a AD p
lagay	l a AD ɡ a AD i AD
lagaylay	l a AD ɡ a AD j AB l a AD j AB
lagda	l a AD ɡ d a AD ʔ
lagdameo	l a AD ɡ d a AD m ɛ AD o AF
lagkit	l a AD ɡ k i AD t
lagmak	l a AD ɡ m a AD k
lagmay	l a AD ɡ m a AD i AD
lagnat	l a AD ɡ n a AD t
lagumlalangin	l a AD ɡ u AF m l a AD l a AD ŋ i AD n
lagundi	l a AD ɡ u AF n d i AD
lahat	l a AD h AA a AD t
laitin	l a AD i AD t i AD n
lakan	l a AD k a AD n
lakdawkaphay	l a AD k d a AD w AC k a AD p h AA a AD j AB
lakdawyugto	l a AD k d a AD w AC j AB u AF ɡ t o AF ʔ
laktaw	l a AD k t a AD w AC
lalagyan	l a AD l a AD ɡ j AB a AD n
lalamunan	l a AD l a AD m u AF n a AD n
lalanghutan	l a AD l a AD ŋ h AA u AF t a AD n
lamad	l a AD m a AD d
lamang	l a AD m a AD ŋ
lamig	l a AD m ʔ i AD ɡ
lampara	l a AD m p a AD ɾ a AD
lampin	l a AD m p i AD n
lana	l a AD n a AD
landa	l a AD n d a AD
landrito	l a AD n d ɾ i AD t o AF
lang	l a AD ŋ
langkaan	l a AD ŋ k a AD ʔ a AD n
lansangan	l a AD n s a AD ŋ a AD n
lanting	l a AD n t i AD ŋ
lantsa	l a AD n t ʃ a AD
lanunab	l a AD n u AF n a AD b
lanuza	l a AD n u AF s a AD
lao	l a AD ʊ AF
lapis	l a AD p i AD s
lapnos	l a AD p n o AF s
lapuz	l a AD p u AF s
laquindanum	l a AD k i AD n d a AD n u AF m
larawan	l a AD ɾ a AD w AC a AD n
lascano	l a AD s k a AD n o AF
lasing	l a AD s i AD ŋ
laspag	l a AD s p a AD ɡ
lastiko	l a AD s t i AD k o AF
laswa	l a AD s w AC a AD ʔ
latayan	l a AD t a AD j AB a AD n
lawa	l a AD w AC a AD ʔ
lawaan	l a AD w AC a AD ʔ a AD n
laway	l a AD w AC a AD i AD
lawlaw	l a AD u AF l a AD u AF
laxamana	l a AD k s a AD m a AD n a AD
layag	l a AD j AB a AD ɡ
layas	l a AD j AB a AD s
layaw	l ɐ AF j AB a AD w AC
laygo	l a AD i AD ɡ o AF
laylayan	l a AD i AD l a AD j AB a AD n
laylo	l a AD i AD l o AF
layno	l a AD i AD n o AF
lazarte	l a AD s a AD ɾ t ɛ AD
lazatin	l a AD s a AD t i AD n
lebadura	l e AD b a AD d u AF r ɐ AF
lehitimo	l ɛ AD h AA i AD t i AD m o AF
lengguwahe	l ɛ AD ŋ ɡ w AC a AD h AA ɛ AD
leong	l j AB o AF ŋ
leung	l j AB u AF ŋ
lew	l ʊ AF
leynes	l ɛ AD i AD n ɛ AD s
libak	l i AD b a AD k
libradilla	l i AD b ɾ a AD d i AD l l a AD
libre	l i AD b ɾ ɛ AD
libro	l i AD b r o AF
libuntaon	l i AD b u AF n t a AD ʔ ɔ AF n
lichauco	l i AD t ʃ a AD u AF k o AF
licup	l i AD k u AF p
ligpit	l i AD ɡ p i AD t
liha	l i AD h AA a AD
liham	l i AD h AA a AD m
lihim	l i AD h AA i AD m
lihukan	l i AD h AA u AF k a AD n
likas	l i AD k a AD s
likha	l i AD k h AA a AD ʔ
liknayan	l i AD k n a AD j AB a AD n
liko	l i AD k o AF ʔ
lila	l ɪː AE l ɐ AF
lilom	l i AD l o AF m
lim	l i AD m
lima	l i AD m a AD
limahi	l i AD m a AD h AA i AD ʔ
limahid	l i AD m a AD h AA i AD d
limampu	l i AD m a AD m p u AF ʔ
limandaan	l i AD m a AD n d a AD a AD n
limanlaksa	l i AD m a AD n l a AD k s a AD ʔ
limay	l i AD m a AD j AB
limbaga	l i AD m b a AD ɡ a AD
limit	l i AD m i AD t
limjoco	l i AD m d ʒ o AF k o AF
limos	l i AD m o AF s
linatoc	l i AD n a AD t o AF k
lindol	l i AD n d ɔ AF l
lingad	l i AD ŋ a AD d
linggo	l i AD ŋ ɡ ɔ AF
lingon	l i AD ŋ o AF n
linisan	l i AD n i AD s a AD n
linisin	l i AD n i AD s i AD n
linta	l i AD n t a AD ʔ
liong	l j AB o AF ŋ
lipon	l i AD p o AF n
lipunan	l i AD p u AF n a AD n
liquigan	l i AD k i AD ɡ a AD n
lising	l i AD s i AD ŋ
lislis	l i AD s l i AD s
liso	l i AD s o AF
literasiya	l i AD t ɛ AD ɾ a AD s i AD a AD
litrato	l i AD t ɾ a AD t o AF
liwag	l i AD w AC a AD ɡ
lizada	l i AD s a AD d a AD
llanera	l l a AD n ɛ AD ɾ a AD
llanto	l l a AD n t o AF
lo	l o AF
lodi	l o AF d i AD
logarta	l o AF ɡ a AD ɾ t a AD
lojo	l o AF d ʒ o AF
loka	l o AF k a AD
loko	l o AF k o AF
lola	l o AF l a AD
lomibao	l o AF m i AD b a AD u AF
lomocso	l o AF m o AF k s o AF
lona	l o AF n a AD
longganisa	l o AF ŋ ɡ a AD n i AD s a AD
longhitud	l o AF ŋ h AA i AD t u AF d
loo	l u AF
loob	l ɔ AF ʔ ɔ AF b
loobkaphay	l o AF ʔ o AF b k a AD p h AA a AD j AB
look	l o AF ʔ o AF k
lorenzana	l o AF ɾ ɛ AD n s a AD n a AD
loterya	l o AF t ɛ AD ɾ j AB a AD
lozada	l o AF s a AD d a AD
lu	l u AF
lubak	l u AF b a AD k
lubha	l u AF b h AA a AD ʔ
lubiano	l u AF b j AB a AD n o AF
lugami	l u AF ɡ a AD m i AD ʔ
luho	l u AF h AA o AF ʔ
lukban	l u AF k b a AD n
lula	l u AF l a AD ʔ
luma	l u AF m a AD ʔ
lumabas	l u AF m a AD b a AD s
lumabo	l u AF m a AD b o AF ʔ
lumad	l u AF m a AD d
lumagui	l u AF m a AD ɡ i AD
lumakdang	l u AF m a AD k d a AD ŋ
lumamig	l u AF m a AD m i AD ɡ
lumanglas	l u AF m a AD ŋ l a AD s
lumangoy	l u AF m a AD ŋ o AF j AB
lumapit	l u AF m a AD p i AD t
lumayo	l u AF m a AD j AB o AF ʔ
lumbang	l u AF m b a AD ŋ
lumbao	l u AF m b a AD u AF
lumbo	l u AF m b ɔ AF ʔ
lumboy	l u AF m b ɔ AF j AB
lumibao	l u AF m i AD b a AD u AF
lumikha	l u AF m i AD k h AA a AD ʔ
luminaw	l u AF m i AD n a AD w AC
lumindol	l u AF m i AD n d o AF l
lumipad	l u AF m i AD p a AD d
lumiwanag	l u AF m i AD w AC a AD n a AD ɡ
lumot	l u AF m o AF t
lumutang	l u AF m u AF t a AD ŋ
lumuwag	l u AF m u AF w AC a AD ɡ
lunes	l u AF n ɛ AD s
lungkag	l u AF ŋ k a AD ɡ
luntian	l u AF nː t i AD ɐ AF n
lupa	l u AF p a AD ʔ
lupain	l u AF p a AD ʔ i AD n
lusaw	l u AF s a AD w AC
luto	l u AF t o AF ʔ
luwag	l u AF a AD ɡ
luwalhati	l u AF w AC a AD l h AA a AD t i AD ʔ
luwat	l u AF w AC a AD t
luy	l ʊ AF j AB
luyos	l u AF j AB o AF s
luzano	l u AF s a AD n o AF
luzon	l u AF s o AF n
luzuriaga	l u AF s u AF ɾ j AB a AD ɡ a AD
maagrabyado	m a AD ʔ a AD ʔ ɡ ɾ a AD b j AB a AD d o AF
maambunan	m a AD ʕ a AD m b u AF n a AD n
maanak	m a AD ʔ a AD n a AD k
maangas	m a AD ʔ a AD ŋ a AD s
maanta	m a AD ʔ a AD n t a AD
mababa	m a AD b a AD b a AD ʔ
mabagal	m a AD b a AD ɡ a AD l
mabalot	m a AD b a AD l o AF t
mabato	m a AD b a AD t o AF
mabigat	m a AD b i AD ɡ a AD t
mabigo	m a AD b i AD ɡ o AF ʔ
mabilis	m a AD b i AD l i AD s
mabini	m a AD b i AD n i AD
mabuhay	m a AD b u AF h AA a AD y AF
mabulaklak	m a AD b u AF l a AD k l a AD k
maburyong	m a AD b u AF ɾ j AB o AF ŋ
mabuti	m a AD b u AF t i AD
mabuwisit	m a AD b u AF i AD s i AD t
macababbad	m a AD k a AD b a AD b b a AD d
macadangdang	m a AD k a AD d a AD ŋ d a AD ŋ
macalalad	m a AD k a AD l a AD l a AD d
macalindong	m a AD k a AD l i AD n d o AF ŋ
macapagal	m a AD k a AD p a AD ɡ a AD l
macapinlac	m a AD k a AD p i AD n l a AD k
macapugay	m a AD k a AD p u AF ɡ a AD i AD
macaranas	m a AD k a AD ɾ a AD n a AD s
macasaet	m a AD k a AD s a AD ɛ AD t
macasieb	m a AD k a AD s i AD ɛ AD b
macaspac	m a AD k a AD s p a AD k
macatulad	m a AD k a AD t u AF l a AD d
maceda	m a AD s ɛ AD d a AD
macuha	m a AD k u AF h AA a AD
madalas	m a AD d a AD l a AD s
madali	m a AD d a AD l i AD ʔ
madilim	m a AD d i AD l i AD m
madlangbayan	m a AD d l a AD ŋ b a AD j AB a AD n
madriaga	m a AD d ɾ i AD a AD ɡ a AD
madulas	m a AD d u AF l a AD s
magalang	m a AD ɡ a AD l a AD ŋ
magaling	m a AD ɡ a AD l i AD ŋ
magallanes	m a AD ɡ a AD l l a AD n ɛ AD s
magalona	m a AD ɡ a AD l o AF n a AD
maganda	m a AD ɡ a AD n d a AD
magandahan	m a AD ɡ a AD n d a AD h AA a AD n
magaso	m a AD ɡ a AD s o AF
magbabaon	n a AD ɡ b a AD ʔ o AF n
magbalik	m a AD ɡ b a AD l i AD k
magbanua	m a AD ɡ b a AD n u AF a AD
magbaon	m a AD ɡ b a AD ʔ o AF n
magbarena	m a AD ɡ b a AD ɾ ɛ AD n a AD
magbasanlot	m a AD ɡ b a AD s a AD n l ɔ AF t
magbayad	m a AD ɡ b a AD j AB a AD d
magbenta	m a AD ɡ b e AD n t a AD
magbihis	m a AD ɡ b i AD h AA i AD s
magbili	m a AD ɡ b i AD l i AD
magbinata	m a AD ɡ b i AD n a AD t a AD ʔ
magbiro	m a AD ɡ b i AD ɾ o AF ʔ
magbisikleta	m a AD ɡ b i AD s i AD k l ɛ AD t a AD
magbiyahe	m a AD ɡ b i AD j AB a AD h AA e AD
magboo	m a AD ɡ b o AF o AF
magbubukid	m a AD ɡ b u AF b u AF k i AD d
magbuhat	m a AD ɡ b u AF h AA a AD t
magbulakbol	m a AD ɡ b u AF l a AD k b o AF l
magdalaga	m a AD ɡ d a AD l a AD ɡ a AD
magdasal	m a AD ɡ d a AD s a AD l
magdayao	m a AD ɡ d a AD j AB a AD u AF
magdeliryo	m a AD ɡ d ɛ AD l i AD ɾ j AB o AF
magdemanda	m a AD ɡ d ɛ AD m a AD n d a AD
maggayat	m a AD ɡ ɡ a AD j AB a AD t
maghabilin	m a AD ɡ h AA a AD b i AD l i AD n
maghabla	m a AD ɡ h AA a AD b l a AD
maghanap	m a AD ɡ h AA a AD n a AD p
maghanapbuhay	m a AD ɡ h AA a AD n a AD p b u AF h AA a AD i AD
maghanda	m a AD ɡ h AA a AD n d a AD ʔ
maghangad	m a AD ɡ h AA a AD ŋ a AD d
maghari	m a AD ɡ h AA a AD ɾ i AD ʔ
maghasik	m a AD ɡ h AA a AD s i AD k
maghati	m a AD ɡ h AA a AD t i AD ʔ
maghiganti	m a AD ɡ h AA i AD ɡ a AD n t i AD
maghikab	m a AD ɡ h AA i AD k a AD b
maghikaw	m a AD ɡ h AA i AD k a AD u AF
maghilamos	m a AD ɡ h AA i AD l a AD m o AF s
maghilik	m a AD ɡ h AA i AD l i AD k
maghimagsik	m a AD ɡ h AA i AD m a AD ɡ s i AD k
maghimutok	m a AD ɡ h AA i AD m u AF t o AF k
maghinala	m a AD ɡ h AA i AD n a AD l a AD ʔ
maghingalo	m a AD ɡ h AA i AD ŋ a AD l o AF
maghintay	m a AD ɡ h AA i AD n t a AD j AB
maghinto	m a AD ɡ h AA i AD n t o AF ʔ
maghinuha	m a AD ɡ h AA i AD n u AF h AA a AD ʔ
maghirang	m a AD ɡ h AA i AD ɾ a AD ŋ
maghirap	m a AD ɡ h AA i AD ɾ a AD p
maghiyas	m a AD ɡ h AA i AD a AD s
maghugas	m a AD ɡ h AA u AF ɡ a AD s
maghumpay	m a AD ɡ h AA u AF m p a AD i AD
maghuramentado	m a AD ɡ h AA u AF ɾ a AD m ɛ AD n t a AD d o AF
magigi	m a AD ɡ i AD ɡ i AD ʔ
magiting	m a AD ɡ i AD t i AD ŋ
magjeep	m a AD ɡ d ʒ i AD p
magkanlong	m a AD ɡ k a AD n l o AF ŋ
magkaroon	m a AD ɡ k a AD r o AF ʔ o AF n
magkasakit	m a AD ɡ k a AD s a AD k i AD t
magkataon	m a AD ɡ k a AD t a AD ʔ o AF n
magkausap	m a AD ɡ k a AD u AF s a AD p
maglaba	m a AD ɡ l a AD b a AD
maglabas	m a AD ɡ l a AD b a AD s
maglakbay	m a AD ɡ l a AD k b a AD j AB
maglalang	m a AD ɡ l a AD l a AD ŋ
maglanggas	m a AD ɡ l a AD ŋ ɡ a AD s
maglangib	m a AD ɡ l a AD ŋ i AD b
maglango	m a AD ɡ l a AD ŋ o AF
maglantod	m a AD ɡ l a AD n t o AF d
maglapa	m a AD ɡ l a AD p a AD ʔ
maglarawan	m a AD ɡ l a AD ɾ a AD w AC a AD n
maglaro	m a AD ɡ l a AD ɾ o AF ʔ
maglaso	m a AD ɡ l a AD s o AF
maglaway	m a AD ɡ l a AD w AC a AD i AD
maglingid	m a AD ɡ l i AD ŋ i AD d
maglingkod	m a AD ɡ l i AD ŋ k o AF d
maglola	m a AD ɡ l o AF l a AD
maglolo	m a AD ɡ l o AF l o AF
magmadali	m a AD ɡ m a AD d a AD l i AD ʔ
magmahal	m a AD ɡ m a AD h AA a AD l
magmaliw	m a AD ɡ m a AD l i AD u AF
magmartsa	m a AD ɡ m a AD ɾ t ʃ a AD
magmasahe	m a AD ɡ m a AD s a AD h AA e AD
magmayabang	m a AD ɡ m a AD j AB a AD b a AD ŋ
magnakaw	m a AD ɡ n a AD k a AD u AF
magno	m a AD ɡ n o AF
magpalaganap	m a AD ɡ p a AD l a AD ɡ a AD n a AD p
magpanatili	m a AD ɡ p a AD n a AD t i AD l i AD
magparaya	m a AD ɡ p a AD ɾ a AD j AB a AD ʔ
magpasubasta	m a AD ɡ p a AD s u AF b a AD s t a AD
magpaubaya	m a AD ɡ p a AD ʔ u AF b a AD j AB a AD ʔ
magpraktis	m a AD ɡ p ɾ a AD k t i AD s
magpunas	m a AD ɡ p u AF n a AD s
magrenta	m a AD ɡ ɾ ɛ AD n t a AD
magresign	m a AD ɡ ɾ e AD s a AD ɪ AD n
magsahig	m a AD ɡ s a AD h AA i AD ɡ
magsalang	m a AD ɡ s a AD l a AD ŋ
magsaliksik	m a AD ɡ s a AD l i AD k s i AD k
magsapatos	m a AD ɡ s a AD p a AD t o AF s
magsimba	m a AD ɡ s i AD m b a AD
magsinungaling	m a AD ɡ s i AD n u AF ŋ a AD l i AD ŋ
magsiwalat	m a AD ɡ s i AD w AC a AD l a AD t
magstay	m a AD ɡ s t ɛ AD ɪ AD
magsubscribe	m a AD ɡ s u AF b s k ɾ a AD ɪ AD b
magsugal	m a AD ɡ s u AF ɡ a AD l
magsuntukan	m a AD ɡ s u AF n t u AF k a AD n
magtaas	m a AD ɡ t a AD a AD s
magtaban	m a AD ɡ t a AD b a AD n
magtalas	m a AD ɡ t a AD l a AD s
magtalo	m a AD ɡ t a AD l o AF
magtapon	m a AD ɡ t a AD p o AF n
magtinda	m a AD ɡ t i AD n d a AD
magtipid	m a AD ɡ t i AD p i AD d
magtrabaho	m a AD ɡ t ɾ a AD b a AD h AA o AF
magtrycicle	m a AD ɡ t ɾ a AD ɪ AD s i AD k ɛ AD l
magturo	m a AD ɡ t u AF ɾ o AF ʔ
magugol	m a AD ɡ u AF ɡ o AF l
magulo	m a AD ɡ u AF l o AF
magusot	m a AD ɡ u AF s o AF t
magustuhan	m a AD ɡ u AF s t u AF h AA a AD n
magwagi	m a AD ɡ w AC a AD ɡ i AD
magwahil	m a AD ɡ w AC a AD h AA i AD l
magwisik	m a AD ɡ w AC i AD s i AD k
magyabang	m a AD ɡ j AB a AD b a AD ŋ
magyangyang	m a AD ɡ j AB a AD ŋ j AB a AD ŋ
magyasyas	m a AD ɡ j AB a AD s j AB a AD s
magyaya	m a AD ɡ j AB a AD j AB a AD
magyibok	m a AD ɡ j AB i AD b o AF k
mahal	m a AD h AA a AD l
mahalaga	m a AD h AA a AD l a AD ɡ a AD
mahiman	m a AD h AA i AD m a AD n
mahinay	m a AD h AA i AD n a AD i AD
mahirap	m a AD h AA i AD ɾ a AD p
mahuli	m aː AE h AA u AF l i AD
maikli	m a AD ʔ i AD k l i AD ʔ
maingay	m a AD ʔ i AD ŋ a AD i AD
mainis	m a AD ʔ i AD n i AD s
makaitlo	m a AD k a AD i AD t l o AF
makakita	m a AD k a AD k i AD t a AD
makakuha	m a AD k a AD k u AF h AA a AD
makalat	m a AD k a AD l a AD t
makalima	m a AD k a AD l i AD m a AD
makaluma	m a AD k a AD l u AF m a AD ʔ
makapuno	m a AD k a AD p u AF n o AF ʔ
makati	m ɐ AF k ɐ AF t i AD ʔ
makatotohanan	m a AD k a AD t o AF t o AF h AA a AD n a AD n
makatulog	m a AD k a AD t u AF l o AF ɡ
makiapid	m a AD k i AD ʔ a AD p i AD d
makibahagi	m a AD k i AD b a AD h AA a AD ɡ i AD ʔ
makina	m a AD k i AD n a AD
makinis	m a AD k i AD n i AD s
makipagbati	m a AD k i AD p a AD ɡ b a AD t i AD ʔ
makipagkaibigan	m a AD k i AD p a AD ɡ k a AD i AD b i AD ɡ a AD n
makipagsuntukan	m a AD k i AD p a AD ɡ s u AF n t u AF k a AD n
makipagtalik	m a AD k i AD p a AD ɡ t a AD l i AD k
makontento	m a AD k o AF n t ɛ AD n t o AF
makuha	m a AD k u AF h AA a AD
makulimlim	m a AD k u AF l i AD m l i AD m
makunan	m a AD k u AF n a AD n
malabuyoc	m a AD l a AD b u AF j AB o AF k
malagata	m a AD l a AD ɡ a AD t a AD ʔ
malagatas	m a AD l a AD ɡ a AD t a AD s
malagkit	m a AD l a AD ɡ k i AD t
malakanyang	m a AD l a AD k a AD n j AB a AD ŋ
malalim	m a AD l a AD l i AD m
malaluan	m a AD l a AD l u AF a AD n
malaman	m a AD l a AD m a AD n
malambot	m a AD l a AD m b o AF t
malanasi	m a AD l a AD n a AD s i AD ʔ
malanya	m a AD l a AD n j AB a AD ʔ
malaon	m a AD l a AD ʔ o AF n
malapad	m a AD l a AD p a AD d
malapit	m a AD l a AD p i AD t
malapot	m a AD l a AD p o AF t
malas	m a AD l a AD s
malaswa	m a AD l a AD s w AC a AD ʔ
malaya	m ɐ AF l aː AE ɪ AD a AD
malibag	m a AD l i AD b a AD ɡ
