'y	ɪ AD
lubak	l ʊ AF b a AD k
lubha	l ʊ AF b h AA a AD ʔ
lubiano	l ʊ AF b j AB ɐ AF n o AF
lukban	l ʊ AF k b ɐ AF n
lula	l ʊ AF l a AD ʔ
lumad	l u AF m ɐ AF d
lumagui	l ʊ AF m ɐ AF ɰ AB ɪ AD
lumanglas	l ʊ AF m ɐ AF ŋ l ɐ AF s
lumbang	l u AF m b ɐ AF ŋ
lumbao	l u AF m b a AD ʊ̯ AH
lumibao	l ʊ AF m ɪ AD b a AD ʊ̯ AH
luwag	l w AC a AD ɡ
luzano	l ʊ AF s ɐ AF n o AF
luzon	l ʊ AF s o AF n
luzuriaga	l ʊ AF s ʊ AF ɾ j AB ɐ AF ɰ AB ɐ AF
maagrabyado	m ɐ AF ʔ ɐ AF ʔ ɡ ɾ ɐ AF b j AB a AD d o AF
maangas	m ɐ AF ʔ a AD ŋ ɐ AF s
mababa	m ɐ AF b a AD b ɐ AF ʔ
mabalot	m ɐ AF b ɐ AF l o AF t
mabigat	m ɐ AF b ɪ AD ɰ AB a AD t
mabini	m ɐ AF b ɪ AD n ɪ AD
mabulaklak	m ɐ AF b ʊ AF l ɐ AF k l a AD k
maburyong	m ɐ AF b ʊ AF ɾ j AB o AF ŋ
mabuwisit	m ɐ AF b w AC i AD s ɪ AD t
macababbad	m ɐ AF x ɐ AF b ɐ AF b b ɐ AF d
macadangdang	m ɐ AF x ɐ AF d ɐ AF ŋ d ɐ AF ŋ
macalalad	m ɐ AF x ɐ AF l ɐ AF l ɐ AF d
macalindong	m ɐ AF x ɐ AF l ɪ AD n d o AF ŋ
macapagal	m ɐ AF x ɐ AF p ɐ AF ɰ AB ɐ AF l
macapinlac	m ɐ AF x ɐ AF p ɪ AD n l ɐ AF k
macapugay	m ɐ AF x ɐ AF p ʊ AF ɰ AB a AD ɪ̯ AG
macaranas	m ɐ AF x ɐ AF ɾ ɐ AF n ɐ AF s
macasaet	m ɐ AF x ɐ AF s ɐ AF ɛ AD t
macasieb	m ɐ AF x ɐ AF s ɪ AD ɛ AD b
macaspac	m ɐ AF x ɐ AF s p ɐ AF k
macatulad	m ɐ AF x ɐ AF t ʊ AF l ɐ AF d
maceda	m ɐ AF s ɛ AD d ɐ AF
macuha	m ɐ AF x ʊ AF h AA ɐ AF
madalas	m ɐ AF d ɐ AF l a AD s
madlangbayan	m ɐ AF d l ɐ AF ŋ b ɐ AF j AB ɐ AF n
madriaga	m ɐ AF d ɾ ɪ AD ɐ AF ɰ AB ɐ AF
madulas	m ɐ AF d ʊ AF l a AD s
magaling	m ɐ AF ɰ AB ɐ AF l ɪ AD ŋ
magallanes	m ɐ AF ɰ AB ɐ AF l l ɐ AF n ɛ AD s
magalona	m ɐ AF ɰ AB ɐ AF l o AF n ɐ AF
magandahan	m ɐ AF ɰ AB ɐ AF n d ɐ AF h AA a AD n
magbabaon	n ɐ AF ɡ b ɐ AF ʔ o AF n
magbanua	m ɐ AF ɡ b ɐ AF n ʊ AF ɐ AF
magbaon	m ɐ AF ɡ b ɐ AF ʔ o AF n
magbarena	m ɐ AF ɡ b ɐ AF ɾ ɛ AD n ɐ AF
magbihis	m ɐ AF ɡ b i AD h AA ɪ AD s
magbinata	m ɐ AF ɡ b ɪ AD n ɐ AF t a AD ʔ
magbiro	m ɐ AF ɡ b ɪ AD ɾ o AF ʔ
magbisikleta	m ɐ AF ɡ b ɪ AD s ɪ AD k l ɛ AD t ɐ AF
magboo	m ɐ AF ɡ b o AF o AF
magbubukid	m ɐ AF ɡ b ʊ AF b ʊ AF x i AD d
magbuhat	m ɐ AF ɡ b ʊ AF h AA ɐ AF t
magbulakbol	m ɐ AF ɡ b ʊ AF l ɐ AF k b o AF l
magdalaga	m ɐ AF ɡ d ɐ AF l ɐ AF ɰ AB a AD
magdayao	m ɐ AF ɡ d ɐ AF j AB a AD ʊ̯ AH
magdeliryo	m ɐ AF ɡ d ɛ AD l i AD ɾ j AB o AF
magdemanda	m ɐ AF ɡ d ɛ AD m ɐ AF n d ɐ AF
maghabilin	m ɐ AF ɡ h AA ɐ AF b ɪ AD l ɪ AD n
maghabla	m ɐ AF ɡ h AA ɐ AF b l a AD
maghanapbuhay	m ɐ AF ɡ h AA ɐ AF n ɐ AF p b ʊ AF h AA a AD ɪ̯ AG
maghanda	m ɐ AF ɡ h AA ɐ AF n d a AD ʔ
maghangad	m ɐ AF ɡ h AA ɐ AF ŋ a AD d
maghari	m ɐ AF ɡ h AA a AD ɾ ɪ AD ʔ
maghasik	m ɐ AF ɡ h AA ɐ AF s i AD k
maghati	m ɐ AF ɡ h AA ɐ AF t ɪ AD ʔ
maghiganti	m ɐ AF ɡ h AA ɪ AD ɰ AB ɐ AF n t i AD
maghikab	m ɐ AF ɡ h AA ɪ AD x a AD b
maghikaw	m ɐ AF ɡ h AA ɪ AD x a AD ʊ̯ AH
maghilik	m ɐ AF ɡ h AA ɪ AD l i AD k
maghimagsik	m ɐ AF ɡ h AA ɪ AD m ɐ AF ɡ s i AD k
maghimutok	m ɐ AF ɡ h AA ɪ AD m ʊ AF t o AF k
maghinala	m ɐ AF ɡ h AA ɪ AD n ɐ AF l ɐ AF ʔ
maghingalo	m ɐ AF ɡ h AA ɪ AD ŋ ɐ AF l o AF
maghinto	m ɐ AF ɡ h AA ɪ AD n t o AF ʔ
maghinuha	m ɐ AF ɡ h AA ɪ AD n u AF h AA ɐ AF ʔ
maghirang	m ɐ AF ɡ h AA ɪ AD ɾ ɐ AF ŋ
maghirap	m ɐ AF ɡ h AA ɪ AD ɾ ɐ AF p
maghiyas	m ɐ AF ɡ h AA ɪ AD a AD s
maghumpay	m ɐ AF ɡ h AA u AF m p a AD ɪ̯ AG
magkanlong	m ɐ AF ɡ k ɐ AF n l o AF ŋ
magkataon	m ɐ AF ɡ k ɐ AF t ɐ AF ʔ o AF n
maglalang	m ɐ AF ɡ l ɐ AF l ɐ AF ŋ
maglanggas	m ɐ AF ɡ l ɐ AF ŋ ɡ a AD s
maglangib	m ɐ AF ɡ l ɐ AF ŋ i AD b
maglango	m ɐ AF ɡ l ɐ AF ŋ o AF
maglantod	m ɐ AF ɡ l ɐ AF n t o AF d
maglapa	m ɐ AF ɡ l a AD p ɐ AF ʔ
maglarawan	m ɐ AF ɡ l ɐ AF ɾ ɐ AF w AC ɐ AF n
maglaro	m ɐ AF ɡ l ɐ AF ɾ o AF ʔ
maglaso	m ɐ AF ɡ l ɐ AF s o AF
maglaway	m ɐ AF ɡ l ɐ AF w AC a AD ɪ̯ AG
maglingid	m ɐ AF ɡ l ɪ AD ŋ i AD d
maglingkod	m ɐ AF ɡ l ɪ AD ŋ k o AF d
maglola	m ɐ AF ɡ l o AF l ɐ AF
maglolo	m ɐ AF ɡ l o AF l o AF
magmaliw	m ɐ AF ɡ m ɐ AF l ɪ AD ʊ̯ AH
magmartsa	m ɐ AF ɡ m ɐ AF ɾ t ʃ ɐ AF
magnakaw	m ɐ AF ɡ n a AD x a AD ʊ̯ AH
magno	m ɐ AF ɡ n o AF
magpalaganap	m ɐ AF ɡ p ɐ AF l ɐ AF ɰ AB a AD n ɐ AF p
magpanatili	m ɐ AF ɡ p ɐ AF n ɐ AF t ɪ AD l ɪ AD
magparaya	m ɐ AF ɡ p ɐ AF ɾ ɐ AF j AB ɐ AF ʔ
magpasubasta	m ɐ AF ɡ p ɐ AF s ʊ AF b ɐ AF s t ɐ AF
magpaubaya	m ɐ AF ɡ p ɐ AF ʔ ʊ AF b ɐ AF j AB ɐ AF ʔ
magpraktis	m ɐ AF ɡ p ɾ ɐ AF k t ɪ AD s
magrenta	m ɐ AF ɡ ɾ ɛ AD n t ɐ AF
magsalang	m ɐ AF ɡ s a AD l ɐ AF ŋ
magsaliksik	m ɐ AF ɡ s ɐ AF l ɪ AD k s i AD k
magsimba	m ɐ AF ɡ s ɪ AD m b a AD
magsiwalat	m ɐ AF ɡ s ɪ AD w AC a AD l ɐ AF t
magsugal	m ɐ AF ɡ s ʊ AF ɰ AB a AD l
magsuntukan	m ɐ AF ɡ s ʊ AF n t ʊ AF x ɐ AF n
magtalas	m ɐ AF ɡ t ɐ AF l ɐ AF s
magtalo	m ɐ AF ɡ t ɐ AF l o AF
magustuhan	m ɐ AF ɰ AB ʊ AF s t ʊ AF h AA a AD n
mahinay	m ɐ AF h AA ɪ AD n a AD ɪ̯ AG
mahirap	m ɐ AF h AA i AD ɾ ɐ AF p
maingay	m ɐ AF ʔ i AD ŋ a AD ɪ̯ AG
mais	m ɐ AF ʔ i AD s
makalat	m ɐ AF x a AD l ɐ AF t
makaluma	m ɐ AF x ɐ AF l u AF m ɐ AF ʔ
makapuno	m ɐ AF x ɐ AF p ʊ AF n o AF ʔ
makatotohanan	m ɐ AF x ɐ AF t o AF t o AF h AA ɐ AF n ɐ AF n
makatulog	m ɐ AF x ɐ AF t ʊ AF l o AF ɡ
makiapid	m ɐ AF x i AD ʔ ɐ AF p i AD d
makibahagi	m ɐ AF x ɪ AD b ɐ AF h AA a AD ɰ AB ɪ AD ʔ
makina	m a AD x ɪ AD n ɐ AF
makinis	m ɐ AF x ɪ AD n ɪ AD s
makipagbati	m ɐ AF x ɪ AD p ɐ AF ɡ b ɐ AF t i AD ʔ
makipagsuntukan	m ɐ AF x ɪ AD p ɐ AF ɡ s ʊ AF n t ʊ AF x ɐ AF n
makontento	m ɐ AF x o AF n t ɛ AD n t o AF
makulimlim	m ɐ AF x ʊ AF l ɪ AD m l i AD m
makunan	m ɐ AF x ʊ AF n ɐ AF n
malabuyoc	m ɐ AF l ɐ AF b ʊ AF j AB o AF k
malakanyang	m ɐ AF l ɐ AF x ɐ AF ɲ ɐ AF ŋ
malaluan	m ɐ AF l ɐ AF l ʊ AF ɐ AF n
malambot	m ɐ AF l ɐ AF m b o AF t
malas	m ɐ AF l ɐ AF s
malaswa	m ɐ AF l ɐ AF s w AC a AD ʔ
malibiran	m ɐ AF l ɪ AD b ɪ AD ɾ ɐ AF n
malicsi	m ɐ AF l ɪ AD k s ɪ AD
maligaw	m ɐ AF l ɪ AD ɰ AB a AD ʊ̯ AH
malihan	m ɐ AF l ɪ AD h AA ɐ AF n
maliksi	m ɐ AF l ɪ AD k s ɪ AD
mallare	m ɐ AF l l ɐ AF ɾ ɛ AD
mallorca	m ɐ AF l l o AF ɾ k ɐ AF
malubak	m ɐ AF l ʊ AF b a AD k
mamagitan	m ɐ AF m ɐ AF ɰ AB i AD t ɐ AF n
mamahagi	m ɐ AF m ɐ AF h AA a AD ɰ AB ɪ AD ʔ
mamakyaw	m ɐ AF m ɐ AF k j AB a AD ʊ̯ AH
mamanhikan	m ɐ AF m ɐ AF ŋ h AA ɪ AD x ɐ AF n
mamaril	m ɐ AF m ɐ AF ɾ ɪ AD l
mamasada	m ɐ AF m ɐ AF s ɐ AF d ɐ AF
mamasura	m ɐ AF m ɐ AF s ʊ AF ɾ ɐ AF
mambabae	m ɐ AF m b ɐ AF b ɐ AF ʔ ɛ AD
mambola	m ɐ AF m b o AF l ɐ AF
mamboso	m ɐ AF m b o AF s o AF
mambugaw	m ɐ AF m b u AF ɰ AB a AD ʊ̯ AH
mambuwisit	m ɐ AF m b w AC i AD s ɪ AD t
mamigay	m ɐ AF m ɪ AD ɰ AB a AD ɪ̯ AG
mamihasa	m ɐ AF m ɪ AD h AA a AD s ɐ AF ʔ
mamimili	m ɐ AF m ɪ AD m ɪ AD l ɪ AD
mamintog	m ɐ AF m ɪ AD n t o AF ɡ
mamuhunan	m ɐ AF m ʊ AF h AA ʊ AF n ɐ AF n
mamulaklak	m ɐ AF m ʊ AF l ɐ AF k l a AD k
mamuti	m ɐ AF m ʊ AF t i AD ʔ
mamuyac	m ɐ AF m ʊ AF j AB ɐ AF k
manabat	m ɐ AF n ɐ AF b ɐ AF t
manabunot	m ɐ AF n ɐ AF b ʊ AF n o AF t
managinip	m ɐ AF n ɐ AF ɰ AB i AD n ɪ AD p
manakit	m ɐ AF n ɐ AF x i AD t
manalad	m ɐ AF n ɐ AF l ɐ AF d
manalo	m ɐ AF n a AD l o AF
manaloto	m ɐ AF n ɐ AF l o AF t o AF
manamantala	m ɐ AF n ɐ AF m ɐ AF n t ɐ AF l a AD
mananahi	m ɐ AF n ɐ AF n ɐ AF h AA i AD ʔ
manananggal	m ɐ AF n ɐ AF n ɐ AF ŋ ɡ a AD l
manangan	m ɐ AF n ɐ AF ŋ ɐ AF n
mananghalian	m ɐ AF n ɐ AF ŋ h AA ɐ AF l i AD ʔ ɐ AF n
mananquil	m ɐ AF n ɐ AF ŋ k ɪ AD l
manantan	m ɐ AF n ɐ AF n t ɐ AF n
manaog	m ɐ AF n ɐ AF o AF ɡ
manaois	m ɐ AF n ɐ AF o AF ɪ̯ AG s
manarang	m ɐ AF n ɐ AF ɾ ɐ AF ŋ
manatad	m ɐ AF n ɐ AF t ɐ AF d
mancao	m ɐ AF ŋ k a AD ʊ̯ AH
mandaragat	m ɐ AF n d ɐ AF ɾ ɐ AF ɰ AB a AD t
mandirigma	m ɐ AF n d ɪ AD ɾ ɪ AD ɡ m a AD ʔ
mandocdoc	m ɐ AF n d o AF k d o AF k
mandukot	m ɐ AF n d u AF x o AF t
mandurukot	m ɐ AF n d ʊ AF ɾ u AF x o AF t
mangagat	m ɐ AF ŋ ɐ AF ɰ AB a AD t
mangailangan	m ɐ AF ŋ ɐ AF ʔ ɪ AD l ɐ AF ŋ ɐ AF n
mangalunya	m ɐ AF ŋ ɐ AF l ʊ AF ɲ a AD ʔ
mangamba	m ɐ AF ŋ ɐ AF m b a AD
mangamote	m ɐ AF ŋ ɐ AF m o AF t ɛ AD
manganak	m ɐ AF ŋ ɐ AF n a AD k
mangaoang	m ɐ AF ŋ ɐ AF w AC ɐ AF ŋ
mangaway	m ɐ AF ŋ ɐ AF w AC a AD ɪ̯ AG
manggagantso	m ɐ AF ŋ ɡ ɐ AF ɰ AB ɐ AF n t ʃ o AF
manggantso	m ɐ AF ŋ ɡ ɐ AF n t ʃ o AF
manggas	m ɐ AF ŋ ɡ a AD s
manggulo	m ɐ AF ŋ ɡ ʊ AF l o AF
manghawa	m ɐ AF ŋ h AA ɐ AF w AC ɐ AF
manghimasok	m ɐ AF ŋ h AA ɪ AD m a AD s o AF k
manghuhula	m ɐ AF ŋ h AA ʊ AF h AA u AF l ɐ AF ʔ
manghula	m ɐ AF ŋ h AA u AF l ɐ AF ʔ
manghusga	m ɐ AF ŋ h AA ʊ AF s ɡ a AD
mangikil	m ɐ AF ŋ i AD x ɪ AD l
mangilit	m ɐ AF ŋ ɪ AD l ɪ AD t
mangingisda	m ɐ AF ŋ ɪ AD ŋ ɪ AD s d a AD ʔ
mangisay	m ɐ AF ŋ ɪ AD s a AD ɪ̯ AG
mangisda	m ɐ AF ŋ ɪ AD s d a AD ʔ
mangitlog	m ɐ AF ŋ ɪ AD t l o AF ɡ
mangkok	m ɐ AF ŋ k o AF k
manglicmot	m ɐ AF ŋ l ɪ AD k m o AF t
mangoba	m ɐ AF ŋ o AF b ɐ AF
mangopya	m ɐ AF ŋ o AF p j AB ɐ AF
mangubra	m ɐ AF ŋ ʊ AF b ɾ a AD
manguiat	m ɐ AF ŋ ɪ AD ɐ AF t
mangulabnan	m ɐ AF ŋ ʊ AF l ɐ AF b n ɐ AF n
mangulangot	m ɐ AF ŋ ʊ AF l a AD ŋ o AF t
mangupit	m ɐ AF ŋ u AF p ɪ AD t
manhid	m ɐ AF ŋ h AA i AD d
maniago	m ɐ AF n ɪ AD ɐ AF ɰ AB o AF
maniego	m ɐ AF ɲ ɛ AD ɰ AB o AF
manilaw	m ɐ AF n ɪ AD l a AD ʊ̯ AH
manilip	m ɐ AF n i AD l ɪ AD p
manindigan	m ɐ AF n ɪ AD n d ɪ AD ɰ AB ɐ AF n
maniquiz	m ɐ AF n ɪ AD x ɪ AD s
manlaban	m ɐ AF n l ɐ AF b a AD n
manlait	m ɐ AF n l ɐ AF ʔ ɪ AD t
manlangit	m ɐ AF n l ɐ AF ŋ ɪ AD t
manlapaz	m ɐ AF n l ɐ AF p ɐ AF s
manlapig	m ɐ AF n l ɐ AF p ɪ AD ɡ
manloko	m ɐ AF n l o AF x o AF
manlutac	m ɐ AF n l ʊ AF t ɐ AF k
manrique	m ɐ AF n ɾ ɪ AD x ɛ AD
mansiyon	m ɐ AF n ʃ o AF n
mantika	m ɐ AF n t i AD x ɐ AF ʔ
manuhol	m ɐ AF n u AF h AA o AF l
manuntok	m ɐ AF n ʊ AF n t o AF k
mapagmatyag	m ɐ AF p ɐ AF ɡ m ɐ AF t ʃ a AD ɡ
mapagsamantala	m ɐ AF p ɐ AF ɡ s ɐ AF m ɐ AF n t ɐ AF l a AD
mapahiya	m ɐ AF p ɐ AF h AA ɪ AD a AD ʔ
mapalad	m ɐ AF p ɐ AF l ɐ AF d
mapanghusga	m ɐ AF p a AD ŋ h AA ʊ AF s ɡ a AD
mapangutya	m ɐ AF p a AD ŋ ʊ AF t ʃ a AD ʔ
mapaniil	m ɐ AF p ɐ AF n ɪ AD i AD l
mapusyaw	m ɐ AF p ʊ AF ʃ ɐ AF u AF
maralit	m ɐ AF ɾ ɐ AF l ɪ AD t
marapao	m ɐ AF ɾ ɐ AF p ɐ AF o AF
maravilla	m ɐ AF ɾ ɐ AF b ɪ AD l l ɐ AF
marbella	m ɐ AF ɾ b ɛ AD l l ɐ AF
marcial	m ɐ AF ɾ ʃ ɐ AF l
maristela	m ɐ AF ɾ ɪ AD s t ɛ AD l ɐ AF
mariñas	m ɐ AF ɾ ɪ AD ɲ ɐ AF s
marquez	m ɐ AF ɾ k ɛ AD s
marquinez	m ɐ AF ɾ k ɪ AD n ɛ AD s
marupok	m ɐ AF ɾ ʊ AF p o AF k
masabon	m ɐ AF s ɐ AF b o AF n
masaker	m ɐ AF s ɐ AF x ɛ AD ɾ
masamid	m a AD s ɐ AF m i AD d
masangcay	m ɐ AF s ɐ AF ŋ k a AD ɪ̯ AG
masangkay	m ɐ AF s ɐ AF ŋ k a AD ɪ̯ AG
maselan	m ɐ AF s ɛ AD l ɐ AF n
maski	m ɐ AF s k i AD
masukal	m ɐ AF s u AF x ɐ AF l
masurot	m ɐ AF s ʊ AF ɾ o AF t
mataasnakahoy	m ɐ AF t ɐ AF ʔ a AD s n ɐ AF x ɐ AF h AA o AF ɪ̯ AG
matae	m ɐ AF t ɐ AF ʔ ɛ AD
matalo	m ɐ AF t a AD l o AF
matatakutin	m ɐ AF t ɐ AF t ɐ AF x ʊ AF t i AD n
matauhan	m ɐ AF t ɐ AF ʔ u AF h AA ɐ AF n
matibag	m ɐ AF t ɪ AD b ɐ AF ɡ
matigas	m ɐ AF t ɪ AD ɰ AB a AD s
matisod	m ɐ AF t i AD s o AF d
matrapik	m ɐ AF t ɾ a AD p ɪ AD k
mauleon	m a AD ʊ̯ AH l ɛ AD o AF n
maunahan	m a AD ʊ̯ AH n ɐ AF h AA ɐ AF n
maya	m a AD j AB ɐ AF
mayuga	m ɐ AF j AB ʊ AF ɰ AB ɐ AF
mañago	m ɐ AF ɲ ɐ AF ɰ AB o AF
mañalac	m ɐ AF ɲ ɐ AF l ɐ AF k
medalya	m ɛ AD d a AD l j AB ɐ AF
medrano	m ɛ AD d ɾ ɐ AF n o AF
melegrito	m ɛ AD l ɛ AD ɡ ɾ ɪ AD t o AF
menchavez	m ɛ AD n t ʃ ɐ AF b ɛ AD s
menorca	m ɛ AD n o AF ɾ k ɐ AF
meryenda	m ɛ AD ɾ j AB ɛ AD n d ɐ AF
mesa	m ɛ AD s ɐ AF
michelena	m ɪ AD t ʃ ɛ AD l ɛ AD n ɐ AF
mijares	m ɪ AD d ʒ ɐ AF ɾ ɛ AD s
militante	m ɪ AD l ɪ AD t ɐ AF n t ɛ AD
minviluz	m ɪ AD n b ɪ AD l ʊ AF s
miranda	m ɪ AD ɾ ɐ AF n d ɐ AF
misteryo	m ɪ AD s t ɛ AD ɾ j AB o AF
mitsa	m ɪ AD t ʃ a AD
mondragon	m o AF n d ɾ ɐ AF ɰ AB o AF n
montealegre	m o AF n t ɛ AD ɐ AF l ɛ AD ɡ ɾ ɛ AD
montecalvo	m o AF n t ɛ AD x ɐ AF l b o AF
montejo	ʔ ɐ AF l k a AD ɪ̯ AG d ɛ AD
montillano	m o AF n t ɪ AD l l ɐ AF n o AF
montinola	m o AF n t ɪ AD n o AF l ɐ AF
montoya	m o AF n t o AF j AB ɐ AF
morato	m o AF ɾ ɐ AF t o AF
munggo	m ʊ AF ŋ ɡ o AF
mura	m u AF ɾ ɐ AF
musika	m u AF s ɪ AD x ɐ AF
musoleyo	m ʊ AF s o AF l ɛ AD j AB o AF
mutuc	m ʊ AF t ʊ AF k
nacpil	n ɐ AF k p ɪ AD l
nagbabaon	n ɐ AF ɡ b ɐ AF b ɐ AF ʔ o AF n
nagbaon	n ɐ AF ɡ b ɐ AF ʔ o AF n
nakakaalarma	n ɐ AF x ɐ AF k ɐ AF ɐ AF l ɐ AF ɾ m ɐ AF
nakakabingi	n ɐ AF x ɐ AF k ɐ AF b ɪ AD ŋ i AD
nakakabuwisit	n ɐ AF x ɐ AF k ɐ AF b w AC i AD s ɪ AD t
nakakabwisit	n ɐ AF x ɐ AF k ɐ AF b w AC i AD s ɪ AD t
nakakahawa	n ɐ AF x ɐ AF k ɐ AF h AA a AD w AC ɐ AF
nakakaintriga	n ɐ AF x ɐ AF k ɐ AF ʔ ɪ AD n t ɾ ɪ AD ɰ AB ɐ AF
nakakaloko	n ɐ AF x ɐ AF k ɐ AF l o AF x o AF
nakakatakot	n ɐ AF x ɐ AF k ɐ AF t a AD x o AF t
nakamulaga	n ɐ AF x ɐ AF m ʊ AF l ɐ AF ɰ AB a AD ʔ
nakawin	n ɐ AF x ɐ AF w AC ɪ AD n
nakpil	n ɐ AF k p ɪ AD l
nanlilimahid	n ɐ AF n l ɪ AD l ɪ AD m a AD h AA ɪ AD d
narvaez	n ɐ AF ɾ b ɐ AF ɛ AD s
natae	n ɐ AF t ɐ AF ʔ ɛ AD
navoa	n ɐ AF b o AF ɐ AF
ngalan	ŋ a AD l ɐ AF n
ngimay	ŋ ɪ AD m a AD ɪ̯ AG
nguso	ŋ ʊ AF s o AF ʔ
nguya	ŋ ʊ AF j AB ɐ AF ʔ
nicdao	n ɪ AD k d ɐ AF o AF
nietes	ɲ ɛ AD t ɛ AD s
niknik	n ɪ AD k n i AD k
nilabhan	n ɪ AD l ɐ AF b h AA a AD n
ninang	n ɪ AD n ɐ AF ŋ
niyo	ɲ o AF
nobela	n o AF b ɛ AD l ɐ AF
nobleza	n o AF b l ɛ AD s ɐ AF
nolasco	n o AF l ɐ AF s k o AF
noriega	n o AF ɾ j AB ɛ AD ɰ AB ɐ AF
notarte	n o AF t ɐ AF ɾ t ɛ AD
nuevo	n ʊ AF ɛ AD b o AF
obligacion	ʔ o AF b l ɪ AD ɰ AB ɐ AF ʃ o AF n
ocampo	ʔ o AF x ɐ AF m p o AF
olaguer	ʔ o AF l ɐ AF ɰ AB ɛ AD ɾ
olaivar	ʔ o AF l a AD ɪ̯ AG b ɐ AF ɾ
olalia	ʔ o AF l ɐ AF l ɪ AD ɐ AF
olayvar	ʔ o AF l a AD ɪ̯ AG b ɐ AF ɾ
oliva	ʔ o AF l ɪ AD b ɐ AF
olivares	ʔ o AF l ɪ AD b ɐ AF ɾ ɛ AD s
oliveros	ʔ o AF l ɪ AD b ɛ AD ɾ o AF s
ongkiko	ʔ o AF ŋ k ɪ AD x o AF
opeña	ʔ o AF p ɛ AD ɲ ɐ AF
opisyales	ʔ o AF p ɪ AD ʃ ɐ AF l ɛ AD s
opyum	ʔ o AF p j AB ʊ AF m
oracion	ʔ o AF ɾ ɐ AF ʃ o AF n
orendain	ʔ o AF ɾ ɛ AD n d a AD ɪ̯ AG n
oribello	ʔ o AF ɾ ɪ AD b ɛ AD l l o AF
pabor	p ɐ AF b o AF ɾ
paborito	p ɐ AF b o AF ɾ a AD b l ɛ AD
pacana	p ɐ AF x ɐ AF n ɐ AF
pacaña	p ɐ AF x ɐ AF ɲ ɐ AF
pader	p ɐ AF d ɛ AD ɾ
pagala	p ɐ AF ɰ AB a AD l ɐ AF ʔ
pagbasehan	p ɐ AF ɡ b ɐ AF s ɛ AD h AA ɐ AF n
pagbati	p ɐ AF ɡ b a AD t ɪ AD ʔ
pagbubuntis	p ɐ AF ɡ b ʊ AF b ʊ AF n t i AD s
pagcaliwagan	p ɐ AF ɡ k ɐ AF l ɪ AD w AC ɐ AF ɰ AB ɐ AF n
pagdilao	p ɐ AF ɡ d ɪ AD l a AD ʊ̯ AH
paggiba	p ɐ AF ɡ ɡ ɪ AD b a AD ʔ
pagi	p a AD ɰ AB ɪ AD
pagitan	p ɐ AF ɰ AB i AD t ɐ AF n
pagkakataon	p ɐ AF ɡ k ɐ AF x ɐ AF t ɐ AF ʔ o AF n
pagmamadali	p ɐ AF ɡ m ɐ AF m ɐ AF d ɐ AF l i AD ʔ
pagnanakaw	p ɐ AF ɡ n ɐ AF n a AD x a AD ʊ̯ AH
pagsamantalahan	p ɐ AF ɡ s ɐ AF m ɐ AF n t ɐ AF l ɐ AF h AA a AD n
pagsanjan	p ɐ AF ɡ s ɐ AF ŋ h AA a AD n
pagsuway	p ɐ AF ɡ s w AC a AD ɪ̯ AG
pagtakhan	p ɐ AF ɡ t ɐ AF k h AA ɐ AF n
pagtripan	p ɐ AF ɡ t ɾ ɪ AD p a AD n
pagtutulungan	p ɐ AF ɡ t ʊ AF t ʊ AF l ʊ AF ŋ a AD n
paguia	p ɐ AF ɡ j AB ɐ AF
paguio	p ɐ AF ɡ j AB o AF
pahina	p a AD h AA ɪ AD n ɐ AF
pahintulot	p ɐ AF h AA ɪ AD n t ʊ AF l o AF t
pahiyain	p ɐ AF h AA ɪ AD ɐ AF ʔ i AD n
pajares	p ɐ AF d ʒ ɐ AF ɾ ɛ AD s
pakla	p ɐ AF k l a AD
pakulo	p ɐ AF x ʊ AF l o AF ʔ
palacol	p ɐ AF l ɐ AF x o AF l
palafox	p ɐ AF l ɐ AF p o AF k s
palahaw	p ɐ AF l a AD h AA a AD ʊ̯ AH
palakol	p ɐ AF l ɐ AF x o AF l
palamuti	p ɐ AF l ɐ AF m ʊ AF t i AD ʔ
palaspas	p ɐ AF l ɐ AF s p a AD s
palayan	p ɐ AF l ɐ AF j AB a AD n
palayasin	p ɐ AF l ɐ AF j AB a AD s ɪ AD n
palima	p ɐ AF l ɪ AD m ɐ AF
palisoc	p ɐ AF l ɪ AD s o AF k
palit	p ɐ AF l i AD t
palitada	p ɐ AF l ɪ AD t ɐ AF d ɐ AF
palitadahan	p ɐ AF l ɪ AD t ɐ AF d ɐ AF h AA ɐ AF n
palitan	p ɐ AF l ɪ AD t a AD n
palomares	p ɐ AF l o AF m ɐ AF ɾ ɛ AD s
pamalo	p ɐ AF m ɐ AF l o AF ʔ
pamamanhikan	p ɐ AF m ɐ AF m ɐ AF ŋ h AA ɪ AD x ɐ AF n
pamamaril	p ɐ AF m ɐ AF m ɐ AF ɾ i AD l
pamaypay	p ɐ AF m a AD ɪ̯ AG p a AD ɪ̯ AG
pamimilosopo	p ɐ AF m ɪ AD m ɪ AD l o AF s o AF p o AF
paminta	p ɐ AF m ɪ AD n t a AD
pamintuan	p ɐ AF m ɪ AD n t ʊ AF ɐ AF n
panalangin	p ɐ AF n ɐ AF l ɐ AF ŋ ɪ AD n
panalo	p ɐ AF n a AD l o AF
pananabotahe	p ɐ AF n ɐ AF n ɐ AF b o AF t ɐ AF h AA ɛ AD
pananagutan	p ɐ AF n ɐ AF n ɐ AF ɰ AB ʊ AF t ɐ AF n
pandemya	p ɐ AF n d ɛ AD m j AB ɐ AF
