ँ	ə̃ AN
तसला	t̪ AB ə AJ s̪ AB l̪ AD äː
तसल्ली	t̪ AB ə AJ s̪ AB ə AJ l̪ AD l̪ AD iː AJ
तसव्वुर	t̪ AB ə AJ s̪ AB ə AJ ʋ AI ʋ AI ʊ AK ɾ BA
तस्कर	t̪ AB ə AJ s̪ AB k AB ə AJ ɾ BA
तस्करी	t̪ AB ə AJ s̪ AB k AB ə AJ ɾ BA iː AJ
तस्दीक़	t̪ AB ə AJ s̪ AB d̪ AB iː AJ q AB
तस्वीर	t̪ AB ə AJ s̪ AB ʋ AI iː AJ ɾ BA
तहज़ीब	t̪ AB ɛ AJ ɦ AL z AB iː AJ b AG
तहत	t̪ AB ɛ AJ ɦ AL ɛ AJ t̪ AB
तहरी	t̪ AB ɛ AJ ɦ AL ɾ BA iː AJ
तहलका	t̪ AB ɛ AJ ɦ AL ɛ AJ l̪ AD k AB äː
तहसील	t̪ AB ɛ AJ ɦ AL s̪ AB iː AJ l̪ AD
ता	t̪ AB äː
ताँबा	t̪ AB ä̃ː m AE b AG äː
ताइवान	t̪ AB äː ɪ AJ ʋ AI ä̃ː n̪ AF
ताई	t̪ AB äː iː AJ
ताउम्र	t̪ AB äː ʊ̃ AM m AE ɾ BA
ताऊ	t̪ AB äː uː AK
ताक	t̪ AB äː k AB
ताकना	t̪ AB äː k AB n̪ AF äː
ताक़त	t̪ AB äː q AB ə AJ t̪ AB
ताक़तवर	t̪ AB äː q AB ə AJ t̪ AB w AI ə AJ ɾ BA
ताकि	t̪ AB äː k AB iː AJ
ताज	t̪ AB äː d AB ʒ AB
ताजपोशी	t̪ AB äː d AB ʒ AB p AG oː AK ʃ AB iː AJ
ताज़ा	t̪ AB äː z AB äː
ताजिकिस्तान	t̪ AB äː d AB ʒ AB ɪ AJ k AB ɪ AJ s̪ AB t̪ AB ä̃ː n̪ AF
ताड़	t̪ AB äː ɽ BA
ताड़ी	t̪ AB äː ɽ BA iː AJ
तातार	t̪ AB äː t̪ AB äː ɾ BA
तात्क्षणिक	t̪ AB äː t̪ AB k AB ʃ AB ə AJ ɳ AF ɪ AJ k AB
तादाद	t̪ AB äː d̪ AB äː d̪ AB
तान	t̪ AB ä̃ː n̪ AF
तानना	t̪ AB ä̃ː n̪ AF n̪ AF äː
तानाशाह	t̪ AB äː n̪ AF äː ʃ AB äː ɦ AL
ताप	t̪ AB äː p AG
तापक्रम	t̪ AB äː p AG ə AJ k AB ɾ BA ə̃ AN m AE
तापना	t̪ AB äː p AG n̪ AF äː
ताबीर	t̪ AB äː b AG iː AJ ɾ BA
तामील	t̪ AB äː m AE iː AJ l̪ AD
ताम्र	t̪ AB ä̃ː m AE ɾ BA
ताया	t̪ AB äː j AA äː
तारख़ाना	t̪ AB äː ɾ BA x AB äː n̪ AF äː
तारपीन	t̪ AB äː ɾ BA p AG ĩː n̪ AF
तारा	t̪ AB äː ɾ BA äː
तारीख़	t̪ AB äː ɾ BA iː AJ x AB
तारीफ	t̪ AB äː ɾ BA iː AJ pʰ AH
तारीफ़	t̪ AB äː ɾ BA iː AJ pʰ AH
ताल	t̪ AB äː l̪ AD
तालमेल	t̪ AB äː l̪ AD m AE eː AJ l̪ AD
तालव्य	t̪ AB äː l̪ AD ə AJ ʋ AI j AA ə AJ
तालाब	t̪ AB äː l̪ AD äː b AG
तालाबंदी	t̪ AB äː l̪ AD äː b AG ə̃ AN n̪ AF d̪ AB iː AJ
तालिका	t̪ AB äː l̪ AD ɪ AJ k AB äː
तालिब	t̪ AB äː l̪ AD ɪ AJ b AG
तालियों	t̪ AB äː l̪ AD i AJ j AA õː
तालीम	t̪ AB äː l̪ AD ĩː m AE
तालु	t̪ AB äː l̪ AD uː AK
ताल्लुक	t̪ AB äː l̪ AD l̪ AD ʊ AK q AB
ताल्लुक़	t̪ AB äː l̪ AD l̪ AD ʊ AK q AB
तावीज़	t̪ AB äː ʋ AI iː AJ z AB
ताश	t̪ AB äː ʃ AB
ताशकंद	t̪ AB äː ʃ AB k AB ə̃ AN n̪ AF d̪ AB
तासीर	t̪ AB äː s̪ AB iː AJ ɾ BA
तिंदिश	t̪ AB ɪ̃ AN n̪ AF d̪ AB ɪ AJ ʃ AB
तिकड़म	t̪ AB ɪ AJ k AB ɽ BA ə̃ AN m AE
तिक्की	t̪ AB ɪ AJ k̚ k AB iː AJ
तितली	t̪ AB ɪ AJ t̪ AB l̪ AD iː AJ
तिनका	t̪ AB ɪ̃ AN n̪ AF k AB äː
तिनसुकिया	t̪ AB ɪ̃ AN n̪ AF s̪ AB ʊ AK k AB i AJ j AA äː
तिपहिया	t̪ AB ɪ AJ p AG ə AJ ɦ AL i AJ j AA äː
तिब्बत	t̪ AB ɪ AJ b̚ b AG ə AJ t̪ AB
तिब्बती	t̪ AB ɪ AJ b̚ b AG ə AJ t̪ AB iː AJ
तिमाही	t̪ AB ɪ AJ m AE äː ɦ AL iː AJ
तिरंगा	t̪ AB ɪ AJ ɾ BA ə̃ AN ŋ AF ɡ AB äː
तिरछा	t̪ AB ɪ AJ ɾ BA t AB ʃʰ AC äː
तिरपन	t̪ AB ɪ AJ ɾ BA p AG ə̃ AN n̪ AF
तिरपाल	t̪ AB ɪ AJ ɾ BA p AG äː l̪ AD
तिरसठ	t̪ AB ɪ AJ ɾ BA s̪ AB ə AJ ʈʰ AC
तिरस्कार	t̪ AB ɪ AJ ɾ BA ə AJ s̪ AB k AB äː ɾ BA
तिरानवे	t̪ AB ɪ AJ ɾ BA ä̃ː n̪ AF w AI eː AJ
तिरासी	t̪ AB ɪ AJ ɾ BA äː s̪ AB iː AJ
तिरुचिरापल्ली	t̪ AB ɪ AJ ɾ BA ʊ AK t AB ʃ AB ɪ AJ ɾ BA äː p AG ə AJ l̪ AD l̪ AD iː AJ
तिरुवनंतपुरम	t̪ AB ɪ AJ ɾ BA ʊ AK ʋ AI ə AJ n̪ AF ə̃ AN n̪ AF t̪ AB ə AJ p AG ʊ AK ɾ BA ə̃ AN m AE
तिल	t̪ AB ɪ AJ l̪ AD
तिलंगा	t̪ AB ɪ AJ l̪ AD ə̃ AN ŋ AF ɡ AB äː
तिलक	t̪ AB ɪ AJ l̪ AD ə AJ k AB
तिलचट्टा	t̪ AB ɪ AJ l̪ AD t AB ʃ AB ə AJ ʈ̚ ʈ AB äː
तिलहन	t̪ AB ɪ AJ l̪ AD ɦ AL ə̃ AN n̪ AF
तिल्ली	t̪ AB ɪ AJ l̪ AD l̪ AD iː AJ
तिहत्तर	t̪ AB ɪ AJ ɦ AL ə AJ t̪̚ t̪ AB ə AJ ɾ BA
तीखा	t̪ AB iː AJ kʰ AC äː
तीन	t̪ AB ĩː n̪ AF
तीरंदाज़	t̪ AB iː AJ ɾ BA ə̃ AN n̪ AF d̪ AB äː z AB
तीरंदाज़ी	t̪ AB iː AJ ɾ BA ə̃ AN n̪ AF d̪ AB äː z AB iː AJ
तीली	t̪ AB iː AJ l̪ AD iː AJ
तीव्रता	t̪ AB iː AJ ʋ AI ɾ BA ə AJ t̪ AB äː
तीस	t̪ AB iː AJ s̪ AB
तीसरा	t̪ AB iː AJ s̪ AB ɾ BA äː
तुंग	t̪ AB ʊ̃ AM ŋ AF ɡ AB
तुकांत	t̪ AB ʊ AK k AB ä̃ː n̪ AF t̪ AB
तुक्का	t̪ AB ʊ AK k̚ k AB äː
तुग़लक़	t̪ AB ʊ AK ɣ AB l̪ AD ə AJ q AB
तुफ़ंग	t̪ AB ʊ AK pʰ AH ə̃ AN ŋ AF ɡ AB
तुम	t̪ AB ʊ̃ AM m AE
तुमने	t̪ AB ʊ̃ AM m AE n̪ AF eː AJ
तुम्हारा	t̪ AB ʊ̃ AM m AE ɦ AL äː ɾ BA äː
तुम्हें	t̪ AB ʊ̃ AM m AE ɦ AL ẽː
तुरन्त	t̪ AB ʊ AK ɾ BA ə̃ AN n̪ AF t̪ AB
तुर्कमेनिस्तान	t̪ AB ʊ AK ɾ BA k AB m AE eː AJ n̪ AF ɪ AJ s̪ AB t̪ AB ä̃ː n̪ AF
तुर्किस्तान	t̪ AB ʊ AK ɾ BA k AB ɪ AJ s̪ AB t̪ AB ä̃ː n̪ AF
तुलनात्मक	t̪ AB ʊ AK l̪ AD ə AJ n̪ AF äː t̪ AB m AE ə AJ k AB
तुलसी	t̪ AB ʊ AK l̪ AD s̪ AB iː AJ
तुलसीदास	t̪ AB ʊ AK l̪ AD s̪ AB iː AJ d̪ AB äː s̪ AB
तुलित	t̪ AB ʊ AK l̪ AD ɪ AJ t̪ AB
तुल्य	t̪ AB ʊ AK l̪ AD j AA
तुष्टीकरण	t̪ AB ʊ AK ʃ AB ʈ AB iː AJ k AB ə AJ ɾ BA ə̃ AN ɳ AF
तूने	t̪ AB uː AK n̪ AF eː AJ
तूफ़ान	t̪ AB uː AK pʰ AH ä̃ː n̪ AF
तृण	t̪ AB ɾ BA ɪ̃ AN ɳ AF
तृष्णा	t̪ AB ɾ BA ɪ AJ ʃ AB ɳ AF äː
तेंदुआ	t̪ AB eː AJ n̪ AF d̪ AB ʊ AK aː AJ
तेईस	t̪ AB eː AJ iː AJ s̪ AB
तेजपत्ता	t̪ AB eː AJ d AB ʒ AB p AG ə AJ t̪̚ t̪ AB äː
तेज़ाब	t̪ AB eː AJ z AB äː b AG
तेरह	t̪ AB eː AJ ɾ BA äː
तेरा	t̪ AB eː AJ ɾ BA äː
तेल	t̪ AB eː AJ l̪ AD
तेलंगाना	t̪ AB eː AJ l̪ AD ə̃ AN ŋ AF ɡ AB äː n̪ AF äː
तेलुगू	t̪ AB eː AJ l̪ AD ʊ AK ɡ AB uː AK
तेहरान	t̪ AB eː AJ ɦ AL ɾ BA ä̃ː n̪ AF
तैंतालीस	t̪ AB ɛ̃ː AN n̪ AF t̪ AB äː l̪ AD iː AJ s̪ AB
तैंतीस	t̪ AB ɛ̃ː AN n̪ AF t̪ AB iː AJ s̪ AB
तैनात	t̪ AB ɛː AJ n̪ AF äː t̪ AB
तैनाती	t̪ AB ɛː AJ n̪ AF äː t̪ AB iː AJ
तोंदी	t̪ AB õː n̪ AF d̪ AB iː AJ
तोता	t̪ AB oː AK t̪ AB äː
तोहफ़ा	t̪ AB oː AK ɦ AL pʰ AH äː
तौबा	t̪ AB ə AJ ʊ AK b AG äː
तौल	t̪ AB ɔː AK l̪ AD
तौलिया	t̪ AB ɔː AK l̪ AD i AJ j AA äː
तौहीन	t̪ AB ɔː AK ɦ AL ĩː n̪ AF
त्यागना	t̪ AB j AA äː ɡ AB n̪ AF äː
त्यागपत्र	t̪ AB j AA äː ɡ AB p AG ə AJ t̪ AB ɾ BA
त्यौहार	t̪ AB j AA ɔː AK ɦ AL äː ɾ BA
त्रासद	t̪ AB ɾ BA äː s̪ AB ə AJ d̪ AB
त्रासदी	t̪ AB ɾ BA äː s̪ AB d̪ AB iː AJ
त्रिकोणमितीय	t̪ AB ɾ BA ɪ AJ k AB õː ɳ AF m AE ɪ AJ t̪ AB iː AJ j AA
त्रिज्या	t̪ AB ɾ BA ɪ AJ d AB ʒ AB j AA äː
त्रिपुरा	t̪ AB ɾ BA ɪ AJ p AG ʊ AK ɾ BA äː
त्वचा	t̪ AB w AI ə AJ t AB ʃ AB äː
त्वरण	t̪ AB w AI ə AJ ɾ BA ə̃ AN ɳ AF
त्वरित	t̪ AB w AI ə AJ ɾ BA ɪ AJ t̪ AB
थकना	t̪ʰ AC ə AJ k AB n̪ AF äː
थकान	t̪ʰ AC ə AJ k AB ä̃ː n̪ AF
थकावट	t̪ʰ AC ə AJ k AB äː ʋ AI ə AJ ʈ AB
थन	t̪ʰ AC ə̃ AN n̪ AF
थपथपाना	t̪ʰ AC ə AJ p AG ə AJ t̪ʰ AC p AG äː n̪ AF äː
थप्पड़	t̪ʰ AC ə AJ p̚ p AG ə AJ ɽ BA
थमना	t̪ʰ AC ə̃ AN m AE n̪ AF äː
थमाना	t̪ʰ AC ə AJ m AE äː n̪ AF äː
थरथराना	t̪ʰ AC ə AJ ɾ BA t̪ʰ AC ə AJ ɾ BA äː n̪ AF äː
थर्राना	t̪ʰ AC ə AJ ɾ BA ɾ BA äː n̪ AF äː
था	t̪ʰ AC äː
थाइलैंड	t̪ʰ AC äː ɪ AJ l̪ AD ɛ̃ː AN ɳ AF ɖ AB
थाई	t̪ʰ AC äː iː AJ
थाईलैंड	t̪ʰ AC äː iː AJ l̪ AD ɛ̃ː AN ɳ AF ɖ AB
थाना	t̪ʰ AC äː n̪ AF äː
थानेदार	t̪ʰ AC äː n̪ AF eː AJ d̪ AB äː ɾ BA
थापना	t̪ʰ AC äː p AG n̪ AF äː
थापा	t̪ʰ AC äː p AG äː
थामना	t̪ʰ AC ä̃ː m AE n̪ AF äː
थाली	t̪ʰ AC äː l̪ AD iː AJ
थूकना	t̪ʰ AC uː AK k AB n̪ AF äː
थूथन	t̪ʰ AC uː AK t̪ʰ AC ə̃ AN n̪ AF
थैंक्स	t̪ʰ AC ɛ̃ː AN ŋ AF k AB s̪ AB
थैला	t̪ʰ AC ɛː AJ l̪ AD äː
थोड़ा	t̪ʰ AC oː AK ɽ BA äː
थोपना	t̪ʰ AC oː AK p AG n̪ AF äː
दंग	d̪ AB ə̃ AN ŋ AF ɡ AB
दंगल	d̪ AB ə̃ AN ŋ AF ɡ AB ə AJ l̪ AD
दंगा	d̪ AB ə̃ AN ŋ AF ɡ AB äː
दंड	d̪ AB ə̃ AN ɳ AF ɖ AB
दंत	d̪ AB ə̃ AN n̪ AF t̪ AB
दंतकथा	d̪ AB ə̃ AN n̪ AF t̪ AB k AB ə AJ t̪ʰ AC äː
दंतमंजन	d̪ AB ə̃ AN n̪ AF t̪ AB m AE ə̃ AN n̪ AF d AB ʒ AB ə̃ AN n̪ AF
दंत्य	d̪ AB ə̃ AN n̪ AF t̪ AB j AA
दंदान	d̪ AB ə̃ AN n̪ AF d̪ AB ä̃ː n̪ AF
दंपति	d̪ AB ə̃ AN m AE p AG ə AJ t̪ AB iː AJ
दंपती	d̪ AB ə̃ AN m AE p AG ə AJ t̪ AB iː AJ
दंभ	d̪ AB ə̃ AN m AE bʱ AH
दंश	d̪ AB ə̃ AN n̪ AF ʃ AB
दक्खिन	d̪ AB ə AJ k̚ kʰ AC ɪ̃ AN n̪ AF
दक्खिनी	d̪ AB ə AJ k̚ kʰ AC ɪ AJ n̪ AF iː AJ
दक्ष	d̪ AB ə AJ k AB ʃ AB
दक्षिण	d̪ AB ə AJ k AB ʃ AB ɪ̃ AN ɳ AF
दक्षिणपंथ	d̪ AB ə AJ k AB ʃ AB ɪ̃ AN ɳ AF p AG ə̃ AN n̪ AF t̪ʰ AC
दक्षिणपंथी	d̪ AB ə AJ k AB ʃ AB ɪ̃ AN ɳ AF p AG ə̃ AN n̪ AF t̪ʰ AC iː AJ
दक्षिणा	d̪ AB ə AJ k AB ʃ AB ɪ AJ ɳ AF äː
दक्षिणापथ	d̪ AB ə AJ k AB ʃ AB ɪ AJ ɳ AF äː p AG ə AJ t̪ʰ AC
दख़ल	d̪ AB ə AJ x AB ə AJ l̪ AD
दगला	d̪ AB ə AJ ɡ AB l̪ AD äː
दग़ा	d̪ AB ə AJ ɣ AB äː
दग़ाबाज़	d̪ AB ə AJ ɣ AB äː b AG äː z AB
दफ़न	d̪ AB ə AJ pʰ AH ə̃ AN n̪ AF
दफ़नाना	d̪ AB ə AJ pʰ AH n̪ AF äː n̪ AF äː
दफ़ा	d̪ AB ə AJ pʰ AH äː
दफ़्तरशाह	d̪ AB ə AJ pʰ AH t̪ AB ə AJ ɾ BA ʃ AB äː ɦ AL
दबंग	d̪ AB ə AJ b AG ə̃ AN ŋ AF ɡ AB
दबदबा	d̪ AB ə AJ b AG d̪ AB ə AJ b AG äː
दबाना	d̪ AB ə AJ b AG äː n̪ AF äː
दबाव	d̪ AB ə AJ b AG äː ʋ AI
दबोचना	d̪ AB ə AJ b AG oː AK t AB ʃ AB n̪ AF äː
दम	d̪ AB ə̃ AN m AE
दमन	d̪ AB ə AJ m AE ə̃ AN n̪ AF
दम्पति	d̪ AB ə̃ AN m AE p AG ə AJ t̪ AB iː AJ
दम्पती	d̪ AB ə̃ AN m AE p AG ə AJ t̪ AB iː AJ
दया	d̪ AB ə AJ j AA äː
दरअसल	d̪ AB ə AJ ɾ BA ə AJ s̪ AB ə AJ l̪ AD
दरख़ास्त	d̪ AB ə AJ ɾ BA x AB äː s̪ AB t̪ AB
दरगाह	d̪ AB ə AJ ɾ BA ɡ AB äː ɦ AL
दरबार	d̪ AB ə AJ ɾ BA b AG äː ɾ BA
दरमियान	d̪ AB ə AJ ɾ BA m AE i AJ j AA ä̃ː n̪ AF
दरमियानी	d̪ AB ə AJ ɾ BA m AE i AJ j AA äː n̪ AF iː AJ
दरवाज़ा	d̪ AB ə AJ ɾ BA ʋ AI äː z AB äː
दरांती	d̪ AB ə AJ ɾ BA ä̃ː n̪ AF t̪ AB iː AJ
दराज़	d̪ AB ə AJ ɾ BA äː z AB
दरार	d̪ AB ə AJ ɾ BA äː ɾ BA
दरिंदा	d̪ AB ə AJ ɾ BA ɪ̃ AN n̪ AF d̪ AB äː
दरियाई	d̪ AB ə AJ ɾ BA i AJ j AA äː iː AJ
दरोग़ा	d̪ AB ə AJ ɾ BA oː AK ɣ AB äː
दर्जा	d̪ AB ə AJ ɾ BA d AB ʒ AB äː
दर्दनाक	d̪ AB ə AJ ɾ BA d̪̚ AB n̪ AF äː k AB
दर्पण	d̪ AB ə AJ ɾ BA p AG ə̃ AN ɳ AF
दर्शन	d̪ AB ə AJ ɾ BA ʃ AB ə̃ AN n̪ AF
दर्शनीय	d̪ AB ə AJ ɾ BA ʃ AB ə AJ n̪ AF iː AJ j AA
दर्शाना	d̪ AB ə AJ ɾ BA ʃ AB äː n̪ AF äː
दल	d̪ AB ə AJ l̪ AD
दलदल	d̪ AB ə AJ l̪ AD d̪ AB ə AJ l̪ AD
दलबदलू	d̪ AB ə AJ l̪ AD b AG ə AJ d̪ AB l̪ AD uː AK
दलहन	d̪ AB ə AJ l̪ AD ɦ AL ə̃ AN n̪ AF
दलाल	d̪ AB ə AJ l̪ AD äː l̪ AD
दलित	d̪ AB ə AJ l̪ AD ɪ AJ t̪ AB
दलील	d̪ AB ə AJ l̪ AD iː AJ l̪ AD
दवा	d̪ AB ə AJ ʋ AI äː
दवाई	d̪ AB ə AJ ʋ AI äː iː AJ
दवाख़ाना	d̪ AB ə AJ ʋ AI äː x AB äː n̪ AF äː
दवाखाना	d̪ AB ə AJ ʋ AI äː x AB äː n̪ AF äː
दवात	d̪ AB ə AJ ʋ AI äː t̪ AB
दशम	d̪ AB ə AJ ʃ AB ə̃ AN m AE
दशमलव	d̪ AB ə AJ ʃ AB ə̃ AN m AE l̪ AD ə AJ ʋ AI
दशहरा	d̪ AB ə AJ ʃ AB ɛ AJ ɦ AL ɾ BA äː
दस	d̪ AB ə AJ s̪ AB
दस्यु	d̪ AB ə AJ s̪ AB j AA uː AK
दहन	d̪ AB ɛ AJ ɦ AL ɛ̃ AN n̪ AF
दहना	d̪ AB ɛ AJ ɦ AL n̪ AF äː
दहलना	d̪ AB ɛ AJ ɦ AL ɛ AJ l̪ AD n̪ AF äː
दहला	d̪ AB ɛ AJ ɦ AL l̪ AD äː
दहलीज़	d̪ AB ɛ AJ ɦ AL l̪ AD iː AJ z AB
दहशत	d̪ AB ɛ AJ ɦ AL ʃ AB ə AJ t̪ AB
दाँत	d̪ AB ä̃ː t̪ AB
दाँव	d̪ AB ä̃ː ʋ AI
दांत	d̪ AB ä̃ː t̪ AB
दाई	d̪ AB äː iː AJ
दाएँ	d̪ AB äː ẽː
दाक्षिण्य	d̪ AB äː k AB ʃ AB ɪ̃ AN ɳ AF j AA
दाख़िल	d̪ AB äː x AB ɪ AJ l̪ AD
दाख़िला	d̪ AB äː x AB ɪ AJ l̪ AD äː
दाग़	d̪ AB äː ɣ AB
दाग़ना	d̪ AB äː ɣ AB n̪ AF äː
दाड़िम	d̪ AB äː ɽ BA ɪ̃ AN m AE
दाढ़	d̪ AB äː ɽʱ BB
दाढ़ी	d̪ AB äː ɽʱ BB iː AJ
दाता	d̪ AB äː t̪ AB äː
दाताओ	d̪ AB äː t̪ AB äː oː AK
दाताओं	d̪ AB äː t̪ AB äː õː
दादरा	d̪ AB äː d̪ AB ɾ BA äː
दादस	d̪ AB äː d̪ AB ə AJ s̪ AB
दादसरा	d̪ AB äː d̪ AB ə AJ s̪ AB ɾ BA äː
दादा	d̪ AB äː d̪ AB äː
दादी	d̪ AB äː d̪ AB iː AJ
दादुर	d̪ AB äː d̪ AB ʊ AK ɾ BA
दान	d̪ AB ä̃ː n̪ AF
दाना	d̪ AB äː n̪ AF äː
दाब	d̪ AB äː b AG
दाम	d̪ AB ä̃ː m AE
दामन	d̪ AB äː m AE ə̃ AN n̪ AF
दामाद	d̪ AB äː m AE äː d̪ AB
दायर	d̪ AB äː j AA ə AJ ɾ BA
दायाँ	d̪ AB äː j AA ä̃ː
दायित्व	d̪ AB äː j AA ɪ AJ t̪ AB w AI
दायित्ववान	d̪ AB äː j AA ɪ AJ t̪ AB w AI ə AJ ʋ AI ä̃ː n̪ AF
दायित्ववान्	d̪ AB äː j AA ɪ AJ t̪ AB w AI ə AJ ʋ AI ä̃ː n̪ AF
दायित्वशील	d̪ AB äː j AA ɪ AJ t̪ AB w AI ə AJ ʃ AB iː AJ l̪ AD
दायित्वहीन	d̪ AB äː j AA ɪ AJ t̪ AB w AI ə AJ ɦ AL ĩː n̪ AF
दायी	d̪ AB äː j AA iː AJ
दार	d̪ AB äː ɾ BA
दारचीनी	d̪ AB äː ɾ BA t AB ʃ AB iː AJ n̪ AF iː AJ
दारु	d̪ AB äː ɾ BA uː AK
दारुलहुकूमत	d̪ AB äː ɾ BA ʊ AK l̪ AD ɦ AL ʊ AK k AB uː AK m AE ə AJ t̪ AB
दारू	d̪ AB äː ɾ BA uː AK
दाल	d̪ AB äː l̪ AD
दालचीनी	d̪ AB äː l̪ AD t AB ʃ AB iː AJ n̪ AF iː AJ
दावत	d̪ AB äː ʋ AI ə AJ t̪ AB
दावा	d̪ AB äː ʋ AI äː
दावेदार	d̪ AB äː ʋ AI eː AJ d̪ AB äː ɾ BA
दास	d̪ AB äː s̪ AB
दासप्रथा	d̪ AB äː s̪ AB p AG ɾ BA ə AJ t̪ʰ AC äː
दास्तान	d̪ AB äː s̪ AB t̪ AB ä̃ː n̪ AF
दाहिना	d̪ AB äː ɦ AL ɪ AJ n̪ AF äː
दाहिने	d̪ AB äː ɦ AL ɪ AJ n̪ AF eː AJ
दिक़्क़त	d̪ AB ɪ AJ k̚ k AB ə AJ t̪ AB
दिक्पात	d̪ AB ɪ AJ k AB p AG äː t̪ AB
दिखाई	d̪ AB ɪ AJ kʰ AC äː iː AJ
दिखाऊ	d̪ AB ɪ AJ kʰ AC äː uː AK
दिखाना	d̪ AB ɪ AJ kʰ AC äː n̪ AF äː
दिखावा	d̪ AB ɪ AJ kʰ AC äː ʋ AI äː
दिगंबर	d̪ AB ɪ AJ ɡ AB ə̃ AN m AE b AG ə AJ ɾ BA
दिन	d̪ AB ɪ̃ AN n̪ AF
दिनभर	d̪ AB ɪ̃ AN n̪ AF bʱ AH ə AJ ɾ BA
दिनांकित	d̪ AB ɪ AJ n̪ AF ä̃ː k AB ɪ AJ t̪ AB
दिनेश	d̪ AB ɪ AJ n̪ AF eː AJ ʃ AB
दिमाग़	d̪ AB ɪ AJ m AE äː ɣ AB
दिया	d̪ AB i AJ j AA äː
दिरम	d̪ AB ɪ AJ ɾ BA ə̃ AN m AE
दिल	d̪ AB ɪ AJ l̪ AD
दिलचस्प	d̪ AB ɪ AJ l̪ AD t AB ʃ AB ə AJ s̪ AB p AG
दिलचस्पी	d̪ AB ɪ AJ l̪ AD t AB ʃ AB ə AJ s̪ AB p AG iː AJ
दिलबर	d̪ AB ɪ AJ l̪ AD b AG ə AJ ɾ BA
दिलरुबा	d̪ AB ɪ AJ l̪ AD ɾ BA ʊ AK b AG äː
दिलासा	d̪ AB ɪ AJ l̪ AD äː s̪ AB äː
दिली	d̪ AB ɪ AJ l̪ AD iː AJ
दिलेरी	d̪ AB ɪ AJ l̪ AD eː AJ ɾ BA iː AJ
दिल्ली	d̪ AB ɪ AJ l̪ AD l̪ AD iː AJ
दिल्लीवाला	d̪ AB ɪ AJ l̪ AD l̪ AD iː AJ ʋ AI äː l̪ AD äː
दिवस	d̪ AB ɪ AJ ʋ AI ə AJ s̪ AB
दिवसीय	d̪ AB ɪ AJ ʋ AI s̪ AB iː AJ j AA
दिवाली	d̪ AB ɪ AJ ʋ AI äː l̪ AD iː AJ
दिव्यांग	d̪ AB ɪ AJ ʋ AI j AA ä̃ː ŋ AF ɡ AB
दिशानिर्देश	d̪ AB ɪ AJ ʃ AB äː n̪ AF ɪ AJ ɾ BA d̪ AB eː AJ ʃ AB
दिसंबर	d̪ AB ɪ AJ s̪ AB ə̃ AN m AE b AG ə AJ ɾ BA
दिहाड़ी	d̪ AB ɪ AJ ɦ AL äː ɽ BA iː AJ
दीदार	d̪ AB iː AJ d̪ AB äː ɾ BA
दीन	d̪ AB ĩː n̪ AF
दीनार	d̪ AB iː AJ n̪ AF äː ɾ BA
दीपावली	d̪ AB iː AJ p AG äː ʋ AI l̪ AD iː AJ
दीपिका	d̪ AB iː AJ p AG ɪ AJ k AB äː
दीया	d̪ AB iː AJ j AA äː
दीवान	d̪ AB iː AJ ʋ AI ä̃ː n̪ AF
दीवानगी	d̪ AB iː AJ ʋ AI ä̃ː n̪ AF ɡ AB iː AJ
दीवाना	d̪ AB iː AJ ʋ AI äː n̪ AF äː
दीवार	d̪ AB iː AJ ʋ AI äː ɾ BA
दुःस्वप्न	d̪ AB ʊ AK ɦ AL s̪ AB ʋ AI ə AJ p AG n̪ AF ə AJ
दुअन्नी	d̪ AB ʊ AK ə̃ AN n̪ AF n̪ AF iː AJ
दुआ	d̪ AB ʊ AK äː
दुकान	d̪ AB ʊ AK k AB ä̃ː n̪ AF
दुक्की	d̪ AB ʊ AK k̚ k AB iː AJ
दुगना	d̪ AB ʊ AK ɡ AB n̪ AF äː
दुग्धाग्र	d̪ AB ʊ AK ɡ AB d̪ʱ AC äː ɡ AB ɾ BA
दुनाली	d̪ AB ʊ AK n̪ AF äː l̪ AD iː AJ
दुनिया	d̪ AB ʊ AK n̪ AF i AJ j AA äː
दुनियाएँ	d̪ AB ʊ AK n̪ AF i AJ j AA äː ẽː
दुपट्टा	d̪ AB ʊ AK p AG ə AJ ʈ̚ ʈ AB äː
दुपहिया	d̪ AB ʊ AK p AG ə AJ ɦ AL i AJ j AA äː
दुभाषिया	d̪ AB ʊ AK bʱ AH äː ʃ AB i AJ j AA äː
दुमन	d̪ AB ʊ AK m AE ə̃ AN n̪ AF
दुराघ्री	d̪ AB ʊ AK ɾ BA äː ɡʱ AC ɾ BA iː AJ
दुरुस्त	d̪ AB ʊ AK ɾ BA ʊ AK s̪ AB t̪ AB
दुर्गंध	d̪ AB ʊ AK ɾ BA ɡ AB ə̃ AN n̪ AF d̪ʱ AC
दुर्गन्ध	d̪ AB ʊ AK ɾ BA ɡ AB ə̃ AN n̪ AF d̪ʱ AC
दुर्घटनाग्रस्त	d̪ AB ʊ AK ɾ BA ɡʱ AC ə AJ ʈ AB n̪ AF äː ɡ AB ɾ BA ə AJ s̪ AB t̪ AB
दुर्भाग्य	d̪ AB ʊ AK ɾ BA bʱ AH äː ɡ AB j AA
दुर्भाग्यवश	d̪ AB ʊ AK ɾ BA bʱ AH äː ɡ AB j AA ə AJ ʋ AI ə AJ ʃ AB
दुर्भावना	d̪ AB ʊ AK ɾ BA bʱ AH äː ʋ AI n̪ AF äː
