Ⴁ	b
ლიბრეტო	l i AB b r ɛ AB tʼ ɔ AC
ლიგა	l i AB ɡ ɑ AB
ლიგატურა	l i AB ɡ ɑ AB tʼ u AC r ɑ AB
ლიგნიტი	l i AB ɡ n i AB tʼ i AB
ლიდერი	l i AB d ɛ AB r i AB
ლიდერობა	l i AB d ɛ AB r ɔ AC b ɑ AB
ლიდია	l i AB d i AB ɑ AB
ლივერპული	l i AB v ɛ AB r pʼ u AC l i AB
ლივინგსტონი	l i AB v i AB n ɡ s tʼ ɔ AC n i AB
ლივრეა	l i AB v r ɛ AB ɑ AB
ლიზა	l i AB z ɑ AB
ლიზი	l i AB z i AB
ლითიუმი	l i AB tʰ i AB u AC m i AB
ლითონი	l i AB tʰ ɔ AC n i AB
ლიკანი	l i AB kʼ ɑ AB n i AB
ლიკვიდატორი	l i AB kʼ v i AB d ɑ AB tʼ ɔ AC r i AB
ლილვი	l i AB l v i AB
ლილი	l i AB l i AB
ლილიპუტი	l i AB l i AB pʼ u AC tʼ i AB
ლილო	l i AB l ɔ AC
ლიმონი	l i AB m ɔ AC n i AB
ლიმუზინი	l i AB m u AC z i AB n i AB
ლიმფა	l i AB m pʰ ɑ AB
ლიმფური	l i AB m pʰ u AC r i AB
ლინგვისტი	l i AB n ɡ v i AB s tʼ i AB
ლინგვისტიკა	l i AB n ɡ v i AB s tʼ i AB kʼ ɑ AB
ლინგვისტურად	l i AB n ɡ v i AB s tʼ u AC r ɑ AB d
ლინგვისტური	l i AB n ɡ v i AB s tʼ u AC r i AB
ლინზა	l i AB n z ɑ AB
ლინი	l i AB n i AB
ლინკი	l i AB n kʼ i AB
ლინკოლნი	l i AB n kʼ ɔ AC l n i AB
ლინოლეუმი	l i AB n ɔ AC l ɛ AB u AC m i AB
ლინოტიპი	l i AB n ɔ AC tʼ i AB pʼ i AB
ლირა	l i AB r ɑ AB
ლირიზმი	l i AB r i AB z m i AB
ლირიკოსი	l i AB r i AB kʼ ɔ AC s i AB
ლირიკულად	l i AB r i AB kʼ u AC l ɑ AB d
ლირიკული	l i AB r i AB kʼ u AC l i AB
ლირიული	l i AB r i AB u AC l i AB
ლისაბონი	l i AB s ɑ AB b ɔ AC n i AB
ლიტავრა	l i AB tʼ ɑ AB v r ɑ AB
ლიტანია	l i AB tʼ ɑ AB n i AB ɑ AB
ლიტერატორი	l i AB tʼ ɛ AB r ɑ AB tʼ ɔ AC r i AB
ლიტერატურა	l i AB tʼ ɛ AB r ɑ AB tʼ u AC r ɑ AB
ლიტერატურად	l i AB tʼ ɛ AB r ɑ AB tʼ u AC r ɑ AB d
ლიტერატურამ	l i AB tʼ ɛ AB r ɑ AB tʼ u AC r ɑ AB m
ლიტერატურას	l i AB tʼ ɛ AB r ɑ AB tʼ u AC r ɑ AB s
ლიტერატურით	l i AB tʼ ɛ AB r ɑ AB tʼ u AC r i AB tʰ
ლიტერატურის	l i AB tʼ ɛ AB r ɑ AB tʼ u AC r i AB s
ლიტერატურული	l i AB tʼ ɛ AB r ɑ AB tʼ u AC r u AC l i AB
ლიტვა	l i AB tʼ v ɑ AB
ლიტვური	l i AB tʼ v u AC r i AB
ლიტრი	l i AB tʼ r i AB
ლიტურგია	l i AB tʼ u AC r ɡ i AB ɑ AB
ლიტურგიული	l i AB tʼ u AC r ɡ i AB u AC l i AB
ლიუკი	l i AB u AC kʼ i AB
ლიფი	l i AB pʰ i AB
ლიფსიტა	l i AB pʰ s i AB tʼ ɑ AB
ლიფტი	l i AB pʰ tʼ i AB
ლიქიორი	l i AB kʰ i AB ɔ AC r i AB
ლიჩი	l i AB t ʃ i AB
ლიცეუმი	l i AB t s ɛ AB u AC m i AB
ლიხტენშტაინი	l i AB x tʼ ɛ AB n ʃ tʼ ɑ AB i AB n i AB
ლიხტენშტეინი	l i AB x tʼ ɛ AB n ʃ tʼ ɛ AB i AB n i AB
ლმობიერება	l m ɔ AC b i AB ɛ AB r ɛ AB b ɑ AB
ლობიანი	l ɔ AC b i AB ɑ AB n i AB
ლობიო	l ɔ AC b i AB ɔ AC
ლობისტი	l ɔ AC b i AB s tʼ i AB
ლოგარითმი	l ɔ AC ɡ ɑ AB r i AB tʰ m i AB
ლოგარითმულად	l ɔ AC ɡ ɑ AB r i AB tʰ m u AC l ɑ AB d
ლოგარითმული	l ɔ AC ɡ ɑ AB r i AB tʰ m u AC l i AB
ლოგიკა	l ɔ AC ɡ i AB kʼ ɑ AB
ლოგიკოსი	l ɔ AC ɡ i AB kʼ ɔ AC s i AB
ლოგიკურად	l ɔ AC ɡ i AB kʼ u AC r ɑ AB d
ლოგიკური	l ɔ AC ɡ i AB kʼ u AC r i AB
ლოგინი	l ɔ AC ɡ i AB n i AB
ლოგინში	l ɔ AC ɡ i AB n ʃ i AB
ლოდი	l ɔ AC d i AB
ლოდინი	l ɔ AC d i AB n i AB
ლოზუნგი	l ɔ AC z u AC n ɡ i AB
ლოთი	l ɔ AC tʰ i AB
ლოთობა	l ɔ AC tʰ ɔ AC b ɑ AB
ლოიალურად	l ɔ AC i AB ɑ AB l u AC r ɑ AB d
ლოიალური	l ɔ AC i AB ɑ AB l u AC r i AB
ლოკავს	l ɔ AC kʼ ɑ AB v s
ლოკალიზაცია	l ɔ AC kʼ ɑ AB l i AB z ɑ AB t s i AB ɑ AB
ლოკაუტი	l ɔ AC kʼ ɑ AB u AC tʼ i AB
ლოკვა	l ɔ AC kʼ v ɑ AB
ლოკოკინა	l ɔ AC kʼ ɔ AC kʼ i AB n ɑ AB
ლოკომოტივი	l ɔ AC kʼ ɔ AC m ɔ AC tʼ i AB v i AB
ლოლ	l ɔ AC l
ლომბარდი	l ɔ AC m b ɑ AB r d i AB
ლომგული	l ɔ AC m ɡ u AC l i AB
ლომვეშაპი	l ɔ AC m v ɛ AB ʃ ɑ AB pʼ i AB
ლომი	l ɔ AC m i AB
ლონდონი	l ɔ AC n d ɔ AC n i AB
ლოჟა	l ɔ AC ʒ ɑ AB
ლორდი	l ɔ AC r d i AB
ლორე	l ɔ AC r ɛ AB
ლორი	l ɔ AC r i AB
ლორნეტი	l ɔ AC r n ɛ AB tʼ i AB
ლორწო	l ɔ AC r t sʼ ɔ AC
ლორწოვანი	l ɔ AC r t sʼ ɔ AC v ɑ AB n i AB
ლოტო	l ɔ AC tʼ ɔ AC
ლოტოსი	l ɔ AC tʼ ɔ AC s i AB
ლოურენსი	l ɔ AC u AC r ɛ AB n s i AB
ლოურენსიუმი	l ɔ AC u AC r ɛ AB n s i AB u AC m i AB
ლოქო	l ɔ AC kʰ ɔ AC
ლოყა	l ɔ AC qʼ ɑ AB
ლოცავს	l ɔ AC t s ɑ AB v s
ლოცვა	l ɔ AC t s v ɑ AB
ლოცვანი	l ɔ AC t s v ɑ AB n i AB
ლოცმანი	l ɔ AC t s m ɑ AB n i AB
ლპობა	l pʼ ɔ AC b ɑ AB
ლპობადი	l pʼ ɔ AC b ɑ AB d i AB
ლტოლვილი	l tʼ ɔ AC l v i AB l i AB
ლუდი	l u AC d i AB
ლუდიტი	l u AC d i AB tʼ i AB
ლუდხანა	l u AC d x ɑ AB n ɑ AB
ლუი	l u AC i AB
ლუიზა	l u AC i AB z ɑ AB
ლუიზიანა	l u AC i AB z i AB ɑ AB n ɑ AB
ლუისი	l u AC i AB s i AB
ლუკა	l u AC kʼ ɑ AB
ლუკმა	l u AC kʼ m ɑ AB
ლულა	l u AC l ɑ AB
ლურსმანი	l u AC r s m ɑ AB n i AB
ლურჯა	l u AC r d ʒ ɑ AB
ლურჯი	l u AC r d ʒ i AB
ლუტეციუმი	l u AC tʼ ɛ AB t s i AB u AC m i AB
ლუფა	l u AC pʰ ɑ AB
ლუქავს	l u AC kʰ ɑ AB v s
ლუქი	l u AC kʰ i AB
ლუქსემბურგი	l u AC kʰ s ɛ AB m b u AC r ɡ i AB
ლუციფერი	l u AC t s i AB pʰ ɛ AB r i AB
ლხინი	l x i AB n i AB
მაგ	m ɑ AB ɡ
მაგათი	m ɑ AB ɡ ɑ AB tʰ i AB
მაგალითად	m ɑ AB ɡ ɑ AB l i AB tʰ ɑ AB d
მაგალითი	m ɑ AB ɡ ɑ AB l i AB tʰ i AB
მაგარი	m ɑ AB ɡ ɑ AB r i AB
მაგასი	m ɑ AB ɡ ɑ AB s i AB
მაგია	m ɑ AB ɡ i AB ɑ AB
მაგიდა	m ɑ AB ɡ i AB d ɑ AB
მაგიერ	m ɑ AB ɡ i AB ɛ AB r
მაგივრად	m ɑ AB ɡ i AB v r ɑ AB d
მაგისტრალი	m ɑ AB ɡ i AB s tʼ r ɑ AB l i AB
მაგნატი	m ɑ AB ɡ n ɑ AB tʼ i AB
მაგნიტი	m ɑ AB ɡ n i AB tʼ i AB
მაგნიტიზმი	m ɑ AB ɡ n i AB tʼ i AB z m i AB
მაგნიტოფონი	m ɑ AB ɡ n i AB tʼ ɔ AC pʰ ɔ AC n i AB
მაგნიტურად	m ɑ AB ɡ n i AB tʼ u AC r ɑ AB d
მაგნიტური	m ɑ AB ɡ n i AB tʼ u AC r i AB
მაგნიუმი	m ɑ AB ɡ n i AB u AC m i AB
მაგნოლია	m ɑ AB ɡ n ɔ AC l i AB ɑ AB
მაგრა	m ɑ AB ɡ r ɑ AB
მაგრად	m ɑ AB ɡ r ɑ AB d
მაგრამ	m ɑ AB ɡ r ɑ AB m
მადა	m ɑ AB d ɑ AB
მადაგასკარი	m ɑ AB d ɑ AB ɡ ɑ AB s kʼ ɑ AB r i AB
მადანი	m ɑ AB d ɑ AB n i AB
მადლი	m ɑ AB d l i AB
მადლიერად	m ɑ AB d l i AB ɛ AB r ɑ AB d
მადლიერება	m ɑ AB d l i AB ɛ AB r ɛ AB b ɑ AB
მადლიერებით	m ɑ AB d l i AB ɛ AB r ɛ AB b i AB tʰ
მადლიერების	m ɑ AB d l i AB ɛ AB r ɛ AB b i AB s
მადლიერი	m ɑ AB d l i AB ɛ AB r i AB
მადლობა	m ɑ AB d l ɔ AC b ɑ AB
მადლობელი	m ɑ AB d l ɔ AC b ɛ AB l i AB
მადლობთ	m ɑ AB d l ɔ AC b tʰ
მადმუაზელი	m ɑ AB d m u AC ɑ AB z ɛ AB l i AB
მადნეული	m ɑ AB d n ɛ AB u AC l i AB
მადონა	m ɑ AB d ɔ AC n ɑ AB
მადრიგალი	m ɑ AB d r i AB ɡ ɑ AB l i AB
მადრიდი	m ɑ AB d r i AB d i AB
მაესტრო	m ɑ AB ɛ AB s tʼ r ɔ AC
მავედრებლად	m ɑ AB v ɛ AB d r ɛ AB b l ɑ AB d
მავზოლეუმი	m ɑ AB v z ɔ AC l ɛ AB u AC m i AB
მავთული	m ɑ AB v tʰ u AC l i AB
მავნე	m ɑ AB v n ɛ AB
მავნედ	m ɑ AB v n ɛ AB d
მავნეობა	m ɑ AB v n ɛ AB ɔ AC b ɑ AB
მავრიკი	m ɑ AB v r i AB kʼ i AB
მავრიტანია	m ɑ AB v r i AB tʼ ɑ AB n i AB ɑ AB
მავრიტანული	m ɑ AB v r i AB tʼ ɑ AB n u AC l i AB
მაზალო	m ɑ AB z ɑ AB l ɔ AC
მაზეგ	m ɑ AB z ɛ AB ɡ
მაზერი	m ɑ AB z ɛ AB r i AB
მაზლი	m ɑ AB z l i AB
მაზოხიზმი	m ɑ AB z ɔ AC x i AB z m i AB
მაზოხისტურად	m ɑ AB z ɔ AC x i AB s tʼ u AC r ɑ AB d
მაზურკა	m ɑ AB z u AC r kʼ ɑ AB
მათ	m ɑ AB tʰ
მათარა	m ɑ AB tʰ ɑ AB r ɑ AB
მათემატიკა	m ɑ AB tʰ ɛ AB m ɑ AB tʼ i AB kʼ ɑ AB
მათემატიკოსი	m ɑ AB tʰ ɛ AB m ɑ AB tʼ i AB kʼ ɔ AC s i AB
მათემატიკურად	m ɑ AB tʰ ɛ AB m ɑ AB tʼ i AB kʼ u AC r ɑ AB d
მათემატიკური	m ɑ AB tʰ ɛ AB m ɑ AB tʼ i AB kʼ u AC r i AB
მათთვის	m ɑ AB tʰ tʰ v i AB s
მათი	m ɑ AB tʰ i AB
მათლაფა	m ɑ AB tʰ l ɑ AB pʰ ɑ AB
მათრახი	m ɑ AB tʰ r ɑ AB x i AB
მათხოვარი	m ɑ AB tʰ x ɔ AC v ɑ AB r i AB
მაია	m ɑ AB i AB ɑ AB
მაიკლი	m ɑ AB i AB kʼ l i AB
მაიკო	m ɑ AB i AB kʼ ɔ AC
მაიმუნი	m ɑ AB i AB m u AC n i AB
მაინც	m ɑ AB i AB n t s
მაიოლიკა	m ɑ AB i AB ɔ AC l i AB kʼ ɑ AB
მაიონეზი	m ɑ AB i AB ɔ AC n ɛ AB z i AB
მაიორანი	m ɑ AB i AB ɔ AC r ɑ AB n i AB
მაისად	m ɑ AB i AB s ɑ AB d
მაისი	m ɑ AB i AB s i AB
მაისით	m ɑ AB i AB s i AB tʰ
მაისის	m ɑ AB i AB s i AB s
მაისმა	m ɑ AB i AB s m ɑ AB
მაისს	m ɑ AB i AB s s
მაისურა	m ɑ AB i AB s u AC r ɑ AB
მაისურაძე	m ɑ AB i AB s u AC r ɑ AB d z ɛ AB
მაისური	m ɑ AB i AB s u AC r i AB
მაკარონი	m ɑ AB kʼ ɑ AB r ɔ AC n i AB
მაკე	m ɑ AB kʼ ɛ AB
მაკედონია	m ɑ AB kʼ ɛ AB d ɔ AC n i AB ɑ AB
მაკინტოში	m ɑ AB kʼ i AB n tʼ ɔ AC ʃ i AB
მაკომპრომეტირებლად	m ɑ AB kʼ ɔ AC m pʼ r ɔ AC m ɛ AB tʼ i AB r ɛ AB b l ɑ AB d
მაკრატელა	m ɑ AB kʼ r ɑ AB tʼ ɛ AB l ɑ AB
მაკულატურა	m ɑ AB kʼ u AC l ɑ AB tʼ u AC r ɑ AB
მალა	m ɑ AB l ɑ AB
მალავი	m ɑ AB l ɑ AB v i AB
მალავს	m ɑ AB l ɑ AB v s
მალაიზია	m ɑ AB l ɑ AB i AB z i AB ɑ AB
მალამო	m ɑ AB l ɑ AB m ɔ AC
მალარია	m ɑ AB l ɑ AB r i AB ɑ AB
მალაქიტი	m ɑ AB l ɑ AB kʰ i AB tʼ i AB
მალე	m ɑ AB l ɛ AB
მალვა	m ɑ AB l v ɑ AB
მალი	m ɑ AB l i AB
მალმე	m ɑ AB l m ɛ AB
მალტა	m ɑ AB l tʼ ɑ AB
მალულად	m ɑ AB l u AC l ɑ AB d
მამა	m ɑ AB m ɑ AB
მამათმავალი	m ɑ AB m ɑ AB tʰ m ɑ AB v ɑ AB l i AB
მამათმავლობა	m ɑ AB m ɑ AB tʰ m ɑ AB v l ɔ AC b ɑ AB
მამაილა	m ɑ AB m ɑ AB i AB l ɑ AB
მამაკაცი	m ɑ AB m ɑ AB kʼ ɑ AB t s i AB
მამაკაცური	m ɑ AB m ɑ AB kʼ ɑ AB t s u AC r i AB
მამალი	m ɑ AB m ɑ AB l i AB
მამამთილი	m ɑ AB m ɑ AB m tʰ i AB l i AB
მამამისი	m ɑ AB m ɑ AB m i AB s i AB
მამამისმა	m ɑ AB m ɑ AB m i AB s m ɑ AB
მამაპაპა	m ɑ AB m ɑ AB pʼ ɑ AB pʼ ɑ AB
მამაშა	m ɑ AB m ɑ AB ʃ ɑ AB
მამაჩემად	m ɑ AB m ɑ AB t ʃ ɛ AB m ɑ AB d
მამაჩემი	m ɑ AB m ɑ AB t ʃ ɛ AB m i AB
მამაჩემით	m ɑ AB m ɑ AB t ʃ ɛ AB m i AB tʰ
მამაჩემის	m ɑ AB m ɑ AB t ʃ ɛ AB m i AB s
მამაჩემმა	m ɑ AB m ɑ AB t ʃ ɛ AB m m ɑ AB
მამაჩემს	m ɑ AB m ɑ AB t ʃ ɛ AB m s
მამაცი	m ɑ AB m ɑ AB t s i AB
მამაცობა	m ɑ AB m ɑ AB t s ɔ AC b ɑ AB
მამაცურად	m ɑ AB m ɑ AB t s u AC r ɑ AB d
მამიდა	m ɑ AB m i AB d ɑ AB
მამიკო	m ɑ AB m i AB kʼ ɔ AC
მამინაცვალი	m ɑ AB m i AB n ɑ AB t s v ɑ AB l i AB
მამლაყინწა	m ɑ AB m l ɑ AB qʼ i AB n t sʼ ɑ AB
მამობა	m ɑ AB m ɔ AC b ɑ AB
მამობილი	m ɑ AB m ɔ AC b i AB l i AB
მამობრივად	m ɑ AB m ɔ AC b r i AB v ɑ AB d
მამობრივი	m ɑ AB m ɔ AC b r i AB v i AB
მამონა	m ɑ AB m ɔ AC n ɑ AB
მამონტი	m ɑ AB m ɔ AC n tʼ i AB
მამრი	m ɑ AB m r i AB
მამუკა	m ɑ AB m u AC kʼ ɑ AB
მამული	m ɑ AB m u AC l i AB
მამცურად	m ɑ AB m t s u AC r ɑ AB d
მან	m ɑ AB n
მანა	m ɑ AB n ɑ AB
მანაგუა	m ɑ AB n ɑ AB ɡ u AC ɑ AB
მანამდე	m ɑ AB n ɑ AB m d ɛ AB
მანანა	m ɑ AB n ɑ AB n ɑ AB
მანგანუმი	m ɑ AB n ɡ ɑ AB n u AC m i AB
მანგო	m ɑ AB n ɡ ɔ AC
მანგუსტა	m ɑ AB n ɡ u AC s tʼ ɑ AB
მანდ	m ɑ AB n d
მანდარინი	m ɑ AB n d ɑ AB r i AB n i AB
მანდატი	m ɑ AB n d ɑ AB tʼ i AB
მანდილოსანი	m ɑ AB n d i AB l ɔ AC s ɑ AB n i AB
მანდოლინა	m ɑ AB n d ɔ AC l i AB n ɑ AB
მანდრაგორა	m ɑ AB n d r ɑ AB ɡ ɔ AC r ɑ AB
მანევრი	m ɑ AB n ɛ AB v r i AB
მანეთი	m ɑ AB n ɛ AB tʰ i AB
მანეკენი	m ɑ AB n ɛ AB kʼ ɛ AB n i AB
მანერა	m ɑ AB n ɛ AB r ɑ AB
მანერული	m ɑ AB n ɛ AB r u AC l i AB
მანერულობა	m ɑ AB n ɛ AB r u AC l ɔ AC b ɑ AB
მანია	m ɑ AB n i AB ɑ AB
მანიაკალურად	m ɑ AB n i AB ɑ AB kʼ ɑ AB l u AC r ɑ AB d
მანიაკალური	m ɑ AB n i AB ɑ AB kʼ ɑ AB l u AC r i AB
მანიპულაცია	m ɑ AB n i AB pʼ u AC l ɑ AB t s i AB ɑ AB
მანიფესტაცია	m ɑ AB n i AB pʰ ɛ AB s tʼ ɑ AB t s i AB ɑ AB
მანიფესტი	m ɑ AB n i AB pʰ ɛ AB s tʼ i AB
მანკი	m ɑ AB n kʼ i AB
მანკიერად	m ɑ AB n kʼ i AB ɛ AB r ɑ AB d
მანკიერება	m ɑ AB n kʼ i AB ɛ AB r ɛ AB b ɑ AB
მანკიერი	m ɑ AB n kʼ i AB ɛ AB r i AB
მანომეტრი	m ɑ AB n ɔ AC m ɛ AB tʼ r i AB
მანჟეტი	m ɑ AB n ʒ ɛ AB tʼ i AB
მანსარდა	m ɑ AB n s ɑ AB r d ɑ AB
მანტია	m ɑ AB n tʼ i AB ɑ AB
მანქანა	m ɑ AB n kʰ ɑ AB n ɑ AB
მანქანად	m ɑ AB n kʰ ɑ AB n ɑ AB d
მანქანამ	m ɑ AB n kʰ ɑ AB n ɑ AB m
მანქანას	m ɑ AB n kʰ ɑ AB n ɑ AB s
მანქანები	m ɑ AB n kʰ ɑ AB n ɛ AB b i AB
მანქანებით	m ɑ AB n kʰ ɑ AB n ɛ AB b i AB tʰ
მანქანით	m ɑ AB n kʰ ɑ AB n i AB tʰ
მანქანის	m ɑ AB n kʰ ɑ AB n i AB s
მანჩესტერი	m ɑ AB n t ʃ ɛ AB s tʼ ɛ AB r i AB
მანძილი	m ɑ AB n d z i AB l i AB
მაპატიებ	m ɑ AB pʼ ɑ AB tʼ i AB ɛ AB b
მაპატიეთ	m ɑ AB pʼ ɑ AB tʼ i AB ɛ AB tʰ
მარა	m ɑ AB r ɑ AB
მარაგი	m ɑ AB r ɑ AB ɡ i AB
მარად	m ɑ AB r ɑ AB d
მარადისობა	m ɑ AB r ɑ AB d i AB s ɔ AC b ɑ AB
მარადიულად	m ɑ AB r ɑ AB d i AB u AC l ɑ AB d
მარადიული	m ɑ AB r ɑ AB d i AB u AC l i AB
მარადმწვანე	m ɑ AB r ɑ AB d m t sʼ v ɑ AB n ɛ AB
მარათონი	m ɑ AB r ɑ AB tʰ ɔ AC n i AB
მარაო	m ɑ AB r ɑ AB ɔ AC
მარგალიტი	m ɑ AB r ɡ ɑ AB l i AB tʼ i AB
მარგანეცი	m ɑ AB r ɡ ɑ AB n ɛ AB t s i AB
მარგარეტი	m ɑ AB r ɡ ɑ AB r ɛ AB tʼ i AB
მარგარინი	m ɑ AB r ɡ ɑ AB r i AB n i AB
მარგარიტი	m ɑ AB r ɡ ɑ AB r i AB tʼ i AB
მარგი	m ɑ AB r ɡ i AB
მარდად	m ɑ AB r d ɑ AB d
მარდალეიშვილი	m ɑ AB r d ɑ AB l ɛ AB i AB ʃ v i AB l i AB
მარდი	m ɑ AB r d i AB
მარეხი	m ɑ AB r ɛ AB x i AB
მართა	m ɑ AB r tʰ ɑ AB
მართავს	m ɑ AB r tʰ ɑ AB v s
მართალი	m ɑ AB r tʰ ɑ AB l i AB
მართვა	m ɑ AB r tʰ v ɑ AB
მართვადობა	m ɑ AB r tʰ v ɑ AB d ɔ AC b ɑ AB
მართვე	m ɑ AB r tʰ v ɛ AB
მართი	m ɑ AB r tʰ i AB
მართკუთხა	m ɑ AB r tʰ kʼ u AC tʰ x ɑ AB
მართკუთხედად	m ɑ AB r tʰ kʼ u AC tʰ x ɛ AB d ɑ AB d
მართკუთხედი	m ɑ AB r tʰ kʼ u AC tʰ x ɛ AB d i AB
მართლა	m ɑ AB r tʰ l ɑ AB
მართლად	m ɑ AB r tʰ l ɑ AB d
მართლმადიდებელი	m ɑ AB r tʰ l m ɑ AB d i AB d ɛ AB b ɛ AB l i AB
მართლმადიდებლობა	m ɑ AB r tʰ l m ɑ AB d i AB d ɛ AB b l ɔ AC b ɑ AB
მართლწერა	m ɑ AB r tʰ l t sʼ ɛ AB r ɑ AB
მარი	m ɑ AB r i AB
მარია	m ɑ AB r i AB ɑ AB
მარიამი	m ɑ AB r i AB ɑ AB m i AB
მარიამობა	m ɑ AB r i AB ɑ AB m ɔ AC b ɑ AB
მარილი	m ɑ AB r i AB l i AB
მარილიანი	m ɑ AB r i AB l i AB ɑ AB n i AB
მარილიანობა	m ɑ AB r i AB l i AB ɑ AB n ɔ AC b ɑ AB
მარილწყალი	m ɑ AB r i AB l t sʼ qʼ ɑ AB l i AB
მარინადი	m ɑ AB r i AB n ɑ AB d i AB
მარიონეტი	m ɑ AB r i AB ɔ AC n ɛ AB tʼ i AB
მარიხუანა	m ɑ AB r i AB x u AC ɑ AB n ɑ AB
მარკა	m ɑ AB r kʼ ɑ AB
მარკერი	m ɑ AB r kʼ ɛ AB r i AB
მარკიზა	m ɑ AB r kʼ i AB z ɑ AB
მარკიზი	m ɑ AB r kʼ i AB z i AB
მარლა	m ɑ AB r l ɑ AB
მარლენი	m ɑ AB r l ɛ AB n i AB
მარმარილო	m ɑ AB r m ɑ AB r i AB l ɔ AC
მარმელადი	m ɑ AB r m ɛ AB l ɑ AB d i AB
მაროდიორი	m ɑ AB r ɔ AC d i AB ɔ AC r i AB
მაროკო	m ɑ AB r ɔ AC kʼ ɔ AC
მარსელი	m ɑ AB r s ɛ AB l i AB
მარსელიოზა	m ɑ AB r s ɛ AB l i AB ɔ AC z ɑ AB
მარსი	m ɑ AB r s i AB
მარტად	m ɑ AB r tʼ ɑ AB d
მარტვილი	m ɑ AB r tʼ v i AB l i AB
მარტი	m ɑ AB r tʼ i AB
მარტივად	m ɑ AB r tʼ i AB v ɑ AB d
მარტივი	m ɑ AB r tʼ i AB v i AB
მარტით	m ɑ AB r tʼ i AB tʰ
მარტინი	m ɑ AB r tʼ i AB n i AB
მარტის	m ɑ AB r tʼ i AB s
მარტმა	m ɑ AB r tʼ m ɑ AB
მარტო	m ɑ AB r tʼ ɔ AC
მარტოობა	m ɑ AB r tʼ ɔ AC ɔ AC b ɑ AB
მარტორქა	m ɑ AB r tʼ ɔ AC r kʰ ɑ AB
მარტოსული	m ɑ AB r tʼ ɔ AC s u AC l i AB
მარტოხელა	m ɑ AB r tʼ ɔ AC x ɛ AB l ɑ AB
მარტს	m ɑ AB r tʼ s
მარტყოფი	m ɑ AB r tʼ qʼ ɔ AC pʰ i AB
მარულა	m ɑ AB r u AC l ɑ AB
მარქსიზმი	m ɑ AB r kʰ s i AB z m i AB
მარქსისტი	m ɑ AB r kʰ s i AB s tʼ i AB
მარყუჟი	m ɑ AB r qʼ u AC ʒ i AB
მარყუჟიანი	m ɑ AB r qʼ u AC ʒ i AB ɑ AB n i AB
მარშალი	m ɑ AB r ʃ ɑ AB l i AB
მარში	m ɑ AB r ʃ i AB
მარშრუტი	m ɑ AB r ʃ r u AC tʼ i AB
მარჩბივი	m ɑ AB r t ʃ b i AB v i AB
მარცვალი	m ɑ AB r t s v ɑ AB l i AB
მარცვლეული	m ɑ AB r t s v l ɛ AB u AC l i AB
მარცვლიანი	m ɑ AB r t s v l i AB ɑ AB n i AB
მარცვლოვანი	m ɑ AB r t s v l ɔ AC v ɑ AB n i AB
მარცხენა	m ɑ AB r t s x ɛ AB n ɑ AB
მარცხი	m ɑ AB r t s x i AB
მარცხნივ	m ɑ AB r t s x n i AB v
მარწუხი	m ɑ AB r t sʼ u AC x i AB
მარწყვი	m ɑ AB r t sʼ qʼ v i AB
მარხვა	m ɑ AB r x v ɑ AB
მარხილი	m ɑ AB r x i AB l i AB
მარჯანი	m ɑ AB r d ʒ ɑ AB n i AB
მარჯვე	m ɑ AB r d ʒ v ɛ AB
მარჯვედ	m ɑ AB r d ʒ v ɛ AB d
მარჯვენა	m ɑ AB r d ʒ v ɛ AB n ɑ AB
მარჯი	m ɑ AB r d ʒ i AB
მას	m ɑ AB s
მასალა	m ɑ AB s ɑ AB l ɑ AB
მასაჟი	m ɑ AB s ɑ AB ʒ i AB
მასაჟისტი	m ɑ AB s ɑ AB ʒ i AB s tʼ i AB
მასდარი	m ɑ AB s d ɑ AB r i AB
მასე	m ɑ AB s ɛ AB
მასივი	m ɑ AB s i AB v i AB
მასიურად	m ɑ AB s i AB u AC r ɑ AB d
მასიური	m ɑ AB s i AB u AC r i AB
მასიურობა	m ɑ AB s i AB u AC r ɔ AC b ɑ AB
მასკარადი	m ɑ AB s kʼ ɑ AB r ɑ AB d i AB
მასონი	m ɑ AB s ɔ AC n i AB
მასონობა	m ɑ AB s ɔ AC n ɔ AC b ɑ AB
მასპინძელი	m ɑ AB s pʼ i AB n d z ɛ AB l i AB
მასშტაბი	m ɑ AB s ʃ tʼ ɑ AB b i AB
მასწავლებელი	m ɑ AB s t sʼ ɑ AB v l ɛ AB b ɛ AB l i AB
მასხარა	m ɑ AB s x ɑ AB r ɑ AB
მასხარაობა	m ɑ AB s x ɑ AB r ɑ AB ɔ AC b ɑ AB
მასხრობა	m ɑ AB s x r ɔ AC b ɑ AB
მატადორი	m ɑ AB tʼ ɑ AB d ɔ AC r i AB
მატარებელი	m ɑ AB tʼ ɑ AB r ɛ AB b ɛ AB l i AB
მატერია	m ɑ AB tʼ ɛ AB r i AB ɑ AB
მატერიალიზმი	m ɑ AB tʼ ɛ AB r i AB ɑ AB l i AB z m i AB
მატერიალისტი	m ɑ AB tʼ ɛ AB r i AB ɑ AB l i AB s tʼ i AB
მატერიალისტურად	m ɑ AB tʼ ɛ AB r i AB ɑ AB l i AB s tʼ u AC r ɑ AB d
მატერიალური	m ɑ AB tʼ ɛ AB r i AB ɑ AB l u AC r i AB
მატერიკი	m ɑ AB tʼ ɛ AB r i AB kʼ i AB
მატიანე	m ɑ AB tʼ i AB ɑ AB n ɛ AB
