ँ	ə̃
प्रकांड	p ɾ ə k ä̃ː ɳ ɖ
प्रकार	p ɾ ə k äː ɾ
प्रकार्यात्मक	p ɾ ə k äː ɾ j äː t̪ m ə k
प्रकाश	p ɾ ə k äː ʃ
प्रकाशक	p ɾ ə k äː ʃ ə k
प्रकाशन	p ɾ ə k äː ʃ ə̃ n̪
प्रकासम	p ɾ ə k äː s̪ ə̃ m
प्रकीर्णन	p ɾ ə k iː ɾ ɳ ə̃ n̪
प्रक्रम	p ɾ ə k ɾ ə̃ m
प्रक्रिया	p ɾ ə k ɾ i j äː
प्रक्षेपास्त्र	p ɾ ə k ʃ eː p äː s̪ t̪ ɾ
प्रक्षेप्य	p ɾ ə k ʃ eː p j
प्रगतिवाद	p ɾ ə ɡ ə t̪ ɪ ʋ äː d̪
प्रगतिवादी	p ɾ ə ɡ ə t̪ ɪ ʋ äː d̪ iː
प्रगतिशील	p ɾ ə ɡ ə t̪ ɪ ʃ iː l̪
प्रचंड	p ɾ ə t ʃ ə̃ ɳ ɖ
प्रचलित	p ɾ ə t ʃ ə l̪ ɪ t̪
प्रचार	p ɾ ə t ʃ äː ɾ
प्रचारक	p ɾ ə t ʃ äː ɾ ə k
प्रचारिणी	p ɾ ə t ʃ äː ɾ ɪ ɳ iː
प्रचारित	p ɾ ə t ʃ äː ɾ ɪ t̪
प्रचारी	p ɾ ə t ʃ äː ɾ iː
प्रजनन	p ɾ ə d ʒ ə n̪ ə̃ n̪
प्रजा	p ɾ ə d ʒ äː
प्रजातंत्र	p ɾ ə d ʒ äː t̪ ə̃ n̪ t̪ ɾ
प्रजातंत्रवाद	p ɾ ə d ʒ äː t̪ ə̃ n̪ t̪ ɾ ə ʋ äː d̪
प्रज्वलित	p ɾ ə d ʒ ʋ ə l̪ ɪ t̪
प्रण	p ɾ ə̃ ɳ
प्रणाम	p ɾ ə ɳ ä̃ː m
प्रणाली	p ɾ ə ɳ äː l̪ iː
प्रताड़ित	p ɾ ə t̪ äː ɽ ɪ t̪
प्रताप	p ɾ ə t̪ äː p
प्रतापी	p ɾ ə t̪ äː p iː
प्रतिकर्षण	p ɾ ə t̪ ɪ k ə ɾ ʃ ə̃ ɳ
प्रतिकर्षी	p ɾ ə t̪ ɪ k ə ɾ ʃ iː
प्रतिक्रमण	p ɾ ə t̪ ɪ k ɾ ə m ə̃ ɳ
प्रतिक्रिया	p ɾ ə t̪ ɪ k ɾ i j äː
प्रतिक्रियावादी	p ɾ ə t̪ ɪ k ɾ i j äː ʋ äː d̪ iː
प्रतिच्छेद	p ɾ ə t̪ ɪ t̚ t ʃʰ eː d̪
प्रतिज्ञा	p ɾ ə t̪ ɪ ɡ j äː
प्रतिज्ञापन	p ɾ ə t̪ ɪ ɡ j äː p ə̃ n̪
प्रतिध्वनि	p ɾ ə t̪ ɪ d̪ʱ ʋ ə n̪ iː
प्रतिनिधि	p ɾ ə t̪ ɪ n̪ ɪ d̪ʱ iː
प्रतिनिधित्व	p ɾ ə t̪ ɪ n̪ ɪ d̪ʱ ɪ t̪ w
प्रतिफल	p ɾ ə t̪ ɪ pʰ ə l̪
प्रतिबंध	p ɾ ə t̪ ɪ b ə̃ n̪ d̪ʱ
प्रतिबंधित	p ɾ ə t̪ ɪ b ə̃ n̪ d̪ʱ ɪ t̪
प्रतिबिंब	p ɾ ə t̪ ɪ b ɪ̃ m b
प्रतिभा	p ɾ ə t̪ ɪ bʱ äː
प्रतिमा	p ɾ ə t̪ ɪ m äː
प्रतिमाह	p ɾ ə t̪ ɪ m äː ɦ
प्रतियोगिता	p ɾ ə t̪ i j oː ɡ ɪ t̪ äː
प्रतिरोधकता	p ɾ ə t̪ ɪ ɾ oː d̪ʱ ə k t̪ äː
प्रतिलोम	p ɾ ə t̪ ɪ l̪ õː m
प्रतिश्याय	p ɾ ə t̪ ɪ ʃ j äː j
प्रतिस्पर्धा	p ɾ ə t̪ ɪ s̪ p ə ɾ d̪ʱ äː
प्रतीकात्मक	p ɾ ə t̪ iː k äː t̪ m ə k
प्रत्यक्षदर्शी	p ɾ ə t̪ j ə k ʃ d̪ ə ɾ ʃ iː
प्रत्यक्षीकरण	p ɾ ə t̪ j ə k ʃ iː k ə ɾ ə̃ ɳ
प्रत्यर्पण	p ɾ ə t̪ j ə ɾ p ə̃ ɳ
प्रत्याशा	p ɾ ə t̪ j äː ʃ äː
प्रत्याशी	p ɾ ə t̪ j äː ʃ iː
प्रथमतः	p ɾ ə t̪ʰ ə̃ m t̪ ə ɦ
प्रदर्शन	p ɾ ə d̪ ə ɾ ʃ ə̃ n̪
प्रदाता	p ɾ ə d̪ äː t̪ äː
प्रदान	p ɾ ə d̪ ä̃ː n̪
प्रदूषण	p ɾ ə d̪ uː ʃ ə̃ ɳ
प्रधान	p ɾ ə d̪ʱ ä̃ː n̪
प्रधानाचार्य	p ɾ ə d̪ʱ äː n̪ äː t ʃ äː ɾ j
प्रधानाध्यापक	p ɾ ə d̪ʱ äː n̪ äː d̪ʱ j äː p ə k
प्रबंध	p ɾ ə b ə̃ n̪ d̪ʱ
प्रबंधक	p ɾ ə b ə̃ n̪ d̪ʱ ə k
प्रबंधकर्ता	p ɾ ə b ə̃ n̪ d̪ʱ k ə ɾ t̪ äː
प्रबन्ध	p ɾ ə b ə̃ n̪ d̪ʱ
प्रबल	p ɾ ə b ə l̪
प्रभात	p ɾ ə bʱ äː t̪
प्रभारी	p ɾ ə bʱ äː ɾ iː
प्रभाव	p ɾ ə bʱ äː ʋ
प्रभावकारी	p ɾ ə bʱ äː ʋ k äː ɾ iː
प्रभावित	p ɾ ə bʱ äː ʋ ɪ t̪
प्रभावी	p ɾ ə bʱ äː ʋ iː
प्रभुत्व	p ɾ ə bʱ ʊ t̪ w
प्रमाण	p ɾ ə m ä̃ː ɳ
प्रमाणभूत	p ɾ ə m ä̃ː ɳ bʱ uː t̪
प्रयत्न	p ɾ ə j ə t̪̚ n̪
प्रयत्नशील	p ɾ ə j ə t̪̚ n̪ ə ʃ iː l̪
प्रयास	p ɾ ə j äː s̪
प्रयोगकर्ता	p ɾ ə j oː ɡ k ə ɾ t̪ äː
प्रयोगशाला	p ɾ ə j oː ɡ ʃ äː l̪ äː
प्रयोगात्मक	p ɾ ə j oː ɡ ɑ t̪ m ə k
प्रयोजन	p ɾ ə j oː d ʒ ə̃ n̪
प्रलय	p ɾ ə l̪ ə j
प्रवक्ता	p ɾ ə ʋ ə k t̪ äː
प्रवचन	p ɾ ə ʋ ə t ʃ ə̃ n̪
प्रवास	p ɾ ə ʋ äː s̪
प्रवाह	p ɾ ə ʋ äː ɦ
प्रविष्टि	p ɾ ə ʋ ɪ ʃ ʈ iː
प्रवीण	p ɾ ə ʋ ĩː ɳ
प्रवीणता	p ɾ ə ʋ ĩː ɳ t̪ äː
प्रवृत्ति	p ɾ ə ʋ ɾ ɪ t̪̚ t̪ iː
प्रशंसक	p ɾ ə ʃ ə̃ n̪ s̪ ə k
प्रशंसा	p ɾ ə ʃ ə̃ n̪ s̪ äː
प्रशासक	p ɾ ə ʃ äː s̪ ə k
प्रशासकीय	p ɾ ə ʃ äː s̪ ə k iː j
प्रशासन	p ɾ ə ʃ äː s̪ ə̃ n̪
प्रशासिक	p ɾ ə ʃ äː s̪ ɪ k
प्रशिक्षण	p ɾ ə ʃ ɪ k ʃ ə̃ ɳ
प्रश्न	p ɾ ə ʃ ə̃ n̪
प्रश्नोत्तर	p ɾ ə ʃ n̪ oː t̪̚ t̪ ə ɾ
प्रसंग	p ɾ ə s̪ ə̃ ŋ ɡ
प्रसन्नता	p ɾ ə s̪ ə̃ n̪ n̪ t̪ äː
प्रसव	p ɾ ə s̪ ə ʋ
प्रसववेदना	p ɾ ə s̪ ə ʋ ʋ eː d̪̚ n̪ äː
प्रसाद	p ɾ ə s̪ äː d̪
प्रसाधन	p ɾ ə s̪ äː d̪ʱ ə̃ n̪
प्रसारित	p ɾ ə s̪ äː ɾ ɪ t̪
प्रसिद्धि	p ɾ ə s̪ ɪ d̪̚ d̪ʱ iː
प्रस्ताव	p ɾ ə s̪ t̪ äː ʋ
प्रस्तावक	p ɾ ə s̪ t̪ äː ʋ ə k
प्रस्तुत	p ɾ ə s̪ t̪ ʊ t̪
प्रस्तुति	p ɾ ə s̪ t̪ ʊ t̪ iː
प्रस्थान	p ɾ ə s̪ t̪ʰ ä̃ː n̪
प्रहार	p ɾ ə ɦ äː ɾ
प्रांगार	p ɾ ä̃ː ŋ ɡ äː ɾ
प्रांत	p ɾ ä̃ː n̪ t̪
प्राकृत	p ɾ äː k ɾ ɪ t̪
प्राकृतिक	p ɾ äː k ɾ ɪ t̪ ɪ k
प्राक्कथन	p ɾ äː k̚ k ə t̪ʰ ə̃ n̪
प्रागितिहास	p ɾ äː ɡ ɪ t̪ ɪ ɦ äː s̪
प्रागैतिहासिक	p ɾ äː ɡ ɛː t̪ ɪ ɦ äː s̪ ɪ k
प्राचल	p ɾ äː t ʃ ə l̪
प्राची	p ɾ äː t ʃ iː
प्राचीन	p ɾ äː t ʃ ĩː n̪
प्राच्यलवक	p ɾ äː t ʃ j ə l̪ ə ʋ ə k
प्राण	p ɾ ä̃ː ɳ
प्राणवायु	p ɾ ä̃ː ɳ w äː j uː
प्राणी	p ɾ äː ɳ iː
प्रातः	p ɾ äː t̪ ə ɦ
प्राथमिक	p ɾ äː t̪ʰ m ɪ k
प्रादेशिक	p ɾ äː d̪ eː ʃ ɪ k
प्राधिकार	p ɾ äː d̪ʱ ɪ k äː ɾ
प्राधिकारी	p ɾ äː d̪ʱ ɪ k äː ɾ iː
प्राध्यापक	p ɾ äː d̪ʱ j äː p ə k
प्राप्त	p ɾ äː p t̪
प्राप्ति	p ɾ äː p t̪ iː
प्राप्तिकर्ता	p ɾ äː p t̪ ɪ k ə ɾ t̪ äː
प्राप्तिका	p ɾ äː p t̪ ɪ k äː
प्राप्य	p ɾ äː p j
प्राप्यक	p ɾ äː p j ə k
प्रामाणिक	p ɾ äː m äː ɳ ɪ k
प्रायः	p ɾ äː j ə ɦ
प्रायद्वीप	p ɾ äː j d̪ w iː p
प्रायापिज़्म	p ɾ äː j äː p ɪ z m
प्रायिकता	p ɾ äː j ɪ k t̪ äː
प्रारंभ	p ɾ äː ɾ ə̃ m bʱ
प्रारंभिक	p ɾ äː ɾ ə̃ m bʱ ɪ k
प्रारम्भ	p ɾ äː ɾ ə̃ m bʱ
प्रारम्भिक	p ɾ äː ɾ ə̃ m bʱ ɪ k
प्रार्थना	p ɾ äː ɾ t̪ʰ ə n̪ äː
प्रावधान	p ɾ äː ʋ d̪ʱ ä̃ː n̪
प्रावृत्ति	p ɾ äː ʋ ɾ ɪ t̪̚ t̪ iː
प्रासंगिक	p ɾ äː s̪ ə̃ ŋ ɡ ɪ k
प्रासंगिकता	p ɾ äː s̪ ə̃ ŋ ɡ ɪ k t̪ äː
प्रासाद	p ɾ äː s̪ äː d̪
प्रासुक	p ɾ äː s̪ ʊ k
प्रिंस	p ɾ ɪ̃ n̪ s̪
प्रिटोरिया	p ɾ ɪ ʈ oː ɾ i j äː
प्रिय	p ɾ i j
प्रिया	p ɾ i j äː
प्रेक्षित	p ɾ eː k ʃ ɪ t̪
प्रेम	p ɾ ẽː m
प्रेमिका	p ɾ eː m ɪ k äː
प्रेयसी	p ɾ eː j s̪ iː
प्रेरणा	p ɾ eː ɾ ɳ äː
प्रेस	p ɾ eː s̪
प्रॉसिक्यूटर	p ɾ ɔ s̪ ɪ k j uː ʈ ə ɾ
प्रोग्राम	p ɾ oː ɡ ɾ ä̃ː m
प्रोटीन	p ɾ oː ʈ ĩː n̪
प्रोत्साहन	p ɾ oː t̪ s̪ äː ɦ ə̃ n̪
प्रोत्साहित	p ɾ oː t̪ s̪ äː ɦ ɪ t̪
प्रोस्टेट	p ɾ oː s̪ ʈ eː ʈ
प्लाविका	p l̪ äː ʋ ɪ k äː
प्लीज़	p l̪ iː z
प्लीहा	p l̪ iː ɦ äː
फँसना	pʰ ə̃ s̪ n̪ äː
फंदा	pʰ ə̃ n̪ d̪ äː
फक्कड़	pʰ ə k̚ k ə ɽ
फटफटिया	pʰ ə ʈ pʰ ə ʈ i j äː
फट्टू	pʰ ə ʈ̚ ʈ uː
फड़फड़ाना	pʰ ə ɽ pʰ ə ɽ äː n̪ äː
फफकना	pʰ ə pʰ ə k n̪ äː
फफूँदी	pʰ ə pʰ ũː n̪ d̪ iː
फफोला	pʰ ə pʰ oː l̪ äː
फर्न	pʰ ə ɾ n̪
फर्नीचर	pʰ ə ɾ n̪ iː t ʃ ə ɾ
फल	pʰ ə l̪
फलक	pʰ ə l̪ ə k
फलन	pʰ ə l̪ ə̃ n̪
फलना	pʰ ə l̪ n̪ äː
फलस्वरूप	pʰ ə l̪ ə s̪ ʋ ə ɾ uː p
फलालैन	pʰ ə l̪ äː l̪ ɛ̃ː n̪
फली	pʰ ə l̪ iː
फलो	pʰ ə l̪ oː
फलों	pʰ ə l̪ õː
फसल	pʰ ə s̪ ə l̪
फ़ंतासी	pʰ ə̃ n̪ t̪ äː s̪ iː
फ़ज़ूल	pʰ ə d ʒ uː l̪
फ़तवा	pʰ ə t̪ w äː
फ़ना	pʰ ə n̪ äː
फ़रमाइश	pʰ ə ɾ m äː ɪ ʃ
फ़रमान	pʰ ə ɾ m ä̃ː n̪
फ़रमाना	pʰ ə ɾ m äː n̪ äː
फ़रात	pʰ ə ɾ äː t̪
फ़रार	pʰ ə ɾ äː ɾ
फ़रिश्ता	pʰ ə ɾ ɪ ʃ t̪ äː
फ़रीदाबाद	pʰ ə ɾ iː d̪ äː b äː d̪
फ़र्ज़ंद	pʰ ə ɾ d ʒ ə̃ n̪ d̪
फ़र्ज़न्द	pʰ ə ɾ d ʒ ə̃ n̪ d̪
फ़र्रुख़ाबाद	pʰ ə ɾ ɾ ʊ kʰ äː b äː d̪
फ़लक	pʰ ə l̪ ə k
फ़लसफ़ा	pʰ ə l̪ s̪ ə pʰ äː
फ़लस्तीनी	pʰ ə l̪ ə s̪ t̪ iː n̪ iː
फ़व्वारा	pʰ ə ʋ ʋ äː ɾ äː
फ़सल	pʰ ə s̪ ə l̪
फ़साना	pʰ ə s̪ äː n̪ äː
फ़ाख़्ता	pʰ äː kʰ t̪ äː
फ़ानी	pʰ äː n̪ iː
फ़ायदा	pʰ äː j d̪ äː
फ़ारसी	pʰ äː ɾ s̪ iː
फ़ारिग़	pʰ äː ɾ ɪ ɡ
फ़ालतू	pʰ äː l̪ t̪ uː
फ़ालसा	pʰ äː l̪ s̪ äː
फ़ाश	pʰ äː ʃ
फ़ासला	pʰ äː s̪ l̪ äː
फ़ासिला	pʰ äː s̪ ɪ l̪ äː
फ़िदा	pʰ ɪ d̪ äː
फ़िदायीन	pʰ ɪ d̪ äː j ĩː n̪
फ़िनलैंड	pʰ ɪ̃ n̪ l̪ ɛ̃ː ɳ ɖ
फ़िरंग	pʰ ɪ ɾ ə̃ ŋ ɡ
फ़िरंगी	pʰ ɪ ɾ ə̃ ŋ ɡ iː
फ़िराक़	pʰ ɪ ɾ äː k
फ़िरिश्ता	pʰ ɪ ɾ ɪ ʃ t̪ äː
फ़िरौन	pʰ ɪ ɾ ɔ̃ː n̪
फ़िलहाल	pʰ ɪ l̪ ɦ äː l̪
फ़िलिस्तीनी	pʰ ɪ l̪ ɪ s̪ t̪ iː n̪ iː
फ़िलीपीन्स	pʰ ɪ l̪ iː p ĩː n̪ s̪
फ़िल्म	pʰ ɪ l̪ ə̃ m
फ़ीता	pʰ iː t̪ äː
फ़ीलपाँव	pʰ iː l̪ p ä̃ː ʋ
फ़ील्मी	pʰ iː l̪ m iː
फ़ीस	pʰ iː s̪
फ़ीसद	pʰ iː s̪ ə d̪
फ़ुटबॉल	pʰ ʊ ʈ b ɔ l̪
फ़ुर्सत	pʰ ʊ ɾ s̪ ə t̪
फ़ेसबुक	pʰ eː s̪ b ʊ k
फ़ेहरिस्त	pʰ eː ɦ ɾ ɪ s̪ t̪
फ़ैज़ाबाद	pʰ ɛː d ʒ äː b äː d̪
फ़ैसलाबाद	pʰ ɛː s̪ l̪ äː b äː d̪
फ़ॉर्मूला	pʰ ɔ ɾ m uː l̪ äː
फ़ॉलोअर	pʰ ɔ l̪ oː ə ɾ
फ़ोन	pʰ õː n̪
फ़ौरन	pʰ ɔː ɾ ə̃ n̪
फ़्राँस	pʰ ɾ ä̃ː s̪
फ़्राँसीसी	pʰ ɾ ä̃ː s̪ iː s̪ iː
फ़्रांसीसी	pʰ ɾ ä̃ː n̪ s̪ iː s̪ iː
फ़्रान्सीसी	pʰ ɾ ä̃ː n̪ s̪ iː s̪ iː
फ़्रेन्चाइज़	pʰ ɾ ẽː n̪ t ʃ äː ɪ d ʒ
फ़्लैट	pʰ l̪ ɛː ʈ
फ़्लोरिडा	pʰ l̪ oː ɾ ɪ ɖ äː
फाँसी	pʰ ä̃ː s̪ iː
फाड़ी	pʰ äː ɽ iː
फाफड़ा	pʰ äː pʰ ɽ äː
फायदा	pʰ äː j d̪ äː
फालतू	pʰ äː l̪ t̪ uː
फालसा	pʰ äː l̪ s̪ äː
फाल्गुन	pʰ äː l̪ ɡ ʊ̃ n̪
फावड़ा	pʰ äː ʋ ɽ äː
फिरना	pʰ ɪ ɾ n̪ äː
फिल्म	pʰ ɪ l̪ m
फिल्मी	pʰ ɪ l̪ m iː
फिसलन	pʰ ɪ s̪ l̪ ə̃ n̪
फिसलना	pʰ ɪ s̪ ə l̪ n̪ äː
फीका	pʰ iː k äː
फुंसी	pʰ ʊ̃ n̪ s̪ iː
फुदकना	pʰ ʊ d̪ ə k n̪ äː
फुनगी	pʰ ʊ̃ n̪ ɡ iː
फुलका	pʰ ʊ l̪ k äː
फुलझड़ी	pʰ ʊ l̪ d ʒʱ ə ɽ iː
फुसफुसाना	pʰ ʊ s̪ pʰ ʊ s̪ äː n̪ äː
फुहार	pʰ ʊ ɦ äː ɾ
फूफा	pʰ uː pʰ äː
फूल	pʰ uː l̪
फूलदान	pʰ uː l̪ d̪ ä̃ː n̪
फूलना	pʰ uː l̪ n̪ äː
फूलो	pʰ uː l̪ oː
फूलों	pʰ uː l̪ õː
फेंक	pʰ ẽː ŋ k
फेंकना	pʰ ẽː ŋ k n̪ äː
फेफड़ा	pʰ eː pʰ ɽ äː
फेसबुक	pʰ eː s̪ b ʊ k
फैलना	pʰ ɛː l̪ n̪ äː
फैलाव	pʰ ɛː l̪ äː ʋ
फैसला	pʰ ɛː s̪ l̪ äː
फोड़ा	pʰ oː ɽ äː
फोन	pʰ õː n̪
फ्रांस	pʰ ɾ ä̃ː n̪ s̪
फ्रांसीसी	pʰ ɾ ä̃ː n̪ s̪ iː s̪ iː
फ्रेन्चाइज़	pʰ ɾ ẽː n̪ t ʃ äː ɪ d ʒ
बँटवारा	b ə̃ ɳ ʈ w äː ɾ äː
बँधुआ	b ə̃ n̪ d̪ʱ ʊ äː
बंगला	b ə̃ ŋ ɡ l̪ äː
बंगाली	b ə̃ ŋ ɡ äː l̪ iː
बंग्ली	b ə̃ ŋ ɡ l̪ iː
बंजर	b ə̃ n̪ d ʒ ə ɾ
बंजारा	b ə̃ n̪ d ʒ äː ɾ äː
बंटना	b ə̃ ɳ ʈ n̪ äː
बंटाना	b ə̃ ɳ ʈ äː n̪ äː
बंद	b ə̃ n̪ d̪
बंदगी	b ə̃ n̪ d̪ ə ɡ iː
बंदर	b ə̃ n̪ d̪ ə ɾ
बंदरगाह	b ə̃ n̪ d̪ ə ɾ ɡ äː ɦ
बंदरिया	b ə̃ n̪ d̪ ə ɾ i j äː
बंदा	b ə̃ n̪ d̪ äː
बंदिनी	b ə̃ n̪ d̪ ɪ n̪ iː
बंदिश	b ə̃ n̪ d̪ ɪ ʃ
बंदी	b ə̃ n̪ d̪ iː
बंदीघर	b ə̃ n̪ d̪ iː ɡʱ ə ɾ
बंदूक़	b ə̃ n̪ d̪ uː q
बंध	b ə̃ n̪ d̪ʱ
बंधु	b ə̃ n̪ d̪ʱ uː
बंधुत्व	b ə̃ n̪ d̪ʱ ʊ t̪ w
बंबई	b ə̃ m b ə iː
बंबा	b ə̃ m b äː
बंबैया	b ə̃ m b ə̯ i j äː
बकरा	b ə k ɾ äː
बकवास	b ə k w äː s̪
बक़ाया	b ə q äː j äː
बक्सा	b ə k s̪ äː
बख़रा	b ə x ɾ äː
बख़ील	b ə x iː l̪
बख़्शना	b ə x ʃ n̪ äː
बखान	b ə kʰ ä̃ː n̪
बगला	b ə ɡ l̪ äː
बग़दाद	b ə ɣ d̪ äː d̪
बग़ल	b ə ɣ ə l̪
बग़ावत	b ə ɣ äː ʋ ə t̪
बग़ीचा	b ə ɣ iː t ʃ äː
बगावत	b ə ɣ äː ʋ ə t̪
बगीचा	b ə ɣ iː t ʃ äː
बघारना	b ə ɡʱ äː ɾ n̪ äː
बचना	b ə t ʃ n̪ äː
बचपन	b ə t ʃ p ə̃ n̪
बचपना	b ə t ʃ p ə n̪ äː
बचाना	b ə t ʃ äː n̪ äː
बचाव	b ə t ʃ äː ʋ
बच्चन	b ə t̚ t ʃ ə̃ n̪
बच्चा	b ə t̚ t ʃ äː
बछड़ा	b ə t ʃʰ ɽ äː
बजना	b ə d ʒ n̪ äː
बजरंगबली	b ə d ʒ ɾ ə̃ ŋ ɡ ə b l̪ iː
बजाय	b ə d ʒ äː j
बटाटा	b ə ʈ äː ʈ äː
बटाना	b ə ʈ äː n̪ äː
बटालियन	b ə ʈ äː l̪ i j ə̃ n̪
बटोरना	b ə ʈ oː ɾ n̪ äː
बड़बड़ाना	b ə ɽ b ə ɽ äː n̪ äː
बड़ा	b ə ɽ äː
बडा	b ə ɽ äː
बढ़ना	b ə ɽʱ n̪ äː
बढ़ाना	b ə ɽʱ äː n̪ äː
बढ़ावा	b ə ɽʱ äː ʋ äː
बढ़िया	b ə ɽʱ i j äː
बढ़ेला	b ə ɽʱ eː l̪ äː
बतलाना	b ə t̪ l̪ äː n̪ äː
बताना	b ə t̪ äː n̪ äː
बतियाना	b ə t̪ i j äː n̪ äː
बत्तख	b ə t̪̚ t̪ ə x
बत्तख़	b ə t̪̚ t̪ ə x
बत्ती	b ə t̪̚ t̪ iː
बत्तीस	b ə t̪̚ t̪ iː s̪
बदतमीज़	b ə d̪̚ t̪ ə m iː z
बदतर	b ə d̪̚ t̪ ə ɾ
बदतरीन	b ə d̪̚ t̪ ə ɾ ĩː n̪
बदन	b ə d̪ ə̃ n̪
बदनाम	b ə d̪̚ n̪ ä̃ː m
बदमाश	b ə d̪ m äː ʃ
बदल	b ə d̪ ə l̪
बदलाव	b ə d̪ l̪ äː ʋ
बदौलत	b ə d̪ ɔː l̪ ə t̪
बद्दुआ	b ə d̪̚ d̪ ʊ äː
बद्दू	b ə d̪̚ d̪ uː
बधिरता	b ə d̪ʱ ɪ ɾ t̪ äː
बन	b ə̃ n̪
बनना	b ə̃ n̪ n̪ äː
बनमानुस	b ə̃ n̪ m äː n̪ ʊ s̪
बनवाना	b ə̃ n̪ w äː n̪ äː
बनाऊंगी	b ə n̪ äː ũː ŋ ɡ iː
बनाना	b ə n̪ äː n̪ äː
बनाने	b ə n̪ äː n̪ eː
बनाम	b ə n̪ ä̃ː m
बनारस	b ə n̪ äː ɾ ə s̪
बनावट	b ə n̪ äː ʋ ə ʈ
बनावटी	b ə n̪ äː ʋ ə ʈ iː
बनिज	b ə n̪ ɪ d ʒ
बनिया	b ə n̪ i j äː
बनियान	b ə n̪ i j ä̃ː n̪
बन्दिनी	b ə̃ n̪ d̪ ɪ n̪ iː
बन्दीघर	b ə̃ n̪ d̪ iː ɡʱ ə ɾ
बन्दूक	b ə̃ n̪ d̪ uː q
बन्दूक़	b ə̃ n̪ d̪ uː q
बपतिस्मा	b ə p t̪ ɪ s̪ m äː
बबूल	b ə b uː l̪
बब्बर	b ə b̚ b ə ɾ
बम	b ə̃ m
बमबारी	b ə̃ m b äː ɾ iː
बमवर्षक	b ə̃ m w ə ɾ ʃ ə k
बम्बई	b ə̃ m b ə iː
बम्बैया	b ə̃ m b ə̯ i j äː
बयान	b ə j ä̃ː n̪
बयानबाज़ी	b ə j ä̃ː n̪ b äː z iː
बयालीस	b ə j äː l̪ iː s̪
बयासी	b ə j äː s̪ iː
बरक़रार	b ə ɾ q ə ɾ äː ɾ
बरज़बान	b ə ɾ ə z b ä̃ː n̪
बरतन	b ə ɾ t̪ ə̃ n̪
बरतना	b ə ɾ ə t̪̚ n̪ äː
बरमा	b ə ɾ m äː
बरस	b ə ɾ ə s̪
बरसात	b ə ɾ s̪ äː t̪
बरसी	b ə ɾ s̪ iː
बरात	b ə ɾ äː t̪
बराबर	b ə ɾ äː b ə ɾ
बरामद	b ə ɾ äː m ə d̪
बरामदा	b ə ɾ ä̃ː m d̪ äː
बरिशाल	b ə ɾ ɪ ʃ äː l̪
बरेली	b ə ɾ eː l̪ iː
बर्ख़ास्त	b ə ɾ x äː s̪ t̪
बर्खा	b ə ɾ kʰ äː
बर्तन	b ə ɾ t̪ ə̃ n̪
बर्ताव	b ə ɾ t̪ äː ʋ
बर्दाश्त	b ə ɾ d̪ äː ʃ t̪
बर्फ़ीला	b ə ɾ pʰ iː l̪ äː
बर्मिंघम	b ə ɾ m ɪ̃ ŋ ɡʱ ə̃ m
बर्लिन	b ə ɾ l̪ ɪ̃ n̪
बल	b ə l̪
बलगतिकी	b ə l̪ ɡ ə t̪ ɪ k iː
बलग़म	b ə l̪ ɣ ə̃ m
बलपूर्वक	b ə l̪ p uː ɾ ʋ ə k
बलमटेर	b ə l̪ ə̃ m ʈ eː ɾ
बला	b ə l̪ äː
बलिदान	b ə l̪ ɪ d̪ ä̃ː n̪
बलूच	b ə l̪ uː t ʃ
बलूचिस्तान	b ə l̪ uː t ʃ ɪ s̪ t̪ ä̃ː n̪
बलूची	b ə l̪ uː t ʃ iː
बल्कि	b ə l̪ k iː
बल्ला	b ə l̪ l̪ äː
बल्ली	b ə l̪ l̪ iː
बल्लेबाज़	b ə l̪ l̪ eː b äː z
बवाल	b ə ʋ äː l̪
बवासीर	b ə ʋ äː s̪ iː ɾ
बस	b ə s̪
बसंत	b ə s̪ ə̃ n̪ t̪
बसना	b ə s̪ n̪ äː
बसेरा	b ə s̪ eː ɾ äː
बस्त	b ə s̪ t̪
बस्ता	b ə s̪ t̪ äː
बस्ती	b ə s̪ t̪ iː
बहकना	b ɛ ɦ ɛ k n̪ äː
बहकाना	b ɛ ɦ k äː n̪ äː
बहत्तर	b ɛ ɦ ɛ t̪̚ t̪ ə ɾ
बहन	b ɛ ɦ ɛ̃ n̪
बहनचोद	b ɛ ɦ ɛ̃ n̪ t ʃ oː d̪
बहना	b ɛ ɦ n̪ äː
बहनापा	b ɛ ɦ n̪ äː p äː
बहनोई	b ɛ ɦ n̪ oː iː
बहरा	b ɛ ɦ ɾ äː
बहराइच	b ɛ ɦ ɾ äː ɪ t ʃ
बहरापन	b ɛ ɦ ɾ äː p ə̃ n̪
बहरी	b ɛ ɦ ɾ iː
बहरीन	b ɛ ɦ ɾ ĩː n̪
बहलना	b ɛ ɦ ɛ l̪ n̪ äː
बहलाना	b ɛ ɦ l̪ äː n̪ äː
बहस	b ɛ ɦ ɛ s̪
बहादुर	b ə ɦ äː d̪ ʊ ɾ
बहादुरी	b ə ɦ äː d̪ ʊ ɾ iː
बहाना	b ə ɦ äː n̪ äː
बहाल	b ə ɦ äː l̪
बहाव	b ə ɦ äː ʋ
बहावलनगर	b ə ɦ äː ʋ ə l̪ n̪ ə ɡ ə ɾ
बहावलपुर	b ə ɦ äː ʋ ə l̪ p ʊ ɾ
बहिन	b ə ɦ ɪ̃ n̪
बहिर्वेशन	b ə ɦ ɪ ɾ ʋ eː ʃ ə̃ n̪
